Date,SPENTEX
2016-01-01,3.55
2016-01-04,3.7
2016-01-05,3.85
2016-01-06,4.0
2016-01-07,3.95
2016-01-08,4.05
2016-01-11,4.25
2016-01-12,4.45
2016-01-13,4.25
2016-01-14,4.3
2016-01-15,4.1
2016-01-18,3.9
2016-01-19,3.75
2016-01-20,3.6
2016-01-21,3.45
2016-01-22,3.6
2016-01-25,3.75
2016-01-27,3.9
2016-01-28,4.05
2016-01-29,4.1
2016-02-01,4.0
2016-02-02,3.9
2016-02-03,3.8
2016-02-04,3.7
2016-02-05,3.65
2016-02-08,3.55
2016-02-09,3.2
2016-02-10,2.9
2016-02-11,2.8
2016-02-12,2.7
2016-02-15,2.75
2016-02-16,2.65
2016-02-17,2.6
2016-02-18,2.65
2016-02-19,2.55
2016-02-22,2.65
2016-02-23,2.75
2016-02-24,2.65
2016-02-25,2.55
2016-02-26,2.55
2016-02-29,2.5
2016-03-01,2.6
2016-03-02,2.7
2016-03-03,2.7
2016-03-04,2.95
2016-03-08,3.1
2016-03-09,3.1
2016-03-10,3.1
2016-03-11,3.1
2016-03-14,3.1
2016-03-15,2.95
2016-03-16,2.9
2016-03-17,3.0
2016-03-18,3.0
2016-03-21,2.95
2016-03-22,3.05
2016-03-23,3.0
2016-03-28,3.15
2016-03-29,3.05
2016-03-30,3.05
2016-03-31,2.9
2016-04-01,3.25
2016-04-04,3.2
2016-04-05,3.05
2016-04-06,2.95
2016-04-07,2.9
2016-04-08,2.9
2016-04-11,2.8
2016-04-12,3.15
2016-04-13,2.95
2016-04-18,3.0
2016-04-20,3.1
2016-04-21,3.1
2016-04-22,3.15
2016-04-25,3.25
2016-04-26,3.3
2016-04-27,3.3
2016-04-28,3.15
2016-04-29,3.2
2016-05-02,3.05
2016-05-03,3.15
2016-05-04,3.1
2016-05-05,3.1
2016-05-06,3.1
2016-05-09,3.15
2016-05-10,3.3
2016-05-11,3.4
2016-05-12,3.5
2016-05-13,3.5
2016-05-16,3.45
2016-05-17,3.5
2016-05-18,3.35
2016-05-19,3.25
2016-05-20,3.1
2016-05-23,3.0
2016-05-24,2.85
2016-05-25,2.95
2016-05-26,3.05
2016-05-27,2.95
2016-05-30,2.95
2016-05-31,2.9
2016-06-01,3.05
2016-06-02,3.1
2016-06-03,3.0
2016-06-06,3.0
2016-06-07,2.9
2016-06-08,3.1
2016-06-09,3.1
2016-06-10,3.4
2016-06-13,3.3
2016-06-14,3.2
2016-06-15,3.45
2016-06-16,3.5
2016-06-17,3.35
2016-06-20,3.3
2016-06-21,3.55
2016-06-22,3.45
2016-06-23,3.35
2016-06-24,3.2
2016-06-27,3.3
2016-06-28,3.95
2016-06-29,4.1
2016-06-30,3.9
2016-07-01,4.65
2016-07-04,5.1
2016-07-05,5.0
2016-07-07,4.9
2016-07-08,4.85
2016-07-11,4.7
2016-07-12,4.45
2016-07-13,4.1
2016-07-14,4.5
2016-07-15,4.95
2016-07-18,5.25
2016-07-19,5.1
2016-07-20,5.15
2016-07-21,4.9
2016-07-22,5.05
2016-07-25,5.0
2016-07-26,4.75
2016-07-27,4.7
2016-07-28,4.7
2016-07-29,4.6
2016-08-01,4.55
2016-08-02,4.35
2016-08-03,4.25
2016-08-04,4.35
2016-08-05,4.55
2016-08-08,4.7
2016-08-09,4.55
2016-08-10,4.55
2016-08-11,4.45
2016-08-12,4.35
2016-08-16,4.55
2016-08-17,4.6
2016-08-18,4.6
2016-08-19,4.6
2016-08-22,4.65
2016-08-23,4.85
2016-08-24,4.75
2016-08-25,4.9
2016-08-26,4.8
2016-08-29,4.75
2016-08-30,4.6
2016-08-31,4.55
2016-09-01,4.75
2016-09-02,4.5
2016-09-06,4.35
2016-09-07,4.65
2016-09-08,5.05
2016-09-09,5.55
2016-09-12,5.85
2016-09-14,5.6
2016-09-15,5.4
2016-09-16,5.6
2016-09-19,5.55
2016-09-20,5.5
2016-09-21,5.45
2016-09-22,5.7
2016-09-23,5.95
2016-09-26,6.2
2016-09-27,6.5
2016-09-28,6.8
2016-09-29,6.55
2016-09-30,6.85
2016-10-03,7.15
2016-10-04,7.5
2016-10-05,7.85
2016-10-06,7.85
2016-10-07,7.55
2016-10-10,7.2
2016-10-13,7.55
2016-10-14,7.2
2016-10-17,7.25
2016-10-18,6.9
2016-10-19,7.05
2016-10-20,7.25
2016-10-21,7.3
2016-10-24,7.2
2016-10-25,7.15
2016-10-26,7.1
2016-10-27,7.1
2016-10-28,7.15
2016-10-30,7.1
2016-11-01,7.05
2016-11-02,7.05
2016-11-03,7.2
2016-11-04,6.75
2016-11-07,7.1
2016-11-08,6.95
2016-11-09,6.5
2016-11-10,6.95
2016-11-11,6.45
2016-11-15,5.85
2016-11-16,5.3
2016-11-17,5.05
2016-11-18,4.85
2016-11-21,4.65
2016-11-22,4.45
2016-11-23,4.6
2016-11-24,4.8
2016-11-25,5.0
2016-11-28,5.2
2016-11-29,5.05
2016-11-30,5.0
2016-12-01,5.25
2016-12-02,4.9
2016-12-05,4.9
2016-12-06,5.15
2016-12-07,5.0
2016-12-08,5.35
2016-12-09,5.1
2016-12-12,5.15
2016-12-13,5.2
2016-12-14,5.55
2016-12-15,5.75
2016-12-16,6.15
2016-12-19,6.3
2016-12-20,5.9
2016-12-21,6.15
