Date,WEIZMANIND
2016-01-01,26.1
2016-01-04,25.35
2016-01-05,27.0
2016-01-06,26.15
2016-01-07,24.6
2016-01-08,24.95
2016-01-11,25.0
2016-01-12,25.0
2016-01-13,23.1
2016-01-14,23.2
2016-01-15,22.0
2016-01-18,17.8
2016-01-19,17.85
2016-01-20,16.4
2016-01-21,16.85
2016-01-22,17.15
2016-01-25,17.15
2016-01-27,18.05
2016-01-28,18.6
2016-01-29,19.1
2016-02-01,19.15
2016-02-02,18.35
2016-02-03,17.6
2016-02-04,18.0
2016-02-05,19.95
2016-02-08,20.05
2016-02-09,19.9
2016-02-10,18.6
2016-02-11,16.1
2016-02-12,18.25
2016-02-15,20.25
2016-02-16,19.1
2016-02-17,18.15
2016-02-18,20.0
2016-02-22,18.7
2016-02-24,19.0
2016-02-25,19.0
2016-02-29,17.75
2016-03-02,18.35
2016-03-03,19.45
2016-03-04,19.6
2016-03-08,19.8
2016-03-09,20.0
2016-03-10,19.95
2016-03-14,19.5
2016-03-15,18.8
2016-03-17,19.8
2016-03-18,19.8
2016-03-21,19.4
2016-03-22,18.5
2016-03-23,18.5
2016-03-28,17.5
2016-03-29,17.55
2016-03-30,18.05
2016-03-31,19.05
2016-04-01,19.7
2016-04-04,19.85
2016-04-05,19.0
2016-04-06,19.85
2016-04-07,20.0
2016-04-08,20.8
2016-04-11,20.55
2016-04-12,20.5
2016-04-13,20.5
2016-04-18,20.7
2016-04-20,20.5
2016-04-21,21.4
2016-04-22,21.4
2016-04-25,19.5
2016-04-26,21.5
2016-04-27,20.5
2016-04-28,20.1
2016-04-29,20.0
2016-05-02,20.95
2016-05-03,20.0
2016-05-04,19.85
2016-05-05,20.0
2016-05-06,19.5
2016-05-09,20.5
2016-05-10,20.5
2016-05-11,21.55
2016-05-12,21.55
2016-05-13,21.1
2016-05-16,22.0
2016-05-17,22.0
2016-05-18,21.0
2016-05-19,22.0
2016-05-20,21.0
2016-05-23,21.0
2016-05-24,21.65
2016-05-25,20.0
2016-05-26,21.85
2016-05-27,20.85
2016-05-30,21.15
2016-05-31,19.5
2016-06-01,20.1
2016-06-02,20.55
2016-06-03,20.15
2016-06-06,19.55
2016-06-07,21.0
2016-06-08,21.05
2016-06-09,21.2
2016-06-10,21.45
2016-06-13,22.25
2016-06-14,23.35
2016-06-15,23.9
2016-06-16,24.05
2016-06-17,23.8
2016-06-20,23.95
2016-06-21,23.15
2016-06-22,23.0
2016-06-23,23.0
2016-06-24,21.15
2016-06-27,22.85
2016-06-28,23.35
2016-06-29,23.0
2016-06-30,23.5
2016-07-01,23.5
2016-07-04,23.0
2016-07-05,23.5
2016-07-07,22.8
2016-07-08,21.6
2016-07-11,22.1
2016-07-12,22.4
2016-07-13,21.45
2016-07-14,22.4
2016-07-15,22.0
2016-07-18,22.35
2016-07-19,23.35
2016-07-20,23.1
2016-07-21,22.55
2016-07-22,23.4
2016-07-25,23.8
2016-07-26,24.0
2016-07-27,23.8
2016-07-28,23.8
2016-07-29,23.75
2016-08-01,22.8
2016-08-02,23.55
2016-08-03,23.6
2016-08-04,24.25
2016-08-05,23.0
2016-08-08,23.6
2016-08-09,23.75
2016-08-10,24.65
2016-08-11,25.1
2016-08-12,30.1
2016-08-16,36.1
2016-08-17,36.3
2016-08-18,32.7
2016-08-19,31.85
2016-08-22,30.7
2016-08-23,30.0
2016-08-24,30.0
2016-08-25,30.0
2016-08-26,29.0
2016-08-29,28.5
2016-08-30,28.2
2016-08-31,27.5
2016-09-01,27.4
2016-09-02,28.5
2016-09-06,29.65
2016-09-07,28.55
2016-09-08,28.2
2016-09-09,27.55
2016-09-12,26.05
2016-09-14,27.15
2016-09-15,28.35
2016-09-16,29.15
2016-09-19,28.2
2016-09-20,29.35
2016-09-21,29.05
2016-09-22,28.55
2016-09-23,29.0
2016-09-26,28.6
2016-09-27,28.05
2016-09-28,27.8
2016-09-29,26.25
2016-09-30,27.2
2016-10-03,28.1
2016-10-04,28.45
2016-10-05,27.75
2016-10-06,28.5
2016-10-07,28.15
2016-10-10,29.45
2016-10-13,28.0
2016-10-14,28.85
2016-10-17,29.0
2016-10-18,29.2
2016-10-19,31.25
2016-10-20,30.95
2016-10-21,31.15
2016-10-24,31.55
2016-10-25,32.05
2016-10-26,31.85
2016-10-27,32.25
2016-10-28,32.0
2016-10-30,31.85
2016-11-01,31.85
2016-11-02,30.1
2016-11-03,30.5
2016-11-04,29.25
2016-11-07,30.45
2016-11-08,29.9
2016-11-09,30.6
2016-11-10,31.5
2016-11-11,28.9
2016-11-15,28.0
2016-11-16,27.3
2016-11-17,27.2
2016-11-18,27.6
2016-11-21,27.05
2016-11-22,26.45
2016-11-23,27.5
2016-11-24,27.3
2016-11-25,29.75
2016-11-28,29.55
2016-11-29,30.95
2016-11-30,31.95
2016-12-01,32.35
2016-12-02,31.8
2016-12-05,31.7
2016-12-06,31.6
2016-12-07,30.55
2016-12-08,30.5
2016-12-09,31.0
2016-12-12,30.5
2016-12-13,30.4
2016-12-14,29.6
2016-12-15,30.5
2016-12-16,29.75
2016-12-19,30.85
2016-12-20,29.7
2016-12-21,29.3
2016-12-22,28.6
2016-12-23,30.0
2016-12-26,28.2
2016-12-27,27.5
2016-12-28,28.9
2016-12-29,29.05
2016-12-30,28.8
