Date,AMDIND
2016-01-01,31.85
2016-01-04,35.3
2016-01-05,36.25
2016-01-06,34.3
2016-01-07,33.65
2016-01-08,33.6
2016-01-11,33.85
2016-01-12,33.4
2016-01-13,31.4
2016-01-14,30.8
2016-01-15,28.95
2016-01-18,26.35
2016-01-19,26.5
2016-01-20,25.25
2016-01-21,26.4
2016-01-22,26.65
2016-01-25,26.2
2016-01-27,26.6
2016-01-28,26.95
2016-01-29,28.35
2016-02-01,29.0
2016-02-02,29.35
2016-02-03,28.65
2016-02-04,27.65
2016-02-05,28.05
2016-02-08,27.7
2016-02-09,27.25
2016-02-10,26.9
2016-02-11,24.5
2016-02-12,25.1
2016-02-15,26.4
2016-02-16,25.7
2016-02-17,25.95
2016-02-18,25.5
2016-02-19,25.25
2016-02-22,26.4
2016-02-23,26.85
2016-02-24,25.9
2016-02-25,26.45
2016-02-26,25.35
2016-02-29,24.5
2016-03-01,25.65
2016-03-02,25.85
2016-03-03,26.4
2016-03-04,25.9
2016-03-08,27.5
2016-03-09,27.9
2016-03-10,27.1
2016-03-11,27.6
2016-03-14,30.2
2016-03-15,32.95
2016-03-16,31.9
2016-03-17,35.0
2016-03-18,36.3
2016-03-21,38.6
2016-03-22,38.75
2016-03-23,35.4
2016-03-28,30.05
2016-03-29,29.25
2016-03-30,31.3
2016-03-31,32.2
2016-04-01,30.1
2016-04-04,30.0
2016-04-05,29.4
2016-04-06,32.5
2016-04-07,32.3
2016-04-08,32.25
2016-04-11,32.05
2016-04-12,31.65
2016-04-13,32.0
2016-04-18,31.5
2016-04-20,31.05
2016-04-21,29.95
2016-04-22,30.05
2016-04-25,30.0
2016-04-26,30.9
2016-04-27,30.9
2016-04-28,30.35
2016-04-29,30.55
2016-05-02,30.15
2016-05-03,30.2
2016-05-04,29.75
2016-05-05,29.55
2016-05-06,29.5
2016-05-09,30.1
2016-05-10,30.05
2016-05-11,29.65
2016-05-12,30.05
2016-05-13,30.25
2016-05-16,30.15
2016-05-17,30.0
2016-05-18,29.6
2016-05-19,29.8
2016-05-20,29.0
2016-05-23,29.0
2016-05-24,28.95
2016-05-25,29.35
2016-05-26,29.35
2016-05-27,27.0
2016-05-30,25.75
2016-05-31,25.95
2016-06-01,26.6
2016-06-02,26.0
2016-06-03,26.05
2016-06-06,27.5
2016-06-07,27.2
2016-06-08,26.85
2016-06-09,27.05
2016-06-10,26.95
2016-06-13,27.2
2016-06-14,27.0
2016-06-15,26.95
2016-06-16,26.65
2016-06-17,26.4
2016-06-20,26.95
2016-06-21,27.4
2016-06-22,26.7
2016-06-23,26.85
2016-06-24,26.6
2016-06-27,27.2
2016-06-28,27.75
2016-06-29,28.85
2016-06-30,27.15
2016-07-01,29.1
2016-07-04,28.15
2016-07-05,28.25
2016-07-07,28.05
2016-07-08,27.8
2016-07-11,28.25
2016-07-12,28.35
2016-07-13,27.45
2016-07-14,27.65
2016-07-15,27.3
2016-07-18,26.55
2016-07-19,25.8
2016-07-20,26.45
2016-07-21,26.0
2016-07-22,26.25
2016-07-25,26.45
2016-07-26,26.45
2016-07-27,26.6
2016-07-28,26.45
2016-07-29,26.2
2016-08-01,26.5
2016-08-02,26.5
2016-08-03,26.0
2016-08-04,26.35
2016-08-05,26.5
2016-08-08,27.0
2016-08-09,27.3
2016-08-10,28.05
2016-08-11,27.4
2016-08-12,28.25
2016-08-16,27.8
2016-08-17,27.5
2016-08-18,27.55
2016-08-19,27.25
2016-08-22,27.25
2016-08-23,27.25
2016-08-24,26.7
2016-08-25,27.35
2016-08-26,27.3
2016-08-29,27.0
2016-08-30,27.0
2016-08-31,26.75
2016-09-01,26.6
2016-09-02,27.0
2016-09-06,27.25
2016-09-07,27.3
2016-09-08,27.25
2016-09-09,27.0
2016-09-12,26.45
2016-09-14,26.8
2016-09-15,27.25
2016-09-16,27.15
2016-09-19,27.0
2016-09-20,28.4
2016-09-21,28.6
2016-09-22,29.8
2016-09-23,30.0
2016-09-26,29.45
2016-09-27,28.25
2016-09-28,29.0
2016-09-29,27.2
2016-09-30,27.5
2016-10-03,27.85
2016-10-04,27.6
2016-10-05,28.2
2016-10-06,28.8
2016-10-07,29.7
2016-10-10,31.35
2016-10-13,32.9
2016-10-14,32.95
2016-10-17,33.6
2016-10-18,32.45
2016-10-19,32.5
2016-10-20,34.05
2016-10-21,35.2
2016-10-24,36.45
2016-10-25,36.95
2016-10-26,36.5
2016-10-27,35.75
2016-10-28,35.7
2016-10-30,35.65
2016-11-01,36.35
2016-11-02,37.95
2016-11-03,38.15
2016-11-04,36.0
2016-11-07,37.05
2016-11-08,38.35
2016-11-09,34.75
2016-11-10,36.1
2016-11-11,31.7
2016-11-15,29.0
2016-11-16,28.95
2016-11-17,29.1
2016-11-18,27.85
2016-11-21,25.95
2016-11-22,26.3
2016-11-23,27.85
2016-11-24,28.65
2016-11-25,29.3
2016-11-28,31.0
2016-11-29,30.2
2016-11-30,29.4
2016-12-01,30.3
2016-12-02,29.95
2016-12-05,29.2
2016-12-06,31.25
2016-12-07,30.95
2016-12-08,32.55
2016-12-09,32.05
2016-12-12,30.75
2016-12-13,30.9
2016-12-14,30.55
2016-12-15,31.0
2016-12-16,30.5
2016-12-19,29.95
2016-12-20,30.35
2016-12-21,29.8
2016-12-22,28.85
2016-12-23,29.2
2016-12-26,28.85
2016-12-27,28.45
2016-12-28,29.1
2016-12-29,29.3
2016-12-30,29.65
