Date,ORIENTHOT
2016-01-01,29.75
2016-01-04,30.35
2016-01-05,29.4
2016-01-06,27.75
2016-01-07,26.45
2016-01-08,26.95
2016-01-11,26.7
2016-01-12,26.35
2016-01-13,25.9
2016-01-14,25.1
2016-01-15,23.6
2016-01-18,23.15
2016-01-19,25.0
2016-01-20,23.6
2016-01-21,24.0
2016-01-22,24.4
2016-01-25,24.15
2016-01-27,24.05
2016-01-28,23.85
2016-01-29,23.8
2016-02-01,23.35
2016-02-02,23.3
2016-02-03,23.0
2016-02-04,22.95
2016-02-05,22.45
2016-02-08,21.9
2016-02-09,21.9
2016-02-10,21.55
2016-02-11,20.7
2016-02-12,20.65
2016-02-15,22.1
2016-02-16,20.95
2016-02-17,20.4
2016-02-18,20.55
2016-02-19,20.45
2016-02-22,20.15
2016-02-23,20.25
2016-02-24,19.85
2016-02-25,19.5
2016-02-26,19.55
2016-02-29,20.05
2016-03-01,20.1
2016-03-02,20.75
2016-03-03,20.95
2016-03-04,21.55
2016-03-08,22.0
2016-03-09,21.8
2016-03-10,21.85
2016-03-11,20.95
2016-03-14,20.75
2016-03-15,20.3
2016-03-16,21.15
2016-03-17,20.8
2016-03-18,20.9
2016-03-21,21.15
2016-03-22,20.6
2016-03-23,21.0
2016-03-28,20.95
2016-03-29,20.3
2016-03-30,20.6
2016-03-31,20.6
2016-04-01,21.15
2016-04-04,21.35
2016-04-05,20.9
2016-04-06,21.65
2016-04-07,21.75
2016-04-08,21.9
2016-04-11,21.8
2016-04-12,22.3
2016-04-13,22.2
2016-04-18,23.0
2016-04-20,22.8
2016-04-21,22.55
2016-04-22,22.9
2016-04-25,22.4
2016-04-26,22.4
2016-04-27,22.3
2016-04-28,21.6
2016-04-29,21.8
2016-05-02,22.0
2016-05-03,21.8
2016-05-04,21.85
2016-05-05,21.7
2016-05-06,21.6
2016-05-09,21.65
2016-05-10,22.3
2016-05-11,21.65
2016-05-12,22.05
2016-05-13,22.2
2016-05-16,22.0
2016-05-17,22.95
2016-05-18,22.85
2016-05-19,22.15
2016-05-20,23.55
2016-05-23,21.9
2016-05-24,23.4
2016-05-25,23.05
2016-05-26,23.25
2016-05-27,24.6
2016-05-30,24.35
2016-05-31,24.6
2016-06-01,24.65
2016-06-02,25.4
2016-06-03,24.5
2016-06-06,24.15
2016-06-07,24.4
2016-06-08,24.5
2016-06-09,24.05
2016-06-10,25.5
2016-06-13,24.6
2016-06-14,24.55
2016-06-15,26.2
2016-06-16,26.35
2016-06-17,27.35
2016-06-20,26.8
2016-06-21,26.25
2016-06-22,26.5
2016-06-23,26.5
2016-06-24,25.45
2016-06-27,25.65
2016-06-28,25.75
2016-06-29,25.7
2016-06-30,26.5
2016-07-01,26.6
2016-07-04,26.35
2016-07-05,26.6
2016-07-07,25.95
2016-07-08,25.7
2016-07-11,26.4
2016-07-12,26.2
2016-07-13,26.0
2016-07-14,27.35
2016-07-15,26.75
2016-07-18,27.1
2016-07-19,26.6
2016-07-20,26.75
2016-07-21,26.55
2016-07-22,27.2
2016-07-25,26.5
2016-07-26,25.55
2016-07-27,25.6
2016-07-28,25.4
2016-07-29,25.6
2016-08-01,24.75
2016-08-02,24.8
2016-08-03,24.65
2016-08-04,24.6
2016-08-05,24.5
2016-08-08,25.15
2016-08-09,23.65
2016-08-10,23.55
2016-08-11,23.6
2016-08-12,23.55
2016-08-16,24.05
2016-08-17,23.65
2016-08-18,23.95
2016-08-19,24.8
2016-08-22,24.25
2016-08-23,24.75
2016-08-24,24.05
2016-08-25,25.4
2016-08-26,24.65
2016-08-29,24.95
2016-08-30,24.4
2016-08-31,25.55
2016-09-01,26.95
2016-09-02,26.8
2016-09-06,26.2
2016-09-07,25.95
2016-09-08,25.85
2016-09-09,25.75
2016-09-12,25.6
2016-09-14,25.25
2016-09-15,25.4
2016-09-16,24.9
2016-09-19,26.3
2016-09-20,25.8
2016-09-21,25.5
2016-09-22,25.5
2016-09-23,25.75
2016-09-26,25.3
2016-09-27,25.45
2016-09-28,25.2
2016-09-29,23.85
2016-09-30,24.0
2016-10-03,26.25
2016-10-04,26.45
2016-10-05,26.1
2016-10-06,25.55
2016-10-07,25.75
2016-10-10,26.8
2016-10-13,25.85
2016-10-14,26.65
2016-10-17,26.4
2016-10-18,27.45
2016-10-19,27.45
2016-10-20,27.85
2016-10-21,28.2
2016-10-24,27.8
2016-10-25,27.35
2016-10-26,26.85
2016-10-27,26.3
2016-10-28,27.15
2016-10-30,27.45
2016-11-01,27.95
2016-11-02,27.2
2016-11-03,27.1
2016-11-04,26.55
2016-11-07,26.05
2016-11-08,25.6
2016-11-09,24.75
2016-11-10,25.45
2016-11-11,25.1
2016-11-15,23.65
2016-11-16,24.25
2016-11-17,23.65
2016-11-18,22.9
2016-11-21,21.45
2016-11-22,21.6
2016-11-23,22.85
2016-11-24,21.6
2016-11-25,22.65
2016-11-28,22.3
2016-11-29,22.45
2016-11-30,22.9
2016-12-01,22.75
2016-12-02,22.3
2016-12-05,22.55
2016-12-06,22.35
2016-12-07,22.95
2016-12-08,22.65
2016-12-09,22.65
2016-12-12,23.75
2016-12-13,23.1
2016-12-14,22.75
2016-12-15,22.8
2016-12-16,22.6
2016-12-19,22.5
2016-12-20,22.05
2016-12-21,22.05
2016-12-22,21.2
2016-12-23,21.35
2016-12-26,20.8
2016-12-27,21.3
2016-12-28,21.4
2016-12-29,21.1
2016-12-30,21.45
