Date,DCM
2016-01-01,98.3
2016-01-04,96.75
2016-01-05,97.55
2016-01-06,96.3
2016-01-07,93.2
2016-01-08,93.75
2016-01-11,91.45
2016-01-12,90.6
2016-01-13,87.05
2016-01-14,87.5
2016-01-15,85.8
2016-01-18,81.05
2016-01-19,83.65
2016-01-20,81.75
2016-01-21,80.85
2016-01-22,82.7
2016-01-25,81.75
2016-01-27,83.55
2016-01-28,84.1
2016-01-29,84.0
2016-02-01,84.85
2016-02-02,83.05
2016-02-03,81.1
2016-02-04,80.15
2016-02-05,81.35
2016-02-08,80.15
2016-02-09,79.2
2016-02-10,77.85
2016-02-11,73.95
2016-02-12,75.75
2016-02-15,73.5
2016-02-16,70.3
2016-02-17,68.55
2016-02-18,68.05
2016-02-19,68.75
2016-02-22,69.7
2016-02-23,67.3
2016-02-24,66.55
2016-02-25,66.85
2016-02-26,67.0
2016-02-29,67.85
2016-03-01,71.6
2016-03-02,76.5
2016-03-03,79.7
2016-03-04,78.0
2016-03-08,77.25
2016-03-09,75.95
2016-03-10,76.2
2016-03-11,74.8
2016-03-14,75.25
2016-03-15,73.8
2016-03-16,75.0
2016-03-17,73.4
2016-03-18,72.95
2016-03-21,74.25
2016-03-22,82.45
2016-03-23,78.4
2016-03-28,74.8
2016-03-29,73.95
2016-03-30,77.55
2016-03-31,79.45
2016-04-01,81.0
2016-04-04,84.4
2016-04-05,83.45
2016-04-06,83.8
2016-04-07,83.6
2016-04-08,83.95
2016-04-11,88.95
2016-04-12,88.8
2016-04-13,90.4
2016-04-18,92.2
2016-04-20,95.25
2016-04-21,95.5
2016-04-22,96.45
2016-04-25,99.35
2016-04-26,102.2
2016-04-27,103.85
2016-04-28,102.75
2016-04-29,101.7
2016-05-02,105.15
2016-05-03,102.75
2016-05-04,100.55
2016-05-05,98.85
2016-05-06,98.9
2016-05-09,98.15
2016-05-10,97.0
2016-05-11,98.0
2016-05-12,98.85
2016-05-13,98.1
2016-05-16,97.5
2016-05-17,97.05
2016-05-18,96.2
2016-05-19,94.3
2016-05-20,93.95
2016-05-23,91.95
2016-05-24,92.35
2016-05-25,93.0
2016-05-26,91.4
2016-05-27,89.2
2016-05-30,88.5
2016-05-31,87.65
2016-06-01,87.85
2016-06-02,87.6
2016-06-03,87.25
2016-06-06,86.1
2016-06-07,87.15
2016-06-08,87.15
2016-06-09,87.45
2016-06-10,87.45
2016-06-13,87.9
2016-06-14,88.05
2016-06-15,86.45
2016-06-16,86.45
2016-06-17,85.1
2016-06-20,86.1
2016-06-21,92.25
2016-06-22,87.9
2016-06-23,86.9
2016-06-24,86.9
2016-06-27,87.15
2016-06-28,87.45
2016-06-29,88.85
2016-06-30,89.15
2016-07-01,88.0
2016-07-04,88.85
2016-07-05,94.7
2016-07-07,92.05
2016-07-08,90.05
2016-07-11,93.9
2016-07-12,96.05
2016-07-13,92.6
2016-07-14,92.35
2016-07-15,91.7
2016-07-18,91.65
2016-07-19,89.9
2016-07-20,90.15
2016-07-21,88.95
2016-07-22,90.7
2016-07-25,89.45
2016-07-26,90.5
2016-07-27,90.9
2016-07-28,89.8
2016-07-29,91.4
2016-08-01,90.5
2016-08-02,88.55
2016-08-03,87.55
2016-08-04,88.7
2016-08-05,87.95
2016-08-08,87.9
2016-08-09,88.05
2016-08-10,86.95
2016-08-11,86.6
2016-08-12,87.5
2016-08-16,91.35
2016-08-17,90.65
2016-08-18,90.25
2016-08-19,89.9
2016-08-22,88.3
2016-08-23,89.75
2016-08-24,89.05
2016-08-25,88.95
2016-08-26,89.2
2016-08-29,88.0
2016-08-30,88.2
2016-08-31,87.85
2016-09-01,86.9
2016-09-02,88.95
2016-09-06,87.7
2016-09-07,88.05
2016-09-08,88.3
2016-09-09,87.5
2016-09-12,85.4
2016-09-14,85.15
2016-09-15,85.5
2016-09-16,86.2
2016-09-19,87.25
2016-09-20,87.05
2016-09-21,86.1
2016-09-22,82.65
2016-09-23,85.2
2016-09-26,85.05
2016-09-27,84.65
2016-09-28,83.7
2016-09-29,80.2
2016-09-30,81.05
2016-10-03,87.9
2016-10-04,89.85
2016-10-05,94.7
2016-10-06,92.1
2016-10-07,90.7
2016-10-10,96.35
2016-10-13,94.25
2016-10-14,97.95
2016-10-17,117.5
2016-10-18,131.0
2016-10-19,134.0
2016-10-20,134.6
2016-10-21,148.05
2016-10-24,151.75
2016-10-25,147.9
2016-10-26,144.4
2016-10-27,135.8
2016-10-28,137.85
2016-10-30,138.1
2016-11-01,133.25
2016-11-02,125.9
2016-11-03,124.55
2016-11-04,121.65
2016-11-07,124.7
2016-11-08,126.85
2016-11-09,117.85
2016-11-10,128.8
2016-11-11,119.3
2016-11-15,104.95
2016-11-16,102.6
2016-11-17,99.9
2016-11-18,103.25
2016-11-21,95.7
2016-11-22,95.05
2016-11-23,101.15
2016-11-24,99.25
2016-11-25,98.85
2016-11-28,100.65
2016-11-29,104.45
2016-11-30,104.05
2016-12-01,103.6
2016-12-02,102.45
2016-12-05,102.0
2016-12-06,103.3
2016-12-07,104.5
2016-12-08,109.75
2016-12-09,116.05
2016-12-12,115.8
2016-12-13,115.5
2016-12-14,110.85
2016-12-15,111.1
2016-12-16,109.8
2016-12-19,107.25
2016-12-20,105.2
2016-12-21,104.9
2016-12-22,102.0
2016-12-23,104.1
2016-12-26,102.2
2016-12-27,103.8
2016-12-28,105.4
2016-12-29,105.85
2016-12-30,107.7
