Date,AMBUJACEM
2016-01-01,205.65
2016-01-04,202.15
2016-01-05,204.0
2016-01-06,203.05
2016-01-07,197.6
2016-01-08,198.35
2016-01-11,197.95
2016-01-12,195.2
2016-01-13,197.95
2016-01-14,197.95
2016-01-15,193.9
2016-01-18,191.1
2016-01-19,191.35
2016-01-20,186.95
2016-01-21,192.1
2016-01-22,193.0
2016-01-25,196.95
2016-01-27,191.9
2016-01-28,193.2
2016-01-29,195.35
2016-02-01,199.95
2016-02-02,196.6
2016-02-03,191.9
2016-02-04,195.65
2016-02-05,195.5
2016-02-08,197.15
2016-02-09,197.65
2016-02-10,195.6
2016-02-11,193.35
2016-02-12,194.65
2016-02-15,198.0
2016-02-16,194.0
2016-02-17,193.4
2016-02-18,195.35
2016-02-19,194.95
2016-02-22,196.0
2016-02-23,193.6
2016-02-24,191.4
2016-02-25,188.8
2016-02-26,189.0
2016-02-29,187.95
2016-03-01,190.4
2016-03-02,195.65
2016-03-03,199.65
2016-03-04,202.4
2016-03-08,201.65
2016-03-09,204.35
2016-03-10,201.5
2016-03-11,200.7
2016-03-14,203.7
2016-03-15,204.9
2016-03-16,206.2
2016-03-17,218.15
2016-03-18,222.05
2016-03-21,231.95
2016-03-22,229.85
2016-03-23,228.25
2016-03-28,229.7
2016-03-29,230.9
2016-03-30,231.4
2016-03-31,232.55
2016-04-01,235.35
2016-04-04,231.2
2016-04-05,226.1
2016-04-06,229.05
2016-04-07,226.45
2016-04-08,225.75
2016-04-11,224.55
2016-04-12,223.75
2016-04-13,231.1
2016-04-18,228.6
2016-04-20,226.25
2016-04-21,221.15
2016-04-22,220.9
2016-04-25,223.35
2016-04-26,224.45
2016-04-27,225.3
2016-04-28,219.85
2016-04-29,221.0
2016-05-02,223.8
2016-05-03,218.6
2016-05-04,214.9
2016-05-05,215.85
2016-05-06,219.95
2016-05-09,220.3
2016-05-10,220.4
2016-05-11,220.55
2016-05-12,221.0
2016-05-13,217.25
2016-05-16,217.25
2016-05-17,216.9
2016-05-18,216.65
2016-05-19,213.65
2016-05-20,208.85
2016-05-23,212.6
2016-05-24,215.45
2016-05-25,222.4
2016-05-26,224.6
2016-05-27,230.25
2016-05-30,229.15
2016-05-31,228.4
2016-06-01,231.35
2016-06-02,229.75
2016-06-03,228.65
2016-06-06,228.9
2016-06-07,234.25
2016-06-08,238.2
2016-06-09,231.9
2016-06-10,235.3
2016-06-13,237.35
2016-06-14,233.9
2016-06-15,238.6
2016-06-16,234.5
2016-06-17,235.9
2016-06-20,242.0
2016-06-21,240.2
2016-06-22,242.85
2016-06-23,249.9
2016-06-24,248.1
2016-06-27,254.4
2016-06-28,251.9
2016-06-29,255.9
2016-06-30,254.8
2016-07-01,252.95
2016-07-04,253.15
2016-07-05,253.55
2016-07-07,256.95
2016-07-08,258.1
2016-07-11,260.65
2016-07-12,260.8
2016-07-13,260.6
2016-07-14,262.65
2016-07-15,260.85
2016-07-18,259.95
2016-07-19,262.7
2016-07-20,262.0
2016-07-21,265.9
2016-07-22,265.05
2016-07-25,269.0
2016-07-26,269.8
2016-07-27,268.0
2016-07-28,271.55
2016-07-29,271.25
2016-08-01,271.0
2016-08-02,263.85
2016-08-03,262.5
2016-08-04,264.4
2016-08-05,275.9
2016-08-08,276.5
2016-08-09,270.5
2016-08-10,260.45
2016-08-11,259.7
2016-08-12,264.5
2016-08-16,269.65
2016-08-17,269.75
2016-08-18,272.1
2016-08-19,276.45
2016-08-22,271.3
2016-08-23,271.0
2016-08-24,267.1
2016-08-25,265.0
2016-08-26,266.15
2016-08-29,264.2
2016-08-30,275.05
2016-08-31,277.95
2016-09-01,277.0
2016-09-02,276.35
2016-09-06,277.4
2016-09-07,274.0
2016-09-08,275.95
2016-09-09,272.65
2016-09-12,259.85
2016-09-14,264.05
2016-09-15,260.65
2016-09-16,262.4
2016-09-19,267.1
2016-09-20,267.2
2016-09-21,264.4
2016-09-22,265.55
2016-09-23,259.0
2016-09-26,254.85
2016-09-27,258.15
2016-09-28,260.8
2016-09-29,254.5
2016-09-30,251.75
2016-10-03,258.9
2016-10-04,256.15
2016-10-05,256.15
2016-10-06,252.65
2016-10-07,252.8
2016-10-10,257.0
2016-10-13,252.55
2016-10-14,252.95
2016-10-17,246.4
2016-10-18,251.1
2016-10-19,251.15
2016-10-20,253.05
2016-10-21,247.0
2016-10-24,247.4
2016-10-25,248.35
2016-10-26,248.65
2016-10-27,243.35
2016-10-28,241.4
2016-10-30,240.2
2016-11-01,244.5
2016-11-02,240.6
2016-11-03,243.1
2016-11-04,240.85
2016-11-07,241.7
2016-11-08,244.65
2016-11-09,230.8
2016-11-10,230.95
2016-11-11,219.55
2016-11-15,208.55
2016-11-16,202.25
2016-11-17,194.05
2016-11-18,198.8
2016-11-21,193.6
2016-11-22,195.45
2016-11-23,198.05
2016-11-24,201.25
2016-11-25,203.0
2016-11-28,204.2
2016-11-29,205.05
2016-11-30,210.8
2016-12-01,206.9
2016-12-02,205.05
2016-12-05,210.15
2016-12-06,210.6
2016-12-07,209.25
2016-12-08,213.9
2016-12-09,216.05
2016-12-12,208.35
2016-12-13,206.4
2016-12-14,205.25
2016-12-15,201.85
2016-12-16,202.45
2016-12-19,201.15
2016-12-20,205.35
2016-12-21,202.15
2016-12-22,199.95
2016-12-23,200.05
2016-12-26,198.35
2016-12-27,202.9
2016-12-28,201.25
2016-12-29,203.9
2016-12-30,206.3
