Date,IMFA
2016-01-01,149.95
2016-01-04,149.8
2016-01-05,151.75
2016-01-06,148.55
2016-01-07,140.35
2016-01-08,143.95
2016-01-11,140.5
2016-01-12,137.35
2016-01-13,131.6
2016-01-14,129.5
2016-01-15,128.55
2016-01-18,126.0
2016-01-19,123.55
2016-01-20,122.45
2016-01-21,122.15
2016-01-22,124.45
2016-01-25,125.35
2016-01-27,120.45
2016-01-28,115.0
2016-01-29,120.0
2016-02-01,121.55
2016-02-02,120.15
2016-02-03,117.2
2016-02-04,121.0
2016-02-05,117.85
2016-02-08,119.0
2016-02-09,117.7
2016-02-10,115.65
2016-02-11,102.9
2016-02-12,103.55
2016-02-15,112.55
2016-02-16,108.35
2016-02-17,107.85
2016-02-18,106.3
2016-02-19,109.05
2016-02-22,108.4
2016-02-23,111.75
2016-02-24,113.0
2016-02-25,110.7
2016-02-26,108.6
2016-02-29,109.3
2016-03-01,111.7
2016-03-02,113.5
2016-03-03,123.75
2016-03-04,119.6
2016-03-08,122.85
2016-03-09,120.4
2016-03-10,124.05
2016-03-11,121.0
2016-03-14,116.8
2016-03-15,118.25
2016-03-16,115.25
2016-03-17,117.55
2016-03-18,117.8
2016-03-21,120.2
2016-03-22,117.25
2016-03-23,116.3
2016-03-28,113.5
2016-03-29,113.55
2016-03-30,112.2
2016-03-31,110.6
2016-04-01,111.95
2016-04-04,111.1
2016-04-05,112.0
2016-04-06,111.75
2016-04-07,111.3
2016-04-08,111.9
2016-04-11,112.0
2016-04-12,114.7
2016-04-13,127.35
2016-04-18,122.8
2016-04-20,142.2
2016-04-21,137.6
2016-04-22,138.55
2016-04-25,142.7
2016-04-26,142.3
2016-04-27,139.65
2016-04-28,135.5
2016-04-29,132.95
2016-05-02,130.05
2016-05-03,132.25
2016-05-04,128.0
2016-05-05,127.6
2016-05-06,128.95
2016-05-09,132.5
2016-05-10,131.7
2016-05-11,128.45
2016-05-12,130.0
2016-05-13,129.35
2016-05-16,131.55
2016-05-17,123.95
2016-05-18,118.3
2016-05-19,116.6
2016-05-20,114.8
2016-05-23,119.6
2016-05-24,119.0
2016-05-25,120.05
2016-05-26,121.25
2016-05-27,122.55
2016-05-30,121.9
2016-05-31,123.0
2016-06-01,123.3
2016-06-02,123.5
2016-06-03,122.9
2016-06-06,124.75
2016-06-07,129.9
2016-06-08,129.65
2016-06-09,135.0
2016-06-10,137.75
2016-06-13,137.95
2016-06-14,139.75
2016-06-15,140.05
2016-06-16,135.15
2016-06-17,134.25
2016-06-20,140.05
2016-06-21,140.0
2016-06-22,138.8
2016-06-23,141.25
2016-06-24,136.6
2016-06-27,136.8
2016-06-28,148.4
2016-06-29,150.3
2016-06-30,146.8
2016-07-01,153.2
2016-07-04,154.4
2016-07-05,153.55
2016-07-07,150.15
2016-07-08,147.1
2016-07-11,147.35
2016-07-12,147.15
2016-07-13,142.95
2016-07-14,140.05
2016-07-15,137.55
2016-07-18,139.35
2016-07-19,136.95
2016-07-20,144.75
2016-07-21,143.1
2016-07-22,139.5
2016-07-25,139.7
2016-07-26,137.95
2016-07-27,151.2
2016-07-28,152.25
2016-07-29,148.25
2016-08-01,152.45
2016-08-02,151.95
2016-08-03,150.7
2016-08-04,150.0
2016-08-05,151.0
2016-08-08,159.15
2016-08-09,162.5
2016-08-10,162.15
2016-08-11,161.1
2016-08-12,159.2
2016-08-16,156.4
2016-08-17,155.65
2016-08-18,158.65
2016-08-19,162.45
2016-08-22,162.4
2016-08-23,166.7
2016-08-24,172.55
2016-08-25,166.7
2016-08-26,164.2
2016-08-29,163.3
2016-08-30,163.1
2016-08-31,163.95
2016-09-01,162.95
2016-09-02,162.95
2016-09-06,166.1
2016-09-07,169.2
2016-09-08,170.0
2016-09-09,193.9
2016-09-12,188.0
2016-09-14,186.65
2016-09-15,185.95
2016-09-16,183.6
2016-09-19,193.2
2016-09-20,185.8
2016-09-21,180.25
2016-09-22,185.3
2016-09-23,203.6
2016-09-26,215.1
2016-09-27,237.85
2016-09-28,235.35
2016-09-29,209.4
2016-09-30,225.1
2016-10-03,239.0
2016-10-04,256.35
2016-10-05,256.45
2016-10-06,252.85
2016-10-07,245.8
2016-10-10,249.6
2016-10-13,235.9
2016-10-14,245.75
2016-10-17,272.65
2016-10-18,279.35
2016-10-19,286.05
2016-10-20,297.15
2016-10-21,313.4
2016-10-24,369.4
2016-10-25,362.75
2016-10-26,380.25
2016-10-27,397.35
2016-10-28,395.55
2016-10-30,395.65
2016-11-01,435.2
2016-11-02,438.0
2016-11-03,437.9
2016-11-04,399.5
2016-11-07,439.45
2016-11-08,431.55
2016-11-09,430.55
2016-11-10,446.7
2016-11-11,414.7
2016-11-15,382.8
2016-11-16,367.9
2016-11-17,361.55
2016-11-18,347.95
2016-11-21,330.6
2016-11-22,328.3
2016-11-23,344.7
2016-11-24,361.9
2016-11-25,379.95
2016-11-28,398.9
2016-11-29,418.8
2016-11-30,439.7
2016-12-01,441.9
2016-12-02,434.1
2016-12-05,455.8
2016-12-06,478.55
2016-12-07,488.95
2016-12-08,494.1
2016-12-09,493.5
2016-12-12,496.15
2016-12-13,487.0
2016-12-14,488.5
2016-12-15,490.9
2016-12-16,512.85
2016-12-19,538.45
2016-12-20,565.35
2016-12-21,593.6
2016-12-22,565.9
2016-12-23,558.1
2016-12-26,536.6
2016-12-27,560.5
2016-12-28,573.35
2016-12-29,591.7
2016-12-30,620.55
