Date,NCLIND
2016-01-01,165.0
2016-01-04,157.45
2016-01-05,158.75
2016-01-06,156.85
2016-01-07,151.25
2016-01-08,155.55
2016-01-11,155.1
2016-01-12,153.15
2016-01-13,142.25
2016-01-14,132.35
2016-01-15,120.1
2016-01-18,120.25
2016-01-19,127.5
2016-01-20,122.05
2016-01-21,127.8
2016-01-22,137.5
2016-01-25,139.6
2016-01-27,144.55
2016-01-28,147.55
2016-01-29,133.0
2016-02-01,107.25
2016-02-02,102.9
2016-02-03,104.35
2016-02-04,100.5
2016-02-05,104.45
2016-02-08,101.1
2016-02-09,98.95
2016-02-10,97.4
2016-02-11,89.5
2016-02-12,86.4
2016-02-15,89.05
2016-02-16,84.9
2016-02-17,89.1
2016-02-18,97.5
2016-02-19,96.4
2016-02-22,99.35
2016-02-23,93.9
2016-02-24,92.5
2016-02-25,89.55
2016-02-26,90.1
2016-02-29,87.4
2016-03-01,93.45
2016-03-02,92.95
2016-03-03,91.65
2016-03-04,96.25
2016-03-08,93.1
2016-03-09,91.3
2016-03-10,90.1
2016-03-11,88.7
2016-03-14,87.8
2016-03-15,86.9
2016-03-16,89.0
2016-03-17,91.25
2016-03-18,93.15
2016-03-21,98.3
2016-03-22,98.0
2016-03-23,100.0
2016-03-28,95.6
2016-03-29,96.15
2016-03-30,94.3
2016-03-31,93.8
2016-04-01,96.15
2016-04-04,96.6
2016-04-05,94.65
2016-04-06,103.1
2016-04-07,103.65
2016-04-08,117.15
2016-04-11,119.8
2016-04-12,118.45
2016-04-13,117.2
2016-04-18,119.55
2016-04-20,116.35
2016-04-21,115.75
2016-04-22,118.05
2016-04-25,117.2
2016-04-26,116.2
2016-04-27,119.75
2016-04-28,116.7
2016-04-29,116.35
2016-05-02,114.7
2016-05-03,117.25
2016-05-04,115.4
2016-05-05,115.85
2016-05-06,112.85
2016-05-09,114.05
2016-05-10,114.15
2016-05-11,114.3
2016-05-12,115.15
2016-05-13,113.8
2016-05-16,120.8
2016-05-17,121.45
2016-05-18,123.0
2016-05-19,125.75
2016-05-20,124.4
2016-05-23,125.4
2016-05-24,119.75
2016-05-25,123.65
2016-05-26,121.65
2016-05-27,122.55
2016-05-30,121.0
2016-05-31,116.75
2016-06-01,117.05
2016-06-02,115.95
2016-06-03,115.35
2016-06-06,110.15
2016-06-07,112.65
2016-06-08,122.35
2016-06-09,124.55
2016-06-10,123.2
2016-06-13,132.15
2016-06-14,130.9
2016-06-15,132.75
2016-06-16,132.75
2016-06-17,133.65
2016-06-20,133.05
2016-06-21,133.15
2016-06-22,131.15
2016-06-23,130.15
2016-06-24,126.6
2016-06-27,131.1
2016-06-28,140.3
2016-06-29,138.8
2016-06-30,140.35
2016-07-01,139.8
2016-07-04,143.25
2016-07-05,143.45
2016-07-07,140.65
2016-07-08,138.95
2016-07-11,139.25
2016-07-12,138.45
2016-07-13,135.95
2016-07-14,138.2
2016-07-15,135.85
2016-07-18,135.75
2016-07-19,135.9
2016-07-20,137.5
2016-07-21,139.3
2016-07-22,140.25
2016-07-25,140.85
2016-07-26,137.55
2016-07-27,137.6
2016-07-28,135.05
2016-07-29,134.95
2016-08-01,114.65
2016-08-02,116.3
2016-08-03,112.7
2016-08-04,109.4
2016-08-05,115.8
2016-08-08,119.0
2016-08-09,116.6
2016-08-10,114.3
2016-08-11,114.25
2016-08-12,113.55
2016-08-16,113.7
2016-08-17,113.85
2016-08-18,113.75
2016-08-19,120.25
2016-08-22,116.55
2016-08-23,119.65
2016-08-24,123.7
2016-08-25,130.95
2016-08-26,127.85
2016-08-29,128.05
2016-08-30,131.95
2016-08-31,129.65
2016-09-01,126.95
2016-09-02,128.7
2016-09-06,129.75
2016-09-07,127.55
2016-09-08,129.55
2016-09-09,127.2
2016-09-12,120.55
2016-09-14,120.9
2016-09-15,121.65
2016-09-16,120.1
2016-09-19,120.95
2016-09-20,123.65
2016-09-21,123.25
2016-09-22,123.4
2016-09-23,125.45
2016-09-26,120.8
2016-09-27,121.75
2016-09-28,122.55
2016-09-29,119.9
2016-09-30,122.15
2016-10-03,131.4
2016-10-04,139.8
2016-10-05,140.2
2016-10-06,145.65
2016-10-07,146.05
2016-10-10,146.05
2016-10-13,143.15
2016-10-14,149.9
2016-10-17,145.3
2016-10-18,145.4
2016-10-19,145.6
2016-10-20,150.25
2016-10-21,147.6
2016-10-24,147.5
2016-10-25,145.7
2016-10-26,144.75
2016-10-27,146.85
2016-10-28,146.0
2016-10-30,146.0
2016-11-01,144.65
2016-11-02,140.95
2016-11-03,140.5
2016-11-04,135.15
2016-11-07,138.6
2016-11-08,136.5
2016-11-09,132.55
2016-11-10,131.05
2016-11-11,125.75
2016-11-15,107.0
2016-11-16,108.6
2016-11-17,101.7
2016-11-18,107.6
2016-11-21,105.75
2016-11-22,113.0
2016-11-23,113.75
2016-11-24,114.2
2016-11-25,118.7
2016-11-28,116.5
2016-11-29,119.75
2016-11-30,124.1
2016-12-01,116.35
2016-12-02,113.1
2016-12-05,112.7
2016-12-06,114.35
2016-12-07,118.15
2016-12-08,115.65
2016-12-09,115.4
2016-12-12,113.45
2016-12-13,114.2
2016-12-14,112.8
2016-12-15,112.15
2016-12-16,111.6
2016-12-19,112.6
2016-12-20,111.5
2016-12-21,110.15
2016-12-22,110.65
2016-12-23,111.7
2016-12-26,112.15
2016-12-27,112.2
2016-12-28,113.5
2016-12-29,113.35
2016-12-30,113.9
