Date,LICNETFGSC
2016-01-01,14.53
2016-01-04,14.55
2016-01-05,14.56
2016-01-06,14.5
2016-01-07,14.51
2016-01-08,14.59
2016-01-11,14.6
2016-01-12,14.59
2016-01-13,14.51
2016-01-14,14.48
2016-01-15,14.55
2016-01-18,14.52
2016-01-19,14.55
2016-01-20,14.58
2016-01-21,14.63
2016-01-22,14.65
2016-01-25,14.61
2016-01-27,14.67
2016-01-28,14.6
2016-01-29,14.54
2016-02-01,14.63
2016-02-02,14.63
2016-02-03,14.54
2016-02-04,14.48
2016-02-05,14.57
2016-02-08,14.6
2016-02-09,14.55
2016-02-10,14.6
2016-02-11,14.62
2016-02-12,14.59
2016-02-15,14.59
2016-02-17,14.47
2016-02-18,14.45
2016-02-22,14.53
2016-02-24,14.5
2016-02-25,14.49
2016-02-26,14.39
2016-02-29,14.59
2016-03-01,14.66
2016-03-02,14.7
2016-03-04,14.69
2016-03-08,14.73
2016-03-09,14.67
2016-03-11,14.6
2016-03-14,14.75
2016-03-16,14.65
2016-03-17,14.64
2016-03-18,14.85
2016-03-21,14.92
2016-03-22,14.75
2016-03-23,14.85
2016-03-28,14.95
2016-03-29,14.82
2016-03-30,14.8
2016-03-31,14.9
2016-04-01,15.03
2016-04-04,15.0
2016-04-05,14.9
2016-04-06,14.99
2016-04-07,15.0
2016-04-08,14.98
2016-04-11,15.02
2016-04-12,14.99
2016-04-13,15.05
2016-04-18,15.04
2016-04-20,14.98
2016-04-21,15.03
2016-04-22,14.96
2016-04-25,15.04
2016-04-26,15.04
2016-04-27,14.96
2016-04-28,14.96
2016-04-29,15.07
2016-05-02,15.09
2016-05-03,15.09
2016-05-04,15.08
2016-05-05,15.1
2016-05-06,15.1
2016-05-09,15.1
2016-05-10,15.1
2016-05-11,15.1
2016-05-12,15.1
2016-05-13,15.1
2016-05-16,15.09
2016-05-17,15.03
2016-05-18,15.5
2016-05-19,15.11
2016-05-20,15.12
2016-05-23,15.13
2016-05-24,15.13
2016-05-25,15.13
2016-05-26,15.13
2016-05-27,15.12
2016-05-30,15.1
2016-05-31,15.17
2016-06-01,15.17
2016-06-02,15.11
2016-06-03,15.1
2016-06-06,15.17
2016-06-07,15.18
2016-06-08,15.17
2016-06-09,15.17
2016-06-10,15.12
2016-06-13,15.17
2016-06-14,15.13
2016-06-15,15.17
2016-06-17,15.19
2016-06-20,15.17
2016-06-21,15.21
2016-06-22,15.21
2016-06-23,15.13
2016-06-24,15.24
2016-06-27,15.26
2016-06-28,15.29
2016-06-29,15.29
2016-06-30,15.31
2016-07-01,15.31
2016-07-04,15.35
2016-07-05,15.36
2016-07-07,15.4
2016-07-08,15.42
2016-07-11,15.41
2016-07-12,15.53
2016-07-13,15.59
2016-07-14,15.61
2016-07-15,15.5
2016-07-18,15.51
2016-07-19,15.61
2016-07-20,15.57
2016-07-21,15.6
2016-07-22,15.6
2016-07-25,15.63
2016-07-26,15.64
2016-07-27,15.61
2016-07-28,15.6
2016-07-29,15.72
2016-08-01,15.8
2016-08-02,15.78
2016-08-03,15.72
2016-08-04,15.78
2016-08-05,15.8
2016-08-08,15.8
2016-08-09,15.83
2016-08-10,15.9
2016-08-11,16.0
2016-08-12,16.0
2016-08-16,15.95
2016-08-17,15.9
2016-08-18,15.97
2016-08-19,15.94
2016-08-22,15.81
2016-08-23,15.85
2016-08-24,15.94
2016-08-25,15.98
2016-08-26,15.98
2016-08-30,16.02
2016-08-31,16.1
2016-09-01,16.08
2016-09-02,16.07
2016-09-06,15.97
2016-09-07,16.0
2016-09-08,16.15
2016-09-09,16.0
2016-09-12,15.84
2016-09-14,15.99
2016-09-15,16.05
2016-09-16,16.11
2016-09-19,16.15
2016-09-20,16.09
2016-09-21,16.15
2016-09-22,16.0
2016-09-23,16.37
2016-09-26,16.44
2016-09-27,16.28
2016-09-28,16.3
2016-09-29,16.2
2016-09-30,16.2
2016-10-03,16.21
2016-10-04,16.2
2016-10-05,16.3
2016-10-06,16.19
2016-10-07,16.35
2016-10-10,16.34
2016-10-13,16.25
2016-10-14,16.37
2016-10-17,16.3
2016-10-18,16.35
2016-10-19,16.4
2016-10-20,16.42
2016-10-21,16.42
2016-10-24,16.41
2016-10-25,16.18
2016-10-26,16.25
2016-10-27,16.38
2016-10-28,16.35
2016-10-30,16.41
2016-11-01,16.39
2016-11-02,16.39
2016-11-03,16.38
2016-11-04,16.39
2016-11-07,16.25
2016-11-08,16.38
2016-11-09,16.6
2016-11-10,16.59
2016-11-11,16.8
2016-11-15,16.61
2016-11-16,16.75
2016-11-17,16.75
2016-11-18,16.75
2016-11-21,16.5
2016-11-22,16.9
2016-11-23,16.95
2016-11-24,16.99
2016-11-25,17.0
2016-11-28,16.95
2016-11-29,16.99
2016-11-30,16.93
2016-12-01,17.14
2016-12-02,17.09
2016-12-05,17.03
2016-12-06,17.0
2016-12-07,17.04
2016-12-08,16.74
2016-12-09,16.87
2016-12-12,16.93
2016-12-13,16.93
2016-12-14,17.05
2016-12-15,17.03
2016-12-16,16.97
2016-12-19,16.98
2016-12-20,16.47
2016-12-21,16.9
2016-12-22,16.9
2016-12-23,16.9
2016-12-26,16.8
2016-12-27,17.0
2016-12-28,17.0
2016-12-30,16.35
