Date,SALORAINTL
2016-01-01,62.9
2016-01-04,58.05
2016-01-05,62.3
2016-01-06,60.0
2016-01-07,55.95
2016-01-08,57.95
2016-01-11,56.25
2016-01-12,55.65
2016-01-13,52.6
2016-01-14,50.45
2016-01-15,49.9
2016-01-18,47.8
2016-01-20,46.1
2016-01-21,48.15
2016-01-22,48.3
2016-01-25,49.0
2016-01-27,46.95
2016-01-28,51.55
2016-01-29,52.0
2016-02-01,51.15
2016-02-02,52.5
2016-02-03,48.5
2016-02-08,46.3
2016-02-09,45.75
2016-02-10,45.9
2016-02-11,40.8
2016-02-12,41.5
2016-02-15,42.8
2016-02-16,43.0
2016-02-17,43.65
2016-02-18,42.0
2016-02-19,40.0
2016-02-22,44.45
2016-02-23,42.65
2016-02-24,42.15
2016-02-25,41.9
2016-02-29,40.55
2016-03-01,42.95
2016-03-02,42.0
2016-03-03,43.0
2016-03-04,43.0
2016-03-08,42.1
2016-03-09,43.1
2016-03-10,43.0
2016-03-11,44.85
2016-03-14,43.55
2016-03-15,43.85
2016-03-16,44.95
2016-03-17,43.5
2016-03-18,44.0
2016-03-21,48.25
2016-03-22,46.7
2016-03-23,44.7
2016-03-28,42.7
2016-03-29,43.0
2016-03-30,42.1
2016-03-31,40.4
2016-04-01,43.75
2016-04-04,42.8
2016-04-06,44.1
2016-04-07,43.0
2016-04-08,41.2
2016-04-11,42.65
2016-04-12,43.65
2016-04-13,46.1
2016-04-18,46.95
2016-04-20,47.55
2016-04-21,46.2
2016-04-22,49.55
2016-04-25,48.5
2016-04-26,48.05
2016-04-27,51.05
2016-04-28,49.2
2016-04-29,49.25
2016-05-02,51.85
2016-05-03,50.8
2016-05-04,47.9
2016-05-05,48.35
2016-05-06,48.9
2016-05-09,49.3
2016-05-10,49.0
2016-05-11,49.0
2016-05-12,48.6
2016-05-13,47.2
2016-05-16,46.0
2016-05-17,47.0
2016-05-18,47.2
2016-05-20,45.5
2016-05-23,43.85
2016-05-25,45.25
2016-05-27,43.35
2016-05-30,43.15
2016-05-31,42.95
2016-06-06,41.8
2016-06-07,41.15
2016-06-08,40.95
2016-06-09,41.2
2016-06-10,41.9
2016-06-13,41.05
2016-06-14,42.3
2016-06-15,42.65
2016-06-16,44.95
2016-06-17,44.6
2016-06-20,44.0
2016-06-21,46.15
2016-06-22,44.0
2016-06-23,43.8
2016-06-24,43.85
2016-06-27,43.5
2016-06-28,44.55
2016-06-29,42.75
2016-06-30,44.0
2016-07-01,43.25
2016-07-04,44.0
2016-07-05,45.0
2016-07-07,44.95
2016-07-08,43.3
2016-07-11,45.75
2016-07-12,44.2
2016-07-13,43.5
2016-07-14,43.75
2016-07-15,42.5
2016-07-18,41.5
2016-07-19,43.2
2016-07-20,44.7
2016-07-21,44.4
2016-07-22,43.55
2016-07-25,42.4
2016-07-26,42.6
2016-07-27,42.55
2016-07-28,43.9
2016-07-29,42.9
2016-08-01,43.0
2016-08-02,43.8
2016-08-03,42.4
2016-08-04,43.25
2016-08-05,43.8
2016-08-08,44.2
2016-08-09,43.9
2016-08-10,44.1
2016-08-11,42.5
2016-08-16,42.5
2016-08-17,41.65
2016-08-18,42.2
2016-08-19,43.0
2016-08-22,42.0
2016-08-23,42.7
2016-08-24,42.95
2016-08-25,43.0
2016-08-26,43.4
2016-08-29,43.8
2016-08-30,45.0
2016-08-31,45.8
2016-09-01,44.8
2016-09-02,44.3
2016-09-06,44.0
2016-09-07,43.55
2016-09-08,43.6
2016-09-09,43.1
2016-09-12,43.55
2016-09-14,43.2
2016-09-15,44.3
2016-09-16,46.1
2016-09-19,47.5
2016-09-20,57.0
2016-09-21,52.8
2016-09-22,51.9
2016-09-23,51.15
2016-09-26,52.5
2016-09-27,52.6
2016-09-28,51.85
2016-09-29,48.5
2016-09-30,50.5
2016-10-03,51.35
2016-10-04,51.0
2016-10-05,53.1
2016-10-06,52.3
2016-10-07,52.0
2016-10-10,53.75
2016-10-13,51.5
2016-10-14,53.3
2016-10-17,52.05
2016-10-18,60.3
2016-10-19,59.55
2016-10-20,62.85
2016-10-21,59.6
2016-10-24,60.7
2016-10-25,59.5
2016-10-26,62.5
2016-10-27,59.7
2016-10-28,59.9
2016-10-30,60.0
2016-11-01,60.75
2016-11-02,58.75
2016-11-03,58.8
2016-11-04,54.7
2016-11-07,57.0
2016-11-08,56.05
2016-11-09,54.6
2016-11-10,57.6
2016-11-11,53.2
2016-11-15,50.0
2016-11-16,49.45
2016-11-17,49.9
2016-11-18,49.85
2016-11-21,46.2
2016-11-22,47.0
2016-11-23,47.8
2016-11-25,50.85
2016-11-28,55.65
2016-11-29,66.75
2016-11-30,73.4
2016-12-01,69.95
2016-12-02,64.15
2016-12-05,63.95
2016-12-06,63.45
2016-12-07,63.1
2016-12-08,64.85
2016-12-09,65.0
2016-12-12,64.75
2016-12-13,62.7
2016-12-14,61.85
2016-12-15,61.6
2016-12-16,60.0
2016-12-19,58.0
2016-12-20,59.7
2016-12-21,58.6
2016-12-22,57.5
2016-12-23,57.35
2016-12-26,53.4
2016-12-27,54.55
2016-12-28,55.05
2016-12-29,56.95
2016-12-30,56.75
