Date,GINNIFILA
2016-01-01,25.95
2016-01-04,25.9
2016-01-05,26.95
2016-01-06,26.4
2016-01-07,24.15
2016-01-08,24.45
2016-01-11,24.6
2016-01-12,23.35
2016-01-13,23.35
2016-01-14,22.55
2016-01-15,21.1
2016-01-18,19.05
2016-01-19,18.9
2016-01-20,18.0
2016-01-21,17.1
2016-01-22,17.75
2016-01-25,17.5
2016-01-27,17.7
2016-01-28,17.75
2016-01-29,17.15
2016-02-01,16.55
2016-02-02,17.15
2016-02-03,16.55
2016-02-04,16.55
2016-02-05,18.0
2016-02-08,18.1
2016-02-09,17.4
2016-02-10,16.15
2016-02-11,15.05
2016-02-12,14.8
2016-02-15,15.8
2016-02-16,15.2
2016-02-17,14.7
2016-02-18,15.1
2016-02-19,14.8
2016-02-22,15.25
2016-02-23,15.0
2016-02-24,14.3
2016-02-25,14.2
2016-02-26,14.2
2016-02-29,13.95
2016-03-01,14.45
2016-03-02,15.85
2016-03-03,16.95
2016-03-04,16.8
2016-03-08,16.65
2016-03-09,16.75
2016-03-10,16.55
2016-03-11,16.5
2016-03-14,16.35
2016-03-15,16.05
2016-03-16,15.6
2016-03-17,15.65
2016-03-18,15.5
2016-03-21,16.05
2016-03-22,15.95
2016-03-23,15.8
2016-03-28,15.0
2016-03-29,14.9
2016-03-30,15.7
2016-03-31,15.25
2016-04-01,18.3
2016-04-04,21.95
2016-04-05,22.1
2016-04-06,22.55
2016-04-07,21.5
2016-04-08,20.65
2016-04-11,21.15
2016-04-12,21.05
2016-04-13,20.9
2016-04-18,21.2
2016-04-20,21.25
2016-04-21,21.85
2016-04-22,22.1
2016-04-25,22.35
2016-04-26,24.25
2016-04-27,24.15
2016-04-28,23.85
2016-04-29,23.75
2016-05-02,23.35
2016-05-03,23.0
2016-05-04,22.05
2016-05-05,21.45
2016-05-06,21.2
2016-05-09,21.45
2016-05-10,21.9
2016-05-11,21.6
2016-05-12,22.35
2016-05-13,23.2
2016-05-16,22.7
2016-05-17,22.35
2016-05-18,22.1
2016-05-19,21.65
2016-05-20,21.35
2016-05-23,20.9
2016-05-24,20.45
2016-05-25,20.45
2016-05-26,20.9
2016-05-27,21.3
2016-05-30,21.15
2016-05-31,20.8
2016-06-01,20.25
2016-06-02,20.85
2016-06-03,20.8
2016-06-06,20.9
2016-06-07,20.55
2016-06-08,22.05
2016-06-09,21.7
2016-06-10,21.7
2016-06-13,20.55
2016-06-14,21.0
2016-06-15,21.5
2016-06-16,21.15
2016-06-17,20.75
2016-06-20,20.85
2016-06-21,24.8
2016-06-22,22.75
2016-06-23,22.9
2016-06-24,22.25
2016-06-27,24.25
2016-06-28,25.7
2016-06-29,28.45
2016-06-30,27.6
2016-07-01,28.55
2016-07-04,31.05
2016-07-05,30.3
2016-07-07,29.3
2016-07-08,28.5
2016-07-11,31.0
2016-07-12,29.95
2016-07-13,29.1
2016-07-14,29.25
2016-07-15,28.45
2016-07-18,28.05
2016-07-19,28.45
2016-07-20,29.1
2016-07-21,28.55
2016-07-22,28.25
2016-07-25,28.2
2016-07-26,27.85
2016-07-27,27.3
2016-07-28,26.45
2016-07-29,26.95
2016-08-01,27.0
2016-08-02,26.4
2016-08-03,25.8
2016-08-04,25.55
2016-08-05,25.8
2016-08-08,25.0
2016-08-09,23.95
2016-08-10,22.4
2016-08-11,22.9
2016-08-12,22.85
2016-08-16,22.4
2016-08-17,22.9
2016-08-18,23.2
2016-08-19,23.1
2016-08-22,23.0
2016-08-23,22.9
2016-08-24,22.2
2016-08-25,23.85
2016-08-26,23.3
2016-08-29,22.85
2016-08-30,22.65
2016-08-31,22.75
2016-09-01,22.4
2016-09-02,22.45
2016-09-06,22.5
2016-09-07,22.35
2016-09-08,23.55
2016-09-09,23.0
2016-09-12,22.05
2016-09-14,22.15
2016-09-15,22.2
2016-09-16,22.8
2016-09-19,23.0
2016-09-20,22.75
2016-09-21,22.15
2016-09-22,22.15
2016-09-23,22.75
2016-09-26,22.55
2016-09-27,22.45
2016-09-28,23.0
2016-09-29,21.55
2016-09-30,22.35
2016-10-03,22.9
2016-10-04,23.1
2016-10-05,22.85
2016-10-06,22.6
2016-10-07,22.75
2016-10-10,23.05
2016-10-13,22.6
2016-10-14,22.9
2016-10-17,23.2
2016-10-18,25.55
2016-10-19,24.9
2016-10-20,24.45
2016-10-21,25.25
2016-10-24,25.6
2016-10-25,25.05
2016-10-26,24.55
2016-10-27,24.05
2016-10-28,24.0
2016-10-30,24.25
2016-11-01,24.55
2016-11-02,23.8
2016-11-03,23.15
2016-11-04,22.15
2016-11-07,22.75
2016-11-08,22.4
2016-11-09,21.65
2016-11-10,22.05
2016-11-11,21.8
2016-11-15,20.15
2016-11-16,20.15
2016-11-17,19.85
2016-11-18,19.6
2016-11-21,18.75
2016-11-22,19.1
2016-11-23,19.65
2016-11-24,19.65
2016-11-25,20.0
2016-11-28,20.25
2016-11-29,20.7
2016-11-30,20.8
2016-12-01,20.45
2016-12-02,20.25
2016-12-05,20.1
2016-12-06,20.6
2016-12-07,20.75
2016-12-08,21.0
2016-12-09,20.95
2016-12-12,20.95
2016-12-13,21.15
2016-12-14,21.15
2016-12-15,20.8
2016-12-16,20.7
2016-12-19,20.65
2016-12-20,20.6
2016-12-21,20.5
2016-12-22,19.9
2016-12-23,19.7
2016-12-26,19.35
2016-12-27,19.55
2016-12-28,19.75
2016-12-29,20.0
2016-12-30,20.05
