Date,GOKEX
2016-01-01,65.5
2016-01-04,64.95
2016-01-05,65.9
2016-01-06,69.5
2016-01-07,66.3
2016-01-08,67.05
2016-01-11,66.8
2016-01-12,64.9
2016-01-13,61.1
2016-01-14,59.45
2016-01-15,58.15
2016-01-18,54.85
2016-01-19,53.8
2016-01-20,50.8
2016-01-21,49.15
2016-01-22,50.9
2016-01-25,51.35
2016-01-27,51.15
2016-01-28,50.25
2016-01-29,52.05
2016-02-01,52.2
2016-02-02,50.2
2016-02-03,48.25
2016-02-04,47.8
2016-02-05,48.7
2016-02-08,49.3
2016-02-09,47.8
2016-02-10,46.65
2016-02-11,43.0
2016-02-12,42.35
2016-02-15,50.8
2016-02-16,52.55
2016-02-17,52.25
2016-02-18,59.5
2016-02-19,63.9
2016-02-22,61.5
2016-02-23,58.5
2016-02-24,58.9
2016-02-25,58.5
2016-02-26,60.05
2016-02-29,57.75
2016-03-01,59.3
2016-03-02,60.05
2016-03-03,64.05
2016-03-04,61.5
2016-03-08,59.9
2016-03-09,59.55
2016-03-10,58.3
2016-03-11,59.65
2016-03-14,59.4
2016-03-15,59.9
2016-03-16,64.75
2016-03-17,62.85
2016-03-18,63.25
2016-03-21,64.15
2016-03-22,64.6
2016-03-23,64.05
2016-03-28,61.55
2016-03-29,61.05
2016-03-30,62.2
2016-03-31,61.9
2016-04-01,65.8
2016-04-04,65.65
2016-04-05,64.0
2016-04-06,65.15
2016-04-07,63.65
2016-04-08,70.55
2016-04-11,71.85
2016-04-12,75.85
2016-04-13,74.45
2016-04-18,73.0
2016-04-20,72.7
2016-04-21,71.4
2016-04-22,72.0
2016-04-25,72.4
2016-04-26,75.55
2016-04-27,76.7
2016-04-28,73.45
2016-04-29,75.35
2016-05-02,76.45
2016-05-03,74.5
2016-05-04,72.8
2016-05-05,71.75
2016-05-06,72.5
2016-05-09,75.45
2016-05-10,73.5
2016-05-11,72.55
2016-05-12,72.4
2016-05-13,70.6
2016-05-16,71.05
2016-05-17,72.75
2016-05-18,71.85
2016-05-19,70.2
2016-05-20,69.35
2016-05-23,67.4
2016-05-24,67.0
2016-05-25,68.1
2016-05-26,70.0
2016-05-27,72.55
2016-05-30,71.85
2016-05-31,86.2
2016-06-01,102.45
2016-06-02,109.1
2016-06-03,110.85
2016-06-06,121.9
2016-06-07,128.2
2016-06-08,128.1
2016-06-09,127.25
2016-06-10,128.1
2016-06-13,115.3
2016-06-14,115.4
2016-06-15,115.35
2016-06-16,114.55
2016-06-17,112.8
2016-06-20,110.5
2016-06-21,116.75
2016-06-22,111.7
2016-06-23,110.7
2016-06-24,110.1
2016-06-27,114.3
2016-06-28,112.4
2016-06-29,112.95
2016-06-30,112.25
2016-07-01,110.9
2016-07-04,114.3
2016-07-05,111.95
2016-07-07,112.4
2016-07-08,110.0
2016-07-11,109.2
2016-07-12,107.2
2016-07-13,103.5
2016-07-14,108.05
2016-07-15,104.2
2016-07-18,101.2
2016-07-19,113.5
2016-07-20,110.85
2016-07-21,104.4
2016-07-22,105.35
2016-07-25,103.5
2016-07-26,105.85
2016-07-27,107.85
2016-07-28,109.85
2016-07-29,107.65
2016-08-01,105.35
2016-08-02,108.55
2016-08-03,105.05
2016-08-04,104.05
2016-08-05,105.8
2016-08-08,106.5
2016-08-09,106.4
2016-08-10,85.15
2016-08-11,78.85
2016-08-12,81.05
2016-08-16,76.55
2016-08-17,76.5
2016-08-18,81.35
2016-08-19,80.65
2016-08-22,78.15
2016-08-23,77.3
2016-08-24,77.9
2016-08-25,76.0
2016-08-26,75.85
2016-08-29,73.4
2016-08-30,76.15
2016-08-31,74.75
2016-09-01,74.2
2016-09-02,73.9
2016-09-06,74.15
2016-09-07,73.4
2016-09-08,72.95
2016-09-09,73.15
2016-09-12,69.4
2016-09-14,69.1
2016-09-15,71.75
2016-09-16,73.8
2016-09-19,72.35
2016-09-20,71.65
2016-09-21,85.55
2016-09-22,86.8
2016-09-23,85.3
2016-09-26,82.85
2016-09-27,85.4
2016-09-28,83.95
2016-09-29,74.35
2016-09-30,76.55
2016-10-03,80.45
2016-10-04,81.1
2016-10-05,84.25
2016-10-06,83.6
2016-10-07,84.5
2016-10-10,83.4
2016-10-13,80.05
2016-10-14,83.6
2016-10-17,81.9
2016-10-18,83.65
2016-10-19,83.3
2016-10-20,83.0
2016-10-21,85.0
2016-10-24,89.05
2016-10-25,86.55
2016-10-26,86.5
2016-10-27,84.95
2016-10-28,68.5
2016-10-30,70.55
2016-11-01,68.5
2016-11-02,68.95
2016-11-03,68.25
2016-11-04,64.85
2016-11-07,64.4
2016-11-08,63.1
2016-11-09,60.05
2016-11-10,60.3
2016-11-11,57.05
2016-11-15,53.1
2016-11-16,52.6
2016-11-17,52.15
2016-11-18,52.5
2016-11-21,49.95
2016-11-22,49.6
2016-11-23,50.45
2016-11-24,54.75
2016-11-25,58.1
2016-11-28,57.85
2016-11-29,57.55
2016-11-30,57.2
2016-12-01,57.2
2016-12-02,54.9
2016-12-05,56.15
2016-12-06,55.75
2016-12-07,56.45
2016-12-08,60.05
2016-12-09,62.65
2016-12-12,62.2
2016-12-13,62.75
2016-12-14,60.7
2016-12-15,61.35
2016-12-16,60.9
2016-12-19,60.2
2016-12-20,59.4
2016-12-21,58.65
2016-12-22,58.2
2016-12-23,58.0
2016-12-26,56.4
2016-12-27,57.0
2016-12-28,58.75
2016-12-29,60.05
2016-12-30,62.05
