Date,ASHOKA
2016-01-01,199.9
2016-01-04,194.4
2016-01-05,189.05
2016-01-06,189.4
2016-01-07,186.6
2016-01-08,195.1
2016-01-11,189.65
2016-01-12,188.1
2016-01-13,181.9
2016-01-14,185.1
2016-01-15,185.25
2016-01-18,174.1
2016-01-19,175.6
2016-01-20,169.6
2016-01-21,175.85
2016-01-22,180.5
2016-01-25,192.8
2016-01-27,190.5
2016-01-28,191.2
2016-01-29,193.2
2016-02-01,190.55
2016-02-02,190.75
2016-02-03,184.2
2016-02-04,187.3
2016-02-05,190.15
2016-02-08,187.55
2016-02-09,187.15
2016-02-10,185.4
2016-02-11,175.45
2016-02-12,170.9
2016-02-15,184.05
2016-02-16,177.0
2016-02-17,174.9
2016-02-18,179.25
2016-02-19,181.1
2016-02-22,183.6
2016-02-23,180.5
2016-02-24,178.35
2016-02-25,179.6
2016-02-26,179.75
2016-02-29,176.4
2016-03-01,183.75
2016-03-02,186.75
2016-03-03,185.2
2016-03-04,185.55
2016-03-08,184.05
2016-03-09,186.05
2016-03-10,186.55
2016-03-11,186.1
2016-03-14,186.35
2016-03-15,181.85
2016-03-16,178.55
2016-03-17,181.0
2016-03-18,180.85
2016-03-21,184.55
2016-03-22,187.0
2016-03-23,182.6
2016-03-28,173.65
2016-03-29,169.6
2016-03-30,173.65
2016-03-31,170.9
2016-04-01,171.1
2016-04-04,173.5
2016-04-05,169.6
2016-04-06,135.7
2016-04-07,141.0
2016-04-08,146.65
2016-04-11,150.35
2016-04-12,148.35
2016-04-13,141.0
2016-04-18,146.75
2016-04-20,146.15
2016-04-21,144.95
2016-04-22,143.6
2016-04-25,142.25
2016-04-26,140.15
2016-04-27,140.6
2016-04-28,137.85
2016-04-29,136.2
2016-05-02,141.95
2016-05-03,137.55
2016-05-04,136.0
2016-05-05,134.25
2016-05-06,133.25
2016-05-09,135.55
2016-05-10,137.15
2016-05-11,136.65
2016-05-12,139.15
2016-05-13,141.95
2016-05-16,140.15
2016-05-17,138.85
2016-05-18,139.45
2016-05-19,137.8
2016-05-20,138.4
2016-05-23,136.35
2016-05-24,137.6
2016-05-25,138.9
2016-05-26,139.35
2016-05-27,139.05
2016-05-30,136.25
2016-05-31,138.25
2016-06-01,135.95
2016-06-02,132.35
2016-06-03,131.9
2016-06-06,132.5
2016-06-07,127.4
2016-06-08,131.5
2016-06-09,131.95
2016-06-10,130.8
2016-06-13,129.05
2016-06-14,132.7
2016-06-15,136.1
2016-06-16,134.55
2016-06-17,135.4
2016-06-20,136.6
2016-06-21,140.2
2016-06-22,147.65
2016-06-23,146.05
2016-06-24,139.2
2016-06-27,144.75
2016-06-28,145.05
2016-06-29,152.15
2016-06-30,158.75
2016-07-01,169.9
2016-07-04,164.45
2016-07-05,166.75
2016-07-07,168.2
2016-07-08,162.1
2016-07-11,165.15
2016-07-12,165.65
2016-07-13,162.05
2016-07-14,159.8
2016-07-15,158.8
2016-07-18,162.75
2016-07-19,169.15
2016-07-20,170.6
2016-07-21,165.55
2016-07-22,167.7
2016-07-25,162.7
2016-07-26,163.15
2016-07-27,160.3
2016-07-28,160.3
2016-07-29,158.4
2016-08-01,158.35
2016-08-02,152.55
2016-08-03,154.55
2016-08-04,155.5
2016-08-05,155.4
2016-08-08,157.8
2016-08-09,156.2
2016-08-10,160.15
2016-08-11,155.75
2016-08-12,154.6
2016-08-16,151.75
2016-08-17,150.75
2016-08-18,150.9
2016-08-19,150.4
2016-08-22,148.2
2016-08-23,148.3
2016-08-24,153.45
2016-08-25,154.05
2016-08-26,154.9
2016-08-29,155.75
2016-08-30,156.1
2016-08-31,159.15
2016-09-01,157.85
2016-09-02,158.8
2016-09-06,163.5
2016-09-07,164.75
2016-09-08,172.25
2016-09-09,171.75
2016-09-12,163.7
2016-09-14,164.1
2016-09-15,168.0
2016-09-16,168.1
2016-09-19,169.45
2016-09-20,167.15
2016-09-21,168.2
2016-09-22,173.35
2016-09-23,173.75
2016-09-26,175.1
2016-09-27,170.5
2016-09-28,171.8
2016-09-29,168.1
2016-09-30,170.45
2016-10-03,175.4
2016-10-04,173.4
2016-10-05,172.3
2016-10-06,176.3
2016-10-07,173.45
2016-10-10,170.9
2016-10-13,166.0
2016-10-14,167.0
2016-10-17,162.5
2016-10-18,165.15
2016-10-19,165.2
2016-10-20,166.5
2016-10-21,165.25
2016-10-24,164.85
2016-10-25,167.15
2016-10-26,161.95
2016-10-27,161.05
2016-10-28,161.15
2016-10-30,162.9
2016-11-01,167.05
2016-11-02,160.6
2016-11-03,161.35
2016-11-04,157.2
2016-11-07,159.75
2016-11-08,156.7
2016-11-09,156.6
2016-11-10,161.8
2016-11-11,159.5
2016-11-15,151.5
2016-11-16,152.8
2016-11-17,150.2
2016-11-18,150.0
2016-11-21,144.25
2016-11-22,143.7
2016-11-23,141.05
2016-11-24,139.4
2016-11-25,137.65
2016-11-28,138.3
2016-11-29,140.8
2016-11-30,146.5
2016-12-01,143.25
2016-12-02,142.55
2016-12-05,144.3
2016-12-06,146.9
2016-12-07,150.55
2016-12-08,150.85
2016-12-09,150.4
2016-12-12,153.3
2016-12-13,153.4
2016-12-14,152.1
2016-12-15,154.9
2016-12-16,157.4
2016-12-19,157.6
2016-12-20,158.45
2016-12-21,157.7
2016-12-22,155.15
2016-12-23,155.0
2016-12-26,155.05
2016-12-27,153.95
2016-12-28,154.75
2016-12-29,158.95
2016-12-30,158.1
