Date,MAGNUM
2016-01-01,3.8
2016-01-04,3.9
2016-01-05,4.0
2016-01-06,4.1
2016-01-07,4.0
2016-01-08,3.9
2016-01-11,3.75
2016-01-12,3.8
2016-01-13,3.7
2016-01-14,3.6
2016-01-15,3.45
2016-01-18,3.5
2016-01-19,3.35
2016-01-25,3.2
2016-01-27,3.3
2016-01-28,3.45
2016-01-29,3.6
2016-02-01,3.75
2016-02-02,3.7
2016-02-05,3.55
2016-02-08,3.6
2016-02-09,3.6
2016-02-12,3.45
2016-02-18,3.3
2016-02-19,3.3
2016-02-23,3.25
2016-02-25,3.1
2016-02-26,2.95
2016-02-29,3.0
2016-03-01,2.85
2016-03-02,2.75
2016-03-03,2.85
2016-03-10,2.95
2016-03-11,3.05
2016-03-14,3.05
2016-03-15,3.05
2016-03-16,3.05
2016-03-18,3.15
2016-03-21,3.0
2016-03-22,3.0
2016-03-23,2.85
2016-03-28,2.75
2016-03-29,2.75
2016-03-30,2.85
2016-03-31,2.95
2016-04-01,3.05
2016-04-04,3.1
2016-04-05,3.1
2016-04-06,3.0
2016-04-07,2.95
2016-04-08,3.0
2016-04-11,3.15
2016-04-12,3.0
2016-04-13,3.0
2016-04-18,2.9
2016-04-20,3.0
2016-04-21,3.0
2016-04-22,3.15
2016-04-25,3.15
2016-04-26,3.0
2016-04-27,3.05
2016-04-28,3.05
2016-04-29,3.15
2016-05-02,3.0
2016-05-03,3.0
2016-05-04,2.95
2016-05-09,2.85
2016-05-10,2.95
2016-05-11,2.85
2016-05-12,2.95
2016-05-13,2.85
2016-05-16,2.85
2016-05-17,2.9
2016-05-18,2.95
2016-05-19,3.0
2016-05-20,3.0
2016-05-23,3.0
2016-05-24,2.85
2016-05-25,2.75
2016-05-26,2.7
2016-05-27,2.65
2016-05-30,2.75
2016-05-31,2.65
2016-06-01,2.6
2016-06-02,2.5
2016-06-03,2.55
2016-06-06,2.65
2016-06-07,2.6
2016-06-08,2.65
2016-06-09,2.6
2016-06-10,2.6
2016-06-13,2.5
2016-06-14,2.5
2016-06-15,2.6
2016-06-16,2.7
2016-06-17,2.8
2016-06-20,2.9
2016-06-21,3.0
2016-06-22,2.95
2016-06-23,2.95
2016-06-24,3.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,2.95
2016-06-30,3.0
2016-07-01,3.25
2016-07-04,3.05
2016-07-05,3.15
2016-07-07,3.15
2016-07-08,3.05
2016-07-11,2.9
2016-07-12,2.9
2016-07-13,3.0
2016-07-14,3.15
2016-07-15,3.45
2016-07-18,3.2
2016-07-19,3.1
2016-07-20,2.95
2016-07-21,2.85
2016-07-22,2.9
2016-07-25,2.9
2016-07-26,3.1
2016-07-27,2.95
2016-07-28,2.95
2016-07-29,3.0
2016-08-01,2.8
2016-08-02,2.8
2016-08-03,2.85
2016-08-04,2.85
2016-08-05,2.9
2016-08-08,2.75
2016-08-09,2.85
2016-08-10,2.75
2016-08-11,2.9
2016-08-12,2.85
2016-08-16,2.9
2016-08-17,2.6
2016-08-18,2.75
2016-08-19,2.85
2016-08-22,2.75
2016-08-23,2.8
2016-08-24,3.1
2016-08-25,3.1
2016-08-26,2.95
2016-08-29,3.0
2016-08-30,3.0
2016-08-31,3.0
2016-09-01,2.85
2016-09-02,2.85
2016-09-06,3.0
2016-09-07,3.0
2016-09-08,2.95
2016-09-09,3.1
2016-09-12,3.15
2016-09-14,2.9
2016-09-15,2.9
2016-09-16,2.95
2016-09-20,2.85
2016-09-21,2.85
2016-09-22,3.05
2016-09-23,2.9
2016-09-26,2.95
2016-09-27,3.0
2016-09-28,2.95
2016-09-29,3.0
2016-09-30,2.85
2016-10-03,3.05
2016-10-04,2.9
2016-10-05,2.75
2016-10-06,2.95
2016-10-07,2.9
2016-10-10,3.35
2016-10-13,3.35
2016-10-14,3.2
2016-10-17,3.8
2016-10-18,4.55
2016-10-19,5.0
2016-10-20,5.5
2016-10-21,5.5
2016-10-24,5.25
2016-10-25,5.0
2016-10-26,4.65
2016-10-27,4.25
2016-10-28,4.2
2016-10-30,4.05
2016-11-01,4.05
2016-11-02,4.25
2016-11-03,4.45
2016-11-04,4.4
2016-11-07,4.25
2016-11-08,4.45
2016-11-09,4.25
2016-11-10,4.25
2016-11-11,4.05
2016-11-15,4.0
2016-11-16,4.2
2016-11-17,4.0
2016-11-18,3.85
2016-11-21,3.75
2016-11-22,3.7
2016-11-23,3.6
2016-11-24,3.5
2016-11-25,3.5
2016-11-28,3.65
2016-11-29,3.65
2016-11-30,3.8
2016-12-01,3.9
2016-12-02,4.25
2016-12-05,4.3
2016-12-06,4.2
2016-12-07,4.05
2016-12-08,4.15
2016-12-09,4.3
2016-12-12,4.25
2016-12-13,3.85
2016-12-14,3.85
2016-12-15,4.0
2016-12-16,4.0
2016-12-19,4.15
2016-12-20,3.9
2016-12-21,3.85
2016-12-22,3.7
2016-12-23,4.0
2016-12-26,3.75
2016-12-27,3.9
2016-12-28,4.0
2016-12-29,3.85
2016-12-30,3.95
