Date,PFS
2016-01-01,40.8
2016-01-04,39.7
2016-01-05,40.3
2016-01-06,40.35
2016-01-07,38.95
2016-01-08,39.75
2016-01-11,39.0
2016-01-12,38.7
2016-01-13,38.1
2016-01-14,37.15
2016-01-15,35.55
2016-01-18,33.45
2016-01-19,34.4
2016-01-20,33.25
2016-01-21,33.3
2016-01-22,33.95
2016-01-25,35.25
2016-01-27,35.25
2016-01-28,34.25
2016-01-29,34.65
2016-02-01,36.15
2016-02-02,36.0
2016-02-03,35.1
2016-02-04,33.95
2016-02-05,34.15
2016-02-08,35.7
2016-02-09,36.45
2016-02-10,33.9
2016-02-11,32.1
2016-02-12,29.95
2016-02-15,31.95
2016-02-16,31.6
2016-02-17,31.35
2016-02-18,31.95
2016-02-19,31.85
2016-02-22,31.95
2016-02-23,32.25
2016-02-24,31.8
2016-02-25,32.05
2016-02-26,31.45
2016-02-29,31.5
2016-03-01,32.35
2016-03-02,33.65
2016-03-03,33.7
2016-03-04,34.8
2016-03-08,34.8
2016-03-09,35.75
2016-03-10,35.3
2016-03-11,35.15
2016-03-14,35.8
2016-03-15,35.05
2016-03-16,35.1
2016-03-17,35.2
2016-03-18,36.15
2016-03-21,36.4
2016-03-22,35.5
2016-03-23,34.5
2016-03-28,33.9
2016-03-29,33.5
2016-03-30,34.2
2016-03-31,33.9
2016-04-01,33.85
2016-04-04,35.15
2016-04-05,34.7
2016-04-06,35.4
2016-04-07,35.25
2016-04-08,34.95
2016-04-11,37.3
2016-04-12,37.95
2016-04-13,39.8
2016-04-18,39.7
2016-04-20,40.55
2016-04-21,40.2
2016-04-22,39.75
2016-04-25,39.4
2016-04-26,39.5
2016-04-27,41.0
2016-04-28,39.95
2016-04-29,38.95
2016-05-02,38.3
2016-05-03,38.3
2016-05-04,38.3
2016-05-05,37.85
2016-05-06,38.15
2016-05-09,39.0
2016-05-10,39.4
2016-05-11,39.7
2016-05-12,40.0
2016-05-13,40.4
2016-05-16,39.05
2016-05-17,38.2
2016-05-18,37.9
2016-05-19,37.25
2016-05-20,36.15
2016-05-23,35.75
2016-05-24,35.2
2016-05-25,35.0
2016-05-26,35.25
2016-05-27,35.5
2016-05-30,36.1
2016-05-31,35.85
2016-06-01,36.95
2016-06-02,37.0
2016-06-03,36.8
2016-06-06,36.35
2016-06-07,36.1
2016-06-08,36.45
2016-06-09,36.45
2016-06-10,36.25
2016-06-13,37.05
2016-06-14,37.65
2016-06-15,38.4
2016-06-16,39.05
2016-06-17,38.65
2016-06-20,38.35
2016-06-21,38.0
2016-06-22,37.0
2016-06-23,37.25
2016-06-24,36.3
2016-06-27,36.6
2016-06-28,36.85
2016-06-29,37.7
2016-06-30,37.85
2016-07-01,38.75
2016-07-04,38.85
2016-07-05,40.0
2016-07-07,40.4
2016-07-08,41.6
2016-07-11,41.85
2016-07-12,40.75
2016-07-13,41.8
2016-07-14,41.7
2016-07-15,40.35
2016-07-18,40.15
2016-07-19,40.0
2016-07-20,40.65
2016-07-21,40.0
2016-07-22,40.15
2016-07-25,41.6
2016-07-26,41.25
2016-07-27,41.45
2016-07-28,40.6
2016-07-29,40.35
2016-08-01,40.05
2016-08-02,39.5
2016-08-03,39.15
2016-08-04,39.7
2016-08-05,39.75
2016-08-08,40.4
2016-08-09,41.45
2016-08-10,40.6
2016-08-11,39.95
2016-08-12,39.75
2016-08-16,36.5
2016-08-17,37.4
2016-08-18,37.05
2016-08-19,38.1
2016-08-22,37.65
2016-08-23,36.9
2016-08-24,37.0
2016-08-25,36.1
2016-08-26,35.45
2016-08-29,35.65
2016-08-30,36.6
2016-08-31,37.0
2016-09-01,37.1
2016-09-02,37.2
2016-09-06,37.8
2016-09-07,38.2
2016-09-08,37.45
2016-09-09,38.4
2016-09-12,37.15
2016-09-14,36.85
2016-09-15,36.55
2016-09-16,35.7
2016-09-19,36.65
2016-09-20,37.3
2016-09-21,36.75
2016-09-22,38.95
2016-09-23,38.5
2016-09-26,37.65
2016-09-27,38.3
2016-09-28,39.05
2016-09-29,36.55
2016-09-30,37.45
2016-10-03,38.35
2016-10-04,38.55
2016-10-05,38.9
2016-10-06,38.3
2016-10-07,38.9
2016-10-10,38.7
2016-10-13,38.55
2016-10-14,38.7
2016-10-17,38.55
2016-10-18,38.75
2016-10-19,38.9
2016-10-20,39.6
2016-10-21,39.15
2016-10-24,39.0
2016-10-25,38.7
2016-10-26,38.55
2016-10-27,38.6
2016-10-28,38.8
2016-10-30,39.05
2016-11-01,42.4
2016-11-02,40.95
2016-11-03,39.95
2016-11-04,38.8
2016-11-07,39.15
2016-11-08,38.7
2016-11-09,41.4
2016-11-10,40.95
2016-11-11,39.7
2016-11-15,37.5
2016-11-16,37.05
2016-11-17,37.15
2016-11-18,37.4
2016-11-21,36.35
2016-11-22,35.85
2016-11-23,36.8
2016-11-24,38.3
2016-11-25,38.6
2016-11-28,37.9
2016-11-29,38.2
2016-11-30,39.05
2016-12-01,38.55
2016-12-02,38.0
2016-12-05,38.7
2016-12-06,39.25
2016-12-07,38.65
2016-12-08,38.85
2016-12-09,39.7
2016-12-12,39.1
2016-12-13,39.3
2016-12-14,39.55
2016-12-15,39.05
2016-12-16,38.5
2016-12-19,38.25
2016-12-20,37.7
2016-12-21,38.1
2016-12-22,37.35
2016-12-23,37.2
2016-12-26,36.5
2016-12-27,36.85
2016-12-28,36.75
2016-12-29,37.0
2016-12-30,37.55
