Date,GAL
2016-01-01,31.5
2016-01-04,29.85
2016-01-05,30.5
2016-01-06,28.5
2016-01-07,29.85
2016-01-08,28.3
2016-01-11,28.9
2016-01-12,28.45
2016-01-13,28.1
2016-01-14,29.0
2016-01-15,27.9
2016-01-18,27.65
2016-01-19,28.8
2016-01-20,27.45
2016-01-21,27.9
2016-01-22,29.45
2016-01-25,28.35
2016-01-27,29.45
2016-01-28,28.5
2016-01-29,30.65
2016-02-01,32.3
2016-02-02,32.7
2016-02-03,30.05
2016-02-04,31.2
2016-02-05,31.6
2016-02-08,31.65
2016-02-09,31.9
2016-02-10,32.4
2016-02-11,31.25
2016-02-12,30.25
2016-02-15,31.25
2016-02-16,31.45
2016-02-17,31.65
2016-02-18,32.5
2016-02-19,35.05
2016-02-22,36.9
2016-02-23,33.7
2016-02-24,34.1
2016-02-25,34.35
2016-02-26,31.8
2016-02-29,30.45
2016-03-01,34.3
2016-03-02,34.7
2016-03-03,34.4
2016-03-04,33.85
2016-03-08,34.9
2016-03-09,35.5
2016-03-10,34.7
2016-03-11,34.6
2016-03-14,34.75
2016-03-15,34.7
2016-03-16,35.0
2016-03-17,34.9
2016-03-18,34.95
2016-03-21,34.45
2016-03-22,34.55
2016-03-23,34.65
2016-03-28,33.35
2016-03-29,33.75
2016-03-30,33.5
2016-03-31,33.8
2016-04-01,33.4
2016-04-04,34.0
2016-04-05,33.65
2016-04-06,34.3
2016-04-07,34.4
2016-04-08,34.05
2016-04-11,34.55
2016-04-12,34.2
2016-04-13,41.0
2016-04-18,41.45
2016-04-20,42.1
2016-04-21,41.8
2016-04-22,41.0
2016-04-25,41.4
2016-04-26,47.7
2016-04-27,45.1
2016-04-28,44.4
2016-04-29,44.85
2016-05-02,53.8
2016-05-03,49.3
2016-05-04,48.1
2016-05-05,45.45
2016-05-06,44.2
2016-05-09,45.0
2016-05-10,44.45
2016-05-11,44.3
2016-05-12,44.1
2016-05-13,43.0
2016-05-16,43.05
2016-05-17,42.4
2016-05-18,41.85
2016-05-19,42.3
2016-05-20,40.9
2016-05-23,38.3
2016-05-24,38.8
2016-05-25,46.55
2016-05-26,40.8
2016-05-27,39.55
2016-05-30,38.9
2016-05-31,37.15
2016-06-01,43.85
2016-06-02,42.55
2016-06-03,43.05
2016-06-06,44.3
2016-06-07,49.4
2016-06-08,47.65
2016-06-09,48.2
2016-06-10,46.55
2016-06-13,46.05
2016-06-14,45.55
2016-06-15,44.9
2016-06-16,43.3
2016-06-17,45.0
2016-06-20,43.7
2016-06-21,43.05
2016-06-22,43.45
2016-06-23,42.7
2016-06-24,40.65
2016-06-27,41.65
2016-06-28,44.55
2016-06-29,44.75
2016-06-30,53.7
2016-07-01,55.35
2016-07-04,54.8
2016-07-05,54.0
2016-07-07,64.8
2016-07-08,63.7
2016-07-11,64.2
2016-07-12,62.4
2016-07-13,61.1
2016-07-14,60.2
2016-07-15,57.85
2016-07-18,63.55
2016-07-19,61.3
2016-07-20,63.25
2016-07-21,61.35
2016-07-22,63.65
2016-07-25,62.5
2016-07-26,62.0
2016-07-27,61.05
2016-07-28,60.95
2016-07-29,59.95
2016-08-01,60.85
2016-08-02,62.05
2016-08-03,60.35
2016-08-04,61.7
2016-08-05,63.0
2016-08-08,64.0
2016-08-09,64.2
2016-08-10,64.2
2016-08-11,63.55
2016-08-12,76.2
2016-08-16,72.9
2016-08-17,71.15
2016-08-18,72.05
2016-08-19,72.0
2016-08-22,71.9
2016-08-23,71.4
2016-08-24,69.7
2016-08-25,68.7
2016-08-26,68.85
2016-08-29,70.3
2016-08-30,83.1
2016-08-31,80.0
2016-09-01,74.65
2016-09-02,74.9
2016-09-06,77.95
2016-09-07,77.85
2016-09-08,76.85
2016-09-09,78.45
2016-09-12,75.6
2016-09-14,83.05
2016-09-15,79.8
2016-09-16,95.3
2016-09-19,95.3
2016-09-20,96.7
2016-09-21,95.55
2016-09-22,98.4
2016-09-23,100.05
2016-09-26,100.95
2016-09-27,107.0
2016-09-28,116.8
2016-09-29,102.0
2016-09-30,101.35
2016-10-03,108.15
2016-10-04,114.5
2016-10-05,112.4
2016-10-06,118.15
2016-10-07,117.45
2016-10-10,121.75
2016-10-13,13.4
2016-10-14,13.65
2016-10-17,12.4
2016-10-18,11.7
2016-10-19,13.95
2016-10-20,13.55
2016-10-21,13.45
2016-10-24,13.0
2016-10-25,13.2
2016-10-26,13.4
2016-10-27,13.3
2016-10-28,12.95
2016-10-30,13.9
2016-11-01,12.95
2016-11-02,12.65
2016-11-03,13.0
2016-11-04,13.0
2016-11-07,13.4
2016-11-08,13.75
2016-11-09,11.0
2016-11-10,11.1
2016-11-11,10.25
2016-11-15,9.35
2016-11-16,9.1
2016-11-17,9.15
2016-11-18,9.2
2016-11-21,9.1
2016-11-22,9.2
2016-11-23,9.3
2016-11-24,9.45
2016-11-25,10.35
2016-11-28,10.45
2016-11-29,10.45
2016-11-30,10.9
2016-12-01,11.05
2016-12-02,11.1
2016-12-05,11.75
2016-12-06,11.4
2016-12-07,11.1
2016-12-08,13.3
2016-12-09,13.7
2016-12-12,13.5
2016-12-13,13.85
2016-12-14,13.35
2016-12-15,13.45
2016-12-16,13.45
2016-12-19,13.3
2016-12-20,13.3
2016-12-21,12.55
2016-12-22,11.8
2016-12-23,11.65
2016-12-26,11.25
2016-12-27,11.05
2016-12-28,11.2
2016-12-29,12.15
2016-12-30,11.65
