Date,VISHNU
2016-01-01,417.5
2016-01-04,402.35
2016-01-05,405.6
2016-01-06,396.05
2016-01-07,386.05
2016-01-08,393.4
2016-01-11,394.5
2016-01-12,387.8
2016-01-13,374.75
2016-01-14,371.75
2016-01-15,347.15
2016-01-18,322.55
2016-01-19,323.2
2016-01-20,305.4
2016-01-21,308.05
2016-01-22,316.1
2016-01-25,319.7
2016-01-27,306.55
2016-01-28,301.45
2016-01-29,299.65
2016-02-01,298.55
2016-02-02,297.3
2016-02-03,293.65
2016-02-04,274.6
2016-02-05,279.8
2016-02-08,281.25
2016-02-09,282.5
2016-02-10,268.55
2016-02-11,240.6
2016-02-12,231.9
2016-02-15,243.6
2016-02-16,198.8
2016-02-17,193.5
2016-02-18,193.4
2016-02-19,202.95
2016-02-22,196.2
2016-02-23,186.3
2016-02-24,175.35
2016-02-25,165.6
2016-02-26,165.65
2016-02-29,172.25
2016-03-01,189.45
2016-03-02,208.35
2016-03-03,228.8
2016-03-04,221.35
2016-03-08,213.65
2016-03-09,215.15
2016-03-10,225.05
2016-03-11,220.6
2016-03-14,221.5
2016-03-15,217.55
2016-03-16,214.2
2016-03-17,219.0
2016-03-18,220.15
2016-03-21,222.95
2016-03-22,233.0
2016-03-23,244.65
2016-03-28,256.85
2016-03-29,269.65
2016-03-30,283.1
2016-03-31,297.25
2016-04-01,288.35
2016-04-04,276.5
2016-04-05,267.2
2016-04-06,280.55
2016-04-07,294.55
2016-04-08,285.6
2016-04-11,285.8
2016-04-12,292.15
2016-04-13,289.6
2016-04-18,287.8
2016-04-20,302.15
2016-04-21,296.85
2016-04-22,296.0
2016-04-25,298.0
2016-04-26,302.5
2016-04-27,297.35
2016-04-28,290.95
2016-04-29,298.3
2016-05-02,313.2
2016-05-03,297.55
2016-05-04,282.7
2016-05-05,268.6
2016-05-06,253.9
2016-05-09,254.45
2016-05-10,255.65
2016-05-11,256.3
2016-05-12,259.7
2016-05-13,254.9
2016-05-16,255.8
2016-05-17,250.7
2016-05-18,256.45
2016-05-19,250.75
2016-05-20,246.1
2016-05-23,244.75
2016-05-24,241.85
2016-05-25,245.65
2016-05-26,248.55
2016-05-27,254.1
2016-05-30,254.75
2016-05-31,258.25
2016-06-01,256.9
2016-06-02,257.6
2016-06-03,250.15
2016-06-06,249.9
2016-06-07,254.8
2016-06-08,251.5
2016-06-09,248.55
2016-06-10,246.0
2016-06-13,247.4
2016-06-14,249.9
2016-06-15,262.25
2016-06-16,254.0
2016-06-17,250.75
2016-06-20,250.85
2016-06-21,245.9
2016-06-22,247.6
2016-06-23,245.75
2016-06-24,241.95
2016-06-27,246.05
2016-06-28,245.85
2016-06-29,247.95
2016-06-30,246.0
2016-07-01,246.35
2016-07-04,248.3
2016-07-05,248.95
2016-07-07,247.7
2016-07-08,246.2
2016-07-11,247.85
2016-07-12,244.05
2016-07-13,244.4
2016-07-14,244.0
2016-07-15,243.4
2016-07-18,242.6
2016-07-19,242.1
2016-07-20,244.5
2016-07-21,244.95
2016-07-22,243.85
2016-07-25,275.45
2016-07-26,274.55
2016-07-27,278.1
2016-07-28,294.0
2016-07-29,294.2
2016-08-01,291.3
2016-08-02,283.65
2016-08-03,271.8
2016-08-04,280.7
2016-08-05,276.5
2016-08-08,243.95
2016-08-09,242.7
2016-08-10,241.65
2016-08-11,236.15
2016-08-12,234.5
2016-08-16,229.65
2016-08-17,235.1
2016-08-18,236.3
2016-08-19,232.1
2016-08-22,230.85
2016-08-23,228.1
2016-08-24,230.4
2016-08-25,231.35
2016-08-26,230.55
2016-08-29,224.85
2016-08-30,224.4
2016-08-31,227.2
2016-09-01,249.7
2016-09-02,243.0
2016-09-06,238.5
2016-09-07,241.15
2016-09-08,239.8
2016-09-09,244.05
2016-09-12,233.5
2016-09-14,236.6
2016-09-15,240.65
2016-09-16,237.55
2016-09-19,234.65
2016-09-20,235.25
2016-09-21,232.75
2016-09-22,237.8
2016-09-23,253.6
2016-09-26,253.9
2016-09-27,304.65
2016-09-28,291.45
2016-09-29,273.45
2016-09-30,298.9
2016-10-03,304.7
2016-10-04,302.45
2016-10-05,310.5
2016-10-06,309.25
2016-10-07,307.2
2016-10-10,303.85
2016-10-13,289.15
2016-10-14,290.15
2016-10-17,302.15
2016-10-18,299.6
2016-10-19,298.0
2016-10-20,296.4
2016-10-21,307.2
2016-10-24,303.05
2016-10-25,301.9
2016-10-26,292.8
2016-10-27,291.95
2016-10-28,336.95
2016-10-30,332.8
2016-11-01,329.1
2016-11-02,324.15
2016-11-03,316.8
2016-11-04,300.5
2016-11-07,307.75
2016-11-08,306.1
2016-11-09,294.2
2016-11-10,302.35
2016-11-11,290.5
2016-11-15,278.2
2016-11-16,265.95
2016-11-17,251.35
2016-11-18,247.2
2016-11-21,229.85
2016-11-22,233.1
2016-11-23,235.45
2016-11-24,245.55
2016-11-25,254.8
2016-11-28,254.7
2016-11-29,254.9
2016-11-30,253.55
2016-12-01,253.8
2016-12-02,246.9
2016-12-05,248.9
2016-12-06,250.35
2016-12-07,250.65
2016-12-08,256.95
2016-12-09,262.95
2016-12-12,256.15
2016-12-13,257.2
2016-12-14,262.1
2016-12-15,260.65
2016-12-16,256.15
2016-12-19,254.9
2016-12-20,246.3
2016-12-21,247.35
2016-12-22,239.3
2016-12-23,241.75
2016-12-26,234.85
2016-12-27,238.35
2016-12-28,239.35
2016-12-29,243.45
2016-12-30,239.65
