Date,ORIENTCEM
2016-01-01,147.7
2016-01-04,150.0
2016-01-05,154.5
2016-01-06,149.85
2016-01-07,149.9
2016-01-08,150.0
2016-01-11,146.35
2016-01-12,145.9
2016-01-13,149.9
2016-01-14,146.7
2016-01-15,146.35
2016-01-18,141.55
2016-01-19,142.4
2016-01-20,140.05
2016-01-21,136.8
2016-01-22,143.05
2016-01-25,148.65
2016-01-27,151.25
2016-01-28,146.45
2016-01-29,143.5
2016-02-01,145.0
2016-02-02,142.8
2016-02-03,143.75
2016-02-04,137.7
2016-02-05,137.6
2016-02-08,139.15
2016-02-09,137.1
2016-02-10,139.85
2016-02-11,136.0
2016-02-12,136.7
2016-02-15,135.0
2016-02-16,134.2
2016-02-17,131.55
2016-02-18,132.85
2016-02-19,133.75
2016-02-22,133.45
2016-02-23,134.7
2016-02-24,135.75
2016-02-25,136.4
2016-02-26,136.5
2016-02-29,137.95
2016-03-01,137.7
2016-03-02,137.3
2016-03-03,136.3
2016-03-04,137.5
2016-03-08,137.5
2016-03-09,137.85
2016-03-10,138.15
2016-03-11,139.1
2016-03-14,134.35
2016-03-15,134.5
2016-03-16,136.8
2016-03-17,143.15
2016-03-18,145.15
2016-03-21,151.1
2016-03-22,149.8
2016-03-23,145.7
2016-03-28,146.25
2016-03-29,145.25
2016-03-30,150.45
2016-03-31,152.4
2016-04-01,150.35
2016-04-04,150.9
2016-04-05,147.8
2016-04-06,152.55
2016-04-07,151.75
2016-04-08,153.65
2016-04-11,156.0
2016-04-12,154.7
2016-04-13,155.4
2016-04-18,154.05
2016-04-20,153.1
2016-04-21,155.1
2016-04-22,153.0
2016-04-25,152.75
2016-04-26,153.15
2016-04-27,150.75
2016-04-28,148.2
2016-04-29,147.65
2016-05-02,148.4
2016-05-03,148.45
2016-05-04,144.85
2016-05-05,148.55
2016-05-06,144.95
2016-05-09,147.9
2016-05-10,150.2
2016-05-11,154.25
2016-05-12,154.9
2016-05-13,157.95
2016-05-16,156.1
2016-05-17,156.15
2016-05-18,157.9
2016-05-19,157.9
2016-05-20,155.25
2016-05-23,152.0
2016-05-24,149.25
2016-05-25,149.05
2016-05-26,158.0
2016-05-27,154.75
2016-05-30,160.35
2016-05-31,160.7
2016-06-01,161.65
2016-06-02,165.35
2016-06-03,166.75
2016-06-06,164.7
2016-06-07,163.25
2016-06-08,168.9
2016-06-09,167.6
2016-06-10,168.35
2016-06-13,168.05
2016-06-14,167.15
2016-06-15,165.65
2016-06-16,164.55
2016-06-17,164.65
2016-06-20,163.9
2016-06-21,162.95
2016-06-22,163.05
2016-06-23,162.65
2016-06-24,157.6
2016-06-27,164.65
2016-06-28,175.3
2016-06-29,182.3
2016-06-30,183.4
2016-07-01,181.9
2016-07-04,176.1
2016-07-05,175.2
2016-07-07,178.85
2016-07-08,179.45
2016-07-11,175.4
2016-07-12,181.95
2016-07-13,178.75
2016-07-14,177.95
2016-07-15,177.0
2016-07-18,175.7
2016-07-19,172.3
2016-07-20,173.15
2016-07-21,171.7
2016-07-22,171.5
2016-07-25,169.65
2016-07-26,168.1
2016-07-27,166.65
2016-07-28,171.4
2016-07-29,170.2
2016-08-01,167.6
2016-08-02,165.55
2016-08-03,166.0
2016-08-04,162.9
2016-08-05,167.65
2016-08-08,161.95
2016-08-09,164.7
2016-08-10,160.9
2016-08-11,164.95
2016-08-12,162.05
2016-08-16,164.0
2016-08-17,165.55
2016-08-18,167.0
2016-08-19,168.35
2016-08-22,170.45
2016-08-23,172.55
2016-08-24,173.0
2016-08-25,184.75
2016-08-26,184.75
2016-08-29,181.9
2016-08-30,187.7
2016-08-31,192.35
2016-09-01,195.85
2016-09-02,204.5
2016-09-06,199.95
2016-09-07,193.85
2016-09-08,199.85
2016-09-09,197.8
2016-09-12,194.5
2016-09-14,206.7
2016-09-15,207.55
2016-09-16,204.9
2016-09-19,201.1
2016-09-20,196.05
2016-09-21,195.4
2016-09-22,201.3
2016-09-23,201.15
2016-09-26,200.0
2016-09-27,205.7
2016-09-28,210.65
2016-09-29,207.95
2016-09-30,215.0
2016-10-03,221.4
2016-10-04,225.7
2016-10-05,223.65
2016-10-06,222.05
2016-10-07,207.1
2016-10-10,204.15
2016-10-13,192.5
2016-10-14,188.85
2016-10-17,187.35
2016-10-18,184.3
2016-10-19,181.7
2016-10-20,181.45
2016-10-21,179.65
2016-10-24,179.0
2016-10-25,175.2
2016-10-26,174.8
2016-10-27,167.3
2016-10-28,175.05
2016-10-30,179.4
2016-11-01,173.65
2016-11-02,171.0
2016-11-03,172.7
2016-11-04,170.95
2016-11-07,171.95
2016-11-08,170.9
2016-11-09,162.3
2016-11-10,151.0
2016-11-11,147.85
2016-11-15,139.35
2016-11-16,135.3
2016-11-17,133.5
2016-11-18,133.5
2016-11-21,129.25
2016-11-22,131.8
2016-11-23,130.2
2016-11-24,133.55
2016-11-25,134.45
2016-11-28,132.5
2016-11-29,132.4
2016-11-30,135.85
2016-12-01,132.95
2016-12-02,131.45
2016-12-05,132.0
2016-12-06,129.3
2016-12-07,130.4
2016-12-08,130.95
2016-12-09,134.4
2016-12-12,133.2
2016-12-13,129.4
2016-12-14,127.15
2016-12-15,124.15
2016-12-16,124.2
2016-12-19,124.85
2016-12-20,120.1
2016-12-21,124.5
2016-12-22,118.0
2016-12-23,119.55
2016-12-26,122.4
2016-12-27,128.7
2016-12-28,125.85
2016-12-29,124.75
2016-12-30,122.8
