Date,BALAJITELE
2016-01-01,140.4
2016-01-04,135.15
2016-01-05,136.3
2016-01-06,134.0
2016-01-07,128.8
2016-01-08,134.45
2016-01-11,131.2
2016-01-12,130.7
2016-01-13,127.65
2016-01-14,128.15
2016-01-15,123.4
2016-01-18,113.45
2016-01-19,119.35
2016-01-20,114.85
2016-01-21,113.25
2016-01-22,117.95
2016-01-25,120.4
2016-01-27,116.1
2016-01-28,114.95
2016-01-29,115.65
2016-02-01,123.95
2016-02-02,119.8
2016-02-03,115.1
2016-02-04,111.7
2016-02-05,111.7
2016-02-08,110.85
2016-02-09,111.1
2016-02-10,104.9
2016-02-11,89.55
2016-02-12,94.9
2016-02-15,102.75
2016-02-16,95.5
2016-02-17,96.3
2016-02-18,93.8
2016-02-19,92.2
2016-02-22,96.7
2016-02-23,91.65
2016-02-24,89.55
2016-02-25,91.9
2016-02-26,87.25
2016-02-29,91.35
2016-03-01,97.05
2016-03-02,103.15
2016-03-03,106.8
2016-03-04,106.5
2016-03-08,106.45
2016-03-09,107.75
2016-03-10,107.5
2016-03-11,104.95
2016-03-14,102.65
2016-03-15,104.9
2016-03-16,104.85
2016-03-17,103.6
2016-03-18,104.55
2016-03-21,106.15
2016-03-22,109.8
2016-03-23,109.55
2016-03-28,107.6
2016-03-29,108.8
2016-03-30,109.9
2016-03-31,109.65
2016-04-01,110.65
2016-04-04,113.45
2016-04-05,110.3
2016-04-06,109.9
2016-04-07,115.1
2016-04-08,116.2
2016-04-11,116.95
2016-04-12,117.3
2016-04-13,115.65
2016-04-18,115.15
2016-04-20,115.2
2016-04-21,111.85
2016-04-22,111.85
2016-04-25,108.7
2016-04-26,110.95
2016-04-27,111.8
2016-04-28,107.3
2016-04-29,109.7
2016-05-02,112.55
2016-05-03,109.95
2016-05-04,107.85
2016-05-05,109.4
2016-05-06,109.35
2016-05-09,110.9
2016-05-10,110.8
2016-05-11,108.35
2016-05-12,112.05
2016-05-13,114.15
2016-05-16,115.55
2016-05-17,112.2
2016-05-18,108.9
2016-05-19,107.7
2016-05-20,107.1
2016-05-23,107.25
2016-05-24,107.1
2016-05-25,108.15
2016-05-26,109.85
2016-05-27,108.7
2016-05-30,108.3
2016-05-31,107.9
2016-06-01,108.15
2016-06-02,108.3
2016-06-03,109.25
2016-06-06,109.5
2016-06-07,111.3
2016-06-08,109.05
2016-06-09,109.0
2016-06-10,109.0
2016-06-13,109.2
2016-06-14,112.9
2016-06-15,113.75
2016-06-16,116.25
2016-06-17,115.2
2016-06-20,110.9
2016-06-21,109.3
2016-06-22,109.1
2016-06-23,107.1
2016-06-24,108.15
2016-06-27,107.85
2016-06-28,107.85
2016-06-29,107.15
2016-06-30,106.45
2016-07-01,106.55
2016-07-04,105.3
2016-07-05,103.85
2016-07-07,101.85
2016-07-08,100.75
2016-07-11,100.35
2016-07-12,100.85
2016-07-13,99.15
2016-07-14,98.55
2016-07-15,96.35
2016-07-18,97.7
2016-07-19,94.6
2016-07-20,93.85
2016-07-21,93.9
2016-07-22,91.6
2016-07-25,91.75
2016-07-26,92.05
2016-07-27,95.3
2016-07-28,96.3
2016-07-29,99.45
2016-08-01,96.8
2016-08-02,94.15
2016-08-03,94.6
2016-08-04,94.1
2016-08-05,96.65
2016-08-08,96.45
2016-08-09,94.55
2016-08-10,90.5
2016-08-11,92.25
2016-08-12,93.6
2016-08-16,90.45
2016-08-17,90.0
2016-08-18,89.45
2016-08-19,89.05
2016-08-22,89.4
2016-08-23,89.45
2016-08-24,89.3
2016-08-25,88.85
2016-08-26,86.6
2016-08-29,85.1
2016-08-30,84.95
2016-08-31,84.75
2016-09-01,85.45
2016-09-02,88.7
2016-09-06,88.7
2016-09-07,88.25
2016-09-08,88.2
2016-09-09,85.9
2016-09-12,84.1
2016-09-14,84.85
2016-09-15,88.05
2016-09-16,84.7
2016-09-19,85.8
2016-09-20,85.5
2016-09-21,92.1
2016-09-22,91.15
2016-09-23,91.95
2016-09-26,89.7
2016-09-27,90.45
2016-09-28,99.2
2016-09-29,87.4
2016-09-30,89.95
2016-10-03,95.0
2016-10-04,94.6
2016-10-05,98.75
2016-10-06,94.1
2016-10-07,96.1
2016-10-10,94.95
2016-10-13,92.55
2016-10-14,95.65
2016-10-17,92.25
2016-10-18,95.85
2016-10-19,95.5
2016-10-20,94.2
2016-10-21,93.4
2016-10-24,93.25
2016-10-25,92.8
2016-10-26,93.6
2016-10-27,94.35
2016-10-28,96.0
2016-10-30,94.55
2016-11-01,93.05
2016-11-02,91.75
2016-11-03,89.25
2016-11-04,87.25
2016-11-07,87.7
2016-11-08,88.1
2016-11-09,84.6
2016-11-10,86.8
2016-11-11,84.35
2016-11-15,81.2
2016-11-16,84.3
2016-11-17,84.0
2016-11-18,81.4
2016-11-21,76.35
2016-11-22,75.4
2016-11-23,80.8
2016-11-24,82.7
2016-11-25,83.75
2016-11-28,83.8
2016-11-29,84.5
2016-11-30,84.4
2016-12-01,82.5
2016-12-02,86.7
2016-12-05,86.95
2016-12-06,88.4
2016-12-07,87.55
2016-12-08,87.5
2016-12-09,89.3
2016-12-12,93.15
2016-12-13,92.9
2016-12-14,91.3
2016-12-15,90.85
2016-12-16,90.7
2016-12-19,89.35
2016-12-20,88.6
2016-12-21,86.0
2016-12-22,84.45
2016-12-23,86.55
2016-12-26,84.55
2016-12-27,84.55
2016-12-28,83.4
2016-12-29,84.2
2016-12-30,84.15
