Date,FMNL
2016-01-01,38.7
2016-01-04,36.7
2016-01-05,37.3
2016-01-06,36.4
2016-01-07,34.75
2016-01-08,34.7
2016-01-11,35.45
2016-01-12,34.35
2016-01-13,32.05
2016-01-14,32.1
2016-01-15,30.65
2016-01-18,27.7
2016-01-19,27.3
2016-01-20,28.0
2016-01-21,27.6
2016-01-22,28.9
2016-01-25,30.3
2016-01-27,31.8
2016-01-28,33.35
2016-01-29,33.5
2016-02-01,34.7
2016-02-02,33.65
2016-02-03,32.1
2016-02-04,30.5
2016-02-05,30.85
2016-02-08,30.7
2016-02-09,29.6
2016-02-10,29.9
2016-02-11,28.45
2016-02-12,27.05
2016-02-15,28.3
2016-02-16,27.1
2016-02-17,26.1
2016-02-18,26.2
2016-02-19,25.6
2016-02-22,25.85
2016-02-23,24.9
2016-02-24,23.7
2016-02-25,22.6
2016-02-26,22.45
2016-02-29,22.0
2016-03-01,22.85
2016-03-02,23.95
2016-03-03,25.1
2016-03-04,26.15
2016-03-08,25.65
2016-03-09,26.1
2016-03-10,26.05
2016-03-11,26.1
2016-03-14,25.15
2016-03-15,23.9
2016-03-16,24.65
2016-03-17,25.45
2016-03-18,25.85
2016-03-21,24.8
2016-03-22,24.5
2016-03-23,24.0
2016-03-28,24.1
2016-03-29,24.05
2016-03-30,24.7
2016-03-31,24.65
2016-04-01,24.3
2016-04-04,24.8
2016-04-05,24.1
2016-04-06,23.15
2016-04-07,23.75
2016-04-08,23.35
2016-04-11,23.2
2016-04-12,24.05
2016-04-13,23.95
2016-04-18,23.75
2016-04-20,24.85
2016-04-21,24.75
2016-04-22,24.6
2016-04-25,24.05
2016-04-26,25.0
2016-04-27,25.6
2016-04-28,25.25
2016-04-29,25.6
2016-05-02,25.1
2016-05-03,24.8
2016-05-04,24.5
2016-05-05,24.0
2016-05-06,24.15
2016-05-09,23.65
2016-05-10,23.6
2016-05-11,23.45
2016-05-12,23.8
2016-05-13,24.1
2016-05-16,23.9
2016-05-17,25.8
2016-05-18,26.45
2016-05-19,26.15
2016-05-20,25.3
2016-05-23,25.55
2016-05-24,24.65
2016-05-25,24.5
2016-05-26,24.65
2016-05-27,23.8
2016-05-30,23.45
2016-05-31,22.9
2016-06-01,22.35
2016-06-02,21.05
2016-06-03,21.15
2016-06-06,20.8
2016-06-07,18.35
2016-06-08,18.5
2016-06-09,19.15
2016-06-10,19.45
2016-06-13,19.9
2016-06-14,19.75
2016-06-15,19.6
2016-06-16,19.1
2016-06-17,19.05
2016-06-20,19.5
2016-06-21,22.9
2016-06-22,27.45
2016-06-23,30.15
2016-06-24,27.95
2016-06-27,29.4
2016-06-28,28.35
2016-06-29,31.15
2016-06-30,29.65
2016-07-01,29.65
2016-07-04,29.65
2016-07-05,28.95
2016-07-07,28.75
2016-07-08,28.65
2016-07-11,28.6
2016-07-12,27.4
2016-07-13,28.15
2016-07-14,28.0
2016-07-15,28.0
2016-07-18,27.35
2016-07-19,27.05
2016-07-20,27.1
2016-07-21,27.0
2016-07-22,26.45
2016-07-25,26.15
2016-07-26,25.15
2016-07-27,24.9
2016-07-28,25.95
2016-07-29,25.35
2016-08-01,25.1
2016-08-02,27.6
2016-08-03,28.05
2016-08-04,27.85
2016-08-05,33.4
2016-08-08,36.0
2016-08-09,34.1
2016-08-10,33.2
2016-08-11,32.85
2016-08-12,32.65
2016-08-16,31.9
2016-08-17,31.2
2016-08-18,31.25
2016-08-19,31.35
2016-08-22,32.35
2016-08-23,32.1
2016-08-24,32.4
2016-08-25,32.0
2016-08-26,32.55
2016-08-29,31.85
2016-08-30,31.55
2016-08-31,31.65
2016-09-01,31.55
2016-09-02,32.2
2016-09-06,33.1
2016-09-07,32.05
2016-09-08,32.95
2016-09-09,32.0
2016-09-12,31.6
2016-09-14,30.9
2016-09-15,31.0
2016-09-16,30.25
2016-09-19,30.65
2016-09-20,30.45
2016-09-21,30.8
2016-09-22,31.35
2016-09-23,30.3
2016-09-26,30.1
2016-09-27,31.0
2016-09-28,30.4
2016-09-29,27.95
2016-09-30,28.0
2016-10-03,29.15
2016-10-04,30.05
2016-10-05,29.85
2016-10-06,29.3
2016-10-07,29.8
2016-10-10,29.0
2016-10-13,28.35
2016-10-14,28.85
2016-10-17,27.75
2016-10-18,28.55
2016-10-19,28.95
2016-10-20,29.7
2016-10-21,29.5
2016-10-24,35.4
2016-10-25,36.95
2016-10-26,34.15
2016-10-27,35.1
2016-10-28,34.5
2016-10-30,33.9
2016-11-01,35.3
2016-11-02,36.05
2016-11-03,34.65
2016-11-04,34.45
2016-11-07,34.1
2016-11-08,34.25
2016-11-09,33.7
2016-11-10,34.4
2016-11-11,32.45
2016-11-15,29.9
2016-11-16,30.0
2016-11-17,29.5
2016-11-18,28.85
2016-11-21,28.65
2016-11-22,29.95
2016-11-23,30.9
2016-11-24,31.5
2016-11-25,30.75
2016-11-28,31.9
2016-11-29,31.6
2016-11-30,32.55
2016-12-01,32.0
2016-12-02,32.0
2016-12-05,31.3
2016-12-06,33.1
2016-12-07,34.0
2016-12-08,34.0
2016-12-09,35.95
2016-12-12,34.6
2016-12-13,34.2
2016-12-14,34.0
2016-12-15,34.5
2016-12-16,40.95
2016-12-19,42.15
2016-12-20,39.45
2016-12-21,37.45
2016-12-22,36.2
2016-12-23,36.55
2016-12-26,33.05
2016-12-27,34.25
2016-12-28,36.75
2016-12-29,36.0
2016-12-30,35.55
