Date,IDFCBANK
2016-01-01,60.7
2016-01-04,58.95
2016-01-05,59.0
2016-01-06,57.75
2016-01-07,55.9
2016-01-08,55.1
2016-01-11,53.9
2016-01-12,52.35
2016-01-13,51.3
2016-01-14,48.7
2016-01-15,46.85
2016-01-18,45.05
2016-01-19,45.55
2016-01-20,43.45
2016-01-21,43.45
2016-01-22,46.05
2016-01-25,47.3
2016-01-27,50.6
2016-01-28,50.75
2016-01-29,52.55
2016-02-01,56.75
2016-02-02,54.35
2016-02-03,52.1
2016-02-04,53.45
2016-02-05,54.95
2016-02-08,54.4
2016-02-09,53.6
2016-02-10,53.05
2016-02-11,50.75
2016-02-12,50.4
2016-02-15,54.0
2016-02-16,50.45
2016-02-17,51.4
2016-02-18,50.7
2016-02-19,50.8
2016-02-22,49.55
2016-02-23,48.05
2016-02-24,46.75
2016-02-25,46.75
2016-02-26,47.1
2016-02-29,45.55
2016-03-01,46.85
2016-03-02,48.95
2016-03-03,49.0
2016-03-04,49.65
2016-03-08,49.1
2016-03-09,47.6
2016-03-10,47.3
2016-03-11,47.55
2016-03-14,46.9
2016-03-15,46.3
2016-03-16,45.55
2016-03-17,44.7
2016-03-18,45.2
2016-03-21,47.0
2016-03-22,46.75
2016-03-23,47.35
2016-03-28,46.35
2016-03-29,46.35
2016-03-30,47.3
2016-03-31,48.2
2016-04-01,48.85
2016-04-04,50.45
2016-04-05,50.3
2016-04-06,50.8
2016-04-07,50.35
2016-04-08,52.15
2016-04-11,53.0
2016-04-12,53.6
2016-04-13,54.0
2016-04-18,53.95
2016-04-20,53.8
2016-04-21,54.4
2016-04-22,53.8
2016-04-25,51.9
2016-04-26,52.95
2016-04-27,49.85
2016-04-28,47.4
2016-04-29,47.85
2016-05-02,47.8
2016-05-03,47.15
2016-05-04,46.9
2016-05-05,46.6
2016-05-06,47.6
2016-05-09,47.85
2016-05-10,47.3
2016-05-11,46.4
2016-05-12,46.35
2016-05-13,46.55
2016-05-16,46.8
2016-05-17,47.0
2016-05-18,47.05
2016-05-19,47.2
2016-05-20,47.2
2016-05-23,47.1
2016-05-24,46.95
2016-05-25,47.0
2016-05-26,47.05
2016-05-27,47.7
2016-05-30,48.05
2016-05-31,48.15
2016-06-01,48.05
2016-06-02,47.55
2016-06-03,47.35
2016-06-06,46.1
2016-06-07,46.05
2016-06-08,47.25
2016-06-09,47.35
2016-06-10,47.35
2016-06-13,47.0
2016-06-14,47.2
2016-06-15,47.2
2016-06-16,47.0
2016-06-17,46.9
2016-06-20,46.8
2016-06-21,46.2
2016-06-22,45.95
2016-06-23,45.4
2016-06-24,44.9
2016-06-27,45.05
2016-06-28,44.6
2016-06-29,44.85
2016-06-30,45.2
2016-07-01,45.35
2016-07-04,46.35
2016-07-05,45.95
2016-07-07,47.4
2016-07-08,47.5
2016-07-11,48.05
2016-07-12,52.0
2016-07-13,50.8
2016-07-14,51.8
2016-07-15,51.6
2016-07-18,52.05
2016-07-19,50.65
2016-07-20,51.25
2016-07-21,50.35
2016-07-22,50.3
2016-07-25,50.85
2016-07-26,52.45
2016-07-27,51.05
2016-07-28,50.4
2016-07-29,51.6
2016-08-01,50.6
2016-08-02,50.45
2016-08-03,48.25
2016-08-04,49.0
2016-08-05,50.25
2016-08-08,51.0
2016-08-09,52.3
2016-08-10,52.0
2016-08-11,52.3
2016-08-12,52.8
2016-08-16,52.55
2016-08-17,52.7
2016-08-18,53.0
2016-08-19,53.4
2016-08-22,53.3
2016-08-23,53.6
2016-08-24,53.65
2016-08-25,54.7
2016-08-26,54.3
2016-08-29,54.55
2016-08-30,55.4
2016-08-31,56.05
2016-09-01,59.1
2016-09-02,59.7
2016-09-06,60.05
2016-09-07,60.95
2016-09-08,62.85
2016-09-09,63.8
2016-09-12,63.15
2016-09-14,64.2
2016-09-15,65.2
2016-09-16,66.4
2016-09-19,68.05
2016-09-20,67.8
2016-09-21,68.0
2016-09-22,69.3
2016-09-23,71.8
2016-09-26,73.15
2016-09-27,76.8
2016-09-28,81.1
2016-09-29,78.0
2016-09-30,79.85
2016-10-03,78.85
2016-10-04,78.65
2016-10-05,76.3
2016-10-06,73.5
2016-10-07,73.55
2016-10-10,73.8
2016-10-13,74.2
2016-10-14,75.65
2016-10-17,75.4
2016-10-18,76.75
2016-10-19,77.3
2016-10-20,77.35
2016-10-21,76.4
2016-10-24,78.25
2016-10-25,78.25
2016-10-26,78.05
2016-10-27,77.1
2016-10-28,78.75
2016-10-30,79.55
2016-11-01,78.55
2016-11-02,76.8
2016-11-03,75.3
2016-11-04,72.8
2016-11-07,73.05
2016-11-08,72.3
2016-11-09,71.9
2016-11-10,74.5
2016-11-11,74.2
2016-11-15,72.75
2016-11-16,72.4
2016-11-17,71.75
2016-11-18,71.85
2016-11-21,68.35
2016-11-22,69.25
2016-11-23,69.4
2016-11-24,68.15
2016-11-25,69.85
2016-11-28,70.05
2016-11-29,71.1
2016-11-30,68.45
2016-12-01,68.0
2016-12-02,66.85
2016-12-05,66.15
2016-12-06,66.3
2016-12-07,65.05
2016-12-08,66.5
2016-12-09,67.95
2016-12-12,66.5
2016-12-13,66.25
2016-12-14,64.75
2016-12-15,64.05
2016-12-16,63.7
2016-12-19,62.45
2016-12-20,61.25
2016-12-21,60.65
2016-12-22,59.5
2016-12-23,58.75
2016-12-26,56.2
2016-12-27,61.1
2016-12-28,59.6
2016-12-29,59.3
2016-12-30,60.05
