Date,SUTLEJTEX
2016-01-01,567.1
2016-01-04,560.95
2016-01-05,570.2
2016-01-06,561.45
2016-01-07,535.9
2016-01-08,545.0
2016-01-11,545.3
2016-01-12,545.55
2016-01-13,527.4
2016-01-14,518.45
2016-01-15,500.2
2016-01-18,473.95
2016-01-19,475.15
2016-01-20,460.15
2016-01-21,456.7
2016-01-22,472.2
2016-01-25,481.4
2016-01-27,496.05
2016-01-28,501.65
2016-01-29,503.65
2016-02-01,504.35
2016-02-02,495.2
2016-02-03,477.75
2016-02-04,467.9
2016-02-05,497.0
2016-02-08,484.25
2016-02-09,467.95
2016-02-10,453.65
2016-02-11,447.95
2016-02-12,430.65
2016-02-15,447.65
2016-02-16,420.25
2016-02-17,438.6
2016-02-18,439.05
2016-02-19,441.95
2016-02-22,440.4
2016-02-23,433.15
2016-02-24,424.4
2016-02-25,424.85
2016-02-26,421.4
2016-02-29,420.0
2016-03-01,428.15
2016-03-02,436.25
2016-03-03,449.4
2016-03-04,458.0
2016-03-08,457.0
2016-03-09,461.35
2016-03-10,453.55
2016-03-11,452.0
2016-03-14,448.2
2016-03-15,445.05
2016-03-16,442.85
2016-03-17,446.45
2016-03-18,456.15
2016-03-21,461.0
2016-03-22,469.65
2016-03-23,465.55
2016-03-28,458.95
2016-03-29,455.85
2016-03-30,460.2
2016-03-31,457.1
2016-04-01,465.5
2016-04-04,485.05
2016-04-05,490.9
2016-04-06,490.05
2016-04-07,490.1
2016-04-08,476.0
2016-04-11,494.85
2016-04-12,497.3
2016-04-13,497.35
2016-04-18,504.0
2016-04-20,510.0
2016-04-21,502.5
2016-04-22,495.25
2016-04-25,500.65
2016-04-26,500.2
2016-04-27,498.25
2016-04-28,487.75
2016-04-29,490.05
2016-05-02,487.4
2016-05-03,490.05
2016-05-04,495.15
2016-05-05,498.05
2016-05-06,499.15
2016-05-09,523.2
2016-05-10,520.55
2016-05-11,529.65
2016-05-12,593.5
2016-05-13,577.8
2016-05-16,571.75
2016-05-17,580.55
2016-05-18,580.8
2016-05-19,578.2
2016-05-20,571.65
2016-05-23,568.4
2016-05-24,572.45
2016-05-25,574.75
2016-05-26,577.0
2016-05-27,569.5
2016-05-30,569.6
2016-05-31,567.85
2016-06-01,567.65
2016-06-02,567.8
2016-06-03,578.15
2016-06-06,583.65
2016-06-07,580.4
2016-06-08,571.1
2016-06-09,554.45
2016-06-10,552.95
2016-06-13,569.55
2016-06-14,564.3
2016-06-15,574.6
2016-06-16,582.25
2016-06-17,583.7
2016-06-20,588.45
2016-06-21,638.4
2016-06-22,618.45
2016-06-23,603.55
2016-06-24,611.0
2016-06-27,660.9
2016-06-28,675.65
2016-06-29,673.85
2016-06-30,683.1
2016-07-01,680.25
2016-07-04,680.25
2016-07-05,679.25
2016-07-07,687.7
2016-07-08,694.3
2016-07-11,692.6
2016-07-12,696.7
2016-07-13,692.9
2016-07-14,700.35
2016-07-15,681.7
2016-07-18,671.0
2016-07-19,686.1
2016-07-20,689.5
2016-07-21,678.45
2016-07-22,688.55
2016-07-25,696.05
2016-07-26,685.45
2016-07-27,692.05
2016-07-28,685.05
2016-07-29,681.6
2016-08-01,664.9
2016-08-02,662.25
2016-08-03,655.4
2016-08-04,661.55
2016-08-05,696.1
2016-08-08,718.8
2016-08-09,766.05
2016-08-10,743.1
2016-08-11,753.05
2016-08-12,745.25
2016-08-16,720.8
2016-08-17,744.7
2016-08-18,741.5
2016-08-19,737.3
2016-08-22,732.2
2016-08-23,733.95
2016-08-24,729.95
2016-08-25,728.4
2016-08-26,728.5
2016-08-29,743.8
2016-08-30,742.3
2016-08-31,742.35
2016-09-01,740.4
2016-09-02,730.1
2016-09-06,725.85
2016-09-07,724.1
2016-09-08,732.25
2016-09-09,737.8
2016-09-12,717.65
2016-09-14,714.75
2016-09-15,719.95
2016-09-16,719.25
2016-09-19,710.25
2016-09-20,699.6
2016-09-21,718.25
2016-09-22,716.6
2016-09-23,723.1
2016-09-26,717.6
2016-09-27,712.75
2016-09-28,712.75
2016-09-29,680.1
2016-09-30,697.1
2016-10-03,708.1
2016-10-04,772.6
2016-10-05,786.6
2016-10-06,768.35
2016-10-07,783.85
2016-10-10,793.1
2016-10-13,765.5
2016-10-14,785.55
2016-10-17,777.2
2016-10-18,785.35
2016-10-19,784.1
2016-10-20,787.1
2016-10-21,801.7
2016-10-24,806.65
2016-10-25,804.1
2016-10-26,787.8
2016-10-27,787.65
2016-10-28,787.9
2016-10-30,814.25
2016-11-01,819.65
2016-11-02,814.5
2016-11-03,811.65
2016-11-04,784.45
2016-11-07,803.05
2016-11-08,850.65
2016-11-09,846.35
2016-11-10,854.7
2016-11-11,822.35
2016-11-15,776.95
2016-11-16,770.3
2016-11-17,771.85
2016-11-18,774.25
2016-11-21,752.95
2016-11-22,749.0
2016-11-23,771.4
2016-11-24,775.25
2016-11-25,781.25
2016-11-28,792.8
2016-11-29,788.8
2016-11-30,802.7
2016-12-01,785.5
2016-12-02,775.95
2016-12-05,780.35
2016-12-06,782.6
2016-12-07,784.6
2016-12-08,789.4
2016-12-09,785.6
2016-12-12,785.05
2016-12-13,792.1
2016-12-14,785.2
2016-12-15,788.75
2016-12-16,787.0
2016-12-19,777.55
2016-12-20,796.65
2016-12-21,787.9
2016-12-22,764.05
2016-12-23,771.15
2016-12-26,774.05
2016-12-27,769.45
2016-12-28,786.3
2016-12-29,788.1
2016-12-30,801.85
