Date,AROGRANITE
2016-01-01,60.8
2016-01-04,62.45
2016-01-05,64.05
2016-01-06,65.35
2016-01-07,60.2
2016-01-08,61.9
2016-01-11,62.1
2016-01-12,60.15
2016-01-13,56.6
2016-01-14,57.6
2016-01-15,54.45
2016-01-18,48.25
2016-01-19,50.05
2016-01-20,48.55
2016-01-21,50.6
2016-01-22,50.8
2016-01-25,43.95
2016-01-27,45.55
2016-01-28,44.85
2016-01-29,44.5
2016-02-01,45.4
2016-02-02,44.5
2016-02-03,44.35
2016-02-04,43.8
2016-02-05,44.1
2016-02-08,44.0
2016-02-09,46.1
2016-02-10,44.3
2016-02-11,40.3
2016-02-12,39.35
2016-02-15,42.5
2016-02-16,39.45
2016-02-17,39.15
2016-02-18,39.3
2016-02-19,39.6
2016-02-22,40.9
2016-02-23,39.55
2016-02-24,39.3
2016-02-25,40.0
2016-02-26,38.35
2016-02-29,38.85
2016-03-01,39.7
2016-03-02,39.5
2016-03-03,42.5
2016-03-04,42.5
2016-03-08,43.5
2016-03-09,43.45
2016-03-10,43.05
2016-03-11,41.9
2016-03-14,40.05
2016-03-15,42.6
2016-03-16,43.6
2016-03-17,44.5
2016-03-18,42.4
2016-03-21,44.0
2016-03-22,41.75
2016-03-23,43.3
2016-03-28,41.35
2016-03-29,40.7
2016-03-30,42.4
2016-03-31,41.3
2016-04-01,42.0
2016-04-04,43.4
2016-04-05,41.5
2016-04-06,43.0
2016-04-07,42.05
2016-04-08,43.95
2016-04-11,43.5
2016-04-12,44.5
2016-04-13,44.65
2016-04-18,46.15
2016-04-20,46.9
2016-04-21,45.45
2016-04-22,45.9
2016-04-25,45.35
2016-04-26,44.7
2016-04-27,44.25
2016-04-28,41.85
2016-04-29,42.75
2016-05-02,45.1
2016-05-03,44.85
2016-05-04,45.4
2016-05-05,44.1
2016-05-06,44.0
2016-05-09,44.1
2016-05-10,45.7
2016-05-11,44.2
2016-05-12,44.6
2016-05-13,43.4
2016-05-16,43.6
2016-05-17,44.45
2016-05-18,44.7
2016-05-19,44.5
2016-05-20,43.9
2016-05-23,43.05
2016-05-24,43.15
2016-05-25,43.1
2016-05-26,42.8
2016-05-27,43.95
2016-05-30,43.85
2016-05-31,42.4
2016-06-01,43.0
2016-06-02,43.05
2016-06-03,43.7
2016-06-06,43.95
2016-06-07,45.0
2016-06-08,48.25
2016-06-09,46.0
2016-06-10,45.15
2016-06-13,46.55
2016-06-14,47.2
2016-06-15,46.55
2016-06-16,45.7
2016-06-17,45.9
2016-06-20,46.5
2016-06-21,46.55
2016-06-22,46.0
2016-06-23,47.15
2016-06-24,45.0
2016-06-27,45.7
2016-06-28,47.9
2016-06-29,53.45
2016-06-30,54.9
2016-07-01,52.35
2016-07-04,52.45
2016-07-05,52.6
2016-07-07,56.05
2016-07-08,61.4
2016-07-11,63.1
2016-07-12,61.4
2016-07-13,62.05
2016-07-14,68.8
2016-07-15,67.75
2016-07-18,77.8
2016-07-19,80.5
2016-07-20,80.35
2016-07-21,78.75
2016-07-22,77.05
2016-07-25,73.85
2016-07-26,72.85
2016-07-27,71.65
2016-07-28,74.0
2016-07-29,73.6
2016-08-01,71.2
2016-08-02,71.05
2016-08-03,69.1
2016-08-04,69.3
2016-08-05,72.4
2016-08-08,74.9
2016-08-09,73.9
2016-08-10,70.85
2016-08-11,71.3
2016-08-12,70.8
2016-08-16,68.75
2016-08-17,68.5
2016-08-18,69.95
2016-08-19,69.9
2016-08-22,69.9
2016-08-23,69.0
2016-08-24,68.8
2016-08-25,69.85
2016-08-26,80.7
2016-08-29,78.25
2016-08-30,74.75
2016-08-31,74.95
2016-09-01,73.95
2016-09-02,73.5
2016-09-06,75.6
2016-09-07,75.4
2016-09-08,76.0
2016-09-09,72.8
2016-09-12,70.05
2016-09-14,71.5
2016-09-15,72.1
2016-09-16,71.45
2016-09-19,76.2
2016-09-20,73.55
2016-09-21,75.1
2016-09-22,75.5
2016-09-23,73.25
2016-09-26,72.65
2016-09-27,72.25
2016-09-28,78.7
2016-09-29,70.85
2016-09-30,74.0
2016-10-03,75.1
2016-10-04,74.65
2016-10-05,75.1
2016-10-06,75.4
2016-10-07,74.75
2016-10-10,77.9
2016-10-13,75.6
2016-10-14,75.9
2016-10-17,80.0
2016-10-18,86.8
2016-10-19,89.55
2016-10-20,84.25
2016-10-21,76.55
2016-10-24,78.3
2016-10-25,76.6
2016-10-26,76.1
2016-10-27,74.0
2016-10-28,80.35
2016-10-30,80.0
2016-11-01,77.35
2016-11-02,74.7
2016-11-03,76.05
2016-11-04,73.7
2016-11-07,74.25
2016-11-08,74.05
2016-11-09,72.25
2016-11-10,76.8
2016-11-11,74.0
2016-11-15,68.15
2016-11-16,67.35
2016-11-17,65.1
2016-11-18,65.1
2016-11-21,63.35
2016-11-22,62.95
2016-11-23,63.9
2016-11-24,65.05
2016-11-25,66.4
2016-11-28,68.75
2016-11-29,68.7
2016-11-30,70.0
2016-12-01,70.95
2016-12-02,69.05
2016-12-05,68.6
2016-12-06,68.95
2016-12-07,68.15
2016-12-08,68.55
2016-12-09,68.5
2016-12-12,69.35
2016-12-13,72.85
2016-12-14,70.9
2016-12-15,73.6
2016-12-16,71.95
2016-12-19,70.65
2016-12-20,68.7
2016-12-21,69.25
2016-12-22,68.1
2016-12-23,67.75
2016-12-26,67.65
2016-12-27,67.25
2016-12-28,68.0
2016-12-29,67.85
2016-12-30,68.95
