Date,ORIENTBANK
2016-01-01,144.25
2016-01-04,137.45
2016-01-05,136.6
2016-01-06,134.85
2016-01-07,127.15
2016-01-08,127.75
2016-01-11,122.85
2016-01-12,117.6
2016-01-13,115.9
2016-01-14,112.35
2016-01-15,104.1
2016-01-18,105.3
2016-01-19,107.5
2016-01-20,104.3
2016-01-21,105.2
2016-01-22,109.9
2016-01-25,108.15
2016-01-27,113.65
2016-01-28,112.2
2016-01-29,112.0
2016-02-01,108.75
2016-02-02,105.85
2016-02-03,100.2
2016-02-04,99.9
2016-02-05,105.0
2016-02-08,107.35
2016-02-09,103.35
2016-02-10,95.7
2016-02-11,85.05
2016-02-12,81.9
2016-02-15,86.6
2016-02-16,81.75
2016-02-17,82.4
2016-02-18,81.9
2016-02-19,83.6
2016-02-22,81.95
2016-02-23,80.8
2016-02-24,80.9
2016-02-25,78.2
2016-02-26,78.65
2016-02-29,76.45
2016-03-01,80.1
2016-03-02,85.2
2016-03-03,85.5
2016-03-04,90.55
2016-03-08,90.25
2016-03-09,91.2
2016-03-10,89.45
2016-03-11,87.3
2016-03-14,88.3
2016-03-15,89.85
2016-03-16,89.35
2016-03-17,89.0
2016-03-18,90.9
2016-03-21,92.7
2016-03-22,91.85
2016-03-23,91.35
2016-03-28,88.05
2016-03-29,85.6
2016-03-30,89.05
2016-03-31,91.65
2016-04-01,96.25
2016-04-04,95.45
2016-04-05,89.45
2016-04-06,87.8
2016-04-07,86.0
2016-04-08,86.75
2016-04-11,89.5
2016-04-12,89.6
2016-04-13,92.2
2016-04-18,91.3
2016-04-20,93.55
2016-04-21,97.0
2016-04-22,98.55
2016-04-25,95.75
2016-04-26,96.9
2016-04-27,96.2
2016-04-28,95.0
2016-04-29,91.0
2016-05-02,89.15
2016-05-03,87.0
2016-05-04,84.25
2016-05-05,84.2
2016-05-06,84.75
2016-05-09,87.5
2016-05-10,87.25
2016-05-11,85.05
2016-05-12,84.3
2016-05-13,83.15
2016-05-16,80.8
2016-05-17,82.1
2016-05-18,84.65
2016-05-19,81.3
2016-05-20,78.7
2016-05-23,78.1
2016-05-24,77.5
2016-05-25,80.45
2016-05-26,82.3
2016-05-27,84.35
2016-05-30,83.7
2016-05-31,84.65
2016-06-01,82.05
2016-06-02,82.35
2016-06-03,80.8
2016-06-06,83.05
2016-06-07,84.5
2016-06-08,88.85
2016-06-09,90.75
2016-06-10,90.1
2016-06-13,89.25
2016-06-14,92.8
2016-06-15,92.75
2016-06-16,95.7
2016-06-17,100.0
2016-06-20,102.5
2016-06-21,100.45
2016-06-22,100.9
2016-06-23,102.05
2016-06-24,100.15
2016-06-27,106.3
2016-06-28,106.75
2016-06-29,106.45
2016-06-30,108.05
2016-07-01,110.95
2016-07-04,116.9
2016-07-05,118.3
2016-07-07,121.45
2016-07-08,118.9
2016-07-11,125.95
2016-07-12,123.75
2016-07-13,120.9
2016-07-14,125.1
2016-07-15,122.0
2016-07-18,118.3
2016-07-19,115.8
2016-07-20,115.75
2016-07-21,112.15
2016-07-22,111.1
2016-07-25,115.85
2016-07-26,115.05
2016-07-27,117.15
2016-07-28,117.9
2016-07-29,117.05
2016-08-01,114.4
2016-08-02,115.5
2016-08-03,114.5
2016-08-04,118.15
2016-08-05,122.0
2016-08-08,118.85
2016-08-09,119.4
2016-08-10,113.85
2016-08-11,109.9
2016-08-12,113.75
2016-08-16,114.15
2016-08-17,116.35
2016-08-18,117.3
2016-08-19,118.2
2016-08-22,117.85
2016-08-23,119.35
2016-08-24,120.15
2016-08-25,118.5
2016-08-26,115.45
2016-08-29,114.9
2016-08-30,124.0
2016-08-31,125.65
2016-09-01,122.25
2016-09-02,123.95
2016-09-06,127.75
2016-09-07,131.15
2016-09-08,131.9
2016-09-09,130.45
2016-09-12,122.1
2016-09-14,129.9
2016-09-15,127.3
2016-09-16,125.1
2016-09-19,126.5
2016-09-20,126.7
2016-09-21,125.25
2016-09-22,130.65
2016-09-23,130.8
2016-09-26,130.35
2016-09-27,127.85
2016-09-28,135.4
2016-09-29,122.85
2016-09-30,125.4
2016-10-03,129.85
2016-10-04,132.85
2016-10-05,132.1
2016-10-06,128.95
2016-10-07,129.6
2016-10-10,128.35
2016-10-13,123.6
2016-10-14,123.8
2016-10-17,123.2
2016-10-18,127.1
2016-10-19,126.4
2016-10-20,132.4
2016-10-21,131.8
2016-10-24,137.7
2016-10-25,133.9
2016-10-26,130.2
2016-10-27,130.75
2016-10-28,128.35
2016-10-30,128.65
2016-11-01,127.55
2016-11-02,120.65
2016-11-03,116.2
2016-11-04,113.35
2016-11-07,116.25
2016-11-08,116.05
2016-11-09,115.3
2016-11-10,126.35
2016-11-11,123.55
2016-11-15,122.65
2016-11-16,122.05
2016-11-17,122.6
2016-11-18,123.1
2016-11-21,116.35
2016-11-22,117.9
2016-11-23,118.0
2016-11-24,119.95
2016-11-25,120.0
2016-11-28,116.6
2016-11-29,116.6
2016-11-30,119.85
2016-12-01,118.2
2016-12-02,116.25
2016-12-05,118.65
2016-12-06,118.6
2016-12-07,117.1
2016-12-08,118.35
2016-12-09,123.65
2016-12-12,120.0
2016-12-13,119.3
2016-12-14,115.65
2016-12-15,116.15
2016-12-16,114.75
2016-12-19,113.45
2016-12-20,110.8
2016-12-21,110.25
2016-12-22,108.05
2016-12-23,108.25
2016-12-26,103.65
2016-12-27,105.15
2016-12-28,104.0
2016-12-29,102.5
2016-12-30,106.0
