Date,SHARDAMOTR
2016-01-01,996.15
2016-01-04,1000.0
2016-01-05,995.1
2016-01-06,989.1
2016-01-07,972.0
2016-01-08,991.85
2016-01-11,965.15
2016-01-12,971.45
2016-01-13,940.3
2016-01-14,896.5
2016-01-15,879.95
2016-01-18,818.85
2016-01-19,830.0
2016-01-20,829.0
2016-01-21,840.0
2016-01-22,830.7
2016-01-25,835.2
2016-01-27,855.0
2016-01-28,855.5
2016-01-29,878.0
2016-02-01,877.0
2016-02-02,845.2
2016-02-03,835.35
2016-02-04,830.0
2016-02-05,829.8
2016-02-08,847.85
2016-02-09,850.85
2016-02-10,828.1
2016-02-11,792.05
2016-02-12,775.3
2016-02-15,802.0
2016-02-16,790.8
2016-02-17,760.85
2016-02-18,763.05
2016-02-19,799.85
2016-02-22,766.75
2016-02-23,770.0
2016-02-24,739.85
2016-02-25,739.0
2016-02-26,756.25
2016-02-29,752.0
2016-03-01,779.0
2016-03-02,828.6
2016-03-03,829.5
2016-03-04,808.5
2016-03-08,808.1
2016-03-09,807.0
2016-03-10,810.0
2016-03-14,786.5
2016-03-15,774.85
2016-03-16,790.0
2016-03-17,774.85
2016-03-18,757.9
2016-03-21,772.2
2016-03-22,803.0
2016-03-23,797.85
2016-03-28,776.0
2016-03-29,773.0
2016-03-30,803.25
2016-03-31,783.05
2016-04-01,800.0
2016-04-04,795.0
2016-04-05,803.0
2016-04-06,852.5
2016-04-08,842.45
2016-04-11,856.0
2016-04-12,886.15
2016-04-13,867.65
2016-04-18,859.4
2016-04-20,870.0
2016-04-21,888.8
2016-04-22,870.0
2016-04-25,880.0
2016-04-26,862.0
2016-04-27,900.0
2016-04-28,886.25
2016-04-29,890.0
2016-05-02,880.0
2016-05-03,896.0
2016-05-04,893.0
2016-05-05,878.0
2016-05-06,876.5
2016-05-09,893.35
2016-05-10,875.3
2016-05-11,860.4
2016-05-12,899.9
2016-05-13,903.2
2016-05-16,885.0
2016-05-17,910.0
2016-05-18,895.0
2016-05-19,872.95
2016-05-20,871.0
2016-05-23,876.0
2016-05-24,852.2
2016-05-25,851.0
