Date,KILITCH
2016-01-01,46.15
2016-01-04,54.8
2016-01-05,54.85
2016-01-06,54.65
2016-01-07,50.95
2016-01-08,52.05
2016-01-11,51.85
2016-01-12,48.45
2016-01-13,45.5
2016-01-14,46.15
2016-01-15,42.6
2016-01-18,39.65
2016-01-19,44.1
2016-01-20,41.15
2016-01-21,41.1
2016-01-22,41.5
2016-01-25,42.05
2016-01-27,42.2
2016-01-28,42.55
2016-01-29,41.25
2016-02-01,42.7
2016-02-02,41.55
2016-02-03,40.95
2016-02-04,41.7
2016-02-05,42.2
2016-02-08,41.6
2016-02-09,40.0
2016-02-10,38.8
2016-02-11,35.05
2016-02-12,34.0
2016-02-15,38.1
2016-02-16,35.9
2016-02-17,34.8
2016-02-18,35.0
2016-02-19,35.9
2016-02-22,36.25
2016-02-23,35.5
2016-02-24,34.2
2016-02-25,33.05
2016-02-26,33.8
2016-02-29,33.1
2016-03-01,35.8
2016-03-02,38.0
2016-03-03,37.1
2016-03-04,37.15
2016-03-08,37.25
2016-03-09,38.95
2016-03-10,40.7
2016-03-11,40.05
2016-03-14,38.4
2016-03-15,37.9
2016-03-16,37.65
2016-03-17,36.75
2016-03-18,36.95
2016-03-21,36.6
2016-03-22,36.7
2016-03-23,36.55
2016-03-28,35.25
2016-03-29,34.6
2016-03-30,35.6
2016-03-31,35.1
2016-04-01,36.65
2016-04-04,36.2
2016-04-05,36.1
2016-04-06,36.55
2016-04-07,36.5
2016-04-08,36.35
2016-04-11,36.55
2016-04-12,36.5
2016-04-13,37.5
2016-04-18,37.1
2016-04-20,37.7
2016-04-21,37.25
2016-04-22,37.45
2016-04-25,37.1
2016-04-26,37.7
2016-04-27,37.05
2016-04-28,37.8
2016-04-29,37.6
2016-05-02,37.1
2016-05-03,37.05
2016-05-04,37.4
2016-05-05,36.6
2016-05-06,36.85
2016-05-09,36.65
2016-05-10,36.45
2016-05-11,36.2
2016-05-12,36.4
2016-05-13,36.5
2016-05-16,36.9
2016-05-17,36.75
2016-05-18,37.05
2016-05-19,37.1
2016-05-20,38.4
2016-05-23,37.1
2016-05-24,37.0
2016-05-25,36.45
2016-05-26,35.95
2016-05-27,36.5
2016-05-30,36.1
2016-05-31,34.45
2016-06-01,34.0
2016-06-02,33.5
2016-06-03,33.6
2016-06-06,36.35
2016-06-07,34.95
2016-06-08,35.0
2016-06-09,34.7
2016-06-10,35.1
2016-06-13,35.0
2016-06-14,34.0
2016-06-15,33.45
2016-06-16,33.45
2016-06-17,33.25
2016-06-20,33.05
2016-06-21,33.05
2016-06-22,33.2
2016-06-23,33.35
2016-06-24,32.2
2016-06-27,34.3
2016-06-28,34.35
2016-06-29,34.25
2016-06-30,34.2
2016-07-01,34.4
2016-07-04,35.05
2016-07-05,34.6
2016-07-07,35.5
2016-07-08,35.4
2016-07-11,35.45
2016-07-12,34.95
2016-07-13,35.05
2016-07-14,35.95
2016-07-15,35.35
2016-07-18,34.4
2016-07-19,33.85
2016-07-20,34.5
2016-07-21,35.65
2016-07-22,35.85
2016-07-25,35.8
2016-07-26,36.3
2016-07-27,35.4
2016-07-28,35.05
2016-07-29,35.1
2016-08-01,36.5
2016-08-02,35.6
2016-08-03,34.8
2016-08-04,34.4
2016-08-05,34.1
2016-08-08,34.35
2016-08-09,34.1
2016-08-10,33.8
2016-08-11,35.0
2016-08-12,35.15
2016-08-16,34.0
2016-08-17,32.6
2016-08-18,32.7
2016-08-19,32.65
2016-08-22,33.6
2016-08-23,32.75
2016-08-24,33.2
2016-08-25,33.3
2016-08-26,32.95
2016-08-29,32.5
2016-08-30,33.0
2016-08-31,33.1
2016-09-01,33.1
2016-09-02,32.95
2016-09-06,33.25
2016-09-07,32.95
2016-09-08,33.3
2016-09-09,33.25
2016-09-12,33.1
2016-09-14,33.0
2016-09-15,32.85
2016-09-16,34.15
2016-09-19,34.25
2016-09-20,34.45
2016-09-21,33.65
2016-09-22,33.55
2016-09-23,33.7
2016-09-26,40.4
2016-09-27,48.3
2016-09-28,43.5
2016-09-29,41.05
2016-09-30,40.6
2016-10-03,44.4
2016-10-04,48.8
2016-10-05,46.2
2016-10-06,45.3
2016-10-07,44.15
2016-10-10,43.45
2016-10-13,42.95
2016-10-14,43.8
2016-10-17,48.15
2016-10-18,46.65
2016-10-19,46.0
2016-10-20,46.0
2016-10-21,46.6
2016-10-24,47.05
2016-10-25,46.95
2016-10-26,45.6
2016-10-27,45.9
2016-10-28,47.9
2016-10-30,46.6
2016-11-01,46.55
2016-11-02,46.05
2016-11-03,46.15
2016-11-04,43.45
2016-11-07,44.6
2016-11-08,43.65
2016-11-09,42.45
2016-11-10,43.6
2016-11-11,41.2
2016-11-15,36.35
2016-11-16,36.6
2016-11-17,34.7
2016-11-18,35.0
2016-11-21,33.8
2016-11-22,35.15
2016-11-23,36.75
2016-11-24,35.75
2016-11-25,37.3
2016-11-28,38.4
2016-11-29,38.4
2016-11-30,39.0
2016-12-01,38.0
2016-12-02,36.3
2016-12-05,38.3
2016-12-06,36.95
2016-12-07,36.4
2016-12-08,36.75
2016-12-09,36.45
2016-12-12,37.0
2016-12-13,37.4
2016-12-14,37.0
2016-12-15,37.35
2016-12-16,36.8
2016-12-19,38.0
2016-12-20,37.25
2016-12-21,37.05
2016-12-22,36.0
2016-12-23,35.95
2016-12-26,37.25
2016-12-27,35.95
2016-12-28,36.05
2016-12-29,37.05
2016-12-30,36.95
