Date,MTEDUCARE
2016-01-01,185.3
2016-01-04,183.1
2016-01-05,189.1
2016-01-06,186.9
2016-01-07,175.4
2016-01-08,182.05
2016-01-11,190.4
2016-01-12,186.65
2016-01-13,183.95
2016-01-14,181.25
2016-01-15,170.5
2016-01-18,143.85
2016-01-19,157.65
2016-01-20,153.9
2016-01-21,154.25
2016-01-22,160.7
2016-01-25,163.6
2016-01-27,162.45
2016-01-28,163.9
2016-01-29,164.75
2016-02-01,161.95
2016-02-02,155.55
2016-02-03,150.8
2016-02-04,147.55
2016-02-05,158.95
2016-02-08,160.0
2016-02-09,158.05
2016-02-10,154.25
2016-02-11,143.4
2016-02-12,143.25
2016-02-15,154.45
2016-02-16,144.35
2016-02-17,145.85
2016-02-18,143.4
2016-02-19,144.05
2016-02-22,148.4
2016-02-23,141.8
2016-02-24,140.8
2016-02-25,142.2
2016-02-26,143.6
2016-02-29,140.0
2016-03-01,149.4
2016-03-02,159.6
2016-03-03,156.65
2016-03-04,158.45
2016-03-08,153.35
2016-03-09,156.4
2016-03-10,154.15
2016-03-11,158.8
2016-03-14,155.15
2016-03-15,155.45
2016-03-16,156.55
2016-03-17,160.45
2016-03-18,161.75
2016-03-21,171.3
2016-03-22,168.15
2016-03-23,165.5
2016-03-28,159.95
2016-03-29,163.8
2016-03-30,170.15
2016-03-31,166.0
2016-04-01,166.85
2016-04-04,169.55
2016-04-05,163.7
2016-04-06,163.8
2016-04-07,165.5
2016-04-08,174.55
2016-04-11,180.9
2016-04-12,175.35
2016-04-13,180.05
2016-04-18,178.9
2016-04-20,181.45
2016-04-21,175.75
2016-04-22,175.9
2016-04-25,172.7
2016-04-26,172.85
2016-04-27,171.9
2016-04-28,169.9
2016-04-29,169.3
2016-05-02,167.45
2016-05-03,165.7
2016-05-04,163.2
2016-05-05,168.5
2016-05-06,170.0
2016-05-09,178.25
2016-05-10,185.35
2016-05-11,190.9
2016-05-12,187.9
2016-05-13,191.5
2016-05-16,194.75
2016-05-17,190.15
2016-05-18,190.85
2016-05-19,176.35
2016-05-20,177.6
2016-05-23,181.65
2016-05-24,178.2
2016-05-25,174.8
2016-05-26,180.1
2016-05-27,179.75
2016-05-30,177.35
2016-05-31,184.5
2016-06-01,182.05
2016-06-02,181.2
2016-06-03,178.7
2016-06-06,177.4
2016-06-07,179.05
2016-06-08,183.3
2016-06-09,174.2
2016-06-10,176.1
2016-06-13,174.05
2016-06-14,168.5
2016-06-15,170.7
2016-06-16,167.3
2016-06-17,170.05
2016-06-20,171.0
2016-06-21,168.65
2016-06-22,163.2
2016-06-23,161.9
2016-06-24,160.8
2016-06-27,163.0
2016-06-28,162.7
2016-06-29,165.75
2016-06-30,170.9
2016-07-01,166.95
2016-07-04,168.45
2016-07-05,168.8
2016-07-07,165.1
2016-07-08,162.65
2016-07-11,161.55
2016-07-12,163.6
2016-07-13,158.55
2016-07-14,161.0
2016-07-15,159.9
2016-07-18,155.3
2016-07-19,153.6
2016-07-20,156.0
2016-07-21,153.1
2016-07-22,153.5
2016-07-25,152.65
2016-07-26,152.2
2016-07-27,154.55
2016-07-28,154.45
2016-07-29,155.35
2016-08-01,155.0
2016-08-02,146.95
2016-08-03,146.15
2016-08-04,146.5
2016-08-05,147.85
2016-08-08,147.6
2016-08-09,145.2
2016-08-10,146.55
2016-08-11,137.35
2016-08-12,133.95
2016-08-16,131.0
2016-08-17,129.8
2016-08-18,126.8
2016-08-19,132.75
2016-08-22,140.4
2016-08-23,144.15
2016-08-24,145.6
2016-08-25,145.05
2016-08-26,140.75
2016-08-29,137.55
2016-08-30,139.1
2016-08-31,136.95
2016-09-01,134.15
2016-09-02,137.6
2016-09-06,137.05
2016-09-07,135.05
2016-09-08,133.45
2016-09-09,132.35
2016-09-12,127.0
2016-09-14,123.4
2016-09-15,127.15
2016-09-16,128.8
2016-09-19,136.9
2016-09-20,133.45
2016-09-21,131.45
2016-09-22,136.0
2016-09-23,135.4
2016-09-26,130.8
2016-09-27,130.3
2016-09-28,134.0
2016-09-29,126.75
2016-09-30,130.05
2016-10-03,146.95
2016-10-04,149.7
2016-10-05,147.95
2016-10-06,143.65
2016-10-07,142.5
2016-10-10,139.8
2016-10-13,132.8
2016-10-14,134.45
2016-10-17,131.1
2016-10-18,133.6
2016-10-19,138.55
2016-10-20,136.2
2016-10-21,136.3
2016-10-24,137.9
2016-10-25,136.45
2016-10-26,139.95
2016-10-27,136.35
2016-10-28,137.8
2016-10-30,137.95
2016-11-01,136.2
2016-11-02,131.85
2016-11-03,135.8
2016-11-04,133.7
2016-11-07,136.1
2016-11-08,133.9
2016-11-09,129.15
2016-11-10,131.45
2016-11-11,126.1
2016-11-15,120.55
2016-11-16,117.35
2016-11-17,116.65
2016-11-18,112.45
2016-11-21,108.1
2016-11-22,106.95
2016-11-23,113.0
2016-11-24,117.1
2016-11-25,113.8
2016-11-28,114.25
2016-11-29,115.6
2016-11-30,116.7
2016-12-01,115.25
2016-12-02,114.6
2016-12-05,113.6
2016-12-06,111.55
2016-12-07,112.9
2016-12-08,116.05
2016-12-09,125.2
2016-12-12,121.6
2016-12-13,122.05
2016-12-14,117.85
2016-12-15,121.95
2016-12-16,120.3
2016-12-19,117.1
2016-12-20,114.1
2016-12-21,113.2
2016-12-22,110.75
2016-12-23,114.2
2016-12-26,112.4
2016-12-27,113.3
2016-12-28,117.85
2016-12-29,118.1
2016-12-30,117.3
