Date,RSYSTEMS
2016-01-01,75.4
2016-01-04,74.6
2016-01-05,74.05
2016-01-06,75.25
2016-01-07,72.3
2016-01-08,73.2
2016-01-11,72.35
2016-01-12,70.65
2016-01-13,68.5
2016-01-14,68.5
2016-01-15,68.1
2016-01-18,65.6
2016-01-19,67.05
2016-01-20,65.95
2016-01-21,66.7
2016-01-22,67.0
2016-01-25,68.65
2016-01-27,69.9
2016-01-28,70.3
2016-01-29,70.1
2016-02-01,72.95
2016-02-02,71.6
2016-02-03,68.95
2016-02-04,68.5
2016-02-05,70.7
2016-02-08,67.05
2016-02-09,64.9
2016-02-10,64.0
2016-02-11,61.65
2016-02-12,56.3
2016-02-15,60.0
2016-02-16,60.2
2016-02-17,59.4
2016-02-18,59.35
2016-02-19,59.95
2016-02-22,60.2
2016-02-23,59.05
2016-02-24,59.05
2016-02-25,58.5
2016-02-26,59.45
2016-02-29,59.55
2016-03-01,60.6
2016-03-02,62.0
2016-03-03,62.15
2016-03-04,61.75
2016-03-08,61.95
2016-03-09,61.4
2016-03-10,62.6
2016-03-11,62.7
2016-03-14,61.75
2016-03-15,61.5
2016-03-16,61.2
2016-03-17,60.35
2016-03-18,60.85
2016-03-21,60.4
2016-03-22,60.3
2016-03-23,59.85
2016-03-28,60.5
2016-03-29,59.0
2016-03-30,61.1
2016-03-31,61.05
2016-04-01,60.35
2016-04-04,61.7
2016-04-05,60.7
2016-04-06,60.55
2016-04-07,60.6
2016-04-08,60.7
2016-04-11,61.3
2016-04-12,60.75
2016-04-13,61.85
2016-04-18,62.25
2016-04-20,63.05
2016-04-21,63.65
2016-04-22,63.85
2016-04-25,63.3
2016-04-26,63.35
2016-04-27,63.5
2016-04-28,63.05
2016-04-29,61.45
2016-05-02,57.8
2016-05-03,57.6
2016-05-04,57.2
2016-05-05,56.45
2016-05-06,56.8
2016-05-09,56.45
2016-05-10,57.7
2016-05-11,57.05
2016-05-12,56.45
2016-05-13,55.65
2016-05-16,56.8
2016-05-17,59.6
2016-05-18,61.3
2016-05-19,59.0
2016-05-20,57.9
2016-05-23,56.6
2016-05-24,55.9
2016-05-25,56.25
2016-05-26,55.5
2016-05-27,55.85
2016-05-30,56.2
2016-05-31,55.9
2016-06-01,56.35
2016-06-02,56.3
2016-06-03,56.45
2016-06-06,56.45
2016-06-07,56.55
2016-06-08,56.35
2016-06-09,56.65
2016-06-10,56.15
2016-06-13,55.7
2016-06-14,54.95
2016-06-15,54.3
2016-06-16,54.15
2016-06-17,54.45
2016-06-20,54.4
2016-06-21,53.6
2016-06-22,53.2
2016-06-23,53.0
2016-06-24,51.75
2016-06-27,51.35
2016-06-28,50.85
2016-06-29,51.25
2016-06-30,51.55
2016-07-01,52.2
2016-07-04,52.8
2016-07-05,52.5
2016-07-07,52.2
2016-07-08,52.25
2016-07-11,52.4
2016-07-12,52.05
2016-07-13,51.9
2016-07-14,52.2
2016-07-15,51.3
2016-07-18,50.45
2016-07-19,50.6
2016-07-20,50.35
2016-07-21,50.6
2016-07-22,50.65
2016-07-25,50.35
2016-07-26,52.2
2016-07-27,52.1
2016-07-28,51.2
2016-07-29,57.1
2016-08-01,55.5
2016-08-02,54.25
2016-08-03,53.8
2016-08-04,53.55
2016-08-05,53.45
2016-08-08,53.0
2016-08-09,52.7
2016-08-10,52.35
2016-08-11,52.15
2016-08-12,52.9
2016-08-16,52.65
2016-08-17,53.0
2016-08-18,53.9
2016-08-19,53.45
2016-08-22,53.9
2016-08-23,53.95
2016-08-24,54.55
2016-08-25,52.8
2016-08-26,53.05
2016-08-29,53.7
2016-08-30,53.4
2016-08-31,53.05
2016-09-01,52.65
2016-09-02,54.85
2016-09-06,54.45
2016-09-07,55.5
2016-09-08,58.05
2016-09-09,63.1
2016-09-12,62.65
2016-09-14,61.5
2016-09-15,60.65
2016-09-16,59.6
2016-09-19,60.2
2016-09-20,59.6
2016-09-21,59.75
2016-09-22,59.75
2016-09-23,60.8
2016-09-26,61.2
2016-09-27,60.6
2016-09-28,61.85
2016-09-29,56.7
2016-09-30,57.25
2016-10-03,57.95
2016-10-04,57.6
2016-10-05,57.7
2016-10-06,59.05
2016-10-07,58.65
2016-10-10,58.8
2016-10-13,57.95
2016-10-14,57.6
2016-10-17,57.55
2016-10-18,57.05
2016-10-19,56.85
2016-10-20,56.95
2016-10-21,57.15
2016-10-24,58.7
2016-10-25,58.9
2016-10-26,59.45
2016-10-27,57.05
2016-10-28,57.1
2016-10-30,58.15
2016-11-01,56.95
2016-11-02,57.05
2016-11-03,56.3
2016-11-04,54.75
2016-11-07,56.1
2016-11-08,56.25
2016-11-09,54.3
2016-11-10,55.55
2016-11-11,55.65
2016-11-15,53.2
2016-11-16,53.75
2016-11-17,54.8
2016-11-18,55.15
2016-11-21,54.4
2016-11-22,53.55
2016-11-23,54.55
2016-11-24,54.8
2016-11-25,56.85
2016-11-28,58.85
2016-11-29,58.75
2016-11-30,57.35
2016-12-01,56.5
2016-12-02,55.75
2016-12-05,56.45
2016-12-06,55.85
2016-12-07,55.75
2016-12-08,56.2
2016-12-09,58.0
2016-12-12,59.95
2016-12-13,61.9
2016-12-14,61.8
2016-12-15,59.8
2016-12-16,58.05
2016-12-19,60.65
2016-12-20,59.25
2016-12-21,58.9
2016-12-22,62.35
2016-12-23,60.55
2016-12-26,57.15
2016-12-27,58.15
2016-12-28,57.3
2016-12-29,57.15
2016-12-30,57.2
