Date,GRAVITA
2016-01-01,30.2
2016-01-04,30.45
2016-01-05,32.85
2016-01-06,30.95
2016-01-07,29.75
2016-01-08,29.75
2016-01-11,29.65
2016-01-12,28.95
2016-01-13,26.85
2016-01-14,26.1
2016-01-15,24.8
2016-01-18,23.05
2016-01-19,23.7
2016-01-20,22.0
2016-01-21,22.2
2016-01-22,23.05
2016-01-25,23.25
2016-01-27,25.7
2016-01-28,26.2
2016-01-29,26.1
2016-02-01,26.1
2016-02-02,24.6
2016-02-03,22.7
2016-02-04,21.8
2016-02-05,22.1
2016-02-08,22.1
2016-02-09,22.45
2016-02-10,25.15
2016-02-11,22.4
2016-02-12,21.9
2016-02-15,22.3
2016-02-16,21.6
2016-02-17,21.9
2016-02-18,22.5
2016-02-19,22.05
2016-02-22,22.0
2016-02-23,21.65
2016-02-24,21.05
2016-02-25,21.15
2016-02-26,20.45
2016-02-29,20.7
2016-03-01,21.2
2016-03-02,21.85
2016-03-03,22.3
2016-03-04,22.4
2016-03-08,23.4
2016-03-09,22.95
2016-03-10,22.6
2016-03-11,22.4
2016-03-14,22.5
2016-03-15,21.9
2016-03-16,21.65
2016-03-17,21.85
2016-03-18,21.6
2016-03-21,22.15
2016-03-22,26.55
2016-03-23,27.45
2016-03-28,23.75
2016-03-29,24.75
2016-03-30,24.8
2016-03-31,24.35
2016-04-01,24.6
2016-04-04,24.95
2016-04-05,24.0
2016-04-06,24.3
2016-04-07,24.35
2016-04-08,24.05
2016-04-11,23.7
2016-04-12,24.15
2016-04-13,24.2
2016-04-18,24.65
2016-04-20,25.7
2016-04-21,25.55
2016-04-22,25.1
2016-04-25,24.95
2016-04-26,25.25
2016-04-27,25.35
2016-04-28,24.85
2016-04-29,24.65
2016-05-02,24.5
2016-05-03,24.45
2016-05-04,24.45
2016-05-05,24.4
2016-05-06,24.2
2016-05-09,24.25
2016-05-10,24.35
2016-05-11,24.05
2016-05-12,24.1
2016-05-13,24.1
2016-05-16,26.0
2016-05-17,24.7
2016-05-18,24.45
2016-05-19,23.9
2016-05-20,23.45
2016-05-23,23.0
2016-05-24,22.7
2016-05-25,22.9
2016-05-26,21.75
2016-05-27,19.65
2016-05-30,18.0
2016-05-31,19.15
2016-06-01,17.0
2016-06-02,16.5
2016-06-03,16.5
2016-06-06,16.8
2016-06-07,17.7
2016-06-08,17.95
2016-06-09,17.85
2016-06-10,17.05
2016-06-13,16.8
2016-06-14,16.75
2016-06-15,17.65
2016-06-16,17.05
2016-06-17,17.3
2016-06-20,17.6
2016-06-21,17.8
2016-06-22,17.85
2016-06-23,16.9
2016-06-24,16.75
2016-06-27,17.4
2016-06-28,17.2
2016-06-29,18.05
2016-06-30,18.15
2016-07-01,17.85
2016-07-04,18.7
2016-07-05,21.5
2016-07-07,24.7
2016-07-08,29.3
2016-07-11,28.75
2016-07-12,27.55
2016-07-13,26.0
2016-07-14,26.75
2016-07-15,27.1
2016-07-18,26.2
2016-07-19,26.4
2016-07-20,26.95
2016-07-21,27.2
2016-07-22,26.6
2016-07-25,26.85
2016-07-26,26.7
2016-07-27,25.45
2016-07-28,25.2
2016-07-29,25.35
2016-08-01,26.25
2016-08-02,26.7
2016-08-03,26.6
2016-08-04,27.05
2016-08-05,27.5
2016-08-08,28.0
2016-08-09,30.9
2016-08-10,31.45
2016-08-11,32.7
2016-08-12,32.5
2016-08-16,32.1
2016-08-17,30.95
2016-08-18,30.0
2016-08-19,28.95
2016-08-22,28.15
2016-08-23,28.9
2016-08-24,30.75
2016-08-25,30.5
2016-08-26,29.9
2016-08-29,30.2
2016-08-30,31.3
2016-08-31,30.3
2016-09-01,29.9
2016-09-02,29.5
2016-09-06,29.95
2016-09-07,29.85
2016-09-08,30.15
2016-09-09,29.9
2016-09-12,29.0
2016-09-14,30.55
2016-09-15,30.65
2016-09-16,29.6
2016-09-19,31.2
2016-09-20,30.7
2016-09-21,31.05
2016-09-22,33.15
2016-09-23,36.85
2016-09-26,35.1
2016-09-27,35.25
2016-09-28,33.8
2016-09-29,30.8
2016-09-30,32.8
2016-10-03,33.4
2016-10-04,32.65
2016-10-05,32.8
2016-10-06,31.6
2016-10-07,31.95
2016-10-10,32.2
2016-10-13,32.85
2016-10-14,32.65
2016-10-17,33.35
2016-10-18,33.2
2016-10-19,31.7
2016-10-20,29.6
2016-10-21,31.0
2016-10-24,33.65
2016-10-25,36.7
2016-10-26,36.65
2016-10-27,36.85
2016-10-28,36.45
2016-10-30,36.7
2016-11-01,35.1
2016-11-02,35.55
2016-11-03,35.3
2016-11-04,34.35
2016-11-07,35.3
2016-11-08,36.3
2016-11-09,35.4
2016-11-10,38.5
2016-11-11,38.3
2016-11-15,37.75
2016-11-16,37.75
2016-11-17,36.25
2016-11-18,35.2
2016-11-21,33.65
2016-11-22,33.15
2016-11-23,33.0
2016-11-24,32.75
2016-11-25,34.1
2016-11-28,40.9
2016-11-29,43.4
2016-11-30,42.0
2016-12-01,42.2
2016-12-02,42.65
2016-12-05,42.4
2016-12-06,42.65
2016-12-07,41.65
2016-12-08,42.15
2016-12-09,41.95
2016-12-12,41.75
2016-12-13,41.55
2016-12-14,41.6
2016-12-15,40.85
2016-12-16,40.05
2016-12-19,43.6
2016-12-20,42.0
2016-12-21,41.6
2016-12-22,40.7
2016-12-23,40.65
2016-12-26,39.95
2016-12-27,40.8
2016-12-28,39.7
2016-12-29,39.25
2016-12-30,39.6
