Date,CENTENKA
2016-01-01,204.05
2016-01-04,197.1
2016-01-05,199.3
2016-01-06,198.55
2016-01-07,190.6
2016-01-08,196.35
2016-01-11,192.4
2016-01-12,190.1
2016-01-13,186.05
2016-01-14,184.4
2016-01-15,177.8
2016-01-18,169.2
2016-01-19,171.05
2016-01-20,166.3
2016-01-21,167.7
2016-01-22,171.5
2016-01-25,170.45
2016-01-27,170.2
2016-01-28,170.9
2016-01-29,172.85
2016-02-01,174.35
2016-02-02,179.9
2016-02-03,173.6
2016-02-04,171.85
2016-02-05,172.6
2016-02-08,171.65
2016-02-09,168.75
2016-02-10,161.55
2016-02-11,148.7
2016-02-12,150.9
2016-02-15,160.05
2016-02-16,154.55
2016-02-17,151.0
2016-02-18,153.45
2016-02-19,154.6
2016-02-22,153.55
2016-02-23,152.85
2016-02-24,148.35
2016-02-25,146.9
2016-02-26,147.75
2016-02-29,147.95
2016-03-01,153.95
2016-03-02,158.4
2016-03-03,161.6
2016-03-04,161.9
2016-03-08,162.2
2016-03-09,161.45
2016-03-10,161.65
2016-03-11,161.8
2016-03-14,162.05
2016-03-15,162.65
2016-03-16,164.8
2016-03-17,170.2
2016-03-18,171.7
2016-03-21,175.45
2016-03-22,179.35
2016-03-23,179.0
2016-03-28,171.8
2016-03-29,169.75
2016-03-30,173.05
2016-03-31,173.45
2016-04-01,175.55
2016-04-04,180.1
2016-04-05,176.4
2016-04-06,186.55
2016-04-07,187.35
2016-04-08,186.45
2016-04-11,186.3
2016-04-12,186.95
2016-04-13,188.55
2016-04-18,191.15
2016-04-20,192.95
2016-04-21,191.9
2016-04-22,193.95
2016-04-25,195.8
2016-04-26,198.1
2016-04-27,197.9
2016-04-28,197.35
2016-04-29,200.0
2016-05-02,201.55
2016-05-03,202.25
2016-05-04,208.65
2016-05-05,212.25
2016-05-06,211.45
2016-05-09,207.8
2016-05-10,206.75
2016-05-11,205.5
2016-05-12,210.8
2016-05-13,213.35
2016-05-16,213.3
2016-05-17,211.9
2016-05-18,213.5
2016-05-19,209.15
2016-05-20,203.65
2016-05-23,203.8
2016-05-24,201.9
2016-05-25,203.0
2016-05-26,203.85
2016-05-27,205.6
2016-05-30,205.2
2016-05-31,206.05
2016-06-01,209.25
2016-06-02,210.9
2016-06-03,208.35
2016-06-06,215.5
2016-06-07,216.0
2016-06-08,214.05
2016-06-09,214.1
2016-06-10,213.85
2016-06-13,212.4
2016-06-14,213.4
2016-06-15,218.5
2016-06-16,216.6
2016-06-17,220.15
2016-06-20,222.6
2016-06-21,230.45
2016-06-22,226.5
2016-06-23,228.5
2016-06-24,220.6
2016-06-27,222.05
2016-06-28,223.9
2016-06-29,226.5
2016-06-30,230.85
2016-07-01,224.55
2016-07-04,224.3
2016-07-05,220.7
2016-07-07,217.25
2016-07-08,216.05
2016-07-11,217.35
2016-07-12,216.15
2016-07-13,211.6
2016-07-14,213.55
2016-07-15,211.35
2016-07-18,208.3
2016-07-19,206.6
2016-07-20,214.05
2016-07-21,211.6
2016-07-22,216.05
2016-07-25,220.3
2016-07-26,218.55
2016-07-27,219.1
2016-07-28,223.75
2016-07-29,220.55
2016-08-01,226.15
2016-08-02,220.95
2016-08-03,220.3
2016-08-04,217.25
2016-08-05,220.95
2016-08-08,215.85
2016-08-09,218.3
2016-08-10,214.1
2016-08-11,215.0
2016-08-12,211.7
2016-08-16,210.45
2016-08-17,214.7
2016-08-18,215.75
2016-08-19,216.25
2016-08-22,218.85
2016-08-23,226.65
2016-08-24,240.65
2016-08-25,239.15
2016-08-26,247.8
2016-08-29,262.4
2016-08-30,266.15
2016-08-31,257.3
2016-09-01,257.7
2016-09-02,256.4
2016-09-06,260.25
2016-09-07,273.6
2016-09-08,273.0
2016-09-09,266.4
2016-09-12,254.2
2016-09-14,257.7
2016-09-15,263.25
2016-09-16,258.75
2016-09-19,262.7
2016-09-20,261.05
2016-09-21,281.5
2016-09-22,286.45
2016-09-23,283.8
2016-09-26,274.9
2016-09-27,273.6
2016-09-28,278.1
2016-09-29,255.1
2016-09-30,261.0
2016-10-03,268.75
2016-10-04,271.45
2016-10-05,279.6
2016-10-06,274.7
2016-10-07,274.6
2016-10-10,292.8
2016-10-13,284.55
2016-10-14,297.85
2016-10-17,290.45
2016-10-18,292.15
2016-10-19,286.95
2016-10-20,291.55
2016-10-21,292.65
2016-10-24,308.45
2016-10-25,312.75
2016-10-26,318.0
2016-10-27,312.05
2016-10-28,329.3
2016-10-30,329.65
2016-11-01,341.4
2016-11-02,355.1
2016-11-03,314.55
2016-11-04,308.75
2016-11-07,322.95
2016-11-08,313.65
2016-11-09,298.35
2016-11-10,313.35
2016-11-11,302.9
2016-11-15,277.75
2016-11-16,278.9
2016-11-17,267.65
2016-11-18,270.35
2016-11-21,260.35
2016-11-22,267.2
2016-11-23,273.6
2016-11-24,270.65
2016-11-25,284.65
2016-11-28,284.95
2016-11-29,283.7
2016-11-30,284.95
2016-12-01,280.0
2016-12-02,275.4
2016-12-05,276.75
2016-12-06,276.6
2016-12-07,274.8
2016-12-08,278.05
2016-12-09,280.1
2016-12-12,277.9
2016-12-13,274.85
2016-12-14,272.45
2016-12-15,275.95
2016-12-16,274.65
2016-12-19,272.05
2016-12-20,271.9
2016-12-21,265.55
2016-12-22,261.9
2016-12-23,261.95
2016-12-26,262.0
2016-12-27,272.15
2016-12-28,268.7
2016-12-29,275.1
2016-12-30,273.4
