Date,RECLTD
2016-01-01,228.15
2016-01-04,223.55
2016-01-05,227.9
2016-01-06,228.3
2016-01-07,214.3
2016-01-08,215.1
2016-01-11,212.9
2016-01-12,211.0
2016-01-13,210.15
2016-01-14,205.8
2016-01-15,195.3
2016-01-18,185.15
2016-01-19,184.25
2016-01-20,177.9
2016-01-21,174.35
2016-01-22,183.55
2016-01-25,186.55
2016-01-27,187.0
2016-01-28,187.7
2016-01-29,192.8
2016-02-01,193.6
2016-02-02,185.75
2016-02-03,178.9
2016-02-04,182.6
2016-02-05,190.65
2016-02-08,192.55
2016-02-09,184.5
2016-02-10,172.25
2016-02-11,166.25
2016-02-12,162.05
2016-02-15,170.95
2016-02-16,169.25
2016-02-17,161.55
2016-02-18,155.85
2016-02-19,159.55
2016-02-22,158.9
2016-02-23,156.15
2016-02-24,153.25
2016-02-25,156.2
2016-02-26,156.45
2016-02-29,155.9
2016-03-01,159.55
2016-03-02,163.95
2016-03-03,165.85
2016-03-04,171.75
2016-03-08,167.0
2016-03-09,169.6
2016-03-10,167.55
2016-03-11,166.35
2016-03-14,167.4
2016-03-15,167.15
2016-03-16,165.05
2016-03-17,168.3
2016-03-18,168.85
2016-03-21,170.3
2016-03-22,169.2
2016-03-23,168.1
2016-03-28,165.3
2016-03-29,162.45
2016-03-30,166.75
2016-03-31,166.2
2016-04-01,165.35
2016-04-04,164.65
2016-04-05,160.0
2016-04-06,159.5
2016-04-07,160.8
2016-04-08,161.05
2016-04-11,161.75
2016-04-12,160.45
2016-04-13,162.65
2016-04-18,159.95
2016-04-20,159.4
2016-04-21,167.3
2016-04-22,171.6
2016-04-25,172.3
2016-04-26,183.5
2016-04-27,182.3
2016-04-28,180.05
2016-04-29,178.4
2016-05-02,178.4
2016-05-03,173.15
2016-05-04,171.0
2016-05-05,167.85
2016-05-06,165.65
2016-05-09,169.8
2016-05-10,167.2
2016-05-11,164.5
2016-05-12,164.15
2016-05-13,164.4
2016-05-16,162.35
2016-05-17,160.3
2016-05-18,161.9
2016-05-19,157.35
2016-05-20,155.25
2016-05-23,154.15
2016-05-24,154.6
2016-05-25,155.15
2016-05-26,155.05
2016-05-27,155.4
2016-05-30,160.6
2016-05-31,160.1
2016-06-01,165.0
2016-06-02,165.15
2016-06-03,162.45
2016-06-06,160.95
2016-06-07,161.5
2016-06-08,161.4
2016-06-09,163.5
2016-06-10,163.1
2016-06-13,160.65
2016-06-14,162.4
2016-06-15,164.55
2016-06-16,162.7
2016-06-17,163.4
2016-06-20,165.6
2016-06-21,170.35
2016-06-22,168.25
2016-06-23,167.05
2016-06-24,162.45
2016-06-27,165.85
2016-06-28,166.05
2016-06-29,172.1
2016-06-30,173.45
2016-07-01,179.7
2016-07-04,182.15
2016-07-05,186.85
2016-07-07,184.1
2016-07-08,188.1
2016-07-11,193.7
2016-07-12,192.05
2016-07-13,194.8
2016-07-14,202.6
2016-07-15,200.0
2016-07-18,194.5
2016-07-19,197.5
2016-07-20,201.45
2016-07-21,198.85
2016-07-22,208.95
2016-07-25,216.25
2016-07-26,213.6
2016-07-27,214.75
2016-07-28,212.1
2016-07-29,212.2
2016-08-01,220.2
2016-08-02,215.25
2016-08-03,212.8
2016-08-04,214.15
2016-08-05,217.3
2016-08-08,223.2
2016-08-09,228.15
2016-08-10,223.1
2016-08-11,225.8
2016-08-12,226.45
2016-08-16,228.2
2016-08-17,233.05
2016-08-18,238.95
2016-08-19,236.15
2016-08-22,232.4
2016-08-23,231.85
2016-08-24,233.1
2016-08-25,231.25
2016-08-26,230.45
2016-08-29,227.45
2016-08-30,227.05
2016-08-31,238.35
2016-09-01,238.55
2016-09-02,240.15
2016-09-06,242.1
2016-09-07,239.7
2016-09-08,244.2
2016-09-09,241.65
2016-09-12,226.85
2016-09-14,230.95
2016-09-15,230.0
2016-09-16,232.7
2016-09-19,236.05
2016-09-20,239.25
2016-09-21,241.05
2016-09-22,247.55
2016-09-23,249.2
2016-09-26,249.25
2016-09-27,244.25
2016-09-28,122.15
2016-09-29,116.85
2016-09-30,120.3
2016-10-03,123.9
2016-10-04,129.35
2016-10-05,133.9
2016-10-06,131.35
2016-10-07,131.25
2016-10-10,131.8
2016-10-13,130.1
2016-10-14,130.5
2016-10-17,131.9
2016-10-18,134.6
2016-10-19,135.8
2016-10-20,135.75
2016-10-21,139.25
2016-10-24,137.5
2016-10-25,137.2
2016-10-26,134.1
2016-10-27,135.2
2016-10-28,134.9
2016-10-30,134.9
2016-11-01,132.0
2016-11-02,127.85
2016-11-03,125.55
2016-11-04,123.95
2016-11-07,125.9
2016-11-08,125.4
2016-11-09,128.8
2016-11-10,137.0
2016-11-11,133.0
2016-11-15,125.6
2016-11-16,126.05
2016-11-17,129.05
2016-11-18,132.5
2016-11-21,126.0
2016-11-22,129.45
2016-11-23,133.15
2016-11-24,132.45
2016-11-25,138.4
2016-11-28,135.9
2016-11-29,136.15
2016-11-30,136.9
2016-12-01,135.7
2016-12-02,132.35
2016-12-05,133.4
2016-12-06,133.05
2016-12-07,130.95
2016-12-08,133.15
2016-12-09,135.0
2016-12-12,132.25
2016-12-13,133.1
2016-12-14,130.3
2016-12-15,131.1
2016-12-16,128.9
2016-12-19,129.05
2016-12-20,128.8
2016-12-21,129.9
2016-12-22,127.3
2016-12-23,122.75
2016-12-26,117.4
2016-12-27,118.75
2016-12-28,120.45
2016-12-29,122.75
2016-12-30,124.85
