Date,USHERAGRO
2016-01-01,45.45
2016-01-04,44.7
2016-01-05,44.55
2016-01-06,44.7
2016-01-07,42.6
2016-01-08,43.05
2016-01-11,43.65
2016-01-12,42.8
2016-01-13,40.75
2016-01-14,39.3
2016-01-15,37.2
2016-01-18,35.9
2016-01-19,37.05
2016-01-20,34.25
2016-01-21,34.55
2016-01-22,35.95
2016-01-25,37.4
2016-01-27,38.1
2016-01-28,37.6
2016-01-29,37.8
2016-02-01,37.15
2016-02-02,36.65
2016-02-03,34.85
2016-02-04,33.95
2016-02-05,34.8
2016-02-08,35.0
2016-02-09,33.8
2016-02-10,32.6
2016-02-11,30.75
2016-02-12,29.7
2016-02-15,30.6
2016-02-16,28.5
2016-02-17,29.45
2016-02-18,28.8
2016-02-19,28.7
2016-02-22,29.35
2016-02-23,27.65
2016-02-24,27.4
2016-02-25,26.85
2016-02-26,26.95
2016-02-29,27.35
2016-03-01,28.45
2016-03-02,31.8
2016-03-03,30.8
2016-03-04,30.5
2016-03-08,29.95
2016-03-09,29.3
2016-03-10,28.85
2016-03-11,29.4
2016-03-14,29.45
2016-03-15,28.55
2016-03-16,27.8
2016-03-17,27.7
2016-03-18,27.9
2016-03-21,27.7
2016-03-22,28.2
2016-03-23,27.85
2016-03-28,27.2
2016-03-29,28.05
2016-03-30,28.75
2016-03-31,32.7
2016-04-01,31.5
2016-04-04,30.8
2016-04-05,29.75
2016-04-06,29.9
2016-04-07,30.35
2016-04-08,30.5
2016-04-11,31.55
2016-04-12,32.7
2016-04-13,35.7
2016-04-18,34.85
2016-04-20,34.55
2016-04-21,34.45
2016-04-22,34.65
2016-04-25,34.25
2016-04-26,34.35
2016-04-27,34.3
2016-04-28,33.8
2016-04-29,36.4
2016-05-02,34.6
2016-05-03,34.2
2016-05-04,33.3
2016-05-05,32.9
2016-05-06,32.7
2016-05-09,33.45
2016-05-10,34.3
2016-05-11,34.7
2016-05-12,34.95
2016-05-13,34.15
2016-05-16,33.45
2016-05-17,34.0
2016-05-18,33.75
2016-05-19,34.3
2016-05-20,33.35
2016-05-23,32.2
2016-05-24,29.4
2016-05-25,29.4
2016-05-26,30.25
2016-05-27,29.55
2016-05-30,29.45
2016-05-31,27.65
2016-06-01,25.85
2016-06-02,25.9
2016-06-03,26.9
2016-06-06,26.55
2016-06-07,26.0
2016-06-08,25.3
2016-06-09,24.95
2016-06-10,24.9
2016-06-13,24.95
2016-06-14,24.95
2016-06-15,24.9
2016-06-16,24.85
2016-06-17,24.9
2016-06-20,24.7
2016-06-21,25.35
2016-06-22,25.0
2016-06-23,24.75
2016-06-24,22.5
2016-06-27,21.95
2016-06-28,21.4
2016-06-29,20.35
2016-06-30,19.3
2016-07-01,21.3
2016-07-04,22.1
2016-07-05,23.1
2016-07-07,22.4
2016-07-08,21.2
2016-07-11,21.15
2016-07-12,20.8
2016-07-13,19.85
2016-07-14,20.0
2016-07-15,19.9
2016-07-18,23.25
2016-07-19,24.6
2016-07-20,23.45
2016-07-21,22.8
2016-07-22,22.45
2016-07-25,22.7
2016-07-26,22.55
2016-07-27,23.0
2016-07-28,24.75
2016-07-29,24.15
2016-08-01,22.75
2016-08-02,22.1
2016-08-03,21.45
2016-08-04,20.8
2016-08-05,21.4
2016-08-08,21.1
2016-08-09,21.15
2016-08-10,21.05
2016-08-11,20.15
2016-08-12,20.05
2016-08-16,16.05
2016-08-17,16.3
2016-08-18,15.15
2016-08-19,13.35
2016-08-22,12.6
2016-08-23,13.85
2016-08-24,15.2
2016-08-25,15.5
2016-08-26,14.4
2016-08-29,13.65
2016-08-30,13.95
2016-08-31,13.95
2016-09-01,14.0
2016-09-02,13.1
2016-09-06,13.05
2016-09-07,12.9
2016-09-08,13.0
2016-09-09,13.0
2016-09-12,12.95
2016-09-14,13.0
2016-09-15,12.95
2016-09-16,12.55
2016-09-19,13.05
2016-09-20,12.9
2016-09-21,12.0
2016-09-22,11.95
2016-09-23,12.05
2016-09-26,12.0
2016-09-27,12.25
2016-09-28,12.15
2016-09-29,11.15
2016-09-30,11.6
2016-10-03,10.95
2016-10-04,10.05
2016-10-05,9.2
2016-10-06,9.65
2016-10-07,10.1
2016-10-10,10.6
2016-10-13,11.1
2016-10-14,11.65
2016-10-17,12.2
2016-10-18,12.8
2016-10-19,13.4
2016-10-20,14.05
2016-10-21,13.8
2016-10-24,13.15
2016-10-25,12.5
2016-10-26,13.1
2016-10-27,13.75
2016-10-28,13.35
2016-10-30,13.65
2016-11-01,13.3
2016-11-02,13.05
2016-11-03,12.8
2016-11-04,12.5
2016-11-07,12.7
2016-11-08,12.65
2016-11-09,12.05
2016-11-10,12.25
2016-11-11,12.05
2016-11-15,11.45
2016-11-16,10.9
2016-11-17,10.4
2016-11-18,9.9
2016-11-21,9.45
2016-11-22,9.9
2016-11-23,10.35
2016-11-24,9.85
2016-11-25,9.6
2016-11-28,10.0
2016-11-29,10.15
2016-11-30,10.05
2016-12-01,10.1
2016-12-02,10.3
2016-12-05,10.25
2016-12-06,10.5
2016-12-07,10.5
2016-12-08,11.0
2016-12-09,11.55
2016-12-12,12.1
2016-12-13,12.7
2016-12-14,13.25
2016-12-15,12.6
2016-12-16,12.0
2016-12-19,11.4
2016-12-20,10.85
2016-12-21,10.95
2016-12-22,11.0
2016-12-23,11.2
2016-12-26,10.85
2016-12-27,10.95
2016-12-28,11.25
2016-12-29,11.0
2016-12-30,11.5
