Date,GSCLCEMENT
2016-01-01,27.25
2016-01-04,26.4
2016-01-05,26.9
2016-01-06,26.8
2016-01-07,25.95
2016-01-08,26.55
2016-01-11,25.8
2016-01-12,25.45
2016-01-13,24.9
2016-01-14,24.85
2016-01-15,23.7
2016-01-18,22.45
2016-01-19,23.1
2016-01-20,22.3
2016-01-21,22.3
2016-01-22,23.65
2016-01-25,23.45
2016-01-27,24.0
2016-01-28,23.7
2016-01-29,23.7
2016-02-01,24.1
2016-02-02,26.4
2016-02-03,25.65
2016-02-04,25.45
2016-02-05,25.65
2016-02-08,25.05
2016-02-09,24.7
2016-02-10,24.05
2016-02-11,22.65
2016-02-12,22.4
2016-02-15,23.2
2016-02-16,22.8
2016-02-17,22.35
2016-02-18,22.75
2016-02-19,23.6
2016-02-22,23.8
2016-02-23,23.15
2016-02-24,23.2
2016-02-25,22.45
2016-02-26,22.75
2016-02-29,22.6
2016-03-01,22.95
2016-03-02,22.95
2016-03-03,23.25
2016-03-04,23.25
2016-03-08,23.25
2016-03-09,23.2
2016-03-10,23.0
2016-03-11,23.2
2016-03-14,23.1
2016-03-15,23.0
2016-03-16,24.75
2016-03-17,24.35
2016-03-18,24.75
2016-03-21,26.15
2016-03-22,25.75
2016-03-23,25.75
2016-03-28,24.75
2016-03-29,23.8
2016-03-30,24.55
2016-03-31,24.45
2016-04-01,26.05
2016-04-04,26.4
2016-04-05,25.85
2016-04-06,26.55
2016-04-07,27.35
2016-04-08,31.1
2016-04-11,30.15
2016-04-12,29.2
2016-04-13,29.4
2016-04-18,29.75
2016-04-20,29.8
2016-04-21,28.65
2016-04-22,29.8
2016-04-25,30.4
2016-04-26,29.65
2016-04-27,28.95
2016-04-28,28.05
2016-04-29,27.35
2016-05-02,28.0
2016-05-03,28.2
2016-05-04,27.35
2016-05-05,27.6
2016-05-06,26.95
2016-05-09,27.85
2016-05-10,27.9
2016-05-11,27.4
2016-05-12,27.55
2016-05-13,27.25
2016-05-16,27.25
2016-05-17,27.25
2016-05-18,27.05
2016-05-19,27.2
2016-05-20,25.3
2016-05-23,25.05
2016-05-24,24.3
2016-05-25,25.6
2016-05-26,26.85
2016-05-27,26.55
2016-05-30,25.2
2016-05-31,25.15
2016-06-01,25.6
2016-06-02,25.8
2016-06-03,25.0
2016-06-06,25.05
2016-06-07,24.75
2016-06-08,25.4
2016-06-09,26.2
2016-06-10,26.35
2016-06-13,27.75
2016-06-14,28.6
2016-06-15,28.5
2016-06-16,27.55
2016-06-17,28.65
2016-06-20,29.55
2016-06-21,29.25
2016-06-22,28.45
2016-06-23,28.7
2016-06-24,27.75
2016-06-27,28.55
2016-06-28,29.95
2016-06-29,31.1
2016-06-30,30.65
2016-07-01,30.05
2016-07-04,30.1
2016-07-05,29.8
2016-07-07,29.8
2016-07-08,29.65
2016-07-11,29.8
2016-07-12,30.1
2016-07-13,29.05
2016-07-14,29.55
2016-07-15,29.05
2016-07-18,28.7
2016-07-19,28.8
2016-07-20,29.05
2016-07-21,29.75
2016-07-22,30.45
2016-07-25,30.7
2016-07-26,30.65
2016-07-27,31.15
2016-07-28,32.2
2016-07-29,33.7
2016-08-01,32.6
2016-08-02,33.9
2016-08-03,32.25
2016-08-04,31.65
2016-08-05,32.15
2016-08-08,32.8
2016-08-09,31.9
2016-08-10,30.9
2016-08-11,30.3
2016-08-12,30.75
2016-08-16,30.3
2016-08-17,29.75
2016-08-18,30.25
2016-08-19,30.95
2016-08-22,33.35
2016-08-23,33.0
2016-08-24,33.0
2016-08-25,32.35
2016-08-26,33.45
2016-08-29,33.0
2016-08-30,32.8
2016-08-31,32.25
2016-09-01,31.4
2016-09-02,31.55
2016-09-06,31.95
2016-09-07,32.0
2016-09-08,31.4
2016-09-09,31.7
2016-09-12,31.45
2016-09-14,31.4
2016-09-15,31.25
2016-09-16,31.65
2016-09-19,31.6
2016-09-20,31.5
2016-09-21,30.75
2016-09-22,30.85
2016-09-23,30.2
2016-09-26,29.95
2016-09-27,29.95
2016-09-28,29.9
2016-09-29,28.1
2016-09-30,29.3
2016-10-03,29.9
2016-10-04,30.35
2016-10-05,32.6
2016-10-06,31.8
2016-10-07,31.55
2016-10-10,32.05
2016-10-13,30.95
2016-10-14,31.85
2016-10-17,31.75
2016-10-18,31.65
2016-10-19,31.5
2016-10-20,31.6
2016-10-21,31.6
2016-10-24,32.2
2016-10-25,29.4
2016-10-26,29.25
2016-10-27,29.25
2016-10-28,29.75
2016-10-30,30.45
2016-11-01,29.9
2016-11-02,29.3
2016-11-03,29.4
2016-11-04,28.25
2016-11-07,28.4
2016-11-08,28.3
2016-11-09,26.75
2016-11-10,27.65
2016-11-11,25.55
2016-11-15,23.65
2016-11-16,23.5
2016-11-17,23.3
2016-11-18,23.05
2016-11-21,22.9
2016-11-22,23.4
2016-11-23,24.55
2016-11-24,24.9
2016-11-25,25.75
2016-11-28,24.85
2016-11-29,25.2
2016-11-30,25.7
2016-12-01,25.9
2016-12-02,25.3
2016-12-05,25.85
2016-12-06,27.25
2016-12-07,27.1
2016-12-08,26.45
2016-12-09,26.15
2016-12-12,25.8
2016-12-13,25.7
2016-12-14,25.05
2016-12-15,25.05
2016-12-16,25.5
2016-12-19,24.75
2016-12-20,24.7
2016-12-21,24.95
2016-12-22,23.7
2016-12-23,23.55
2016-12-26,23.55
2016-12-27,23.75
2016-12-28,23.65
2016-12-29,23.95
2016-12-30,24.25
