Date,MANALIPETC
2016-01-01,30.4
2016-01-04,31.15
2016-01-05,31.95
2016-01-06,31.05
2016-01-07,30.1
2016-01-08,29.9
2016-01-11,28.95
2016-01-12,27.8
2016-01-13,27.0
2016-01-14,26.8
2016-01-15,25.1
2016-01-18,23.0
2016-01-19,25.75
2016-01-20,24.9
2016-01-21,25.65
2016-01-22,26.15
2016-01-25,26.4
2016-01-27,25.3
2016-01-28,26.7
2016-01-29,27.0
2016-02-01,27.4
2016-02-02,25.1
2016-02-03,24.95
2016-02-04,24.8
2016-02-05,25.1
2016-02-08,24.85
2016-02-09,24.8
2016-02-10,24.85
2016-02-11,23.0
2016-02-12,23.4
2016-02-15,24.05
2016-02-16,23.8
2016-02-17,23.95
2016-02-18,23.7
2016-02-19,23.95
2016-02-22,24.2
2016-02-23,23.85
2016-02-24,23.25
2016-02-25,23.25
2016-02-26,22.9
2016-02-29,22.85
2016-03-01,23.6
2016-03-02,24.8
2016-03-03,24.85
2016-03-04,25.25
2016-03-08,25.6
2016-03-09,25.2
2016-03-10,24.95
2016-03-11,25.1
2016-03-14,25.15
2016-03-15,24.8
2016-03-16,25.15
2016-03-17,25.5
2016-03-18,25.45
2016-03-21,25.0
2016-03-22,25.0
2016-03-23,25.05
2016-03-28,24.55
2016-03-29,24.45
2016-03-30,25.25
2016-03-31,25.15
2016-04-01,25.55
2016-04-04,26.35
2016-04-05,25.65
2016-04-06,26.55
2016-04-07,26.3
2016-04-08,28.05
2016-04-11,28.15
2016-04-12,28.3
2016-04-13,28.05
2016-04-18,27.75
2016-04-20,28.4
2016-04-21,28.3
2016-04-22,28.65
2016-04-25,30.15
2016-04-26,29.55
2016-04-27,30.0
2016-04-28,29.05
2016-04-29,29.35
2016-05-02,29.45
2016-05-03,28.8
2016-05-04,28.2
2016-05-05,28.2
2016-05-06,28.1
2016-05-09,28.55
2016-05-10,28.7
2016-05-11,29.5
2016-05-12,29.8
2016-05-13,29.5
2016-05-16,29.75
2016-05-17,30.05
2016-05-18,30.75
2016-05-19,30.7
2016-05-20,31.1
2016-05-23,30.45
2016-05-24,28.85
2016-05-25,28.55
2016-05-26,27.7
2016-05-27,26.95
2016-05-30,27.3
2016-05-31,27.85
2016-06-01,28.15
2016-06-02,29.55
2016-06-03,30.1
2016-06-06,30.65
2016-06-07,30.8
2016-06-08,30.85
2016-06-09,30.65
2016-06-10,30.7
2016-06-13,29.8
2016-06-14,29.65
2016-06-15,31.9
2016-06-16,33.25
2016-06-17,33.1
2016-06-20,33.9
2016-06-21,34.6
2016-06-22,33.15
2016-06-23,32.4
2016-06-24,31.9
2016-06-27,32.55
2016-06-28,33.6
2016-06-29,33.55
2016-06-30,33.5
2016-07-01,33.4
2016-07-04,33.6
2016-07-05,32.4
2016-07-07,32.4
2016-07-08,32.25
2016-07-11,32.95
2016-07-12,32.3
2016-07-13,31.5
2016-07-14,31.6
2016-07-15,31.2
2016-07-18,30.85
2016-07-19,30.95
2016-07-20,30.85
2016-07-21,33.4
2016-07-22,32.85
2016-07-25,33.75
2016-07-26,33.7
2016-07-27,35.3
2016-07-28,34.0
2016-07-29,33.8
2016-08-01,33.1
2016-08-02,32.9
2016-08-03,31.95
2016-08-04,32.05
2016-08-05,30.4
2016-08-08,30.05
2016-08-09,29.4
2016-08-10,28.85
2016-08-11,28.85
2016-08-12,28.6
2016-08-16,28.5
2016-08-17,28.9
2016-08-18,30.25
2016-08-19,29.95
2016-08-22,30.25
2016-08-23,29.9
2016-08-24,30.75
2016-08-25,30.5
2016-08-26,30.3
2016-08-29,30.75
2016-08-30,31.2
2016-08-31,30.75
2016-09-01,30.65
2016-09-02,30.7
2016-09-06,31.05
2016-09-07,31.05
2016-09-08,31.25
2016-09-09,31.9
2016-09-12,30.9
2016-09-14,33.75
2016-09-15,32.8
2016-09-16,33.9
2016-09-19,34.05
2016-09-20,33.95
2016-09-21,33.6
2016-09-22,33.35
2016-09-23,32.75
2016-09-26,32.8
2016-09-27,32.55
2016-09-28,33.15
2016-09-29,31.3
2016-09-30,32.5
2016-10-03,37.8
2016-10-04,41.3
2016-10-05,40.15
2016-10-06,41.55
2016-10-07,42.25
2016-10-10,43.65
2016-10-13,44.7
2016-10-14,46.55
2016-10-17,45.65
2016-10-18,46.4
2016-10-19,45.1
2016-10-20,43.65
2016-10-21,44.85
2016-10-24,46.35
2016-10-25,45.4
2016-10-26,45.5
2016-10-27,44.25
2016-10-28,44.9
2016-10-30,45.15
2016-11-01,45.2
2016-11-02,44.15
2016-11-03,43.85
2016-11-04,40.45
2016-11-07,41.0
2016-11-08,36.15
2016-11-09,35.15
2016-11-10,37.25
2016-11-11,34.95
2016-11-15,31.8
2016-11-16,30.7
2016-11-17,31.3
2016-11-18,32.4
2016-11-21,30.7
2016-11-22,30.35
2016-11-23,32.0
2016-11-24,33.25
2016-11-25,34.1
2016-11-28,35.5
2016-11-29,35.45
2016-11-30,35.45
2016-12-01,34.4
2016-12-02,33.5
2016-12-05,34.25
2016-12-06,34.05
2016-12-07,34.05
2016-12-08,34.5
2016-12-09,36.9
2016-12-12,34.8
2016-12-13,34.65
2016-12-14,34.35
2016-12-15,34.5
2016-12-16,34.55
2016-12-19,34.55
2016-12-20,33.9
2016-12-21,34.25
2016-12-22,33.55
2016-12-23,33.55
2016-12-26,32.4
2016-12-27,31.85
2016-12-28,32.8
2016-12-29,32.95
2016-12-30,33.05
