Date,FDC
2016-01-01,230.55
2016-01-04,226.4
2016-01-05,228.0
2016-01-06,228.75
2016-01-07,219.4
2016-01-08,221.1
2016-01-11,212.9
2016-01-12,213.85
2016-01-13,202.75
2016-01-14,203.85
2016-01-15,192.5
2016-01-18,185.2
2016-01-19,195.6
2016-01-20,192.5
2016-01-21,189.35
2016-01-22,191.35
2016-01-25,199.75
2016-01-27,197.25
2016-01-28,194.0
2016-01-29,195.8
2016-02-01,193.65
2016-02-02,192.2
2016-02-03,192.0
2016-02-04,186.2
2016-02-05,187.15
2016-02-08,180.8
2016-02-09,181.05
2016-02-10,183.1
2016-02-11,181.25
2016-02-12,172.4
2016-02-15,179.95
2016-02-16,179.7
2016-02-17,181.95
2016-02-18,178.6
2016-02-19,181.95
2016-02-22,180.05
2016-02-23,181.2
2016-02-24,180.5
2016-02-25,181.15
2016-02-26,181.6
2016-02-29,180.1
2016-03-01,182.95
2016-03-02,185.45
2016-03-03,186.5
2016-03-04,188.55
2016-03-08,188.35
2016-03-09,189.15
2016-03-10,187.65
2016-03-11,185.6
2016-03-14,187.2
2016-03-15,185.1
2016-03-16,185.35
2016-03-17,185.3
2016-03-18,181.4
2016-03-21,177.4
2016-03-22,179.75
2016-03-23,179.45
2016-03-28,177.9
2016-03-29,178.85
2016-03-30,176.6
2016-03-31,185.2
2016-04-01,181.8
2016-04-04,183.05
2016-04-05,186.3
2016-04-06,182.7
2016-04-07,182.8
2016-04-08,182.8
2016-04-11,185.05
2016-04-12,187.0
2016-04-13,187.0
2016-04-18,187.95
2016-04-20,185.7
2016-04-21,184.95
2016-04-22,184.2
2016-04-25,179.65
2016-04-26,180.55
2016-04-27,179.85
2016-04-28,176.0
2016-04-29,180.35
2016-05-02,177.9
2016-05-03,181.7
2016-05-04,180.75
2016-05-05,179.35
2016-05-06,179.05
2016-05-09,179.4
2016-05-10,181.05
2016-05-11,179.3
2016-05-12,179.5
2016-05-13,179.6
2016-05-16,181.55
2016-05-17,181.0
2016-05-18,184.95
2016-05-19,185.05
2016-05-20,182.65
2016-05-23,182.95
2016-05-24,182.25
2016-05-25,182.8
2016-05-26,183.55
2016-05-27,188.1
2016-05-30,188.0
2016-05-31,186.75
2016-06-01,182.55
2016-06-02,181.3
2016-06-03,182.45
2016-06-06,180.55
2016-06-07,178.9
2016-06-08,178.7
2016-06-09,180.6
2016-06-10,181.65
2016-06-13,178.5
2016-06-14,177.5
2016-06-15,176.95
2016-06-16,181.0
2016-06-17,179.65
2016-06-20,179.7
2016-06-21,178.25
2016-06-22,176.35
2016-06-23,179.8
2016-06-24,182.8
2016-06-27,182.6
2016-06-28,181.95
2016-06-29,181.45
2016-06-30,186.35
2016-07-01,184.25
2016-07-04,195.75
2016-07-05,193.15
2016-07-07,192.85
2016-07-08,192.35
2016-07-11,192.3
2016-07-12,190.35
2016-07-13,188.25
2016-07-14,190.7
2016-07-15,192.85
2016-07-18,188.55
2016-07-19,188.75
2016-07-20,189.7
2016-07-21,187.45
2016-07-22,184.45
2016-07-25,184.55
2016-07-26,186.0
2016-07-27,187.7
2016-07-28,191.45
2016-07-29,190.7
2016-08-01,188.45
2016-08-02,185.9
2016-08-03,185.75
2016-08-04,183.55
2016-08-05,185.9
2016-08-08,183.95
2016-08-09,183.0
2016-08-10,181.1
2016-08-11,181.25
2016-08-12,182.6
2016-08-16,182.45
2016-08-17,184.5
2016-08-18,186.05
2016-08-19,188.65
2016-08-22,189.4
2016-08-23,189.95
2016-08-24,190.9
2016-08-25,191.5
2016-08-26,191.6
2016-08-29,190.6
2016-08-30,190.0
2016-08-31,188.95
2016-09-01,187.05
2016-09-02,195.7
2016-09-06,201.35
2016-09-07,217.5
2016-09-08,217.05
2016-09-09,224.3
2016-09-12,223.2
2016-09-14,233.25
2016-09-15,230.2
2016-09-16,225.7
2016-09-19,228.05
2016-09-20,223.85
2016-09-21,225.85
2016-09-22,226.85
2016-09-23,222.8
2016-09-26,221.8
2016-09-27,219.9
2016-09-28,222.6
2016-09-29,209.8
2016-09-30,214.6
2016-10-03,220.85
2016-10-04,225.45
2016-10-05,223.65
2016-10-06,222.3
2016-10-07,220.4
2016-10-10,220.15
2016-10-13,220.6
2016-10-14,217.4
2016-10-17,218.25
2016-10-18,217.95
2016-10-19,216.4
2016-10-20,215.8
2016-10-21,216.55
2016-10-24,219.5
2016-10-25,223.65
2016-10-26,226.05
2016-10-27,224.0
2016-10-28,225.8
2016-10-30,227.5
2016-11-01,225.3
2016-11-02,224.85
2016-11-03,221.05
2016-11-04,215.3
2016-11-07,216.85
2016-11-08,216.15
2016-11-09,213.15
2016-11-10,226.65
2016-11-11,223.75
2016-11-15,215.35
2016-11-16,218.55
2016-11-17,211.5
2016-11-18,217.6
2016-11-21,209.4
2016-11-22,205.45
2016-11-23,211.3
2016-11-24,214.15
2016-11-25,214.0
2016-11-28,213.15
2016-11-29,213.95
2016-11-30,218.9
2016-12-01,216.5
2016-12-02,218.45
2016-12-05,223.2
2016-12-06,223.3
2016-12-07,218.85
2016-12-08,221.45
2016-12-09,223.0
2016-12-12,220.75
2016-12-13,216.95
2016-12-14,221.05
2016-12-15,224.9
2016-12-16,224.6
2016-12-19,221.3
2016-12-20,216.95
2016-12-21,213.7
2016-12-22,209.6
2016-12-23,206.85
2016-12-26,210.15
2016-12-27,213.45
2016-12-28,216.35
2016-12-29,221.2
2016-12-30,221.05
