Date,ZICOM
2016-01-01,134.1
2016-01-04,130.25
2016-01-05,131.3
2016-01-06,129.55
2016-01-07,123.4
2016-01-08,125.1
2016-01-11,123.2
2016-01-12,121.45
2016-01-13,116.85
2016-01-14,114.5
2016-01-15,107.7
2016-01-18,95.35
2016-01-19,98.4
2016-01-20,92.2
2016-01-21,88.5
2016-01-22,91.25
2016-01-25,94.15
2016-01-27,92.1
2016-01-28,91.85
2016-01-29,98.35
2016-02-01,101.55
2016-02-02,98.4
2016-02-03,95.45
2016-02-04,95.25
2016-02-05,96.0
2016-02-08,82.95
2016-02-09,77.65
2016-02-10,71.75
2016-02-11,66.5
2016-02-12,70.15
2016-02-15,71.8
2016-02-16,67.9
2016-02-17,66.75
2016-02-18,69.35
2016-02-19,75.8
2016-02-22,71.9
2016-02-23,69.75
2016-02-24,69.75
2016-02-25,73.25
2016-02-26,71.6
2016-02-29,67.8
2016-03-01,70.45
2016-03-02,75.8
2016-03-03,76.65
2016-03-04,81.3
2016-03-08,80.2
2016-03-09,80.6
2016-03-10,79.55
2016-03-11,78.65
2016-03-14,78.7
2016-03-15,77.9
2016-03-16,75.0
2016-03-17,74.25
2016-03-18,72.9
2016-03-21,75.0
2016-03-22,77.75
2016-03-23,78.35
2016-03-28,82.75
2016-03-29,79.8
2016-03-30,79.55
2016-03-31,79.95
2016-04-01,79.7
2016-04-04,80.15
2016-04-05,78.2
2016-04-06,78.85
2016-04-07,78.5
2016-04-08,79.25
2016-04-11,79.45
2016-04-12,79.65
2016-04-13,79.75
2016-04-18,80.5
2016-04-20,79.85
2016-04-21,79.65
2016-04-22,78.9
2016-04-25,77.85
2016-04-26,79.45
2016-04-27,78.95
2016-04-28,77.95
2016-04-29,76.8
2016-05-02,75.45
2016-05-03,74.3
2016-05-04,70.95
2016-05-05,68.35
2016-05-06,67.25
2016-05-09,68.9
2016-05-10,67.35
2016-05-11,62.65
2016-05-12,57.85
2016-05-13,60.55
2016-05-16,60.85
2016-05-17,59.0
2016-05-18,59.0
2016-05-19,58.35
2016-05-20,58.1
2016-05-23,59.6
2016-05-24,59.1
2016-05-25,57.25
2016-05-26,57.95
2016-05-27,58.1
2016-05-30,49.9
2016-05-31,46.9
2016-06-01,44.2
2016-06-02,39.0
2016-06-03,38.8
2016-06-06,37.75
2016-06-07,40.15
2016-06-08,41.05
2016-06-09,42.95
2016-06-10,47.2
2016-06-13,49.2
2016-06-14,49.35
2016-06-15,47.5
2016-06-16,46.4
2016-06-17,46.35
2016-06-20,45.2
2016-06-21,45.05
2016-06-22,44.45
2016-06-23,44.65
2016-06-24,42.6
2016-06-27,43.8
2016-06-28,45.85
2016-06-29,48.1
2016-06-30,47.4
2016-07-01,46.7
2016-07-04,48.05
2016-07-05,47.8
2016-07-07,48.0
2016-07-08,47.3
2016-07-11,47.3
2016-07-12,46.55
2016-07-13,46.5
2016-07-14,45.9
2016-07-15,45.1
2016-07-18,46.95
2016-07-19,46.45
2016-07-20,45.6
2016-07-21,45.3
2016-07-22,45.55
2016-07-25,45.9
2016-07-26,45.25
2016-07-27,44.85
2016-07-28,44.9
2016-07-29,44.75
2016-08-01,43.5
2016-08-02,42.4
2016-08-03,43.25
2016-08-04,42.95
2016-08-05,44.55
2016-08-08,43.75
2016-08-09,43.75
2016-08-10,42.55
2016-08-11,42.35
2016-08-12,41.45
2016-08-16,40.25
2016-08-17,41.1
2016-08-18,40.95
2016-08-19,40.15
2016-08-22,39.85
2016-08-23,39.6
2016-08-24,41.3
2016-08-25,41.0
2016-08-26,40.25
2016-08-29,39.95
2016-08-30,47.9
2016-08-31,46.9
2016-09-01,43.95
2016-09-02,43.35
2016-09-06,49.85
2016-09-07,48.3
2016-09-08,48.95
2016-09-09,48.0
2016-09-12,46.15
2016-09-14,47.9
2016-09-15,47.05
2016-09-16,45.3
2016-09-19,45.2
2016-09-20,45.3
2016-09-21,45.55
2016-09-22,43.7
2016-09-23,43.8
2016-09-26,44.55
2016-09-27,44.15
2016-09-28,43.8
2016-09-29,39.85
2016-09-30,41.15
2016-10-03,42.0
2016-10-04,43.85
2016-10-05,44.0
2016-10-06,43.2
2016-10-07,42.85
2016-10-10,43.8
2016-10-13,47.4
2016-10-14,45.95
2016-10-17,44.6
2016-10-18,44.55
2016-10-19,45.85
2016-10-20,45.3
2016-10-21,45.4
2016-10-24,45.25
2016-10-25,45.45
2016-10-26,46.0
2016-10-27,45.05
2016-10-28,44.95
2016-10-30,45.7
2016-11-01,44.55
2016-11-02,44.8
2016-11-03,44.55
2016-11-04,42.7
2016-11-07,43.05
2016-11-08,42.75
2016-11-09,41.05
2016-11-10,43.0
2016-11-11,41.15
2016-11-15,38.95
2016-11-16,38.25
2016-11-17,38.35
2016-11-18,38.3
2016-11-21,36.6
2016-11-22,37.4
2016-11-23,37.8
2016-11-24,37.45
2016-11-25,38.25
2016-11-28,40.0
2016-11-29,40.6
2016-11-30,41.45
2016-12-01,41.25
2016-12-02,40.2
2016-12-05,39.95
2016-12-06,40.35
2016-12-07,40.1
2016-12-08,40.85
2016-12-09,41.0
2016-12-12,44.05
2016-12-13,44.1
2016-12-14,41.85
2016-12-15,41.4
2016-12-16,40.4
2016-12-19,40.4
2016-12-20,40.45
2016-12-21,44.05
2016-12-22,42.55
2016-12-23,42.85
2016-12-26,41.05
2016-12-27,41.65
2016-12-28,41.6
2016-12-29,41.65
2016-12-30,41.35
