Date,ISFT
2016-01-01,426.25
2016-01-04,412.55
2016-01-05,414.8
2016-01-06,409.4
2016-01-07,382.45
2016-01-08,396.95
2016-01-11,396.0
2016-01-12,384.1
2016-01-13,369.05
2016-01-14,347.55
2016-01-15,328.95
2016-01-18,301.25
2016-01-19,298.5
2016-01-20,261.6
2016-01-21,277.55
2016-01-22,313.35
2016-01-25,314.8
2016-01-27,304.7
2016-01-28,306.6
2016-01-29,310.1
2016-02-01,313.9
2016-02-02,306.3
2016-02-03,296.45
2016-02-04,308.9
2016-02-05,296.05
2016-02-08,323.95
2016-02-09,316.65
2016-02-10,296.55
2016-02-11,278.3
2016-02-12,269.5
2016-02-15,306.6
2016-02-16,290.6
2016-02-17,295.15
2016-02-18,294.55
2016-02-19,290.85
2016-02-22,298.5
2016-02-23,288.7
2016-02-24,291.5
2016-02-25,284.65
2016-02-26,277.95
2016-02-29,275.3
2016-03-01,293.55
2016-03-02,294.2
2016-03-03,302.75
2016-03-04,321.6
2016-03-08,330.35
2016-03-09,339.8
2016-03-10,339.6
2016-03-11,337.2
2016-03-14,359.35
2016-03-15,354.25
2016-03-16,361.45
2016-03-17,365.8
2016-03-18,363.35
2016-03-21,367.15
2016-03-22,366.35
2016-03-23,360.05
2016-03-28,343.7
2016-03-29,348.25
2016-03-30,371.2
2016-03-31,379.8
2016-04-01,396.7
2016-04-04,409.3
2016-04-05,397.05
2016-04-06,420.25
2016-04-07,427.1
2016-04-08,424.25
2016-04-11,423.1
2016-04-12,431.7
2016-04-13,434.25
2016-04-18,444.8
2016-04-20,439.55
2016-04-21,436.05
2016-04-22,438.2
2016-04-25,464.7
2016-04-26,460.45
2016-04-27,459.15
2016-04-28,445.65
2016-04-29,446.85
2016-05-02,437.65
2016-05-03,435.1
2016-05-04,424.25
2016-05-05,420.8
2016-05-06,413.45
2016-05-09,428.95
2016-05-10,422.1
2016-05-11,395.75
2016-05-12,383.8
2016-05-13,379.9
2016-05-16,366.9
2016-05-17,389.15
2016-05-18,392.95
2016-05-19,376.8
2016-05-20,371.6
2016-05-23,371.7
2016-05-24,378.05
2016-05-25,386.5
2016-05-26,387.85
2016-05-27,400.25
2016-05-30,377.5
2016-05-31,372.8
2016-06-01,374.6
2016-06-02,380.55
2016-06-03,421.2
2016-06-06,418.05
2016-06-07,408.5
2016-06-08,414.45
2016-06-09,412.65
2016-06-10,402.8
2016-06-13,404.4
2016-06-14,400.25
2016-06-15,398.4
2016-06-16,384.35
2016-06-17,404.1
2016-06-20,394.4
2016-06-21,385.35
2016-06-22,388.5
2016-06-23,383.35
2016-06-24,379.7
2016-06-27,387.15
2016-06-28,383.9
2016-06-29,390.05
2016-06-30,411.3
2016-07-01,430.15
2016-07-04,425.55
2016-07-05,443.35
2016-07-07,440.85
2016-07-08,436.15
2016-07-11,437.45
2016-07-12,431.6
2016-07-13,426.35
2016-07-14,452.65
2016-07-15,437.35
2016-07-18,443.7
2016-07-19,435.05
2016-07-20,439.2
2016-07-21,460.65
2016-07-22,472.45
2016-07-25,483.35
2016-07-26,488.15
2016-07-27,489.35
2016-07-28,493.3
2016-07-29,489.25
2016-08-01,488.4
2016-08-02,467.45
2016-08-03,454.1
2016-08-04,455.8
2016-08-05,457.3
2016-08-08,462.85
2016-08-09,471.1
2016-08-10,450.45
2016-08-11,439.35
2016-08-12,433.6
2016-08-16,431.45
2016-08-17,433.75
2016-08-18,438.75
2016-08-19,437.05
2016-08-22,431.85
2016-08-23,447.1
2016-08-24,458.7
2016-08-25,438.1
2016-08-26,434.2
2016-08-29,428.2
2016-08-30,439.15
2016-08-31,434.65
2016-09-01,424.95
2016-09-02,407.7
2016-09-06,404.0
2016-09-07,392.55
2016-09-08,410.5
2016-09-09,392.55
2016-09-12,380.45
2016-09-14,392.25
2016-09-15,390.05
2016-09-16,377.9
2016-09-19,386.05
2016-09-20,378.5
2016-09-21,376.5
2016-09-22,391.15
2016-09-23,392.85
2016-09-26,386.05
2016-09-27,386.75
2016-09-28,391.95
2016-09-29,373.5
2016-09-30,390.85
2016-10-03,416.8
2016-10-04,425.4
2016-10-05,415.75
2016-10-06,415.35
2016-10-07,423.85
2016-10-10,430.65
2016-10-13,414.2
2016-10-14,421.8
2016-10-17,456.2
2016-10-18,457.35
2016-10-19,485.5
2016-10-20,481.95
2016-10-21,477.9
2016-10-24,506.8
2016-10-25,511.8
2016-10-26,507.65
2016-10-27,506.15
2016-10-28,506.5
2016-10-30,517.45
2016-11-01,556.6
2016-11-02,531.9
2016-11-03,518.4
2016-11-04,498.15
2016-11-07,506.3
2016-11-08,478.95
2016-11-09,453.45
2016-11-10,450.45
2016-11-11,430.45
2016-11-15,408.65
2016-11-16,418.25
2016-11-17,402.25
2016-11-18,405.5
2016-11-21,398.75
2016-11-22,403.7
2016-11-23,426.0
2016-11-24,422.95
2016-11-25,435.3
2016-11-28,452.8
2016-11-29,457.3
2016-11-30,460.05
2016-12-01,454.1
2016-12-02,438.3
2016-12-05,436.05
2016-12-06,444.2
2016-12-07,438.25
2016-12-08,460.85
2016-12-09,466.6
2016-12-12,441.9
2016-12-13,448.2
2016-12-14,439.0
2016-12-15,436.8
2016-12-16,442.35
2016-12-19,436.85
2016-12-20,425.25
2016-12-21,428.65
2016-12-22,414.75
2016-12-23,414.1
2016-12-26,391.1
2016-12-27,405.45
2016-12-28,410.95
2016-12-29,411.25
2016-12-30,422.7
