Date,CAREERP
2016-01-01,138.75
2016-01-04,135.05
2016-01-05,135.6
2016-01-06,133.55
2016-01-07,130.8
2016-01-08,131.75
2016-01-11,129.95
2016-01-12,129.6
2016-01-13,126.0
2016-01-14,124.65
2016-01-15,121.2
2016-01-18,110.8
2016-01-19,115.65
2016-01-20,112.1
2016-01-21,113.25
2016-01-22,117.2
2016-01-25,115.95
2016-01-27,117.1
2016-01-28,114.45
2016-01-29,114.55
2016-02-01,113.7
2016-02-02,114.15
2016-02-03,112.4
2016-02-04,111.45
2016-02-05,110.85
2016-02-08,114.7
2016-02-09,112.8
2016-02-10,111.5
2016-02-11,102.2
2016-02-12,102.3
2016-02-15,106.05
2016-02-16,100.95
2016-02-17,98.6
2016-02-18,99.15
2016-02-19,104.05
2016-02-22,112.1
2016-02-23,108.15
2016-02-24,104.1
2016-02-25,102.05
2016-02-26,103.7
2016-02-29,103.9
2016-03-01,105.7
2016-03-02,106.2
2016-03-03,106.85
2016-03-04,106.25
2016-03-08,102.95
2016-03-09,100.9
2016-03-10,101.85
2016-03-11,102.6
2016-03-14,103.9
2016-03-15,103.1
2016-03-16,104.1
2016-03-17,107.6
2016-03-18,106.7
2016-03-21,107.1
2016-03-22,114.9
2016-03-23,112.85
2016-03-28,111.35
2016-03-29,108.05
2016-03-30,110.15
2016-03-31,109.6
2016-04-01,112.25
2016-04-04,113.0
2016-04-05,107.0
2016-04-06,112.8
2016-04-07,108.9
2016-04-08,111.85
2016-04-11,114.65
2016-04-12,115.65
2016-04-13,117.9
2016-04-18,118.5
2016-04-20,122.8
2016-04-21,118.8
2016-04-22,120.15
2016-04-25,119.95
2016-04-26,119.4
2016-04-27,117.95
2016-04-28,116.85
2016-04-29,118.0
2016-05-02,117.15
2016-05-03,117.8
2016-05-04,117.85
2016-05-05,117.3
2016-05-06,117.3
2016-05-09,118.1
2016-05-10,114.65
2016-05-11,114.75
2016-05-12,113.55
2016-05-13,111.7
2016-05-16,111.65
2016-05-17,115.75
2016-05-18,113.55
2016-05-19,112.0
2016-05-20,112.4
2016-05-23,113.2
2016-05-24,110.0
2016-05-25,111.8
2016-05-26,110.8
2016-05-27,110.3
2016-05-30,109.55
2016-05-31,109.45
2016-06-01,108.9
2016-06-02,107.3
2016-06-03,108.4
2016-06-06,109.85
2016-06-07,110.45
2016-06-08,109.85
2016-06-09,109.8
2016-06-10,109.15
2016-06-13,107.4
2016-06-14,109.2
2016-06-15,109.65
2016-06-16,107.7
2016-06-17,107.95
2016-06-20,107.35
2016-06-21,107.4
2016-06-22,110.2
2016-06-23,108.3
2016-06-24,105.6
2016-06-27,107.1
2016-06-28,109.0
2016-06-29,110.0
2016-06-30,113.8
2016-07-01,117.6
2016-07-04,120.2
2016-07-05,114.95
2016-07-07,118.1
2016-07-08,117.75
2016-07-11,118.85
2016-07-12,118.0
2016-07-13,118.7
2016-07-14,118.7
2016-07-15,116.0
2016-07-18,117.8
2016-07-19,117.7
2016-07-20,118.85
2016-07-21,117.45
2016-07-22,115.25
2016-07-25,114.85
2016-07-26,115.55
2016-07-27,115.95
2016-07-28,115.6
2016-07-29,115.75
2016-08-01,113.25
2016-08-02,113.95
2016-08-03,113.7
2016-08-04,112.85
2016-08-05,114.8
2016-08-08,115.3
2016-08-09,110.7
2016-08-10,109.6
2016-08-11,109.3
2016-08-12,108.9
2016-08-16,107.35
2016-08-17,106.3
2016-08-18,108.05
2016-08-19,111.0
2016-08-22,110.45
2016-08-23,109.3
2016-08-24,108.15
2016-08-25,107.45
2016-08-26,107.35
2016-08-29,106.35
2016-08-30,106.55
2016-08-31,105.95
2016-09-01,106.1
2016-09-02,106.25
2016-09-06,106.15
2016-09-07,105.9
2016-09-08,106.05
2016-09-09,105.55
2016-09-12,105.5
2016-09-14,105.4
2016-09-15,106.1
2016-09-16,105.2
2016-09-19,106.7
2016-09-20,106.5
2016-09-21,106.7
2016-09-22,106.2
2016-09-23,106.0
2016-09-26,103.75
2016-09-27,103.95
2016-09-28,104.9
2016-09-29,101.8
2016-09-30,102.0
2016-10-03,103.0
2016-10-04,102.8
2016-10-05,103.85
2016-10-06,123.35
2016-10-07,115.6
2016-10-10,119.05
2016-10-13,114.15
2016-10-14,113.65
2016-10-17,112.4
2016-10-18,112.85
2016-10-19,116.9
2016-10-20,118.0
2016-10-21,126.05
2016-10-24,125.3
2016-10-25,126.15
2016-10-26,128.9
2016-10-27,128.9
2016-10-28,132.9
2016-10-30,133.3
2016-11-01,129.9
2016-11-02,127.3
2016-11-03,125.1
2016-11-04,121.45
2016-11-07,124.75
2016-11-08,123.2
2016-11-09,114.95
2016-11-10,119.35
2016-11-11,115.0
2016-11-15,107.1
2016-11-16,108.45
2016-11-17,107.2
2016-11-18,107.8
2016-11-21,101.6
2016-11-22,103.95
2016-11-23,105.4
2016-11-24,105.9
2016-11-25,108.15
2016-11-28,108.2
2016-11-29,107.85
2016-11-30,109.4
2016-12-01,115.2
2016-12-02,114.4
2016-12-05,116.0
2016-12-06,117.05
2016-12-07,114.15
2016-12-08,114.75
2016-12-09,116.15
2016-12-12,115.1
2016-12-13,114.65
2016-12-14,115.35
2016-12-15,114.3
2016-12-16,113.65
2016-12-19,113.6
2016-12-20,111.0
2016-12-21,112.0
2016-12-22,111.0
2016-12-23,110.35
2016-12-26,107.35
2016-12-27,108.9
2016-12-28,109.8
2016-12-29,110.1
2016-12-30,112.15
