Date,SKIL
2016-01-01,36.75
2016-01-04,40.9
2016-01-05,42.8
2016-01-06,41.85
2016-01-07,37.8
2016-01-08,40.25
2016-01-11,39.5
2016-01-12,41.3
2016-01-13,38.65
2016-01-14,38.05
2016-01-15,36.15
2016-01-18,32.6
2016-01-19,34.55
2016-01-20,33.15
2016-01-21,33.1
2016-01-22,33.2
2016-01-25,34.5
2016-01-27,32.45
2016-01-28,32.55
2016-01-29,32.4
2016-02-01,33.85
2016-02-02,32.85
2016-02-03,31.55
2016-02-04,30.7
2016-02-05,31.5
2016-02-08,31.85
2016-02-09,31.6
2016-02-10,29.65
2016-02-11,25.15
2016-02-12,25.35
2016-02-15,27.55
2016-02-16,27.0
2016-02-17,27.65
2016-02-18,28.15
2016-02-19,27.75
2016-02-22,27.3
2016-02-23,26.9
2016-02-24,25.1
2016-02-25,24.55
2016-02-26,25.8
2016-02-29,25.15
2016-03-01,26.45
2016-03-02,27.6
2016-03-03,28.85
2016-03-04,28.05
2016-03-08,29.25
2016-03-09,28.75
2016-03-10,28.4
2016-03-11,27.85
2016-03-14,28.05
2016-03-15,27.7
2016-03-16,27.7
2016-03-17,27.25
2016-03-18,28.5
2016-03-21,31.7
2016-03-22,31.55
2016-03-23,30.1
2016-03-28,28.8
2016-03-29,27.45
2016-03-30,28.4
2016-03-31,27.85
2016-04-01,28.2
2016-04-04,28.05
2016-04-05,27.55
2016-04-06,28.5
2016-04-07,28.1
2016-04-08,29.1
2016-04-11,30.05
2016-04-12,30.05
2016-04-13,31.0
2016-04-18,30.8
2016-04-20,31.45
2016-04-21,30.0
2016-04-22,30.0
2016-04-25,29.9
2016-04-26,29.2
2016-04-27,29.95
2016-04-28,29.0
2016-04-29,28.3
2016-05-02,29.75
2016-05-03,29.3
2016-05-04,27.4
2016-05-05,27.15
2016-05-06,26.45
2016-05-09,27.25
2016-05-10,26.3
2016-05-11,27.45
2016-05-12,26.85
2016-05-13,26.65
2016-05-16,26.1
2016-05-17,25.7
2016-05-18,24.55
2016-05-19,25.05
2016-05-20,22.95
2016-05-23,20.95
2016-05-24,19.1
2016-05-25,20.3
2016-05-26,22.05
2016-05-27,22.9
2016-05-30,22.05
2016-05-31,21.1
2016-06-01,21.65
2016-06-02,20.5
2016-06-03,21.7
2016-06-06,21.1
2016-06-07,21.15
2016-06-08,21.95
2016-06-09,22.85
2016-06-10,23.35
2016-06-13,23.2
2016-06-14,22.9
2016-06-15,27.45
2016-06-16,25.8
2016-06-17,24.65
2016-06-20,25.2
2016-06-21,26.15
2016-06-22,25.95
2016-06-23,26.1
2016-06-24,24.9
2016-06-27,25.25
2016-06-28,25.05
2016-06-29,25.3
2016-06-30,25.4
2016-07-01,27.0
2016-07-04,26.65
2016-07-05,25.95
2016-07-07,28.3
2016-07-08,28.85
2016-07-11,28.6
2016-07-12,27.45
2016-07-13,27.35
2016-07-14,27.1
2016-07-15,26.9
2016-07-18,26.7
2016-07-19,26.85
2016-07-20,26.35
2016-07-21,26.1
2016-07-22,25.65
2016-07-25,25.95
2016-07-26,25.6
2016-07-27,25.2
2016-07-28,25.05
2016-07-29,26.25
2016-08-01,26.0
2016-08-02,25.55
2016-08-03,25.85
2016-08-04,24.1
2016-08-05,23.95
2016-08-08,24.5
2016-08-09,24.45
2016-08-10,22.3
2016-08-11,21.6
2016-08-12,23.45
2016-08-16,21.85
2016-08-17,21.8
2016-08-18,22.3
2016-08-19,22.0
2016-08-22,21.95
2016-08-23,22.05
2016-08-24,22.2
2016-08-25,21.7
2016-08-26,21.65
2016-08-29,21.5
2016-08-30,21.1
2016-08-31,20.05
2016-09-01,20.0
2016-09-02,19.65
2016-09-06,20.4
2016-09-07,20.2
2016-09-08,21.6
2016-09-09,20.3
2016-09-12,20.05
2016-09-14,20.25
2016-09-15,20.15
2016-09-16,19.6
2016-09-19,19.05
2016-09-20,19.7
2016-09-21,19.0
2016-09-22,19.4
2016-09-23,19.15
2016-09-26,19.3
2016-09-27,19.05
2016-09-28,19.3
2016-09-29,18.5
2016-09-30,18.25
2016-10-03,21.9
2016-10-04,26.25
2016-10-05,27.35
2016-10-06,25.6
2016-10-07,25.1
2016-10-10,26.15
2016-10-13,25.15
2016-10-14,26.1
2016-10-17,24.5
2016-10-18,26.4
2016-10-19,26.45
2016-10-20,27.3
2016-10-21,27.75
2016-10-24,28.0
2016-10-25,27.05
2016-10-26,25.8
2016-10-27,25.4
2016-10-28,25.1
2016-10-30,25.7
2016-11-01,26.15
2016-11-02,25.45
2016-11-03,25.1
2016-11-04,23.25
2016-11-07,23.85
2016-11-08,24.0
2016-11-09,22.6
2016-11-10,23.15
2016-11-11,22.5
2016-11-15,21.05
2016-11-16,20.25
2016-11-17,19.75
2016-11-18,20.15
2016-11-21,19.85
2016-11-22,19.25
2016-11-23,21.1
2016-11-24,20.8
2016-11-25,18.45
2016-11-28,20.75
2016-11-29,21.45
2016-11-30,23.65
2016-12-01,22.95
2016-12-02,24.15
2016-12-05,25.6
2016-12-06,24.6
2016-12-07,25.75
2016-12-08,24.6
2016-12-09,24.1
2016-12-12,23.25
2016-12-13,22.75
2016-12-14,22.8
2016-12-15,23.2
2016-12-16,23.0
2016-12-19,23.75
2016-12-20,23.45
2016-12-21,22.95
2016-12-22,22.45
2016-12-23,21.85
2016-12-26,21.35
2016-12-27,21.05
2016-12-28,21.15
2016-12-29,21.25
2016-12-30,21.1
