Date,GLOBUSSPR
2016-01-01,79.35
2016-01-04,77.05
2016-01-05,77.0
2016-01-06,75.3
2016-01-07,72.05
2016-01-08,74.85
2016-01-11,76.7
2016-01-12,74.4
2016-01-13,71.2
2016-01-14,68.6
2016-01-15,68.0
2016-01-18,59.3
2016-01-19,59.75
2016-01-20,58.65
2016-01-21,59.25
2016-01-22,61.95
2016-01-25,63.35
2016-01-27,62.75
2016-01-28,61.85
2016-01-29,62.1
2016-02-01,62.6
2016-02-02,61.0
2016-02-03,57.5
2016-02-04,55.6
2016-02-05,57.4
2016-02-08,59.5
2016-02-09,57.95
2016-02-10,57.15
2016-02-11,55.5
2016-02-12,53.25
2016-02-15,57.2
2016-02-16,55.15
2016-02-17,55.2
2016-02-18,56.9
2016-02-19,56.95
2016-02-22,56.35
2016-02-23,54.9
2016-02-24,52.35
2016-02-25,52.15
2016-02-26,51.25
2016-02-29,51.05
2016-03-01,55.25
2016-03-02,57.85
2016-03-03,69.4
2016-03-04,66.6
2016-03-08,67.1
2016-03-09,70.6
2016-03-10,71.85
2016-03-11,69.3
2016-03-14,67.7
2016-03-15,69.1
2016-03-16,68.6
2016-03-17,66.6
2016-03-18,68.0
2016-03-21,68.2
2016-03-22,67.65
2016-03-23,67.0
2016-03-28,64.7
2016-03-29,62.5
2016-03-30,65.7
2016-03-31,65.15
2016-04-01,67.6
2016-04-04,69.9
2016-04-05,66.95
2016-04-06,66.4
2016-04-07,66.05
2016-04-08,65.65
2016-04-11,62.5
2016-04-12,61.7
2016-04-13,62.4
2016-04-18,62.6
2016-04-20,63.15
2016-04-21,62.05
2016-04-22,61.75
2016-04-25,62.15
2016-04-26,62.0
2016-04-27,60.65
2016-04-28,59.25
2016-04-29,59.45
2016-05-02,60.0
2016-05-03,60.45
2016-05-04,59.85
2016-05-05,59.5
2016-05-06,61.3
2016-05-09,63.1
2016-05-10,64.95
2016-05-11,65.3
2016-05-12,65.3
2016-05-13,62.7
2016-05-16,62.85
2016-05-17,63.1
2016-05-18,66.45
2016-05-19,65.0
2016-05-20,64.3
2016-05-23,62.75
2016-05-24,61.65
2016-05-25,63.2
2016-05-26,62.95
2016-05-27,63.7
2016-05-30,63.25
2016-05-31,62.0
2016-06-01,63.6
2016-06-02,63.15
2016-06-03,62.5
2016-06-06,62.05
2016-06-07,62.6
2016-06-08,63.2
2016-06-09,62.3
2016-06-10,62.65
2016-06-13,61.3
2016-06-14,61.1
2016-06-15,61.65
2016-06-16,61.25
2016-06-17,63.65
2016-06-20,64.55
2016-06-21,62.05
2016-06-22,62.05
2016-06-23,61.45
2016-06-24,59.3
2016-06-27,61.3
2016-06-28,60.8
2016-06-29,62.9
2016-06-30,62.7
2016-07-01,64.9
2016-07-04,70.1
2016-07-05,70.7
2016-07-07,70.9
2016-07-08,76.85
2016-07-11,73.55
2016-07-12,71.2
2016-07-13,71.15
2016-07-14,71.45
2016-07-15,70.8
2016-07-18,69.0
2016-07-19,68.75
2016-07-20,69.45
2016-07-21,68.55
2016-07-22,71.25
2016-07-25,72.15
2016-07-26,70.3
2016-07-27,70.2
2016-07-28,69.25
2016-07-29,68.2
2016-08-01,67.7
2016-08-02,66.2
2016-08-03,67.6
2016-08-04,69.45
2016-08-05,69.7
2016-08-08,71.05
2016-08-09,72.25
2016-08-10,79.05
2016-08-11,77.4
2016-08-12,77.85
2016-08-16,78.6
2016-08-17,82.8
2016-08-18,85.95
2016-08-19,84.1
2016-08-22,81.4
2016-08-23,78.3
2016-08-24,80.65
2016-08-25,79.5
2016-08-26,77.6
2016-08-29,75.55
2016-08-30,76.6
2016-08-31,78.9
2016-09-01,78.55
2016-09-02,80.65
2016-09-06,79.85
2016-09-07,79.6
2016-09-08,80.45
2016-09-09,79.6
2016-09-12,77.45
2016-09-14,78.6
2016-09-15,81.4
2016-09-16,81.25
2016-09-19,82.75
2016-09-20,80.85
2016-09-21,81.0
2016-09-22,92.7
2016-09-23,89.7
2016-09-26,87.95
2016-09-27,104.8
2016-09-28,104.95
2016-09-29,98.8
2016-09-30,110.7
2016-10-03,107.8
2016-10-04,112.15
2016-10-05,111.8
2016-10-06,107.4
2016-10-07,105.0
2016-10-10,106.8
2016-10-13,104.8
2016-10-14,105.3
2016-10-17,103.6
2016-10-18,106.5
2016-10-19,107.8
2016-10-20,106.15
2016-10-21,105.8
2016-10-24,109.4
2016-10-25,108.45
2016-10-26,107.6
2016-10-27,106.15
2016-10-28,106.95
2016-10-30,108.7
2016-11-01,107.4
2016-11-02,104.65
2016-11-03,102.5
2016-11-04,94.6
2016-11-07,97.8
2016-11-08,96.4
2016-11-09,92.75
2016-11-10,96.75
2016-11-11,92.2
2016-11-15,80.3
2016-11-16,77.4
2016-11-17,77.2
2016-11-18,78.35
2016-11-21,73.45
2016-11-22,69.5
2016-11-23,74.15
2016-11-24,73.8
2016-11-25,80.6
2016-11-28,96.7
2016-11-29,92.0
2016-11-30,94.1
2016-12-01,92.65
2016-12-02,91.8
2016-12-05,91.9
2016-12-06,90.0
2016-12-07,88.4
2016-12-08,89.35
2016-12-09,88.35
2016-12-12,87.0
2016-12-13,88.7
2016-12-14,97.15
2016-12-15,92.0
2016-12-16,89.35
2016-12-19,87.8
2016-12-20,85.8
2016-12-21,85.55
2016-12-22,81.45
2016-12-23,83.8
2016-12-26,80.9
2016-12-27,83.4
2016-12-28,86.0
2016-12-29,88.8
2016-12-30,88.7
