Date,RAJESHEXPO
2016-01-01,678.55
2016-01-04,680.85
2016-01-05,705.0
2016-01-06,706.1
2016-01-07,704.65
2016-01-08,704.6
2016-01-11,709.65
2016-01-12,710.1
2016-01-13,710.9
2016-01-14,710.95
2016-01-15,710.25
2016-01-18,708.8
2016-01-19,711.0
2016-01-20,712.0
2016-01-21,710.9
2016-01-22,714.55
2016-01-25,719.85
2016-01-27,722.7
2016-01-28,723.15
2016-01-29,724.15
2016-02-01,728.95
2016-02-02,729.2
2016-02-03,725.55
2016-02-04,726.2
2016-02-05,727.1
2016-02-08,726.95
2016-02-09,724.15
2016-02-10,721.7
2016-02-11,697.0
2016-02-12,710.3
2016-02-15,720.4
2016-02-16,719.95
2016-02-17,723.1
2016-02-18,724.85
2016-02-19,723.85
2016-02-22,716.65
2016-02-23,709.85
2016-02-24,704.6
2016-02-25,709.25
2016-02-26,707.1
2016-02-29,707.95
2016-03-01,705.3
2016-03-02,703.75
2016-03-03,698.9
2016-03-04,698.9
2016-03-08,695.45
2016-03-09,682.25
2016-03-10,687.9
2016-03-11,665.8
2016-03-14,659.25
2016-03-15,648.9
2016-03-16,569.65
2016-03-17,576.5
2016-03-18,601.9
2016-03-21,610.1
2016-03-22,611.25
2016-03-23,602.5
2016-03-28,596.4
2016-03-29,590.55
2016-03-30,604.1
2016-03-31,621.1
2016-04-01,621.25
2016-04-04,623.5
2016-04-05,634.5
2016-04-06,624.05
2016-04-07,599.85
2016-04-08,591.6
2016-04-11,605.55
2016-04-12,593.25
2016-04-13,594.85
2016-04-18,595.4
2016-04-20,588.1
2016-04-21,586.85
2016-04-22,572.4
2016-04-25,550.55
2016-04-26,566.15
2016-04-27,573.0
2016-04-28,578.85
2016-04-29,592.05
2016-05-02,592.8
2016-05-03,598.5
2016-05-04,571.4
2016-05-05,568.05
2016-05-06,566.1
2016-05-09,571.15
2016-05-10,565.25
2016-05-11,560.85
2016-05-12,583.2
2016-05-13,573.05
2016-05-16,560.0
2016-05-17,569.3
2016-05-18,563.55
2016-05-19,559.2
2016-05-20,551.85
2016-05-23,557.8
2016-05-24,554.6
2016-05-25,556.8
2016-05-26,555.7
2016-05-27,552.65
2016-05-30,560.15
2016-05-31,573.65
2016-06-01,563.95
2016-06-02,553.25
2016-06-03,523.95
2016-06-06,487.4
2016-06-07,500.6
2016-06-08,494.65
2016-06-09,491.25
2016-06-10,490.2
2016-06-13,476.3
2016-06-14,473.9
2016-06-15,471.9
2016-06-16,459.0
2016-06-17,451.7
2016-06-20,467.15
2016-06-21,473.75
2016-06-22,458.85
2016-06-23,455.55
2016-06-24,426.15
2016-06-27,432.8
2016-06-28,433.8
2016-06-29,430.5
2016-06-30,432.35
2016-07-01,443.8
2016-07-04,448.2
2016-07-05,449.15
2016-07-07,451.2
2016-07-08,453.4
2016-07-11,455.35
2016-07-12,458.35
2016-07-13,449.55
2016-07-14,461.45
2016-07-15,446.35
2016-07-18,446.3
2016-07-19,437.45
2016-07-20,430.0
2016-07-21,435.4
2016-07-22,435.0
2016-07-25,437.9
2016-07-26,438.3
2016-07-27,435.65
2016-07-28,439.25
2016-07-29,439.45
2016-08-01,440.75
2016-08-02,437.75
2016-08-03,431.25
2016-08-04,432.2
2016-08-05,426.65
2016-08-08,431.45
2016-08-09,440.0
2016-08-10,451.15
2016-08-11,453.5
2016-08-12,455.15
2016-08-16,434.5
2016-08-17,430.65
2016-08-18,430.0
2016-08-19,433.3
2016-08-22,434.35
2016-08-23,431.35
2016-08-24,436.85
2016-08-25,440.5
2016-08-26,442.55
2016-08-29,448.0
2016-08-30,452.3
2016-08-31,439.45
2016-09-01,435.7
2016-09-02,432.45
2016-09-06,444.75
2016-09-07,446.55
2016-09-08,446.75
2016-09-09,448.1
2016-09-12,449.25
2016-09-14,454.05
2016-09-15,456.1
2016-09-16,463.2
2016-09-19,469.7
2016-09-20,468.65
2016-09-21,472.05
2016-09-22,473.9
2016-09-23,470.7
2016-09-26,470.8
2016-09-27,471.9
2016-09-28,479.4
2016-09-29,455.35
2016-09-30,456.8
2016-10-03,469.15
2016-10-04,469.65
2016-10-05,468.8
2016-10-06,472.75
2016-10-07,481.05
2016-10-10,490.8
2016-10-13,485.45
2016-10-14,492.35
2016-10-17,486.1
2016-10-18,492.8
2016-10-19,486.7
2016-10-20,493.3
2016-10-21,490.3
2016-10-24,490.3
2016-10-25,487.9
2016-10-26,482.0
2016-10-27,481.1
2016-10-28,478.35
2016-10-30,479.75
2016-11-01,469.85
2016-11-02,458.85
2016-11-03,456.8
2016-11-04,450.35
2016-11-07,459.25
2016-11-08,467.55
2016-11-09,458.75
2016-11-10,468.1
2016-11-11,443.35
2016-11-15,436.9
2016-11-16,442.45
2016-11-17,443.7
2016-11-18,447.3
2016-11-21,442.2
2016-11-22,449.05
2016-11-23,452.75
2016-11-24,445.95
2016-11-25,456.15
2016-11-28,457.75
2016-11-29,459.7
2016-11-30,465.95
2016-12-01,458.8
2016-12-02,453.2
2016-12-05,450.75
2016-12-06,445.4
2016-12-07,448.0
2016-12-08,454.85
2016-12-09,453.0
2016-12-12,450.8
2016-12-13,451.75
2016-12-14,450.55
2016-12-15,448.55
2016-12-16,439.05
2016-12-19,440.8
2016-12-20,439.2
2016-12-21,446.7
2016-12-22,443.7
2016-12-23,441.6
2016-12-26,442.3
2016-12-27,447.3
2016-12-28,451.25
2016-12-29,457.7
2016-12-30,461.2
