Date,PDSMFL
2016-01-01,230.3
2016-01-04,228.45
2016-01-05,232.5
2016-01-06,229.95
2016-01-07,224.45
2016-01-08,228.0
2016-01-11,225.2
2016-01-12,225.8
2016-01-13,221.9
2016-01-14,220.0
2016-01-15,216.3
2016-01-18,214.85
2016-01-19,215.0
2016-01-20,211.35
2016-01-21,210.3
2016-01-22,212.85
2016-01-25,213.5
2016-01-27,215.85
2016-01-28,215.0
2016-01-29,215.9
2016-02-01,214.65
2016-02-02,216.0
2016-02-03,212.55
2016-02-04,212.6
2016-02-05,214.7
2016-02-08,213.0
2016-02-09,212.6
2016-02-10,211.35
2016-02-11,208.7
2016-02-12,205.05
2016-02-15,207.8
2016-02-16,202.55
2016-02-17,199.5
2016-02-18,199.9
2016-02-19,200.1
2016-02-22,202.0
2016-02-23,199.25
2016-02-24,198.0
2016-02-25,198.5
2016-02-26,198.5
2016-02-29,187.8
2016-03-01,186.2
2016-03-02,185.25
2016-03-03,180.15
2016-03-04,181.35
2016-03-08,181.5
2016-03-09,181.2
2016-03-10,181.0
2016-03-11,180.0
2016-03-14,180.0
2016-03-15,179.9
2016-03-16,179.1
2016-03-17,179.0
2016-03-18,180.25
2016-03-21,180.2
2016-03-22,181.9
2016-03-23,180.4
2016-03-28,178.8
2016-03-29,175.35
2016-03-30,179.9
2016-03-31,181.0
2016-04-01,180.0
2016-04-04,179.0
2016-04-05,176.0
2016-04-06,179.85
2016-04-07,183.0
2016-04-08,177.15
2016-04-11,180.5
2016-04-12,178.2
2016-04-13,176.05
2016-04-18,178.0
2016-04-20,178.05
2016-04-21,175.2
2016-04-22,176.0
2016-04-25,175.0
2016-04-26,176.0
2016-04-27,175.5
2016-04-28,172.15
2016-04-29,173.2
2016-05-02,167.0
2016-05-03,173.55
2016-05-04,173.3
2016-05-05,172.1
2016-05-06,169.0
2016-05-09,170.0
2016-05-10,169.15
2016-05-11,169.0
2016-05-12,170.0
2016-05-13,170.85
2016-05-16,171.35
2016-05-17,172.05
2016-05-18,172.5
2016-05-19,172.0
2016-05-20,170.2
2016-05-23,172.25
2016-05-24,167.5
2016-05-25,172.05
2016-05-26,172.2
2016-05-27,172.65
2016-05-30,176.1
2016-05-31,172.0
2016-06-01,176.15
2016-06-02,178.0
2016-06-03,176.6
2016-06-06,171.0
2016-06-07,172.65
2016-06-08,171.95
2016-06-09,171.0
2016-06-10,173.3
2016-06-13,172.45
2016-06-14,169.5
2016-06-15,170.0
2016-06-16,170.0
2016-06-17,172.65
2016-06-20,171.5
2016-06-21,172.75
2016-06-22,170.1
2016-06-23,170.0
2016-06-24,174.15
2016-06-27,171.0
2016-06-28,173.0
2016-06-29,170.55
2016-06-30,169.45
2016-07-01,172.4
2016-07-04,172.75
2016-07-05,170.0
2016-07-07,170.0
2016-07-08,170.15
2016-07-11,171.0
2016-07-12,170.2
2016-07-13,169.0
2016-07-14,169.05
2016-07-15,168.35
2016-07-18,168.5
2016-07-19,170.5
2016-07-20,172.0
2016-07-21,170.35
2016-07-22,170.4
2016-07-25,168.0
2016-07-26,168.25
2016-07-27,168.0
2016-07-28,169.5
2016-07-29,168.05
2016-08-01,169.5
2016-08-02,170.0
2016-08-03,169.0
2016-08-04,169.0
2016-08-05,175.5
2016-08-08,176.0
2016-08-09,176.75
2016-08-10,176.0
2016-08-11,174.95
2016-08-12,173.15
2016-08-16,172.75
2016-08-17,169.1
2016-08-18,170.1
2016-08-19,184.55
2016-08-22,182.05
2016-08-23,180.4
2016-08-24,180.3
2016-08-25,178.8
2016-08-26,176.65
2016-08-29,171.25
2016-08-30,170.1
2016-08-31,167.8
2016-09-01,170.0
2016-09-02,172.0
2016-09-06,170.0
2016-09-07,167.45
2016-09-08,165.3
2016-09-09,162.85
2016-09-12,168.4
2016-09-14,163.0
2016-09-15,163.0
2016-09-16,163.05
2016-09-19,163.75
2016-09-20,161.0
2016-09-21,158.0
2016-09-22,157.0
2016-09-23,160.45
2016-09-26,158.0
2016-09-27,161.0
2016-09-28,161.0
2016-09-29,155.2
2016-09-30,157.5
2016-10-03,165.0
2016-10-04,168.9
2016-10-05,170.2
2016-10-06,174.0
2016-10-07,178.0
2016-10-10,175.75
2016-10-13,175.0
2016-10-14,174.0
2016-10-17,174.0
2016-10-18,171.0
2016-10-19,170.0
2016-10-20,175.7
2016-10-21,169.05
2016-10-24,172.0
2016-10-25,169.0
2016-10-26,177.3
2016-10-27,176.0
2016-10-28,179.15
2016-10-30,182.6
2016-11-01,180.35
2016-11-02,177.35
2016-11-03,177.0
2016-11-04,170.0
2016-11-07,169.8
2016-11-08,168.15
2016-11-09,171.2
2016-11-10,170.0
2016-11-11,167.0
2016-11-15,163.5
2016-11-16,174.6
2016-11-17,166.9
2016-11-18,169.0
2016-11-21,167.5
2016-11-22,170.4
2016-11-23,172.5
2016-11-24,169.95
2016-11-25,166.9
2016-11-28,169.0
2016-11-29,168.0
2016-11-30,166.0
2016-12-01,167.7
2016-12-02,168.95
2016-12-05,164.95
2016-12-06,164.5
2016-12-07,164.1
2016-12-08,161.0
2016-12-09,160.0
2016-12-12,156.0
2016-12-13,154.0
2016-12-14,149.55
2016-12-15,150.0
2016-12-16,152.0
2016-12-19,153.7
2016-12-20,152.3
2016-12-21,152.0
2016-12-22,150.0
2016-12-23,152.0
2016-12-26,150.5
2016-12-27,152.7
2016-12-28,152.6
2016-12-29,151.8
2016-12-30,149.25
