Date,SABTN
2016-01-01,366.0
2016-01-04,363.0
2016-01-05,367.05
2016-01-06,365.0
2016-01-07,356.1
2016-01-08,360.5
2016-01-11,360.0
2016-01-12,356.35
2016-01-13,355.6
2016-01-14,354.0
2016-01-15,351.5
2016-01-18,347.3
2016-01-19,349.9
2016-01-20,344.65
2016-01-21,343.05
2016-01-22,347.05
2016-01-25,348.0
2016-01-27,349.0
2016-01-28,349.85
2016-01-29,349.2
2016-02-01,349.9
2016-02-02,347.75
2016-02-03,344.1
2016-02-04,341.95
2016-02-05,339.0
2016-02-08,345.0
2016-02-09,344.75
2016-02-10,339.55
2016-02-11,331.1
2016-02-12,330.9
2016-02-15,348.3
2016-02-16,338.6
2016-02-17,337.65
2016-02-18,343.4
2016-02-19,342.6
2016-02-22,345.1
2016-02-23,345.6
2016-02-24,343.95
2016-02-25,341.05
2016-02-26,341.45
2016-02-29,328.45
2016-03-01,336.8
2016-03-02,344.0
2016-03-03,351.05
2016-03-04,357.65
2016-03-08,357.75
2016-03-09,369.35
2016-03-10,369.65
2016-03-11,386.45
2016-03-14,394.25
2016-03-15,392.95
2016-03-16,403.5
2016-03-17,413.05
2016-03-18,400.85
2016-03-21,403.0
2016-04-07,285.6
2016-04-08,285.95
2016-04-11,284.6
2016-04-12,285.55
2016-04-13,287.3
2016-04-18,289.3
2016-04-20,289.5
2016-04-21,281.1
2016-04-22,269.9
2016-04-25,270.1
2016-04-26,268.75
2016-04-27,268.5
2016-04-28,266.95
2016-04-29,267.3
2016-05-02,268.85
2016-05-03,265.95
2016-05-04,265.8
2016-05-05,268.0
2016-05-06,268.0
2016-05-09,265.85
2016-05-10,259.2
2016-05-11,260.3
2016-05-12,262.0
2016-05-13,264.8
2016-05-16,267.55
2016-05-17,266.35
2016-05-18,265.85
2016-05-19,267.6
2016-05-20,268.65
2016-05-23,270.0
2016-05-24,267.7
2016-05-25,268.95
2016-05-26,252.75
2016-05-27,262.25
2016-05-30,262.9
2016-05-31,264.6
2016-06-01,264.3
2016-06-02,263.85
2016-06-03,263.95
2016-06-06,261.2
2016-06-07,264.35
2016-06-08,266.4
2016-06-09,264.85
2016-06-10,261.65
2016-06-13,262.95
2016-06-14,261.95
2016-06-15,260.65
2016-06-16,263.0
2016-06-17,262.3
2016-06-20,264.3
2016-06-21,264.75
2016-06-22,264.5
2016-06-23,259.0
2016-06-24,260.8
2016-06-27,264.1
2016-06-28,264.8
2016-06-29,264.55
2016-06-30,269.0
2016-07-01,264.65
2016-07-04,265.45
2016-07-05,266.0
2016-07-07,267.8
2016-07-08,265.75
2016-07-11,262.4
2016-07-12,265.4
2016-07-13,265.05
2016-07-14,267.15
2016-07-15,265.15
2016-07-18,263.75
2016-07-19,265.0
2016-07-20,260.45
2016-07-21,262.0
2016-07-22,264.55
2016-07-25,267.4
2016-07-26,264.6
2016-07-27,264.6
2016-07-28,262.05
2016-07-29,264.55
2016-08-01,264.85
2016-08-02,261.85
2016-08-03,266.1
2016-08-04,262.95
2016-08-05,263.7
2016-08-08,264.75
2016-08-09,265.5
2016-08-10,264.95
2016-08-11,266.7
2016-08-12,266.25
2016-08-16,268.0
2016-08-17,266.75
2016-08-18,265.45
2016-08-19,265.8
2016-08-22,266.45
2016-08-23,264.9
2016-08-24,264.5
2016-08-25,266.0
2016-08-26,264.3
2016-08-29,265.95
2016-08-30,263.3
2016-08-31,264.25
2016-09-01,263.8
2016-09-02,263.95
2016-09-06,264.15
2016-09-07,264.15
2016-09-08,265.0
2016-09-09,265.0
2016-09-12,264.4
2016-09-14,266.35
2016-09-15,263.9
2016-09-16,263.4
2016-09-19,264.65
2016-09-20,261.8
2016-09-21,264.0
2016-09-22,263.55
2016-09-23,263.5
2016-09-26,263.6
2016-09-27,262.4
2016-09-28,262.75
2016-09-29,252.15
2016-09-30,256.5
2016-10-03,258.25
2016-10-04,259.0
2016-10-05,256.8
2016-10-06,257.5
2016-10-07,258.35
2016-10-10,256.7
2016-10-13,257.25
2016-10-14,256.8
2016-10-17,268.45
2016-10-18,260.55
2016-10-19,261.0
2016-10-20,260.8
2016-10-21,261.7
2016-10-24,261.1
2016-10-25,262.2
2016-10-26,260.15
2016-10-27,262.55
2016-10-28,261.15
2016-10-30,263.4
2016-11-01,263.45
2016-11-02,257.0
2016-11-03,258.2
2016-11-04,257.85
2016-11-07,263.0
2016-11-08,263.0
2016-11-09,257.95
2016-11-10,260.6
2016-11-11,261.0
2016-11-15,258.5
2016-11-16,265.7
2016-11-17,258.0
2016-11-18,257.7
2016-11-21,258.6
2016-11-22,256.7
2016-11-23,256.8
2016-11-24,259.95
2016-11-25,258.0
2016-11-28,257.15
2016-11-29,257.35
2016-11-30,256.35
2016-12-01,262.0
2016-12-02,256.85
2016-12-05,262.5
2016-12-06,260.1
2016-12-07,261.9
2016-12-08,260.6
2016-12-09,264.5
2016-12-12,263.9
2016-12-13,264.2
2016-12-14,268.1
2016-12-15,261.5
2016-12-16,266.55
2016-12-19,271.5
2016-12-20,270.6
2016-12-21,271.7
2016-12-22,272.85
2016-12-23,275.35
2016-12-26,275.9
2016-12-27,283.4
2016-12-28,282.5
2016-12-29,280.65
2016-12-30,286.85
