Date,ADANITRANS
2016-01-01,41.05
2016-01-04,38.65
2016-01-05,38.8
2016-01-06,38.35
2016-01-07,37.15
2016-01-08,37.6
2016-01-11,37.3
2016-01-12,36.3
2016-01-13,35.55
2016-01-14,35.75
2016-01-15,34.35
2016-01-18,31.95
2016-01-19,33.65
2016-01-20,31.15
2016-01-21,32.0
2016-01-22,33.0
2016-01-25,33.75
2016-01-27,34.05
2016-01-28,36.2
2016-01-29,36.75
2016-02-01,39.1
2016-02-02,34.3
2016-02-03,32.45
2016-02-04,32.35
2016-02-05,33.25
2016-02-08,33.05
2016-02-09,32.8
2016-02-10,31.9
2016-02-11,29.65
2016-02-12,28.75
2016-02-15,30.45
2016-02-16,30.25
2016-02-17,30.55
2016-02-18,30.5
2016-02-19,30.75
2016-02-22,30.55
2016-02-23,29.95
2016-02-24,29.15
2016-02-25,28.5
2016-02-26,28.25
2016-02-29,26.55
2016-03-01,29.15
2016-03-02,30.5
2016-03-03,32.05
2016-03-04,31.1
2016-03-08,30.8
2016-03-09,31.05
2016-03-10,30.6
2016-03-11,30.7
2016-03-14,31.4
2016-03-15,31.65
2016-03-16,31.9
2016-03-17,32.0
2016-03-18,33.95
2016-03-21,33.8
2016-03-22,34.45
2016-03-23,34.15
2016-03-28,32.2
2016-03-29,33.05
2016-03-30,34.75
2016-03-31,34.35
2016-04-01,35.05
2016-04-04,35.9
2016-04-05,34.2
2016-04-06,34.15
2016-04-07,33.3
2016-04-08,33.4
2016-04-11,33.7
2016-04-12,33.8
2016-04-13,34.7
2016-04-18,34.55
2016-04-20,34.35
2016-04-21,33.45
2016-04-22,33.35
2016-04-25,33.1
2016-04-26,32.95
2016-04-27,32.25
2016-04-28,32.25
2016-04-29,31.6
2016-05-02,31.35
2016-05-03,32.45
2016-05-04,31.35
2016-05-05,30.55
2016-05-06,30.15
2016-05-09,30.35
2016-05-10,29.85
2016-05-11,29.6
2016-05-12,29.9
2016-05-13,29.5
2016-05-16,29.95
2016-05-17,29.65
2016-05-18,29.7
2016-05-19,28.9
2016-05-20,28.65
2016-05-23,29.85
2016-05-24,29.6
2016-05-25,29.95
2016-05-26,30.65
2016-05-27,30.55
2016-05-30,31.3
2016-05-31,31.9
2016-06-01,32.05
2016-06-02,32.2
2016-06-03,31.75
2016-06-06,31.6
2016-06-07,32.15
2016-06-08,32.55
2016-06-09,33.35
2016-06-10,33.45
2016-06-13,33.05
2016-06-14,33.95
2016-06-15,34.35
2016-06-16,33.9
2016-06-17,34.55
2016-06-20,34.75
2016-06-21,34.65
2016-06-22,33.7
2016-06-23,34.9
2016-06-24,35.1
2016-06-27,35.55
2016-06-28,36.4
2016-06-29,38.85
2016-06-30,38.7
2016-07-01,39.15
2016-07-04,38.7
2016-07-05,37.65
2016-07-07,37.45
2016-07-08,38.3
2016-07-11,38.65
2016-07-12,38.4
2016-07-13,37.55
2016-07-14,37.0
2016-07-15,36.75
2016-07-18,36.35
2016-07-19,36.6
2016-07-20,37.55
2016-07-21,37.4
2016-07-22,37.85
2016-07-25,38.55
2016-07-26,40.05
2016-07-27,40.2
2016-07-28,38.95
2016-07-29,39.2
2016-08-01,38.7
2016-08-02,38.1
2016-08-03,37.8
2016-08-04,37.7
2016-08-05,40.3
2016-08-08,40.7
2016-08-09,39.7
2016-08-10,37.95
2016-08-11,37.7
2016-08-12,37.9
2016-08-16,38.45
2016-08-17,38.85
2016-08-18,38.05
2016-08-19,38.65
2016-08-22,38.05
2016-08-23,38.4
2016-08-24,39.35
2016-08-25,40.0
2016-08-26,39.3
2016-08-29,40.05
2016-08-30,40.15
2016-08-31,39.75
2016-09-01,38.95
2016-09-02,39.2
2016-09-06,39.7
2016-09-07,39.75
2016-09-08,40.4
2016-09-09,41.1
2016-09-12,39.65
2016-09-14,39.65
2016-09-15,39.05
2016-09-16,41.25
2016-09-19,41.5
2016-09-20,40.6
2016-09-21,40.7
2016-09-22,40.45
2016-09-23,40.0
2016-09-26,39.85
2016-09-27,39.45
2016-09-28,40.05
2016-09-29,37.8
2016-09-30,38.15
2016-10-03,39.25
2016-10-04,40.05
2016-10-05,43.1
2016-10-06,42.1
2016-10-07,41.55
2016-10-10,42.45
2016-10-13,41.2
2016-10-14,42.9
2016-10-17,43.8
2016-10-18,43.8
2016-10-19,43.35
2016-10-20,43.65
2016-10-21,43.65
2016-10-24,44.05
2016-10-25,43.45
2016-10-26,43.2
2016-10-27,43.2
2016-10-28,45.25
2016-10-30,45.55
2016-11-01,46.8
2016-11-02,45.3
2016-11-03,45.7
2016-11-04,45.55
2016-11-07,46.15
2016-11-08,46.1
2016-11-09,45.15
2016-11-10,45.75
2016-11-11,45.0
2016-11-15,44.05
2016-11-16,44.1
2016-11-17,44.1
2016-11-18,44.8
2016-11-21,45.9
2016-11-22,46.8
2016-11-23,56.15
2016-11-24,57.45
2016-11-25,64.75
2016-11-28,62.05
2016-11-29,61.6
2016-11-30,58.25
2016-12-01,56.2
2016-12-02,55.35
2016-12-05,55.2
2016-12-06,60.65
2016-12-07,58.9
2016-12-08,59.65
2016-12-09,58.9
2016-12-12,56.75
2016-12-13,56.35
2016-12-14,53.8
2016-12-15,54.4
2016-12-16,54.55
2016-12-19,53.6
2016-12-20,55.1
2016-12-21,55.05
2016-12-22,54.65
2016-12-23,53.5
2016-12-26,51.7
2016-12-27,55.0
2016-12-28,55.7
2016-12-29,56.1
2016-12-30,56.75
