Date,TEAMLEASE
2016-02-12,1022.85
2016-02-15,1172.55
2016-02-16,1164.45
2016-02-17,1126.95
2016-02-18,1131.05
2016-02-19,1150.8
2016-02-22,1124.6
2016-02-23,1084.0
2016-02-24,1065.75
2016-02-25,1052.35
2016-02-26,1009.2
2016-02-29,1017.75
2016-03-01,1060.45
2016-03-02,1043.7
2016-03-03,1042.1
2016-03-04,1039.9
2016-03-08,1029.05
2016-03-09,1030.5
2016-03-10,1020.55
2016-03-11,979.75
2016-03-14,980.4
2016-03-15,968.55
2016-03-16,962.05
2016-03-17,950.75
2016-03-18,947.35
2016-03-21,936.2
2016-03-22,913.3
2016-03-23,925.3
2016-03-28,881.65
2016-03-29,898.55
2016-03-30,900.2
2016-03-31,895.9
2016-04-01,904.85
2016-04-04,899.85
2016-04-05,882.1
2016-04-06,877.85
2016-04-07,875.4
2016-04-08,879.7
2016-04-11,864.4
2016-04-12,870.85
2016-04-13,874.85
2016-04-18,879.5
2016-04-20,881.6
2016-04-21,887.3
2016-04-22,913.2
2016-04-25,905.5
2016-04-26,937.7
2016-04-27,960.2
2016-04-28,941.2
2016-04-29,935.8
2016-05-02,954.25
2016-05-03,942.2
2016-05-04,930.55
2016-05-05,926.35
2016-05-06,899.85
2016-05-09,910.3
2016-05-10,882.55
2016-05-11,895.75
2016-05-12,889.8
2016-05-13,872.6
2016-05-16,961.45
2016-05-17,905.15
2016-05-18,938.25
2016-05-19,917.95
2016-05-20,915.35
2016-05-23,945.85
2016-05-24,935.3
2016-05-25,920.95
2016-05-26,947.55
2016-05-27,940.2
2016-05-30,935.95
2016-05-31,930.5
2016-06-01,914.45
2016-06-02,923.1
2016-06-03,911.6
2016-06-06,907.15
2016-06-07,915.4
2016-06-08,917.35
2016-06-09,909.7
2016-06-10,907.1
2016-06-13,880.1
2016-06-14,912.05
2016-06-15,908.05
2016-06-16,891.0
2016-06-17,885.45
2016-06-20,887.35
2016-06-21,908.75
2016-06-22,920.0
2016-06-23,922.7
2016-06-24,907.6
2016-06-27,910.65
2016-06-28,923.35
2016-06-29,1013.8
2016-06-30,1088.65
2016-07-01,1082.6
2016-07-04,1099.35
2016-07-05,1100.6
2016-07-07,1101.35
2016-07-08,1110.25
2016-07-11,1090.85
2016-07-12,1036.9
2016-07-13,1025.7
2016-07-14,1029.0
2016-07-15,1030.3
2016-07-18,1026.4
2016-07-19,1019.85
2016-07-20,1036.45
2016-07-21,1041.45
2016-07-22,1023.0
2016-07-25,1067.35
2016-07-26,1049.6
2016-07-27,1050.9
2016-07-28,1050.55
2016-07-29,1046.55
2016-08-01,1061.35
2016-08-02,1052.65
2016-08-03,1061.3
2016-08-04,1065.35
2016-08-05,1084.05
2016-08-08,1123.85
2016-08-09,1150.45
2016-08-10,1099.4
2016-08-11,1097.4
2016-08-12,1097.45
2016-08-16,1036.35
2016-08-17,1055.4
2016-08-18,1060.8
2016-08-19,1064.75
2016-08-22,1058.95
2016-08-23,1100.2
2016-08-24,1121.1
2016-08-25,1129.95
2016-08-26,1123.55
2016-08-29,1126.3
2016-08-30,1134.85
2016-08-31,1115.2
2016-09-01,1123.4
2016-09-02,1113.0
2016-09-06,1106.8
2016-09-07,1124.6
2016-09-08,1106.9
2016-09-09,1076.75
2016-09-12,1088.0
2016-09-14,1089.15
2016-09-15,1083.4
2016-09-16,1097.65
2016-09-19,1110.0
2016-09-20,1115.1
2016-09-21,1125.35
2016-09-22,1113.1
2016-09-23,1115.05
2016-09-26,1094.0
2016-09-27,1063.0
2016-09-28,1073.45
2016-09-29,1066.55
2016-09-30,1065.75
2016-10-03,1097.65
2016-10-04,1074.35
2016-10-05,1064.95
2016-10-06,1073.8
2016-10-07,1074.0
2016-10-10,1052.35
2016-10-13,1022.55
2016-10-14,1017.2
2016-10-17,1005.75
2016-10-18,1014.55
2016-10-19,1011.85
2016-10-20,1021.2
2016-10-21,1017.6
2016-10-24,994.95
2016-10-25,1008.65
2016-10-26,1024.8
2016-10-27,1020.25
2016-10-28,1013.4
2016-10-30,1005.9
2016-11-01,1019.6
2016-11-02,993.95
2016-11-03,1023.15
2016-11-04,1020.2
2016-11-07,1022.65
2016-11-08,1003.35
2016-11-09,984.3
2016-11-10,995.1
2016-11-11,980.9
2016-11-15,937.25
2016-11-16,899.05
2016-11-17,876.8
2016-11-18,881.5
2016-11-21,864.5
2016-11-22,849.05
2016-11-23,843.8
2016-11-24,840.45
2016-11-25,854.95
2016-11-28,847.3
2016-11-29,849.7
2016-11-30,868.2
2016-12-01,856.9
2016-12-02,842.45
2016-12-05,834.55
2016-12-06,878.0
2016-12-07,872.2
2016-12-08,878.2
2016-12-09,880.9
2016-12-12,870.95
2016-12-13,872.5
2016-12-14,880.0
2016-12-15,896.0
2016-12-16,890.0
2016-12-19,875.7
2016-12-20,865.6
2016-12-21,867.3
2016-12-22,882.15
2016-12-23,875.8
2016-12-26,861.95
2016-12-27,870.25
2016-12-28,874.85
2016-12-29,882.5
2016-12-30,886.25
