Date,VIPIND
2016-01-01,103.35
2016-01-04,99.45
2016-01-05,99.85
2016-01-06,100.2
2016-01-07,95.95
2016-01-08,96.6
2016-01-11,97.95
2016-01-12,101.6
2016-01-13,99.2
2016-01-14,98.05
2016-01-15,92.7
2016-01-18,90.45
2016-01-19,92.5
2016-01-20,91.55
2016-01-21,92.5
2016-01-22,93.7
2016-01-25,93.65
2016-01-27,93.7
2016-01-28,98.2
2016-01-29,100.6
2016-02-01,101.45
2016-02-02,96.25
2016-02-03,94.5
2016-02-04,93.0
2016-02-05,95.4
2016-02-08,94.3
2016-02-09,93.3
2016-02-10,93.6
2016-02-11,88.8
2016-02-12,88.25
2016-02-15,94.8
2016-02-16,94.9
2016-02-17,95.6
2016-02-18,95.6
2016-02-19,95.3
2016-02-22,94.25
2016-02-23,93.1
2016-02-24,93.55
2016-02-25,92.25
2016-02-26,93.75
2016-02-29,95.0
2016-03-01,95.7
2016-03-02,96.85
2016-03-03,97.95
2016-03-04,99.4
2016-03-08,97.1
2016-03-09,96.45
2016-03-10,96.95
2016-03-11,96.5
2016-03-14,98.05
2016-03-15,96.0
2016-03-16,96.3
2016-03-17,96.65
2016-03-18,96.35
2016-03-21,97.95
2016-03-22,105.85
2016-03-23,104.3
2016-03-28,97.35
2016-03-29,101.95
2016-03-30,103.75
2016-03-31,105.2
2016-04-01,106.35
2016-04-04,112.6
2016-04-05,113.7
2016-04-06,118.75
2016-04-07,115.05
2016-04-08,114.8
2016-04-11,116.05
2016-04-12,113.75
2016-04-13,112.5
2016-04-18,116.1
2016-04-20,117.1
2016-04-21,117.5
2016-04-22,116.4
2016-04-25,115.15
2016-04-26,117.55
2016-04-27,119.1
2016-04-28,115.25
2016-04-29,115.0
2016-05-02,114.3
2016-05-03,113.55
2016-05-04,110.0
2016-05-05,108.95
2016-05-06,108.3
2016-05-09,110.4
2016-05-10,117.35
2016-05-11,118.2
2016-05-12,117.7
2016-05-13,120.05
2016-05-16,117.45
2016-05-17,117.3
2016-05-18,117.55
2016-05-19,114.95
2016-05-20,114.65
2016-05-23,114.85
2016-05-24,113.45
2016-05-25,113.75
2016-05-26,112.25
2016-05-27,113.0
2016-05-30,115.65
2016-05-31,114.4
2016-06-01,113.55
2016-06-02,113.55
2016-06-03,112.9
2016-06-06,111.3
2016-06-07,110.6
2016-06-08,110.95
2016-06-09,111.5
2016-06-10,111.45
2016-06-13,111.1
2016-06-14,113.1
2016-06-15,112.8
2016-06-16,109.2
2016-06-17,109.55
2016-06-20,108.7
2016-06-21,110.65
2016-06-22,108.25
2016-06-23,107.7
2016-06-24,106.65
2016-06-27,108.85
2016-06-28,109.95
2016-06-29,113.9
2016-06-30,114.8
2016-07-01,115.1
2016-07-04,122.65
2016-07-05,121.7
2016-07-07,122.05
2016-07-08,121.2
2016-07-11,122.0
2016-07-12,125.05
2016-07-13,124.65
2016-07-14,124.1
2016-07-15,125.0
2016-07-18,124.2
2016-07-19,125.3
2016-07-20,125.05
2016-07-21,123.85
2016-07-22,125.05
2016-07-25,125.25
2016-07-26,121.8
2016-07-27,122.85
2016-07-28,124.25
2016-07-29,125.15
2016-08-01,131.95
2016-08-02,127.8
2016-08-03,126.95
2016-08-04,127.0
2016-08-05,130.75
2016-08-08,128.95
2016-08-09,127.45
2016-08-10,126.4
2016-08-11,127.8
2016-08-12,127.0
2016-08-16,125.85
2016-08-17,127.6
2016-08-18,130.8
2016-08-19,131.3
2016-08-22,130.7
2016-08-23,131.35
2016-08-24,129.65
2016-08-25,130.9
2016-08-26,129.4
2016-08-29,129.55
2016-08-30,129.3
2016-08-31,127.25
2016-09-01,126.85
2016-09-02,125.5
2016-09-06,127.4
2016-09-07,127.3
2016-09-08,134.9
2016-09-09,134.15
2016-09-12,128.0
2016-09-14,127.9
2016-09-15,127.15
2016-09-16,127.25
2016-09-19,127.25
2016-09-20,127.65
2016-09-21,128.1
2016-09-22,127.85
2016-09-23,128.0
2016-09-26,127.45
2016-09-27,130.85
2016-09-28,133.95
2016-09-29,130.6
2016-09-30,134.25
2016-10-03,136.3
2016-10-04,141.2
2016-10-05,138.05
2016-10-06,142.05
2016-10-07,146.2
2016-10-10,146.25
2016-10-13,141.55
2016-10-14,142.65
2016-10-17,138.6
2016-10-18,140.5
2016-10-19,144.55
2016-10-20,147.4
2016-10-21,143.55
2016-10-24,143.55
2016-10-25,145.1
2016-10-26,151.15
2016-10-27,146.2
2016-10-28,145.65
2016-10-30,146.7
2016-11-01,143.85
2016-11-02,138.65
2016-11-03,136.6
2016-11-04,132.8
2016-11-07,138.35
2016-11-08,140.15
2016-11-09,136.0
2016-11-10,136.55
2016-11-11,126.05
2016-11-15,114.65
2016-11-16,119.75
2016-11-17,121.65
2016-11-18,122.0
2016-11-21,115.7
2016-11-22,116.25
2016-11-23,116.65
2016-11-24,115.85
2016-11-25,116.15
2016-11-28,117.1
2016-11-29,117.7
2016-11-30,121.5
2016-12-01,120.4
2016-12-02,120.3
2016-12-05,118.9
2016-12-06,121.9
2016-12-07,119.7
2016-12-08,122.4
2016-12-09,123.1
2016-12-12,121.05
2016-12-13,121.35
2016-12-14,120.3
2016-12-15,117.7
2016-12-16,118.95
2016-12-19,118.55
2016-12-20,118.55
2016-12-21,116.15
2016-12-22,116.7
2016-12-23,115.65
2016-12-26,114.05
2016-12-27,115.95
2016-12-28,116.55
2016-12-29,116.75
2016-12-30,117.25
