Date,JAICORPLTD
2016-01-01,78.15
2016-01-04,90.05
2016-01-05,90.0
2016-01-06,86.4
2016-01-07,77.9
2016-01-08,79.25
2016-01-11,79.7
2016-01-12,78.35
2016-01-13,73.85
2016-01-14,69.1
2016-01-15,63.9
2016-01-18,62.2
2016-01-19,65.3
2016-01-20,62.2
2016-01-21,62.15
2016-01-22,64.45
2016-01-25,63.65
2016-01-27,64.5
2016-01-28,67.7
2016-01-29,68.5
2016-02-01,66.3
2016-02-02,65.25
2016-02-03,65.8
2016-02-04,65.35
2016-02-05,65.6
2016-02-08,67.55
2016-02-09,67.15
2016-02-10,64.55
2016-02-11,58.4
2016-02-12,55.5
2016-02-15,59.6
2016-02-16,59.5
2016-02-17,59.8
2016-02-18,60.2
2016-02-19,59.95
2016-02-22,61.5
2016-02-23,60.7
2016-02-24,59.0
2016-02-25,58.05
2016-02-26,56.8
2016-02-29,55.8
2016-03-01,58.65
2016-03-02,60.65
2016-03-03,63.0
2016-03-04,68.9
2016-03-08,69.45
2016-03-09,72.65
2016-03-10,70.7
2016-03-11,69.35
2016-03-14,69.05
2016-03-15,67.5
2016-03-16,66.7
2016-03-17,70.3
2016-03-18,69.6
2016-03-21,68.9
2016-03-22,70.7
2016-03-23,69.8
2016-03-28,67.15
2016-03-29,67.85
2016-03-30,69.55
2016-03-31,68.8
2016-04-01,70.0
2016-04-04,71.3
2016-04-05,67.3
2016-04-06,69.55
2016-04-07,68.7
2016-04-08,68.6
2016-04-11,72.0
2016-04-12,72.8
2016-04-13,71.75
2016-04-18,71.25
2016-04-20,71.45
2016-04-21,69.9
2016-04-22,68.9
2016-04-25,68.05
2016-04-26,69.85
2016-04-27,69.6
2016-04-28,68.85
2016-04-29,68.1
2016-05-02,68.5
2016-05-03,68.8
2016-05-04,67.5
2016-05-05,68.65
2016-05-06,68.05
2016-05-09,73.55
2016-05-10,72.15
2016-05-11,73.95
2016-05-12,74.95
2016-05-13,72.35
2016-05-16,71.65
2016-05-17,71.2
2016-05-18,71.2
2016-05-19,69.0
2016-05-20,68.2
2016-05-23,68.05
2016-05-24,66.75
2016-05-25,68.0
2016-05-26,68.75
2016-05-27,70.75
2016-05-30,70.8
2016-05-31,69.0
2016-06-01,69.9
2016-06-02,71.95
2016-06-03,70.5
2016-06-06,69.9
2016-06-07,70.0
2016-06-08,71.1
2016-06-09,70.8
2016-06-10,70.2
2016-06-13,69.0
2016-06-14,69.35
2016-06-15,71.3
2016-06-16,69.55
2016-06-17,76.45
2016-06-20,75.9
2016-06-21,76.1
2016-06-22,72.5
2016-06-23,71.35
2016-06-24,68.9
2016-06-27,71.2
2016-06-28,73.1
2016-06-29,73.5
2016-06-30,75.7
2016-07-01,77.0
2016-07-04,81.55
2016-07-05,79.45
2016-07-07,77.95
2016-07-08,76.65
2016-07-11,77.75
2016-07-12,77.25
2016-07-13,80.25
2016-07-14,79.4
2016-07-15,79.6
2016-07-18,78.8
2016-07-19,79.7
2016-07-20,79.8
2016-07-21,78.45
2016-07-22,79.5
2016-07-25,79.5
2016-07-26,78.85
2016-07-27,78.6
2016-07-28,78.65
2016-07-29,78.2
2016-08-01,77.1
2016-08-02,75.65
2016-08-03,73.75
2016-08-04,76.65
2016-08-05,77.9
2016-08-08,77.95
2016-08-09,76.15
2016-08-10,73.35
2016-08-11,73.5
2016-08-12,74.35
2016-08-16,73.7
2016-08-17,74.75
2016-08-18,76.8
2016-08-19,78.9
2016-08-22,78.6
2016-08-23,77.55
2016-08-24,75.1
2016-08-25,74.1
2016-08-26,73.4
2016-08-29,74.25
2016-08-30,73.85
2016-08-31,74.4
2016-09-01,74.1
2016-09-02,74.15
2016-09-06,74.45
2016-09-07,75.2
2016-09-08,77.8
2016-09-09,77.05
2016-09-12,73.5
2016-09-14,74.25
2016-09-15,76.05
2016-09-16,75.65
2016-09-19,75.7
2016-09-20,75.0
2016-09-21,74.1
2016-09-22,76.0
2016-09-23,76.05
2016-09-26,75.05
2016-09-27,74.15
2016-09-28,74.45
2016-09-29,67.75
2016-09-30,69.05
2016-10-03,72.25
2016-10-04,73.7
2016-10-05,74.25
2016-10-06,73.15
2016-10-07,72.5
2016-10-10,72.95
2016-10-13,70.7
2016-10-14,71.5
2016-10-17,70.25
2016-10-18,71.5
2016-10-19,73.35
2016-10-20,74.25
2016-10-21,74.45
2016-10-24,73.15
2016-10-25,74.05
2016-10-26,72.1
2016-10-27,71.8
2016-10-28,72.5
2016-10-30,72.2
2016-11-01,72.9
2016-11-02,70.6
2016-11-03,70.65
2016-11-04,68.15
2016-11-07,69.45
2016-11-08,69.0
2016-11-09,62.65
2016-11-10,66.15
2016-11-11,62.45
2016-11-15,58.0
2016-11-16,56.5
2016-11-17,55.15
2016-11-18,55.75
2016-11-21,53.85
2016-11-22,52.95
2016-11-23,54.75
2016-11-24,54.6
2016-11-25,56.45
2016-11-28,58.5
2016-11-29,64.7
2016-11-30,71.1
2016-12-01,68.45
2016-12-02,66.7
2016-12-05,67.65
2016-12-06,68.2
2016-12-07,66.15
2016-12-08,66.0
2016-12-09,68.3
2016-12-12,68.05
2016-12-13,68.55
2016-12-14,66.6
2016-12-15,66.5
2016-12-16,65.35
2016-12-19,70.3
2016-12-20,67.75
2016-12-21,67.3
2016-12-22,66.05
2016-12-23,65.6
2016-12-26,67.9
2016-12-27,66.8
2016-12-28,67.0
2016-12-29,71.85
2016-12-30,72.05
