Date,AVTNPL
2016-01-01,37.0
2016-01-04,36.5
2016-01-05,40.1
2016-01-06,38.5
2016-01-07,36.8
2016-01-08,37.7
2016-01-11,37.25
2016-01-12,36.75
2016-01-13,35.7
2016-01-14,34.6
2016-01-15,32.9
2016-01-18,31.75
2016-01-19,32.35
2016-01-20,30.5
2016-01-21,31.9
2016-01-22,32.85
2016-01-25,33.8
2016-01-27,34.35
2016-01-28,34.5
2016-01-29,33.6
2016-02-01,32.65
2016-02-02,32.05
2016-02-03,31.65
2016-02-04,30.95
2016-02-05,32.05
2016-02-08,31.45
2016-02-09,31.4
2016-02-10,31.45
2016-02-11,29.7
2016-02-12,28.55
2016-02-15,29.8
2016-02-16,28.4
2016-02-17,28.7
2016-02-18,28.6
2016-02-19,29.05
2016-02-22,28.8
2016-02-23,28.6
2016-02-24,28.8
2016-02-25,27.5
2016-02-26,27.15
2016-02-29,26.45
2016-03-01,27.8
2016-03-02,28.7
2016-03-03,29.2
2016-03-04,28.6
2016-03-08,28.25
2016-03-09,28.5
2016-03-10,28.1
2016-03-11,28.35
2016-03-14,28.45
2016-03-15,28.3
2016-03-16,27.95
2016-03-17,27.9
2016-03-18,28.05
2016-03-21,28.05
2016-03-22,28.45
2016-03-23,28.65
2016-03-28,27.6
2016-03-29,27.65
2016-03-30,27.75
2016-03-31,27.95
2016-04-01,28.15
2016-04-04,29.55
2016-04-05,30.15
2016-04-06,30.1
2016-04-07,30.0
2016-04-08,29.8
2016-04-11,29.85
2016-04-12,29.95
2016-04-13,30.3
2016-04-18,31.0
2016-04-20,31.7
2016-04-21,33.8
2016-04-22,33.75
2016-04-25,33.9
2016-04-26,34.0
2016-04-27,33.95
2016-04-28,33.15
2016-04-29,33.3
2016-05-02,34.75
2016-05-03,33.9
2016-05-04,34.05
2016-05-05,34.1
2016-05-06,33.4
2016-05-09,32.75
2016-05-10,32.45
2016-05-11,32.2
2016-05-12,33.0
2016-05-13,32.95
2016-05-16,31.55
2016-05-17,31.65
2016-05-18,31.75
2016-05-19,31.75
2016-05-20,31.85
2016-05-23,31.5
2016-05-24,31.2
2016-05-25,31.45
2016-05-26,31.35
2016-05-27,31.65
2016-05-30,30.3
2016-05-31,28.75
2016-06-01,29.4
2016-06-02,29.75
2016-06-03,29.35
2016-06-06,29.25
2016-06-07,28.9
2016-06-08,29.25
2016-06-09,29.05
2016-06-10,29.05
2016-06-13,31.95
2016-06-14,32.35
2016-06-15,32.3
2016-06-16,30.55
2016-06-17,30.75
2016-06-20,31.0
2016-06-21,30.55
2016-06-22,31.1
2016-06-23,30.8
2016-06-24,29.9
2016-06-27,30.25
2016-06-28,30.2
2016-06-29,31.4
2016-06-30,31.65
2016-07-01,31.3
2016-07-04,31.35
2016-07-05,32.1
2016-07-07,32.45
2016-07-08,31.1
2016-07-11,31.5
2016-07-12,31.35
2016-07-13,31.5
2016-07-14,31.15
2016-07-15,30.95
2016-07-18,31.1
2016-07-19,31.2
2016-07-20,31.85
2016-07-21,33.75
2016-07-22,34.35
2016-07-25,33.6
2016-07-26,33.0
2016-07-27,33.75
2016-07-28,33.75
2016-07-29,34.2
2016-08-01,33.6
2016-08-02,32.95
2016-08-03,32.15
2016-08-04,32.15
2016-08-05,32.5
2016-08-08,33.05
2016-08-09,33.5
2016-08-10,33.7
2016-08-11,32.6
2016-08-12,32.7
2016-08-16,32.75
2016-08-17,31.85
2016-08-18,31.6
2016-08-19,31.6
2016-08-22,30.9
2016-08-23,30.95
2016-08-24,31.75
2016-08-25,31.25
2016-08-26,30.85
2016-08-29,30.6
2016-08-30,30.6
2016-08-31,30.15
2016-09-01,30.45
2016-09-02,30.7
2016-09-06,30.4
2016-09-07,30.9
2016-09-08,30.55
2016-09-09,30.15
2016-09-12,29.9
2016-09-14,30.45
2016-09-15,30.15
2016-09-16,30.2
2016-09-19,30.1
2016-09-20,29.8
2016-09-21,29.75
2016-09-22,29.9
2016-09-23,29.6
2016-09-26,32.05
2016-09-27,34.45
2016-09-28,41.3
2016-09-29,35.1
2016-09-30,37.75
2016-10-03,40.2
2016-10-04,39.6
2016-10-05,39.35
2016-10-06,38.9
2016-10-07,38.4
2016-10-10,37.2
2016-10-13,35.8
2016-10-14,36.7
2016-10-17,38.35
2016-10-18,38.35
2016-10-19,37.6
2016-10-20,37.8
2016-10-21,38.2
2016-10-24,38.85
2016-10-25,38.1
2016-10-26,37.6
2016-10-27,36.75
2016-10-28,36.65
2016-10-30,37.0
2016-11-01,36.75
2016-11-02,36.45
2016-11-03,36.55
2016-11-04,34.6
2016-11-07,34.8
2016-11-08,35.1
2016-11-09,33.2
2016-11-10,34.65
2016-11-11,33.8
2016-11-15,30.85
2016-11-16,30.9
2016-11-17,29.7
2016-11-18,30.05
2016-11-21,29.0
2016-11-22,29.25
2016-11-23,29.8
2016-11-24,29.9
2016-11-25,30.4
2016-11-28,30.25
2016-11-29,31.3
2016-11-30,32.7
2016-12-01,32.4
2016-12-02,31.65
2016-12-05,31.5
2016-12-06,31.65
2016-12-07,32.2
2016-12-08,32.75
2016-12-09,32.15
2016-12-12,32.7
2016-12-13,32.05
2016-12-14,31.75
2016-12-15,31.75
2016-12-16,31.4
2016-12-19,31.0
2016-12-20,31.3
2016-12-21,31.15
2016-12-22,30.2
2016-12-23,30.25
2016-12-26,30.2
2016-12-27,30.65
2016-12-28,30.35
2016-12-29,30.5
2016-12-30,30.35
