Date,HINDUJAVEN
2016-01-01,449.55
2016-01-04,446.2
2016-01-05,452.75
2016-01-06,450.7
2016-01-07,441.1
2016-01-08,445.1
2016-01-11,441.05
2016-01-12,433.7
2016-01-13,429.3
2016-01-14,420.4
2016-01-15,409.9
2016-01-18,394.4
2016-01-19,388.25
2016-01-20,378.45
2016-01-21,375.9
2016-01-22,387.4
2016-01-25,393.8
2016-01-27,397.95
2016-01-28,399.9
2016-01-29,397.2
2016-02-01,399.3
2016-02-02,399.25
2016-02-03,399.15
2016-02-04,399.35
2016-02-05,391.85
2016-02-08,398.45
2016-02-09,389.15
2016-02-10,403.1
2016-02-11,392.55
2016-02-12,381.2
2016-02-15,389.95
2016-02-16,386.65
2016-02-17,384.4
2016-02-18,385.05
2016-02-19,385.95
2016-02-22,390.75
2016-02-23,384.85
2016-02-24,388.1
2016-02-25,390.9
2016-02-26,386.05
2016-02-29,383.0
2016-03-01,388.05
2016-03-02,386.5
2016-03-03,390.4
2016-03-04,391.3
2016-03-08,405.3
2016-03-09,409.7
2016-03-10,415.0
2016-03-11,416.65
2016-03-14,430.55
2016-03-15,432.7
2016-03-16,430.05
2016-03-17,428.65
2016-03-18,428.2
2016-03-21,399.85
2016-03-22,403.4
2016-03-23,399.6
2016-03-28,395.6
2016-03-29,394.15
2016-03-30,405.4
2016-03-31,419.65
2016-04-01,422.3
2016-04-04,420.15
2016-04-05,422.3
2016-04-06,429.45
2016-04-07,432.2
2016-04-08,434.2
2016-04-11,435.2
2016-04-12,438.9
2016-04-13,436.0
2016-04-18,436.1
2016-04-20,441.95
2016-04-21,431.3
2016-04-22,433.1
2016-04-25,435.3
2016-04-26,441.8
2016-04-27,442.05
2016-04-28,440.75
2016-04-29,439.55
2016-05-02,437.9
2016-05-03,439.75
2016-05-04,437.95
2016-05-05,436.9
2016-05-06,441.15
2016-05-09,437.75
2016-05-10,448.9
2016-05-11,445.05
2016-05-12,450.15
2016-05-13,414.3
2016-05-16,395.9
2016-05-17,399.25
2016-05-18,404.3
2016-05-19,401.8
2016-05-20,399.1
2016-05-23,400.45
2016-05-24,397.9
2016-05-25,396.05
2016-05-26,398.85
2016-05-27,397.8
2016-05-30,399.35
2016-05-31,399.75
2016-06-01,401.8
2016-06-02,399.45
2016-06-03,398.4
2016-06-06,402.9
2016-06-07,401.05
2016-06-08,407.1
2016-06-09,403.3
2016-06-10,407.85
2016-06-13,402.55
2016-06-14,405.2
2016-06-15,406.2
2016-06-16,408.15
2016-06-17,406.35
2016-06-20,406.95
2016-06-21,405.95
2016-06-22,405.05
2016-06-23,406.15
2016-06-24,398.25
2016-06-27,414.95
2016-06-28,415.3
2016-06-29,416.25
2016-06-30,416.45
2016-07-01,414.65
2016-07-04,415.55
2016-07-05,416.8
2016-07-07,415.65
2016-07-08,418.0
2016-07-11,420.0
2016-07-12,418.95
2016-07-13,418.7
2016-07-14,421.5
2016-07-15,417.35
2016-07-18,434.2
2016-07-19,439.4
2016-07-20,434.75
2016-07-21,427.85
2016-07-22,447.75
2016-07-25,447.4
2016-07-26,433.5
2016-07-27,430.9
2016-07-28,439.85
2016-07-29,435.7
2016-08-01,438.0
2016-08-02,435.5
2016-08-03,427.45
2016-08-04,427.55
2016-08-05,430.0
2016-08-08,433.75
2016-08-09,430.45
2016-08-10,426.1
2016-08-11,423.3
2016-08-12,431.05
2016-08-16,431.45
2016-08-17,430.85
2016-08-18,435.7
2016-08-19,435.85
2016-08-22,449.75
2016-08-23,446.1
2016-08-24,446.15
2016-08-25,447.65
2016-08-26,440.75
2016-08-29,447.8
2016-08-30,448.55
2016-08-31,444.5
2016-09-01,438.6
2016-09-02,442.65
2016-09-06,436.7
2016-09-07,443.25
2016-09-08,437.8
2016-09-09,431.1
2016-09-12,431.6
2016-09-14,438.3
2016-09-15,445.1
2016-09-16,443.15
2016-09-19,442.85
2016-09-20,441.35
2016-09-21,443.05
2016-09-22,447.2
2016-09-23,458.2
2016-09-26,459.55
2016-09-27,453.15
2016-09-28,457.75
2016-09-29,427.6
2016-09-30,435.45
2016-10-03,454.35
2016-10-04,463.2
2016-10-05,458.4
2016-10-06,455.75
2016-10-07,456.3
2016-10-10,460.0
2016-10-13,457.15
2016-10-14,453.15
2016-10-17,452.25
2016-10-18,453.2
2016-10-19,462.6
2016-10-20,526.95
2016-10-21,529.6
2016-10-24,533.2
2016-10-25,526.75
2016-10-26,525.35
2016-10-27,554.55
2016-10-28,553.65
2016-10-30,560.8
2016-11-01,582.6
2016-11-02,562.55
2016-11-03,552.35
2016-11-04,533.15
2016-11-07,536.6
2016-11-08,542.6
2016-11-09,522.8
2016-11-10,543.85
2016-11-11,517.85
2016-11-15,484.35
2016-11-16,489.4
2016-11-17,494.55
2016-11-18,504.95
2016-11-21,483.95
2016-11-22,485.0
2016-11-23,501.25
2016-11-24,499.45
2016-11-25,505.8
2016-11-28,515.1
2016-11-29,508.0
2016-11-30,528.2
2016-12-01,521.8
2016-12-02,515.05
2016-12-05,511.15
2016-12-06,528.65
2016-12-07,512.8
2016-12-08,518.8
2016-12-09,521.15
2016-12-12,520.4
2016-12-13,515.2
2016-12-14,507.0
2016-12-15,511.8
2016-12-16,507.75
2016-12-19,510.75
2016-12-20,509.95
2016-12-21,503.95
2016-12-22,506.55
2016-12-23,511.9
2016-12-26,498.9
2016-12-27,500.15
2016-12-28,510.05
2016-12-29,508.2
2016-12-30,503.05
