Date,BALMLAWRIE
2016-01-01,628.4
2016-01-04,621.05
2016-01-05,625.6
2016-01-06,631.2
2016-01-07,611.1
2016-01-08,626.9
2016-01-11,619.3
2016-01-12,611.9
2016-01-13,588.9
2016-01-14,585.35
2016-01-15,571.3
2016-01-18,556.7
2016-01-19,568.6
2016-01-20,560.2
2016-01-21,557.5
2016-01-22,575.1
2016-01-25,604.15
2016-01-27,585.7
2016-01-28,571.7
2016-01-29,575.45
2016-02-01,582.6
2016-02-02,575.35
2016-02-03,559.0
2016-02-04,564.25
2016-02-05,568.15
2016-02-08,579.35
2016-02-09,568.75
2016-02-10,561.95
2016-02-11,535.4
2016-02-12,528.35
2016-02-15,527.45
2016-02-16,525.85
2016-02-17,524.85
2016-02-18,523.2
2016-02-19,529.25
2016-02-22,526.05
2016-02-23,523.6
2016-02-24,518.8
2016-02-25,509.25
2016-02-26,506.85
2016-02-29,497.15
2016-03-01,500.9
2016-03-02,510.4
2016-03-03,515.45
2016-03-04,509.3
2016-03-08,514.6
2016-03-09,527.05
2016-03-10,537.5
2016-03-11,540.1
2016-03-14,535.3
2016-03-15,539.45
2016-03-16,544.1
2016-03-17,551.75
2016-03-18,560.5
2016-03-21,565.5
2016-03-22,562.25
2016-03-23,550.45
2016-03-28,559.9
2016-03-29,558.85
2016-03-30,558.7
2016-03-31,572.9
2016-04-01,569.7
2016-04-04,572.6
2016-04-05,566.5
2016-04-06,572.2
2016-04-07,572.05
2016-04-08,568.95
2016-04-11,573.75
2016-04-12,592.25
2016-04-13,585.75
2016-04-18,581.0
2016-04-20,575.1
2016-04-21,574.25
2016-04-22,574.15
2016-04-25,571.5
2016-04-26,576.35
2016-04-27,582.05
2016-04-28,574.4
2016-04-29,575.9
2016-05-02,574.7
2016-05-03,576.45
2016-05-04,566.2
2016-05-05,564.65
2016-05-06,570.8
2016-05-09,573.1
2016-05-10,573.3
2016-05-11,571.3
2016-05-12,582.15
2016-05-13,580.3
2016-05-16,581.25
2016-05-17,582.3
2016-05-18,584.65
2016-05-19,581.15
2016-05-20,574.4
2016-05-23,572.3
2016-05-24,562.4
2016-05-25,572.2
2016-05-26,582.7
2016-05-27,584.7
2016-05-30,578.15
2016-05-31,579.85
2016-06-01,580.0
2016-06-02,580.3
2016-06-03,582.55
2016-06-06,578.95
2016-06-07,578.3
2016-06-08,590.15
2016-06-09,588.2
2016-06-10,588.8
2016-06-13,583.8
2016-06-14,588.4
2016-06-15,606.0
2016-06-16,599.45
2016-06-17,604.0
2016-06-20,603.15
2016-06-21,606.6
2016-06-22,599.2
2016-06-23,596.95
2016-06-24,593.15
2016-06-27,584.2
2016-06-28,589.8
2016-06-29,601.85
2016-06-30,599.85
2016-07-01,594.65
2016-07-04,600.9
2016-07-05,602.1
2016-07-07,606.55
2016-07-08,599.7
2016-07-11,597.5
2016-07-12,597.7
2016-07-13,594.3
2016-07-14,600.05
2016-07-15,595.15
2016-07-18,600.2
2016-07-19,601.0
2016-07-20,600.5
2016-07-21,603.05
2016-07-22,604.4
2016-07-25,616.75
2016-07-26,611.8
2016-07-27,615.5
2016-07-28,628.6
2016-07-29,625.7
2016-08-01,625.05
2016-08-02,620.4
2016-08-03,618.75
2016-08-04,619.6
2016-08-05,624.25
2016-08-08,674.3
2016-08-09,665.4
2016-08-10,652.15
2016-08-11,659.2
2016-08-12,651.8
2016-08-16,658.05
2016-08-17,667.5
2016-08-18,666.95
2016-08-19,692.15
2016-08-22,689.75
2016-08-23,693.5
2016-08-24,700.55
2016-08-25,706.25
2016-08-26,693.7
2016-08-29,689.45
2016-08-30,688.7
2016-08-31,695.1
2016-09-01,689.55
2016-09-02,697.05
2016-09-06,697.3
2016-09-07,711.7
2016-09-08,721.05
2016-09-09,728.5
2016-09-12,719.25
2016-09-14,702.85
2016-09-15,706.2
2016-09-16,692.5
2016-09-19,689.35
2016-09-20,677.7
2016-09-21,704.3
2016-09-22,705.4
2016-09-23,692.9
2016-09-26,685.5
2016-09-27,681.2
2016-09-28,695.15
2016-09-29,663.4
2016-09-30,674.6
2016-10-03,694.05
2016-10-04,694.6
2016-10-05,705.65
2016-10-06,693.95
2016-10-07,695.95
2016-10-10,695.05
2016-10-13,679.45
2016-10-14,677.75
2016-10-17,690.3
2016-10-18,696.9
2016-10-19,701.4
2016-10-20,694.2
2016-10-21,693.9
2016-10-24,708.85
2016-10-25,713.1
2016-10-26,720.1
2016-10-27,776.05
2016-10-28,774.25
2016-10-30,785.1
2016-11-01,788.9
2016-11-02,783.1
2016-11-03,770.6
2016-11-04,762.75
2016-11-07,768.05
2016-11-08,771.4
2016-11-09,766.15
2016-11-10,790.5
2016-11-11,828.45
2016-11-15,816.25
2016-11-16,816.6
2016-11-17,811.45
2016-11-18,837.3
2016-11-21,810.65
2016-11-22,829.1
2016-11-23,840.4
2016-11-24,848.95
2016-11-25,869.15
2016-11-28,933.45
2016-11-29,965.8
2016-11-30,984.75
2016-12-01,997.6
2016-12-02,973.85
2016-12-05,1009.5
2016-12-06,1045.5
2016-12-07,1043.8
2016-12-08,1078.75
2016-12-09,1096.35
2016-12-12,1127.8
2016-12-13,1086.7
2016-12-14,1088.55
2016-12-15,1075.4
2016-12-16,1060.1
2016-12-19,1075.05
2016-12-20,1096.95
2016-12-21,1102.45
2016-12-22,1093.1
2016-12-23,1050.65
2016-12-26,236.2
2016-12-27,234.3
2016-12-28,231.15
2016-12-29,228.6
2016-12-30,235.8
