Date,CELESTIAL
2016-01-01,37.05
2016-01-04,36.55
2016-01-05,38.65
2016-01-06,38.35
2016-01-07,36.2
2016-01-08,36.45
2016-01-11,35.15
2016-01-12,35.35
2016-01-13,31.95
2016-01-14,35.1
2016-01-15,33.4
2016-01-18,30.2
2016-01-19,30.7
2016-01-20,29.05
2016-01-21,28.5
2016-01-22,30.05
2016-01-25,31.2
2016-01-27,31.65
2016-01-28,31.95
2016-01-29,30.95
2016-02-01,31.95
2016-02-02,30.3
2016-02-03,28.8
2016-02-04,29.2
2016-02-05,29.45
2016-02-08,27.8
2016-02-09,27.15
2016-02-10,24.7
2016-02-11,20.6
2016-02-12,19.65
2016-02-15,21.6
2016-02-16,21.75
2016-02-17,22.25
2016-02-18,22.55
2016-02-19,22.15
2016-02-22,22.35
2016-02-23,21.6
2016-02-24,20.9
2016-02-25,20.6
2016-02-26,20.65
2016-02-29,21.15
2016-03-01,21.95
2016-03-02,23.9
2016-03-03,24.2
2016-03-04,24.3
2016-03-08,25.55
2016-03-09,28.65
2016-03-10,28.25
2016-03-11,26.8
2016-03-14,27.35
2016-03-15,27.0
2016-03-16,26.0
2016-03-17,26.95
2016-03-18,25.9
2016-03-21,25.6
2016-03-22,25.0
2016-03-23,24.85
2016-03-28,22.65
2016-03-29,24.95
2016-03-30,24.65
2016-03-31,23.65
2016-04-01,24.55
2016-04-04,24.65
2016-04-05,23.95
2016-04-06,23.85
2016-04-07,23.5
2016-04-08,23.5
2016-04-11,24.0
2016-04-12,24.15
2016-04-13,24.25
2016-04-18,23.4
2016-04-20,23.6
2016-04-21,25.1
2016-04-22,24.7
2016-04-25,24.9
2016-04-26,25.6
2016-04-27,25.95
2016-04-28,25.75
2016-04-29,25.5
2016-05-02,25.45
2016-05-03,24.75
2016-05-04,24.15
2016-05-05,23.65
2016-05-06,23.8
2016-05-09,24.6
2016-05-10,23.95
2016-05-11,23.55
2016-05-12,23.3
2016-05-13,23.3
2016-05-16,23.85
2016-05-17,23.95
2016-05-18,23.4
2016-05-19,22.8
2016-05-20,22.15
2016-05-23,20.9
2016-05-24,21.15
2016-05-25,21.85
2016-05-26,23.05
2016-05-27,23.55
2016-05-30,22.8
2016-05-31,22.9
2016-06-01,22.85
2016-06-02,22.5
2016-06-03,22.3
2016-06-06,21.75
2016-06-07,22.0
2016-06-08,21.9
2016-06-09,21.75
2016-06-10,21.2
2016-06-13,21.35
2016-06-14,21.2
2016-06-15,21.45
2016-06-16,22.4
2016-06-17,22.25
2016-06-20,21.55
2016-06-21,21.7
2016-06-22,22.2
2016-06-23,22.1
2016-06-24,22.2
2016-06-27,22.45
2016-06-28,22.35
2016-06-29,22.9
2016-06-30,26.45
2016-07-01,25.2
2016-07-04,25.25
2016-07-05,25.35
2016-07-07,29.0
2016-07-08,28.0
2016-07-11,28.55
2016-07-12,27.95
2016-07-13,28.1
2016-07-14,27.6
2016-07-15,27.6
2016-07-18,26.85
2016-07-19,26.6
2016-07-20,26.4
2016-07-21,25.1
2016-07-22,25.15
2016-07-25,25.85
2016-07-26,25.75
2016-07-27,25.35
2016-07-28,26.2
2016-07-29,25.15
2016-08-01,24.3
2016-08-02,24.0
2016-08-03,23.55
2016-08-04,23.35
2016-08-05,24.8
2016-08-08,24.9
2016-08-09,24.05
2016-08-10,24.2
2016-08-11,24.05
2016-08-12,24.8
2016-08-16,24.6
2016-08-17,24.2
2016-08-18,23.9
2016-08-19,23.95
2016-08-22,23.8
2016-08-23,24.15
2016-08-24,24.0
2016-08-25,24.25
2016-08-26,23.85
2016-08-29,23.7
2016-08-30,23.7
2016-08-31,23.3
2016-09-01,22.65
2016-09-02,23.6
2016-09-06,23.15
2016-09-07,23.1
2016-09-08,23.0
2016-09-09,23.6
2016-09-12,23.35
2016-09-14,23.6
2016-09-15,23.5
2016-09-16,23.3
2016-09-19,22.8
2016-09-20,22.55
2016-09-21,22.8
2016-09-22,22.7
2016-09-23,24.15
2016-09-26,23.4
2016-09-27,24.15
2016-09-28,24.3
2016-09-29,22.35
2016-09-30,22.65
2016-10-03,23.0
2016-10-04,23.4
2016-10-05,23.4
2016-10-06,23.95
2016-10-07,24.2
2016-10-10,26.7
2016-10-13,26.8
2016-10-14,27.2
2016-10-17,27.05
2016-10-18,26.65
2016-10-19,27.4
2016-10-20,27.75
2016-10-21,28.05
2016-10-24,27.65
2016-10-25,26.7
2016-10-26,26.35
2016-10-27,26.25
2016-10-28,26.1
2016-10-30,26.65
2016-11-01,25.9
2016-11-02,25.65
2016-11-03,24.2
2016-11-04,24.05
2016-11-07,25.45
2016-11-08,25.25
2016-11-09,24.35
2016-11-10,24.1
2016-11-11,24.05
2016-11-15,21.75
2016-11-16,21.45
2016-11-17,21.15
2016-11-18,21.65
2016-11-21,20.5
2016-11-22,19.35
2016-11-23,19.05
2016-11-24,18.25
2016-11-25,19.35
2016-11-28,19.15
2016-11-29,19.95
2016-11-30,20.2
2016-12-01,20.25
2016-12-02,19.9
2016-12-05,20.1
2016-12-06,20.3
2016-12-07,20.35
2016-12-08,20.55
2016-12-09,20.75
2016-12-12,21.7
2016-12-13,21.25
2016-12-14,21.9
2016-12-15,21.9
2016-12-16,21.0
2016-12-19,20.7
2016-12-20,20.0
2016-12-21,19.95
2016-12-22,19.05
2016-12-23,19.2
2016-12-26,19.45
2016-12-27,19.85
2016-12-28,19.85
2016-12-29,20.15
2016-12-30,20.4
