Date,ATUL
2016-01-01,1675.6
2016-01-04,1698.5
2016-01-05,1697.1
2016-01-06,1676.65
2016-01-07,1627.7
2016-01-08,1631.85
2016-01-11,1615.55
2016-01-12,1584.9
2016-01-13,1560.55
2016-01-14,1534.65
2016-01-15,1495.25
2016-01-18,1449.65
2016-01-19,1448.95
2016-01-20,1389.6
2016-01-21,1403.7
2016-01-22,1465.4
2016-01-25,1462.35
2016-01-27,1459.8
2016-01-28,1452.7
2016-01-29,1452.5
2016-02-01,1447.0
2016-02-02,1503.95
2016-02-03,1454.45
2016-02-04,1476.9
2016-02-05,1461.2
2016-02-08,1459.35
2016-02-09,1462.75
2016-02-10,1470.15
2016-02-11,1405.4
2016-02-12,1347.2
2016-02-15,1400.6
2016-02-16,1321.15
2016-02-17,1349.3
2016-02-18,1365.75
2016-02-19,1395.05
2016-02-22,1397.6
2016-02-23,1382.75
2016-02-24,1353.7
2016-02-25,1359.45
2016-02-26,1360.7
2016-02-29,1352.65
2016-03-01,1402.4
2016-03-02,1425.95
2016-03-03,1428.15
2016-03-04,1426.7
2016-03-08,1443.25
2016-03-09,1452.6
2016-03-10,1441.9
2016-03-11,1463.3
2016-03-14,1497.85
2016-03-15,1495.15
2016-03-16,1495.8
2016-03-17,1508.85
2016-03-18,1513.2
2016-03-21,1519.9
2016-03-22,1523.9
2016-03-23,1515.05
2016-03-28,1470.3
2016-03-29,1489.6
2016-03-30,1490.55
2016-03-31,1534.3
2016-04-01,1519.95
2016-04-04,1536.35
2016-04-05,1599.6
2016-04-06,1629.25
2016-04-07,1672.75
2016-04-08,1657.05
2016-04-11,1691.75
2016-04-12,1709.0
2016-04-13,1734.7
2016-04-18,1804.05
2016-04-20,1798.75
2016-04-21,1773.3
2016-04-22,1754.05
2016-04-25,1753.55
2016-04-26,1779.95
2016-04-27,1825.5
2016-04-28,1827.9
2016-04-29,1800.95
2016-05-02,1728.35
2016-05-03,1833.95
2016-05-04,1796.35
2016-05-05,1876.6
2016-05-06,1899.35
2016-05-09,1935.75
2016-05-10,1951.85
2016-05-11,1990.25
2016-05-12,2026.2
2016-05-13,1965.65
2016-05-16,1895.9
2016-05-17,1928.1
2016-05-18,1907.85
2016-05-19,1880.25
2016-05-20,1874.5
2016-05-23,1851.4
2016-05-24,1874.65
2016-05-25,1872.35
2016-05-26,1862.8
2016-05-27,1884.0
2016-05-30,1889.95
2016-05-31,1879.05
2016-06-01,1874.05
