Date,8KMILES
2016-01-01,2219.55
2016-01-04,2381.95
2016-01-05,2399.9
2016-01-06,2439.2
2016-01-07,2336.95
2016-01-08,2377.15
2016-01-11,2356.7
2016-01-12,2145.55
2016-01-13,2483.7
2016-01-14,2478.3
2016-01-15,2303.4
2016-01-18,2082.35
2016-01-19,2136.0
2016-01-20,1944.55
2016-01-21,2008.6
2016-01-22,2073.05
2016-01-25,2097.7
2016-01-27,2164.1
2016-01-28,2184.7
2016-01-29,2222.55
2016-02-01,2186.65
2016-02-02,2126.0
2016-02-03,2017.0
2016-02-04,2020.2
2016-02-05,2013.05
2016-02-08,1963.4
2016-02-09,1906.85
2016-02-10,1770.9
2016-02-11,1429.45
2016-02-12,1503.9
2016-02-15,1791.4
2016-02-16,1678.8
2016-02-17,1672.1
2016-02-18,1620.6
2016-02-19,1627.75
2016-02-22,1629.0
2016-02-23,1597.35
2016-02-24,1590.4
2016-02-25,1581.95
2016-02-26,1542.5
2016-02-29,1540.75
2016-03-01,1628.2
2016-03-02,1698.45
2016-03-03,1748.65
2016-03-04,1830.75
2016-03-08,1835.8
2016-03-09,1847.5
2016-03-10,1903.9
2016-03-11,2012.75
2016-03-14,2128.45
2016-03-15,2126.15
2016-03-16,2099.4
2016-03-17,2132.5
2016-03-18,2127.95
2016-03-21,2133.85
2016-03-22,2120.95
2016-03-23,2064.85
2016-03-28,1969.3
2016-03-29,1956.0
2016-03-30,2005.25
2016-03-31,1998.25
2016-04-01,2014.25
2016-04-04,2003.55
2016-04-05,1928.4
2016-04-06,1980.8
2016-04-07,1946.35
2016-04-08,1934.75
2016-04-11,1904.0
2016-04-12,1859.7
2016-04-13,1943.35
2016-04-18,1938.2
2016-04-20,2000.85
2016-04-21,1973.4
2016-04-22,1943.15
2016-04-25,1942.7
2016-04-26,2043.3
2016-04-27,2145.0
2016-04-28,2089.45
2016-04-29,2143.3
2016-05-02,2219.3
2016-05-03,2245.4
2016-05-04,2151.1
2016-05-05,2092.2
2016-05-06,2104.15
2016-05-09,2106.0
2016-05-10,1987.25
2016-05-11,1967.25
2016-05-12,1870.95
2016-05-13,1862.8
2016-05-16,1795.15
2016-05-17,1722.45
2016-05-18,1661.05
2016-05-19,1582.5
2016-05-20,1739.5
2016-05-23,1729.65
2016-05-24,1685.2
2016-05-25,1714.3
2016-05-26,1709.55
2016-05-27,1710.45
2016-05-30,1683.6
2016-05-31,1692.55
2016-06-01,1708.9
2016-06-02,1700.05
2016-06-03,1685.85
2016-06-06,1666.35
2016-06-07,1654.6
2016-06-08,1644.95
2016-06-09,1644.85
2016-06-10,1644.25
2016-06-13,1744.1
2016-06-14,1704.85
2016-06-15,1703.7
2016-06-16,1688.55
2016-06-17,1831.15
2016-06-20,1786.7
2016-06-21,1767.25
2016-06-22,1757.2
2016-06-23,1723.5
2016-06-24,1722.1
2016-06-27,1800.3
2016-06-28,1845.5
2016-06-29,1868.55
2016-06-30,1851.4
2016-07-01,1829.85
2016-07-04,1852.2
2016-07-05,1817.95
2016-07-07,1776.35
2016-07-08,1965.15
2016-07-11,1985.65
2016-07-12,1936.7
2016-07-13,1908.85
2016-07-14,1895.15
2016-07-15,1884.3
2016-07-18,1878.45
2016-07-19,1871.05
2016-07-20,1908.5
2016-07-21,1899.15
2016-07-22,1895.35
2016-07-25,1889.65
2016-07-26,1875.95
2016-07-27,1890.55
2016-07-28,1870.2
2016-07-29,1860.2
2016-08-01,1866.05
2016-08-02,1856.0
2016-08-03,1827.0
2016-08-04,1819.75
2016-08-05,2064.8
2016-08-08,2091.35
2016-08-09,2041.6
2016-08-10,1991.25
2016-08-11,1984.35
2016-08-12,1984.9
2016-08-16,1997.5
2016-08-17,1993.15
2016-08-18,2001.85
2016-08-19,2008.0
2016-08-22,1988.95
2016-08-23,2166.15
2016-08-24,2115.25
2016-08-25,2038.15
2016-08-26,2022.15
2016-08-29,1946.1
2016-08-30,2004.5
2016-08-31,1993.7
2016-09-01,1973.35
2016-09-02,1969.1
2016-09-06,1964.0
2016-09-07,1966.5
2016-09-08,1951.3
2016-09-09,1942.8
2016-09-12,1892.0
2016-09-14,1858.65
2016-09-15,1871.65
2016-09-16,1869.7
2016-09-19,1897.2
2016-09-20,1876.2
2016-09-21,1868.1
2016-09-22,1882.4
2016-09-23,1890.7
2016-09-26,1903.35
2016-09-27,1954.75
2016-09-28,1999.45
2016-09-29,1903.3
2016-09-30,1976.35
2016-10-03,2062.1
2016-10-04,2084.55
2016-10-05,2139.9
2016-10-06,2104.6
2016-10-07,2005.15
2016-10-10,817.8
2016-10-13,794.75
2016-10-14,792.15
2016-10-17,768.95
2016-10-18,758.4
2016-10-19,761.2
2016-10-20,762.95
2016-10-21,768.8
2016-10-24,771.9
2016-10-25,755.6
2016-10-26,754.05
2016-10-27,742.6
2016-10-28,790.0
