Date,SHIVAMAUTO
2016-01-01,65.55
2016-01-04,65.75
2016-01-05,64.95
2016-01-06,63.65
2016-01-07,60.65
2016-01-08,61.3
2016-01-11,59.65
2016-01-12,58.6
2016-01-13,56.8
2016-01-14,54.4
2016-01-15,52.4
2016-01-18,50.65
2016-01-19,50.4
2016-01-20,48.65
2016-01-21,48.95
2016-01-22,51.85
2016-01-25,52.5
2016-01-27,52.65
2016-01-28,53.0
2016-01-29,53.6
2016-02-01,54.95
2016-02-02,53.75
2016-02-03,50.5
2016-02-04,49.7
2016-02-05,50.2
2016-02-08,50.55
2016-02-09,49.85
2016-02-10,48.25
2016-02-11,43.05
2016-02-12,40.2
2016-02-15,46.05
2016-02-16,41.9
2016-02-17,42.85
2016-02-18,42.35
2016-02-19,44.75
2016-02-22,48.05
2016-02-23,47.15
2016-02-24,44.9
2016-02-25,44.75
2016-02-26,43.1
2016-02-29,42.5
2016-03-01,47.65
2016-03-02,52.4
2016-03-03,51.7
2016-03-04,54.0
2016-03-08,51.9
2016-03-09,51.85
2016-03-10,50.25
2016-03-11,49.35
2016-03-14,49.5
2016-03-15,49.3
2016-03-16,48.75
2016-03-17,47.05
2016-03-18,45.7
2016-03-21,43.8
2016-03-22,42.3
2016-03-23,45.5
2016-03-28,47.0
2016-03-29,45.6
2016-03-30,46.5
2016-03-31,48.4
2016-04-01,49.35
2016-04-04,49.8
2016-04-05,48.05
2016-04-06,47.9
2016-04-07,46.75
2016-04-08,46.9
2016-04-11,49.5
2016-04-12,49.7
2016-04-13,51.15
2016-04-18,50.45
2016-04-20,50.75
2016-04-21,49.9
2016-04-22,49.25
2016-04-25,48.15
2016-04-26,48.3
2016-04-27,47.35
2016-04-28,47.6
2016-04-29,46.6
2016-05-02,47.3
2016-05-03,47.7
2016-05-04,46.45
2016-05-05,46.75
2016-05-06,46.5
2016-05-09,46.6
2016-05-10,47.15
2016-05-11,46.6
2016-05-12,46.5
2016-05-13,46.55
2016-05-16,45.8
2016-05-17,46.75
2016-05-18,47.85
2016-05-19,48.65
2016-05-20,48.3
2016-05-23,46.6
2016-05-24,45.25
2016-05-25,46.45
2016-05-26,46.7
2016-05-27,45.95
2016-05-30,44.45
2016-05-31,44.55
2016-06-01,45.55
2016-06-02,44.7
2016-06-03,45.35
2016-06-06,44.8
2016-06-07,44.5
2016-06-08,46.25
2016-06-09,46.1
2016-06-10,45.9
2016-06-13,44.9
2016-06-14,45.4
2016-06-15,45.85
2016-06-16,47.05
2016-06-17,47.6
2016-06-20,47.6
2016-06-21,48.9
2016-06-22,48.25
2016-06-23,50.3
2016-06-24,47.7
2016-06-27,48.35
2016-06-28,48.4
2016-06-29,50.2
2016-06-30,50.65
2016-07-01,51.65
2016-07-04,51.65
2016-07-05,49.9
2016-07-07,49.45
2016-07-08,50.3
2016-07-11,49.7
2016-07-12,50.75
2016-07-13,51.3
2016-07-14,51.55
2016-07-15,49.35
2016-07-18,49.0
2016-07-19,50.35
2016-07-20,50.6
2016-07-21,51.95
2016-07-22,52.65
2016-07-25,52.6
2016-07-26,55.55
2016-07-27,55.55
2016-07-28,56.85
2016-07-29,56.3
2016-08-01,55.0
2016-08-02,54.4
2016-08-03,53.1
2016-08-04,53.4
2016-08-05,54.8
2016-08-08,54.9
2016-08-09,54.4
2016-08-10,52.4
2016-08-11,53.05
2016-08-12,53.25
2016-08-16,47.75
2016-08-17,49.3
2016-08-18,49.3
2016-08-19,49.65
2016-08-22,47.8
2016-08-23,47.55
2016-08-24,47.15
2016-08-25,47.7
2016-08-26,46.85
2016-08-29,46.15
2016-08-30,45.6
2016-08-31,45.2
2016-09-01,45.85
2016-09-02,45.95
2016-09-06,46.0
2016-09-07,46.15
2016-09-08,46.25
2016-09-09,46.0
2016-09-12,45.05
2016-09-14,44.85
2016-09-15,45.75
2016-09-16,47.4
2016-09-19,47.65
2016-09-20,48.55
2016-09-21,47.6
2016-09-22,47.85
2016-09-23,47.45
2016-09-26,46.9
2016-09-27,46.35
2016-09-28,46.7
2016-09-29,44.5
2016-09-30,44.8
2016-10-03,49.1
2016-10-04,48.05
2016-10-05,50.0
2016-10-06,49.0
2016-10-07,49.95
2016-10-10,50.0
2016-10-13,49.45
2016-10-14,51.3
2016-10-17,50.9
2016-10-18,51.5
2016-10-19,50.5
2016-10-20,51.25
2016-10-21,50.75
2016-10-24,52.05
2016-10-25,52.2
2016-10-26,50.85
2016-10-27,49.6
2016-10-28,50.3
2016-10-30,51.7
2016-11-01,51.25
2016-11-02,50.2
2016-11-03,49.55
2016-11-04,46.9
2016-11-07,46.35
2016-11-08,46.7
2016-11-09,44.7
2016-11-10,45.5
2016-11-11,44.8
2016-11-15,41.95
2016-11-16,41.9
2016-11-17,39.9
2016-11-18,39.65
2016-11-21,37.95
2016-11-22,38.05
2016-11-23,39.5
2016-11-24,39.5
2016-11-25,40.9
2016-11-28,42.0
2016-11-29,41.8
2016-11-30,41.75
2016-12-01,41.2
2016-12-02,39.5
2016-12-05,41.05
2016-12-06,40.2
2016-12-07,40.0
2016-12-08,45.35
2016-12-09,45.8
2016-12-12,44.95
2016-12-13,44.3
2016-12-14,43.85
2016-12-15,43.75
2016-12-16,44.15
2016-12-19,43.6
2016-12-20,43.15
2016-12-21,42.8
2016-12-22,41.75
2016-12-23,41.25
2016-12-26,40.0
2016-12-27,40.55
2016-12-28,42.05
2016-12-29,41.6
2016-12-30,42.9
