Date,WONDERLA
2016-01-01,404.6
2016-01-04,396.4
2016-01-05,393.75
2016-01-06,390.8
2016-01-07,381.0
2016-01-08,391.55
2016-01-11,391.15
2016-01-12,389.6
2016-01-13,380.05
2016-01-14,371.35
2016-01-15,361.3
2016-01-18,351.4
2016-01-19,371.3
2016-01-20,375.35
2016-01-21,380.2
2016-01-22,390.9
2016-01-25,402.55
2016-01-27,404.0
2016-01-28,395.6
2016-01-29,398.65
2016-02-01,383.95
2016-02-02,385.15
2016-02-03,384.05
2016-02-04,381.35
2016-02-05,379.95
2016-02-08,380.2
2016-02-09,375.7
2016-02-10,367.35
2016-02-11,337.6
2016-02-12,344.75
2016-02-15,344.75
2016-02-16,345.2
2016-02-17,347.05
2016-02-18,360.75
2016-02-19,366.65
2016-02-22,359.75
2016-02-23,360.05
2016-02-24,359.9
2016-02-25,355.15
2016-02-26,345.5
2016-02-29,352.05
2016-03-01,361.55
2016-03-02,369.95
2016-03-03,370.6
2016-03-04,367.5
2016-03-08,371.8
2016-03-09,372.95
2016-03-10,371.8
2016-03-11,367.7
2016-03-14,369.8
2016-03-15,359.2
2016-03-16,361.6
2016-03-17,360.95
2016-03-18,359.35
2016-03-21,357.3
2016-03-22,375.85
2016-03-23,376.95
2016-03-28,368.7
2016-03-29,376.45
2016-03-30,382.65
2016-03-31,388.05
2016-04-01,385.5
2016-04-04,386.45
2016-04-05,380.45
2016-04-06,376.1
2016-04-07,377.9
2016-04-08,375.75
2016-04-11,377.3
2016-04-12,379.5
2016-04-13,381.4
2016-04-18,381.45
2016-04-20,381.35
2016-04-21,387.75
2016-04-22,390.1
2016-04-25,386.7
2016-04-26,388.25
2016-04-27,386.85
2016-04-28,380.75
2016-04-29,382.25
2016-05-02,379.6
2016-05-03,380.7
2016-05-04,383.65
2016-05-05,388.25
2016-05-06,383.55
2016-05-09,381.95
2016-05-10,379.55
2016-05-11,378.75
2016-05-12,378.85
2016-05-13,379.45
2016-05-16,378.35
2016-05-17,384.45
2016-05-18,384.15
2016-05-19,389.0
2016-05-20,398.15
2016-05-23,405.05
2016-05-24,390.05
2016-05-25,382.2
2016-05-26,379.15
2016-05-27,379.8
2016-05-30,381.6
2016-05-31,377.65
2016-06-01,382.05
2016-06-02,387.75
2016-06-03,383.9
2016-06-06,391.5
2016-06-07,394.45
2016-06-08,394.85
2016-06-09,394.8
2016-06-10,394.85
2016-06-13,389.95
2016-06-14,395.4
2016-06-15,397.75
2016-06-16,395.55
2016-06-17,401.45
2016-06-20,396.75
2016-06-21,395.5
2016-06-22,394.85
2016-06-23,394.65
2016-06-24,386.65
2016-06-27,398.3
2016-06-28,404.05
2016-06-29,405.9
2016-06-30,405.65
2016-07-01,402.4
2016-07-04,397.5
2016-07-05,399.05
2016-07-07,398.3
2016-07-08,397.7
2016-07-11,403.25
2016-07-12,398.85
2016-07-13,397.35
2016-07-14,398.45
2016-07-15,394.65
2016-07-18,391.35
2016-07-19,400.75
2016-07-20,405.05
2016-07-21,402.6
2016-07-22,401.55
2016-07-25,413.05
2016-07-26,410.4
2016-07-27,407.7
2016-07-28,406.1
2016-07-29,411.7
2016-08-01,408.9
2016-08-02,392.2
2016-08-03,398.15
2016-08-04,396.35
2016-08-05,400.45
2016-08-08,404.55
2016-08-09,402.55
2016-08-10,404.8
2016-08-11,400.25
2016-08-12,399.3
2016-08-16,399.6
2016-08-17,404.45
2016-08-18,400.9
2016-08-19,406.6
2016-08-22,414.5
2016-08-23,409.4
2016-08-24,412.05
2016-08-25,405.1
2016-08-26,408.55
2016-08-29,403.8
2016-08-30,409.1
2016-08-31,403.7
2016-09-01,410.25
2016-09-02,409.55
2016-09-06,406.6
2016-09-07,405.6
2016-09-08,405.6
2016-09-09,404.55
2016-09-12,400.5
2016-09-14,400.25
2016-09-15,399.65
2016-09-16,394.75
2016-09-19,385.55
2016-09-20,384.85
2016-09-21,379.75
2016-09-22,382.15
2016-09-23,387.7
2016-09-26,386.95
2016-09-27,386.8
2016-09-28,385.35
2016-09-29,370.45
2016-09-30,376.95
2016-10-03,379.25
2016-10-04,393.5
2016-10-05,400.3
2016-10-06,399.45
2016-10-07,399.4
2016-10-10,399.55
2016-10-13,399.7
2016-10-14,398.85
2016-10-17,406.9
2016-10-18,407.35
2016-10-19,404.65
2016-10-20,402.4
2016-10-21,405.4
2016-10-24,406.5
2016-10-25,405.05
2016-10-26,402.3
2016-10-27,406.95
2016-10-28,399.05
2016-10-30,399.1
2016-11-01,391.15
2016-11-02,379.8
2016-11-03,378.8
2016-11-04,372.75
2016-11-07,372.35
2016-11-08,374.6
2016-11-09,375.0
2016-11-10,368.25
2016-11-11,362.1
2016-11-15,349.25
2016-11-16,340.15
2016-11-17,338.9
2016-11-18,337.7
2016-11-21,319.3
2016-11-22,324.1
2016-11-23,324.7
2016-11-24,324.45
2016-11-25,328.95
2016-11-28,328.2
2016-11-29,334.9
2016-11-30,339.8
2016-12-01,334.45
2016-12-02,329.05
2016-12-05,329.75
2016-12-06,325.05
2016-12-07,318.8
2016-12-08,328.8
2016-12-09,333.6
2016-12-12,335.5
2016-12-13,326.8
2016-12-14,332.95
2016-12-15,348.5
2016-12-16,355.25
2016-12-19,346.4
2016-12-20,345.0
2016-12-21,340.0
2016-12-22,342.25
2016-12-23,340.45
2016-12-26,332.1
2016-12-27,343.4
2016-12-28,344.05
2016-12-29,343.5
2016-12-30,339.75
