Date,OCCL
2016-01-27,535.2
2016-01-28,520.0
2016-01-29,510.15
2016-02-01,539.6
2016-02-02,532.9
2016-02-03,537.5
2016-02-04,539.95
2016-02-08,526.45
2016-02-09,528.15
2016-02-10,512.2
2016-02-11,477.05
2016-02-12,465.0
2016-02-15,463.0
2016-02-16,440.0
2016-02-18,429.2
2016-02-19,426.9
2016-02-22,426.25
2016-02-23,409.1
2016-02-24,395.55
2016-02-25,400.0
2016-02-26,400.0
2016-02-29,395.0
2016-03-01,398.4
2016-03-02,396.0
2016-03-03,402.0
2016-03-04,412.0
2016-03-08,437.3
2016-03-09,425.0
2016-03-10,439.2
2016-03-11,443.2
2016-03-14,441.0
2016-03-15,425.6
2016-03-16,446.5
2016-03-17,449.0
2016-03-18,469.95
2016-03-21,484.6
2016-03-22,482.65
2016-03-23,492.3
2016-03-28,496.0
2016-03-29,494.65
2016-03-30,505.15
2016-03-31,506.75
2016-04-01,502.6
2016-04-04,509.7
2016-04-05,507.25
2016-04-06,518.8
2016-04-07,516.05
2016-04-08,517.25
2016-04-11,486.1
2016-04-12,490.25
2016-04-13,492.1
2016-04-18,498.55
2016-04-20,502.05
2016-04-21,488.35
2016-04-22,489.0
2016-04-25,481.5
2016-04-26,478.55
2016-04-27,478.65
2016-04-28,462.45
2016-04-29,479.75
2016-05-02,479.75
2016-05-03,475.4
2016-05-04,475.25
2016-05-05,476.95
2016-05-06,472.5
2016-05-09,477.0
2016-05-10,470.0
2016-05-11,475.8
2016-05-12,491.3
2016-05-13,499.8
2016-05-16,490.7
2016-05-17,477.05
2016-05-18,480.0
2016-05-19,484.9
2016-05-20,472.15
2016-05-23,466.45
2016-05-24,450.75
2016-05-25,458.35
2016-05-26,469.6
2016-05-27,464.75
2016-05-30,467.9
2016-05-31,487.45
2016-06-01,467.05
2016-06-02,463.65
2016-06-03,467.0
2016-06-06,453.25
2016-06-07,453.05
2016-06-08,502.55
2016-06-09,498.8
2016-06-10,498.85
2016-06-13,498.5
2016-06-14,503.55
2016-06-15,502.05
2016-06-16,493.9
2016-06-17,505.9
2016-06-20,508.9
2016-06-21,502.8
2016-06-22,506.8
2016-06-23,518.25
2016-06-24,524.25
2016-06-27,560.95
2016-06-28,588.1
2016-06-29,579.5
2016-06-30,571.4
2016-07-01,564.0
2016-07-04,551.2
2016-07-05,559.6
2016-07-07,564.35
2016-07-08,578.15
2016-07-11,589.75
2016-07-12,585.2
2016-07-13,595.1
2016-07-14,615.25
2016-07-15,646.65
2016-07-18,616.2
2016-07-19,625.7
2016-07-20,629.65
2016-07-21,631.45
2016-07-22,644.1
2016-07-25,619.45
2016-07-26,617.45
2016-07-27,621.1
2016-07-28,648.45
2016-07-29,646.3
2016-08-01,650.0
2016-08-02,650.0
2016-08-03,640.45
2016-08-04,644.3
2016-08-05,645.65
2016-08-08,674.25
2016-08-09,676.5
2016-08-10,673.75
2016-08-11,664.05
2016-08-12,660.0
2016-08-16,674.35
2016-08-17,689.1
2016-08-18,690.2
2016-08-19,672.5
2016-08-22,725.65
2016-08-23,738.6
2016-08-24,743.8
2016-08-25,740.3
2016-08-26,723.35
2016-08-29,745.1
2016-08-30,746.45
2016-08-31,752.75
2016-09-01,740.15
2016-09-02,734.7
2016-09-06,734.6
2016-09-07,700.05
2016-09-08,709.55
2016-09-09,701.8
2016-09-12,676.4
2016-09-14,685.65
2016-09-15,686.35
2016-09-16,692.85
2016-09-19,696.3
2016-09-20,684.8
2016-09-21,690.45
2016-09-22,685.7
2016-09-23,685.35
2016-09-26,680.85
2016-09-27,701.75
2016-09-28,710.85
2016-09-29,688.15
2016-09-30,680.65
2016-10-03,699.6
2016-10-04,693.7
2016-10-05,698.0
2016-10-06,696.0
2016-10-07,701.15
2016-10-10,709.8
2016-10-13,698.85
2016-10-14,700.45
2016-10-17,699.9
2016-10-18,716.1
2016-10-19,706.2
2016-10-20,701.65
2016-10-21,697.35
2016-10-24,746.15
2016-10-25,775.8
2016-10-26,771.3
2016-10-27,765.95
2016-10-28,774.9
2016-10-30,779.95
2016-11-01,780.25
2016-11-02,750.95
2016-11-03,749.35
2016-11-04,727.55
2016-11-07,745.75
2016-11-08,775.05
2016-11-09,748.95
2016-11-10,828.75
2016-11-11,785.0
2016-11-15,719.75
2016-11-16,759.9
2016-11-17,744.8
2016-11-18,756.7
2016-11-21,768.95
2016-11-22,762.65
2016-11-23,773.1
2016-11-24,761.9
2016-11-25,760.05
2016-11-28,768.25
2016-11-29,791.25
2016-11-30,784.05
2016-12-01,786.1
2016-12-02,788.25
2016-12-05,797.7
2016-12-06,819.0
2016-12-07,806.5
2016-12-08,830.8
2016-12-09,816.65
2016-12-12,787.1
2016-12-13,814.4
2016-12-14,800.45
2016-12-15,805.6
2016-12-16,792.0
2016-12-19,787.2
2016-12-20,788.0
2016-12-21,782.95
2016-12-22,762.5
2016-12-23,761.4
2016-12-26,748.95
2016-12-27,752.7
2016-12-28,751.4
2016-12-29,770.8
2016-12-30,768.95
