Date,GILLANDERS
2016-01-01,75.9
2016-01-04,74.4
2016-01-05,75.35
2016-01-06,72.85
2016-01-07,68.95
2016-01-08,71.95
2016-01-11,71.75
2016-01-12,69.15
2016-01-13,67.8
2016-01-14,66.05
2016-01-15,65.9
2016-01-18,60.9
2016-01-19,63.9
2016-01-20,59.95
2016-01-21,60.15
2016-01-22,62.2
2016-01-25,65.25
2016-01-27,64.35
2016-01-28,63.25
2016-01-29,64.2
2016-02-01,62.65
2016-02-02,61.5
2016-02-03,59.55
2016-02-04,59.35
2016-02-05,60.15
2016-02-08,60.45
2016-02-09,60.45
2016-02-10,56.8
2016-02-11,55.0
2016-02-12,52.3
2016-02-15,56.55
2016-02-16,55.0
2016-02-17,55.2
2016-02-18,53.1
2016-02-19,53.0
2016-02-22,54.8
2016-02-23,57.9
2016-02-24,57.45
2016-02-25,52.25
2016-02-26,49.25
2016-02-29,50.55
2016-03-01,52.8
2016-03-02,53.95
2016-03-03,52.35
2016-03-04,54.4
2016-03-08,54.7
2016-03-09,56.15
2016-03-10,53.3
2016-03-11,54.6
2016-03-14,57.0
2016-03-15,57.7
2016-03-16,59.85
2016-03-17,60.2
2016-03-18,59.9
2016-03-21,60.0
2016-03-22,59.9
2016-03-23,60.45
2016-03-28,60.9
2016-03-29,58.05
2016-03-30,59.0
2016-03-31,61.6
2016-04-01,64.1
2016-04-04,63.5
2016-04-05,61.75
2016-04-06,67.5
2016-04-07,67.3
2016-04-08,68.7
2016-04-11,67.1
2016-04-12,67.6
2016-04-13,67.45
2016-04-18,67.0
2016-04-20,67.8
2016-04-21,65.45
2016-04-22,67.0
2016-04-25,66.15
2016-04-26,66.8
2016-04-27,66.0
2016-04-28,66.9
2016-04-29,65.35
2016-05-02,65.45
2016-05-03,64.35
2016-05-04,64.85
2016-05-05,65.45
2016-05-06,66.0
2016-05-09,64.95
2016-05-10,64.4
2016-05-11,63.7
2016-05-12,66.95
2016-05-13,64.95
2016-05-16,65.05
2016-05-17,64.05
2016-05-18,64.3
2016-05-19,63.45
2016-05-20,64.1
2016-05-23,63.7
2016-05-24,64.45
2016-05-25,64.0
2016-05-26,63.35
2016-05-27,62.75
2016-05-30,57.9
2016-05-31,55.9
2016-06-01,56.5
2016-06-02,55.1
2016-06-03,54.8
2016-06-06,53.55
2016-06-07,54.0
2016-06-08,55.55
2016-06-09,58.3
2016-06-10,62.0
2016-06-13,66.05
2016-06-14,66.0
2016-06-15,64.0
2016-06-16,62.65
2016-06-17,63.1
2016-06-20,63.85
2016-06-21,62.7
2016-06-22,66.2
2016-06-23,64.1
2016-06-24,61.6
2016-06-27,61.8
2016-06-28,63.15
2016-06-29,63.6
2016-06-30,64.15
2016-07-01,69.15
2016-07-04,69.85
2016-07-05,67.25
2016-07-07,68.9
2016-07-08,67.25
2016-07-11,68.25
2016-07-12,68.8
2016-07-13,67.5
2016-07-14,69.1
2016-07-15,66.35
2016-07-18,67.85
2016-07-19,65.85
2016-07-20,68.55
2016-07-21,66.25
2016-07-22,66.8
2016-07-25,70.05
2016-07-26,68.15
2016-07-27,68.75
2016-07-28,68.15
2016-07-29,69.85
2016-08-01,67.1
2016-08-02,66.1
2016-08-03,65.85
2016-08-04,64.2
2016-08-05,65.9
2016-08-08,65.55
2016-08-09,65.45
2016-08-10,64.0
2016-08-11,63.8
2016-08-12,63.4
2016-08-16,61.9
2016-08-17,62.3
2016-08-18,62.95
2016-08-19,62.75
2016-08-22,62.25
2016-08-23,62.45
2016-08-24,63.1
2016-08-25,62.7
2016-08-26,61.55
2016-08-29,61.25
2016-08-30,62.0
2016-08-31,61.85
2016-09-01,61.1
2016-09-02,61.7
2016-09-06,62.55
2016-09-07,63.6
2016-09-08,61.95
2016-09-09,62.3
2016-09-12,61.1
2016-09-14,60.6
2016-09-15,61.05
2016-09-16,61.75
2016-09-19,61.1
2016-09-20,60.85
2016-09-21,60.75
2016-09-22,62.05
2016-09-23,61.1
2016-09-26,60.8
2016-09-27,60.4
2016-09-28,61.2
2016-09-29,60.1
2016-09-30,60.75
2016-10-03,59.9
2016-10-04,60.0
2016-10-05,63.2
2016-10-06,61.55
2016-10-07,62.4
2016-10-10,61.65
2016-10-13,61.0
2016-10-14,61.85
2016-10-17,62.5
2016-10-18,62.1
2016-10-19,66.1
2016-10-20,66.95
2016-10-21,65.7
2016-10-24,70.8
2016-10-25,69.0
2016-10-26,68.85
2016-10-27,69.0
2016-10-28,68.6
2016-10-30,68.4
2016-11-01,69.0
2016-11-02,69.1
2016-11-03,68.75
2016-11-04,67.25
2016-11-07,68.55
2016-11-08,68.0
2016-11-09,64.45
2016-11-10,65.95
2016-11-11,63.55
2016-11-15,59.7
2016-11-16,59.35
2016-11-17,60.9
2016-11-18,60.5
2016-11-21,57.65
2016-11-22,56.85
2016-11-23,57.2
2016-11-24,59.5
2016-11-25,60.4
2016-11-28,61.0
2016-11-29,59.9
2016-11-30,61.35
2016-12-01,61.75
2016-12-02,59.15
2016-12-05,60.95
2016-12-06,60.5
2016-12-07,61.8
2016-12-08,61.8
2016-12-09,66.1
2016-12-12,65.0
2016-12-13,65.05
2016-12-14,63.5
2016-12-15,63.15
2016-12-16,63.85
2016-12-19,63.2
2016-12-20,62.85
2016-12-21,63.0
2016-12-22,63.0
2016-12-23,62.45
2016-12-26,60.45
2016-12-27,66.3
2016-12-28,62.0
2016-12-29,61.6
2016-12-30,62.7
