Date,MIRCELECTR
2016-01-01,20.1
2016-01-04,19.1
2016-01-05,19.65
2016-01-06,19.4
2016-01-07,18.5
2016-01-08,18.65
2016-01-11,18.6
2016-01-12,18.05
2016-01-13,16.95
2016-01-14,16.0
2016-01-15,15.15
2016-01-18,14.4
2016-01-19,14.05
2016-01-20,13.35
2016-01-21,13.75
2016-01-22,14.15
2016-01-25,14.55
2016-01-27,14.85
2016-01-28,15.05
2016-01-29,14.7
2016-02-01,14.35
2016-02-02,13.7
2016-02-03,13.2
2016-02-04,13.0
2016-02-05,13.45
2016-02-08,13.75
2016-02-09,13.55
2016-02-10,12.75
2016-02-11,11.6
2016-02-12,10.65
2016-02-15,11.7
2016-02-16,10.55
2016-02-17,10.05
2016-02-18,9.55
2016-02-19,9.25
2016-02-22,9.7
2016-02-23,9.25
2016-02-24,8.8
2016-02-25,8.4
2016-02-26,8.55
2016-02-29,8.95
2016-03-01,9.35
2016-03-02,9.8
2016-03-03,10.05
2016-03-04,11.05
2016-03-08,11.35
2016-03-09,11.55
2016-03-10,11.15
2016-03-11,11.05
2016-03-14,10.9
2016-03-15,10.75
2016-03-16,10.55
2016-03-17,10.5
2016-03-18,10.25
2016-03-21,10.4
2016-03-22,10.55
2016-03-23,10.35
2016-03-28,10.2
2016-03-29,10.45
2016-03-30,10.35
2016-03-31,10.1
2016-04-01,10.7
2016-04-04,10.95
2016-04-05,10.6
2016-04-06,10.7
2016-04-07,10.6
2016-04-08,11.05
2016-04-11,11.45
2016-04-12,11.15
2016-04-13,10.95
2016-04-18,11.5
2016-04-20,12.15
2016-04-21,12.2
2016-04-22,12.55
2016-04-25,12.85
2016-04-26,12.85
2016-04-27,12.5
2016-04-28,12.0
2016-04-29,11.65
2016-05-02,11.25
2016-05-03,11.55
2016-05-04,11.4
2016-05-05,11.35
2016-05-06,12.2
2016-05-09,12.25
2016-05-10,12.35
2016-05-11,12.45
2016-05-12,12.5
2016-05-13,12.3
2016-05-16,12.5
2016-05-17,12.6
2016-05-18,12.45
2016-05-19,12.35
2016-05-20,12.15
2016-05-23,12.15
2016-05-24,12.45
2016-05-25,12.3
2016-05-26,12.25
2016-05-27,11.9
2016-05-30,11.85
2016-05-31,11.6
2016-06-01,11.7
2016-06-02,11.6
2016-06-03,11.4
2016-06-06,11.25
2016-06-07,11.1
2016-06-08,11.8
2016-06-09,11.7
2016-06-10,11.55
2016-06-13,11.5
2016-06-14,11.5
2016-06-15,12.1
2016-06-16,12.15
2016-06-17,12.0
2016-06-20,11.95
2016-06-21,11.75
2016-06-22,11.55
2016-06-23,11.35
2016-06-24,11.05
2016-06-27,11.45
2016-06-28,12.25
2016-06-29,12.2
2016-06-30,12.0
2016-07-01,11.8
2016-07-04,12.1
2016-07-05,12.05
2016-07-07,12.15
2016-07-08,11.8
2016-07-11,11.95
2016-07-12,12.25
2016-07-13,11.9
2016-07-14,11.9
2016-07-15,11.6
2016-07-18,11.65
2016-07-19,11.35
2016-07-20,11.35
2016-07-21,11.3
2016-07-22,11.4
2016-07-25,11.5
2016-07-26,11.1
2016-07-27,11.2
2016-07-28,11.3
2016-07-29,11.1
2016-08-01,11.1
2016-08-02,11.0
2016-08-03,11.25
2016-08-04,11.1
2016-08-05,11.15
2016-08-08,11.3
2016-08-09,11.5
2016-08-10,11.4
2016-08-11,10.6
2016-08-12,10.6
2016-08-16,10.45
2016-08-17,10.3
2016-08-18,10.15
2016-08-19,10.25
2016-08-22,10.15
2016-08-23,10.1
2016-08-24,10.05
2016-08-25,10.15
2016-08-26,10.05
2016-08-29,12.05
2016-08-30,13.0
2016-08-31,12.75
2016-09-01,12.05
2016-09-02,11.7
2016-09-06,12.05
2016-09-07,12.25
2016-09-08,13.0
2016-09-09,12.7
2016-09-12,12.25
2016-09-14,12.25
2016-09-15,13.1
2016-09-16,12.85
2016-09-19,12.95
2016-09-20,12.85
2016-09-21,12.85
2016-09-22,13.1
2016-09-23,12.85
2016-09-26,13.3
2016-09-27,14.2
2016-09-28,14.2
2016-09-29,12.35
2016-09-30,12.85
2016-10-03,13.8
2016-10-04,13.5
2016-10-05,13.6
2016-10-06,13.95
2016-10-07,14.25
2016-10-10,13.7
2016-10-13,13.4
2016-10-14,14.15
2016-10-17,16.95
2016-10-18,18.7
2016-10-19,17.25
2016-10-20,17.3
2016-10-21,17.55
2016-10-24,17.35
2016-10-25,17.25
2016-10-26,16.75
2016-10-27,16.75
2016-10-28,16.4
2016-10-30,16.2
2016-11-01,16.65
2016-11-02,15.8
2016-11-03,15.35
2016-11-04,14.6
2016-11-07,16.15
2016-11-08,15.5
2016-11-09,14.45
2016-11-10,14.9
2016-11-11,13.95
2016-11-15,12.6
2016-11-16,12.3
2016-11-17,12.35
2016-11-18,12.4
2016-11-21,11.75
2016-11-22,11.8
2016-11-23,12.5
2016-11-24,12.35
2016-11-25,12.7
2016-11-28,12.75
2016-11-29,13.25
2016-11-30,13.5
2016-12-01,13.35
2016-12-02,13.0
2016-12-05,13.0
2016-12-06,13.5
2016-12-07,14.0
2016-12-08,13.95
2016-12-09,13.9
2016-12-12,14.05
2016-12-13,14.05
2016-12-14,13.65
2016-12-15,13.5
2016-12-16,13.55
2016-12-19,13.35
2016-12-20,13.75
2016-12-21,13.5
2016-12-22,13.05
2016-12-23,12.9
2016-12-26,12.7
2016-12-27,12.5
2016-12-28,12.45
2016-12-29,13.3
2016-12-30,13.1
