Date,UNIPLY
2016-01-01,170.8
2016-01-04,173.05
2016-01-05,169.75
2016-01-06,168.15
2016-01-07,157.5
2016-01-08,162.4
2016-01-11,159.65
2016-01-12,158.05
2016-01-13,147.05
2016-01-14,140.65
2016-01-15,128.35
2016-01-18,122.1
2016-01-19,138.65
2016-01-20,134.6
2016-01-21,138.55
2016-01-22,143.65
2016-01-25,150.05
2016-01-27,147.7
2016-01-28,145.65
2016-01-29,145.15
2016-02-01,141.45
2016-02-02,142.4
2016-02-03,132.3
2016-02-04,139.25
2016-02-05,141.4
2016-02-08,138.65
2016-02-09,133.65
2016-02-10,130.35
2016-02-11,120.3
2016-02-12,126.15
2016-02-15,135.3
2016-02-16,121.35
2016-02-17,120.05
2016-02-18,120.3
2016-02-19,118.8
2016-02-22,121.8
2016-02-23,120.95
2016-02-24,120.05
2016-02-25,125.85
2016-02-26,118.85
2016-02-29,115.8
2016-03-01,120.1
2016-03-02,121.45
2016-03-03,118.3
2016-03-04,119.9
2016-03-08,121.8
2016-03-09,146.15
2016-03-10,152.2
2016-03-11,153.65
2016-03-14,152.65
2016-03-15,153.35
2016-03-16,152.75
2016-03-17,150.9
2016-03-18,148.85
2016-03-21,150.0
2016-03-22,152.9
2016-03-23,156.55
2016-03-28,162.75
2016-03-29,161.15
2016-03-30,157.95
2016-03-31,154.6
2016-04-01,151.6
2016-04-04,155.25
2016-04-05,152.0
2016-04-06,147.75
2016-04-07,144.3
2016-04-08,140.7
2016-04-11,148.25
2016-04-12,151.65
2016-04-13,155.65
2016-04-18,159.55
2016-04-20,167.35
2016-04-21,171.2
2016-04-22,180.5
2016-04-25,183.25
2016-04-26,175.75
2016-04-27,177.3
2016-04-28,175.15
2016-04-29,175.4
2016-05-02,182.05
2016-05-03,177.2
2016-05-04,173.85
2016-05-05,179.35
2016-05-06,177.2
2016-05-09,181.35
2016-05-10,178.15
2016-05-11,182.65
2016-05-12,185.65
2016-05-13,168.65
2016-05-16,159.35
2016-05-17,149.15
2016-05-18,158.8
2016-05-19,162.1
2016-05-20,158.15
2016-05-23,157.25
2016-05-24,154.1
2016-05-25,152.15
2016-05-26,152.7
2016-05-27,154.75
2016-05-30,158.6
2016-05-31,151.45
2016-06-01,150.0
2016-06-02,149.8
2016-06-03,152.4
2016-06-06,158.85
2016-06-07,166.4
2016-06-08,167.6
2016-06-09,166.05
2016-06-10,164.2
2016-06-13,166.25
2016-06-14,164.8
2016-06-15,162.45
2016-06-16,162.6
2016-06-17,164.35
2016-06-20,162.8
2016-06-21,161.6
2016-06-22,157.0
2016-06-23,152.55
2016-06-24,152.8
2016-06-27,152.45
2016-06-28,154.3
2016-06-29,152.8
2016-06-30,150.55
2016-07-01,149.9
2016-07-04,156.25
2016-07-05,172.35
2016-07-07,177.2
2016-07-08,170.65
2016-07-11,171.45
2016-07-12,174.6
2016-07-13,173.7
2016-07-14,176.4
2016-07-15,182.8
2016-07-18,177.35
2016-07-19,174.8
2016-07-20,174.05
2016-07-21,174.7
2016-07-22,174.9
2016-07-25,174.95
2016-07-26,172.0
2016-07-27,171.4
2016-07-28,171.5
2016-07-29,173.6
2016-08-01,177.75
2016-08-02,176.4
2016-08-03,174.1
2016-08-04,169.2
2016-08-05,173.65
2016-08-08,184.5
2016-08-09,187.15
2016-08-10,179.45
2016-08-11,174.5
2016-08-12,173.25
2016-08-16,178.65
2016-08-17,179.45
2016-08-18,181.3
2016-08-19,190.35
2016-08-22,201.7
2016-08-23,197.55
2016-08-24,198.9
2016-08-25,197.45
2016-08-26,210.55
2016-08-29,240.2
2016-08-30,247.1
2016-08-31,243.65
2016-09-01,241.35
2016-09-02,263.15
2016-09-06,265.95
2016-09-07,265.15
2016-09-08,277.15
2016-09-09,296.9
2016-09-12,302.15
2016-09-14,289.5
2016-09-15,282.55
2016-09-16,280.4
2016-09-19,266.65
2016-09-20,258.1
2016-09-21,260.75
2016-09-22,262.6
2016-09-23,258.8
2016-09-26,263.3
2016-09-27,265.3
2016-09-28,268.65
2016-09-29,250.95
2016-09-30,258.35
2016-10-03,266.1
2016-10-04,266.7
2016-10-05,266.2
2016-10-06,258.8
2016-10-07,275.05
2016-10-10,271.65
2016-10-13,267.35
2016-10-14,270.1
2016-10-17,266.1
2016-10-18,269.0
2016-10-19,269.75
2016-10-20,268.35
2016-10-21,268.5
2016-10-24,267.45
2016-10-25,269.35
2016-10-26,267.5
2016-10-27,266.9
2016-10-28,267.15
2016-10-30,271.45
2016-11-01,266.0
2016-11-02,261.95
2016-11-03,258.25
2016-11-04,248.6
2016-11-07,258.2
2016-11-08,259.8
2016-11-09,251.05
2016-11-10,258.3
2016-11-11,247.75
2016-11-15,217.15
2016-11-16,195.95
2016-11-17,194.15
2016-11-18,196.4
2016-11-21,181.1
2016-11-22,187.4
2016-11-23,211.4
2016-11-24,218.75
2016-11-25,226.2
2016-11-28,220.55
2016-11-29,219.0
2016-11-30,217.9
2016-12-01,207.65
2016-12-02,198.5
2016-12-05,205.55
2016-12-06,206.3
2016-12-07,206.4
2016-12-08,207.85
2016-12-09,205.75
2016-12-12,205.2
2016-12-13,210.25
2016-12-14,219.75
2016-12-15,221.75
2016-12-16,221.25
2016-12-19,216.2
2016-12-20,211.15
2016-12-21,214.95
2016-12-22,205.7
2016-12-23,203.4
2016-12-26,199.1
2016-12-27,206.35
2016-12-28,208.0
2016-12-29,203.2
2016-12-30,207.45
