Date,ORIENTPPR
2016-01-01,34.35
2016-01-04,37.75
2016-01-05,41.5
2016-01-06,41.1
2016-01-07,39.05
2016-01-08,39.75
2016-01-11,39.6
2016-01-12,38.75
2016-01-13,37.25
2016-01-14,35.5
2016-01-15,35.65
2016-01-18,33.9
2016-01-19,33.75
2016-01-20,32.1
2016-01-21,30.5
2016-01-22,32.0
2016-01-25,33.6
2016-01-27,32.6
2016-01-28,34.2
2016-01-29,35.9
2016-02-01,37.65
2016-02-02,39.1
2016-02-03,38.45
2016-02-04,38.5
2016-02-05,38.4
2016-02-08,38.3
2016-02-09,37.4
2016-02-10,35.7
2016-02-11,33.95
2016-02-12,33.55
2016-02-15,34.05
2016-02-16,33.85
2016-02-17,33.15
2016-02-18,33.5
2016-02-19,33.4
2016-02-22,33.3
2016-02-23,32.55
2016-02-24,32.3
2016-02-25,32.2
2016-02-26,32.0
2016-02-29,31.75
2016-03-01,32.7
2016-03-02,34.3
2016-03-03,35.25
2016-03-04,35.45
2016-03-08,34.9
2016-03-09,35.75
2016-03-10,35.1
2016-03-11,35.9
2016-03-14,35.35
2016-03-15,34.35
2016-03-16,34.65
2016-03-17,34.2
2016-03-18,34.45
2016-03-21,33.8
2016-03-22,32.45
2016-03-23,32.9
2016-03-28,30.5
2016-03-29,31.85
2016-03-30,34.05
2016-03-31,34.55
2016-04-01,33.95
2016-04-04,34.65
2016-04-05,35.1
2016-04-06,36.95
2016-04-07,37.45
2016-04-08,36.7
2016-04-11,37.8
2016-04-12,37.0
2016-04-13,37.8
2016-04-18,38.5
2016-04-20,40.45
2016-04-21,38.25
2016-04-22,38.05
2016-04-25,38.35
2016-04-26,39.8
2016-04-27,39.5
2016-04-28,38.65
2016-04-29,38.15
2016-05-02,41.75
2016-05-03,43.0
2016-05-04,43.65
2016-05-05,42.5
2016-05-06,42.3
2016-05-09,43.8
2016-05-10,44.35
2016-05-11,43.95
2016-05-12,43.9
2016-05-13,46.35
2016-05-16,47.9
2016-05-17,47.3
2016-05-18,49.75
2016-05-19,49.05
2016-05-20,49.05
2016-05-23,49.1
2016-05-24,48.5
2016-05-25,48.85
2016-05-26,48.5
2016-05-27,46.95
2016-05-30,47.15
2016-05-31,47.3
2016-06-01,47.45
2016-06-02,46.85
2016-06-03,44.55
2016-06-06,45.2
2016-06-07,45.65
2016-06-08,46.2
2016-06-09,46.05
2016-06-10,46.0
2016-06-13,44.2
2016-06-14,44.3
2016-06-15,47.65
2016-06-16,46.3
2016-06-17,47.8
2016-06-20,48.9
2016-06-21,48.3
2016-06-22,49.95
2016-06-23,49.4
2016-06-24,48.2
2016-06-27,50.75
2016-06-28,50.2
2016-06-29,50.8
2016-06-30,50.95
2016-07-01,50.45
2016-07-04,51.7
2016-07-05,54.6
2016-07-07,56.9
2016-07-08,53.85
2016-07-11,55.2
2016-07-12,54.6
2016-07-13,54.4
2016-07-14,62.05
2016-07-15,62.45
2016-07-18,62.35
2016-07-19,59.5
2016-07-20,58.9
2016-07-21,57.9
2016-07-22,59.65
2016-07-25,60.4
2016-07-26,60.6
2016-07-27,61.9
2016-07-28,61.7
2016-07-29,59.8
2016-08-01,62.1
2016-08-02,61.15
2016-08-03,60.9
2016-08-04,58.5
2016-08-05,58.75
2016-08-08,59.0
2016-08-09,58.0
2016-08-10,57.05
2016-08-11,57.65
2016-08-12,58.55
2016-08-16,57.4
2016-08-17,57.65
2016-08-18,57.35
2016-08-19,57.8
2016-08-22,62.8
2016-08-23,62.2
2016-08-24,63.9
2016-08-25,70.05
2016-08-26,68.95
2016-08-29,69.5
2016-08-30,69.9
2016-08-31,69.3
2016-09-01,68.55
2016-09-02,68.7
2016-09-06,70.15
2016-09-07,71.8
2016-09-08,76.2
2016-09-09,74.1
2016-09-12,72.3
2016-09-14,74.7
2016-09-15,79.45
2016-09-16,77.2
2016-09-19,78.4
2016-09-20,78.95
2016-09-21,79.1
2016-09-22,80.75
2016-09-23,79.25
2016-09-26,80.85
2016-09-27,80.25
2016-09-28,81.15
2016-09-29,79.7
2016-09-30,80.75
2016-10-03,79.5
2016-10-04,79.7
2016-10-05,80.15
2016-10-06,83.15
2016-10-07,85.5
2016-10-10,84.8
2016-10-13,82.75
2016-10-14,84.8
2016-10-17,89.8
2016-10-18,85.3
2016-10-19,88.35
2016-10-20,87.9
2016-10-21,85.65
2016-10-24,86.75
2016-10-25,85.8
2016-10-26,85.45
2016-10-27,86.25
2016-10-28,86.7
2016-10-30,86.85
2016-11-01,87.0
2016-11-02,85.9
2016-11-03,85.35
2016-11-04,81.35
2016-11-07,82.75
2016-11-08,80.35
2016-11-09,76.2
2016-11-10,77.15
2016-11-11,74.55
2016-11-15,67.0
2016-11-16,68.4
2016-11-17,66.75
2016-11-18,64.75
2016-11-21,59.25
2016-11-22,59.0
2016-11-23,66.25
2016-11-24,67.15
2016-11-25,69.5
2016-11-28,71.8
2016-11-29,73.05
2016-11-30,73.4
2016-12-01,70.35
2016-12-02,69.2
2016-12-05,69.7
2016-12-06,68.7
2016-12-07,67.65
2016-12-08,69.5
2016-12-09,70.35
2016-12-12,68.85
2016-12-13,68.1
2016-12-14,68.4
2016-12-15,70.45
2016-12-16,69.7
2016-12-19,71.9
2016-12-20,71.7
2016-12-21,71.45
2016-12-22,70.5
2016-12-23,70.9
2016-12-26,69.7
2016-12-27,70.3
2016-12-28,69.95
2016-12-29,70.15
2016-12-30,68.5
