Date,INDOTECH
2016-01-01,246.9
2016-01-04,237.8
2016-01-05,269.5
2016-01-06,265.5
2016-01-07,245.3
2016-01-08,251.25
2016-01-11,245.65
2016-01-12,239.55
2016-01-13,226.4
2016-01-14,231.65
2016-01-15,218.65
2016-01-18,197.5
2016-01-19,214.55
2016-01-20,202.25
2016-01-21,203.45
2016-01-22,209.3
2016-01-25,209.75
2016-01-27,204.6
2016-01-28,205.5
2016-01-29,199.85
2016-02-01,206.0
2016-02-02,198.85
2016-02-03,195.2
2016-02-04,195.75
2016-02-05,196.4
2016-02-08,203.45
2016-02-09,197.5
2016-02-10,185.9
2016-02-11,162.95
2016-02-12,158.9
2016-02-15,170.0
2016-02-16,158.45
2016-02-17,160.95
2016-02-18,162.15
2016-02-19,161.9
2016-02-22,158.6
2016-02-23,153.0
2016-02-24,152.5
2016-02-25,150.8
2016-02-26,145.65
2016-02-29,144.2
2016-03-01,154.2
2016-03-02,163.2
2016-03-03,170.8
2016-03-04,170.95
2016-03-08,170.35
2016-03-09,170.45
2016-03-10,172.2
2016-03-11,186.95
2016-03-14,191.0
2016-03-15,183.4
2016-03-16,186.05
2016-03-17,200.0
2016-03-18,193.9
2016-03-21,193.5
2016-03-22,199.05
2016-03-23,195.4
2016-03-28,180.95
2016-03-29,185.6
2016-03-30,190.05
2016-03-31,188.2
2016-04-01,187.0
2016-04-04,186.85
2016-04-05,186.65
2016-04-06,191.3
2016-04-07,192.45
2016-04-08,192.6
2016-04-11,190.7
2016-04-12,187.0
2016-04-13,195.65
2016-04-18,194.6
2016-04-20,192.4
2016-04-21,195.95
2016-04-22,194.35
2016-04-25,192.65
2016-04-26,201.3
2016-04-27,204.85
2016-04-28,198.95
2016-04-29,199.9
2016-05-02,199.9
2016-05-03,194.55
2016-05-04,193.45
2016-05-05,186.75
2016-05-06,189.6
2016-05-09,201.75
2016-05-10,195.2
2016-05-11,192.95
2016-05-12,198.2
2016-05-13,199.45
2016-05-16,196.55
2016-05-17,189.05
2016-05-18,191.7
2016-05-19,189.45
2016-05-20,185.85
2016-05-23,185.5
2016-05-24,183.65
2016-05-25,186.8
2016-05-26,224.15
2016-05-27,244.15
2016-05-30,236.75
2016-05-31,243.7
2016-06-01,243.05
2016-06-02,241.5
2016-06-03,243.4
2016-06-06,237.05
2016-06-07,236.65
2016-06-08,266.15
2016-06-09,258.15
2016-06-10,252.25
2016-06-13,250.35
2016-06-14,258.6
2016-06-15,261.55
2016-06-16,256.4
2016-06-17,254.45
2016-06-20,250.05
2016-06-21,255.45
2016-06-22,256.25
2016-06-23,253.85
2016-06-24,244.55
2016-06-27,250.15
2016-06-28,256.4
2016-06-29,262.1
2016-06-30,268.15
2016-07-01,270.8
2016-07-04,286.45
2016-07-05,277.45
2016-07-07,271.9
2016-07-08,270.7
2016-07-11,276.0
2016-07-12,272.7
2016-07-13,264.95
2016-07-14,268.0
2016-07-15,265.95
2016-07-18,266.0
2016-07-19,264.15
2016-07-20,268.75
2016-07-21,265.7
2016-07-22,269.3
2016-07-25,274.55
2016-07-26,269.1
2016-07-27,266.95
2016-07-28,269.75
2016-07-29,260.75
2016-08-01,260.5
2016-08-02,256.75
2016-08-03,206.05
2016-08-04,195.8
2016-08-05,192.05
2016-08-08,197.2
2016-08-09,207.6
2016-08-10,197.5
2016-08-11,197.0
2016-08-12,197.65
2016-08-16,191.55
2016-08-17,191.7
2016-08-18,193.85
2016-08-19,195.1
2016-08-22,194.0
2016-08-23,191.55
2016-08-24,191.1
2016-08-25,191.65
2016-08-26,191.9
2016-08-29,190.9
2016-08-30,190.5
2016-08-31,198.8
2016-09-01,202.75
2016-09-02,202.25
2016-09-06,203.7
2016-09-07,202.15
2016-09-08,201.75
2016-09-09,198.15
2016-09-12,192.05
2016-09-14,192.4
2016-09-15,192.15
2016-09-16,192.4
2016-09-19,193.55
2016-09-20,193.3
2016-09-21,192.25
2016-09-22,194.05
2016-09-23,192.35
2016-09-26,192.35
2016-09-27,192.85
2016-09-28,190.85
2016-09-29,179.25
2016-09-30,181.85
2016-10-03,190.25
2016-10-04,194.55
2016-10-05,192.7
2016-10-06,231.05
2016-10-07,219.6
2016-10-10,241.85
2016-10-13,228.9
2016-10-14,232.2
2016-10-17,227.7
2016-10-18,232.1
2016-10-19,229.0
2016-10-20,236.15
2016-10-21,256.05
2016-10-24,265.65
2016-10-25,258.0
2016-10-26,238.6
2016-10-27,218.4
2016-10-28,220.65
2016-10-30,221.3
2016-11-01,213.95
2016-11-02,206.1
2016-11-03,205.4
2016-11-04,202.15
2016-11-07,205.05
2016-11-08,200.15
2016-11-09,192.15
2016-11-10,205.8
2016-11-11,199.45
2016-11-15,193.35
2016-11-16,194.65
2016-11-17,192.35
2016-11-18,189.7
2016-11-21,183.05
2016-11-22,184.25
2016-11-23,189.35
2016-11-24,188.1
2016-11-25,201.95
2016-11-28,198.05
2016-11-29,200.25
2016-11-30,217.9
2016-12-01,214.95
2016-12-02,216.65
2016-12-05,211.0
2016-12-06,209.2
2016-12-07,204.1
2016-12-08,208.65
2016-12-09,208.15
2016-12-12,203.25
2016-12-13,206.1
2016-12-14,211.7
2016-12-15,207.95
2016-12-16,205.5
2016-12-19,204.3
2016-12-20,200.9
2016-12-21,208.35
2016-12-22,201.4
2016-12-23,204.55
2016-12-26,200.45
2016-12-27,202.3
2016-12-28,213.35
2016-12-29,214.75
2016-12-30,215.25
