Date,SURANASOL
2016-01-01,23.15
2016-01-04,27.75
2016-01-05,33.3
2016-01-06,36.6
2016-01-07,38.05
2016-01-08,38.15
2016-01-11,36.0
2016-01-12,34.35
2016-01-13,31.3
2016-01-14,29.95
2016-01-15,28.95
2016-01-18,27.55
2016-01-19,28.0
2016-01-20,26.85
2016-01-21,28.15
2016-01-22,29.25
2016-01-25,30.7
2016-01-27,32.2
2016-01-28,31.4
2016-01-29,32.0
2016-02-01,32.1
2016-02-02,31.85
2016-02-03,30.35
2016-02-04,29.4
2016-02-05,28.9
2016-02-08,29.25
2016-02-09,28.9
2016-02-10,26.5
2016-02-11,23.9
2016-02-12,24.4
2016-02-15,26.0
2016-02-16,25.3
2016-02-17,24.5
2016-02-18,25.0
2016-02-19,25.05
2016-02-22,24.8
2016-02-23,25.3
2016-02-24,24.15
2016-02-25,24.0
2016-02-26,24.1
2016-02-29,22.7
2016-03-01,22.45
2016-03-02,22.75
2016-03-03,24.2
2016-03-04,23.9
2016-03-08,24.05
2016-03-09,23.15
2016-03-10,23.3
2016-03-11,22.95
2016-03-14,23.05
2016-03-15,22.95
2016-03-16,22.65
2016-03-17,22.95
2016-03-18,22.4
2016-03-21,23.05
2016-03-22,23.0
2016-03-23,22.65
2016-03-28,21.85
2016-03-29,20.75
2016-03-30,22.0
2016-03-31,21.75
2016-04-01,22.25
2016-04-04,22.6
2016-04-05,22.0
2016-04-06,22.45
2016-04-07,22.95
2016-04-08,23.25
2016-04-11,23.05
2016-04-12,22.9
2016-04-13,23.55
2016-04-18,22.95
2016-04-20,22.65
2016-04-21,22.8
2016-04-22,23.25
2016-04-25,22.75
2016-04-26,22.9
2016-04-27,22.65
2016-04-28,22.35
2016-04-29,21.8
2016-05-02,21.25
2016-05-03,21.9
2016-05-04,22.3
2016-05-05,22.0
2016-05-06,21.55
2016-05-09,21.65
2016-05-10,21.55
2016-05-11,21.25
2016-05-12,21.4
2016-05-13,22.0
2016-05-16,21.55
2016-05-17,21.75
2016-05-18,21.9
2016-05-19,21.4
2016-05-20,24.15
2016-05-23,23.7
2016-05-24,22.65
2016-05-25,20.7
2016-05-26,20.3
2016-05-27,21.2
2016-05-30,21.0
2016-05-31,20.5
2016-06-01,21.0
2016-06-02,20.95
2016-06-03,20.65
2016-06-06,20.6
2016-06-07,20.3
2016-06-08,20.6
2016-06-09,20.95
2016-06-10,20.75
2016-06-13,20.2
2016-06-14,20.55
2016-06-15,21.0
2016-06-16,20.75
2016-06-17,20.95
2016-06-20,21.05
2016-06-21,20.85
2016-06-22,21.0
2016-06-23,20.2
2016-06-24,20.1
2016-06-27,19.75
2016-06-28,20.05
2016-06-29,24.05
2016-06-30,24.5
2016-07-01,24.2
2016-07-04,27.45
2016-07-05,28.45
2016-07-07,28.5
2016-07-08,29.95
2016-07-11,29.0
2016-07-12,28.8
2016-07-13,27.4
2016-07-14,27.55
2016-07-15,28.0
2016-07-18,28.2
2016-07-19,28.0
2016-07-20,33.35
2016-07-21,30.95
2016-07-22,30.65
2016-07-25,30.8
2016-07-26,30.3
2016-07-27,29.65
2016-07-28,28.95
2016-07-29,28.95
2016-08-01,29.0
2016-08-02,28.4
2016-08-03,27.65
2016-08-04,27.4
2016-08-05,28.15
2016-08-08,28.3
2016-08-09,27.55
2016-08-10,26.45
2016-08-11,25.0
2016-08-12,26.75
2016-08-16,26.0
2016-08-17,25.75
2016-08-18,25.35
2016-08-19,25.2
2016-08-22,25.1
2016-08-23,24.65
2016-08-24,24.4
2016-08-25,25.2
2016-08-26,24.55
2016-08-29,24.2
2016-08-30,23.9
2016-08-31,26.45
2016-09-01,23.95
2016-09-02,24.3
2016-09-06,22.95
2016-09-07,22.5
2016-09-08,22.25
2016-09-09,22.8
2016-09-12,22.55
2016-09-14,22.8
2016-09-15,22.95
2016-09-16,22.75
2016-09-19,22.65
2016-09-20,22.45
2016-09-21,22.4
2016-09-22,22.5
2016-09-23,24.05
2016-09-26,23.05
2016-09-27,22.8
2016-09-28,23.1
2016-09-29,21.9
2016-09-30,22.2
2016-10-03,22.7
2016-10-04,22.85
2016-10-05,22.9
2016-10-06,23.05
2016-10-07,22.95
2016-10-10,24.15
2016-10-13,23.0
2016-10-14,22.95
2016-10-17,23.05
2016-10-18,23.05
2016-10-19,23.3
2016-10-20,23.5
2016-10-21,23.5
2016-10-24,24.3
2016-10-25,24.45
2016-10-26,24.25
2016-10-27,23.6
2016-10-28,23.75
2016-10-30,24.2
2016-11-01,25.0
2016-11-02,24.25
2016-11-03,24.8
2016-11-04,23.7
2016-11-07,23.4
2016-11-08,22.8
2016-11-09,22.1
2016-11-10,22.75
2016-11-11,21.6
2016-11-15,21.0
2016-11-16,20.9
2016-11-17,21.65
2016-11-18,21.7
2016-11-21,20.4
2016-11-22,21.0
2016-11-23,20.85
2016-11-24,20.85
2016-11-25,21.3
2016-11-28,21.5
2016-11-29,24.4
2016-11-30,23.3
2016-12-01,24.7
2016-12-02,24.25
2016-12-05,24.0
2016-12-06,23.65
2016-12-07,23.45
2016-12-08,23.5
2016-12-09,23.3
2016-12-12,22.7
2016-12-13,22.9
2016-12-14,22.65
2016-12-15,23.3
2016-12-16,23.05
2016-12-19,22.65
2016-12-20,22.55
2016-12-21,22.55
2016-12-22,22.25
2016-12-23,22.15
2016-12-26,21.7
2016-12-27,21.5
2016-12-28,21.1
2016-12-29,21.5
2016-12-30,21.45
