Date,GHCL
2016-01-01,132.85
2016-01-04,131.9
2016-01-05,129.8
2016-01-06,128.5
2016-01-07,118.1
2016-01-08,124.15
2016-01-11,123.95
2016-01-12,124.55
2016-01-13,122.3
2016-01-14,121.85
2016-01-15,117.25
2016-01-18,102.25
2016-01-19,106.05
2016-01-20,98.95
2016-01-21,99.6
2016-01-22,109.85
2016-01-25,105.2
2016-01-27,112.15
2016-01-28,117.05
2016-01-29,118.6
2016-02-01,123.9
2016-02-02,116.3
2016-02-03,111.75
2016-02-04,111.05
2016-02-05,113.45
2016-02-08,113.2
2016-02-09,109.65
2016-02-10,108.4
2016-02-11,101.75
2016-02-12,100.55
2016-02-15,108.8
2016-02-16,105.05
2016-02-17,107.35
2016-02-18,111.0
2016-02-19,109.15
2016-02-22,109.5
2016-02-23,106.15
2016-02-24,102.95
2016-02-25,104.1
2016-02-26,100.2
2016-02-29,99.1
2016-03-01,103.6
2016-03-02,107.2
2016-03-03,108.75
2016-03-04,108.9
2016-03-08,113.05
2016-03-09,115.15
2016-03-10,115.15
2016-03-11,111.85
2016-03-14,110.3
2016-03-15,111.15
2016-03-16,110.9
2016-03-17,110.35
2016-03-18,110.85
2016-03-21,112.25
2016-03-22,111.35
2016-03-23,114.05
2016-03-28,113.15
2016-03-29,111.9
2016-03-30,115.1
2016-03-31,115.1
2016-04-01,120.5
2016-04-04,120.75
2016-04-05,115.8
2016-04-06,118.6
2016-04-07,116.45
2016-04-08,117.2
2016-04-11,125.1
2016-04-12,122.6
2016-04-13,123.1
2016-04-18,129.6
2016-04-20,136.6
2016-04-21,135.4
2016-04-22,136.9
2016-04-25,133.7
2016-04-26,137.25
2016-04-27,135.1
2016-04-28,130.9
2016-04-29,131.85
2016-05-02,131.75
2016-05-03,136.3
2016-05-04,134.7
2016-05-05,135.95
2016-05-06,135.05
2016-05-09,140.35
2016-05-10,141.15
2016-05-11,141.45
2016-05-12,145.05
2016-05-13,145.15
2016-05-16,151.15
2016-05-17,152.65
2016-05-18,148.1
2016-05-19,145.2
2016-05-20,155.15
2016-05-23,163.8
2016-05-24,166.55
2016-05-25,165.25
2016-05-26,163.9
2016-05-27,162.15
2016-05-30,158.95
2016-05-31,170.35
2016-06-01,167.3
2016-06-02,174.6
2016-06-03,170.0
2016-06-06,170.75
2016-06-07,170.9
2016-06-08,170.2
2016-06-09,168.55
2016-06-10,168.85
2016-06-13,165.7
2016-06-14,172.35
2016-06-15,171.55
2016-06-16,167.95
2016-06-17,168.2
2016-06-20,167.95
2016-06-21,170.7
2016-06-22,177.8
2016-06-23,176.9
2016-06-24,172.55
2016-06-27,184.45
2016-06-28,187.35
2016-06-29,183.65
2016-06-30,185.9
2016-07-01,191.95
2016-07-04,189.45
2016-07-05,194.1
2016-07-07,192.55
2016-07-08,194.3
2016-07-11,196.6
2016-07-12,200.3
2016-07-13,194.85
2016-07-14,198.65
2016-07-15,195.45
2016-07-18,188.7
2016-07-19,189.1
2016-07-20,193.65
2016-07-21,189.9
2016-07-22,203.05
2016-07-25,225.4
2016-07-26,210.0
2016-07-27,217.4
2016-07-28,219.65
2016-07-29,228.3
2016-08-01,239.4
2016-08-02,236.85
2016-08-03,232.25
2016-08-04,236.0
2016-08-05,242.8
2016-08-08,237.7
2016-08-09,232.7
2016-08-10,234.7
2016-08-11,236.7
2016-08-12,235.1
2016-08-16,246.15
2016-08-17,258.95
2016-08-18,260.75
2016-08-19,258.0
2016-08-22,262.7
2016-08-23,255.45
2016-08-24,254.15
2016-08-25,244.8
2016-08-26,244.85
2016-08-29,242.8
2016-08-30,250.55
2016-08-31,252.1
2016-09-01,263.65
2016-09-02,260.75
2016-09-06,255.35
2016-09-07,254.35
2016-09-08,251.5
2016-09-09,246.7
2016-09-12,241.25
2016-09-14,253.3
2016-09-15,259.65
2016-09-16,257.1
2016-09-19,252.8
2016-09-20,251.65
2016-09-21,253.35
2016-09-22,255.1
2016-09-23,253.75
2016-09-26,253.05
2016-09-27,253.0
2016-09-28,255.05
2016-09-29,245.85
2016-09-30,252.15
2016-10-03,260.85
2016-10-04,275.1
2016-10-05,278.85
2016-10-06,274.95
2016-10-07,270.65
2016-10-10,269.15
2016-10-13,284.75
2016-10-14,284.95
2016-10-17,291.8
2016-10-18,295.75
2016-10-19,292.95
2016-10-20,295.1
2016-10-21,278.0
2016-10-24,273.75
2016-10-25,278.8
2016-10-26,273.5
2016-10-27,275.7
2016-10-28,275.65
2016-10-30,278.15
2016-11-01,275.55
2016-11-02,265.6
2016-11-03,261.95
2016-11-04,255.05
2016-11-07,254.75
2016-11-08,250.6
2016-11-09,239.25
2016-11-10,240.25
2016-11-11,231.4
2016-11-15,217.9
2016-11-16,224.85
2016-11-17,225.0
2016-11-18,233.45
2016-11-21,230.45
2016-11-22,234.05
2016-11-23,239.95
2016-11-24,237.9
2016-11-25,242.7
2016-11-28,246.35
2016-11-29,244.4
2016-11-30,246.6
2016-12-01,245.85
2016-12-02,238.85
2016-12-05,238.7
2016-12-06,241.6
2016-12-07,241.45
2016-12-08,244.1
2016-12-09,247.15
2016-12-12,247.95
2016-12-13,258.6
2016-12-14,250.8
2016-12-15,253.45
2016-12-16,260.05
2016-12-19,252.6
2016-12-20,249.05
2016-12-21,248.25
2016-12-22,243.9
2016-12-23,242.95
2016-12-26,240.1
2016-12-27,245.15
2016-12-28,244.5
2016-12-29,244.45
2016-12-30,247.3
