Date,OMKARCHEM
2016-01-01,227.6
2016-01-04,222.85
2016-01-05,237.6
2016-01-06,234.3
2016-01-07,222.8
2016-01-08,229.7
2016-01-11,234.1
2016-01-12,242.95
2016-01-13,233.45
2016-01-14,225.6
2016-01-15,215.35
2016-01-18,195.6
2016-01-19,196.3
2016-01-20,184.45
2016-01-21,187.15
2016-01-22,192.65
2016-01-25,195.2
2016-01-27,196.75
2016-01-28,195.0
2016-01-29,194.25
2016-02-01,198.75
2016-02-02,193.0
2016-02-03,186.05
2016-02-04,179.45
2016-02-05,182.85
2016-02-08,186.4
2016-02-09,174.95
2016-02-10,171.65
2016-02-11,159.25
2016-02-12,155.95
2016-02-15,162.65
2016-02-16,153.05
2016-02-17,151.2
2016-02-18,150.45
2016-02-19,149.8
2016-02-22,151.1
2016-02-23,148.6
2016-02-24,147.45
2016-02-25,148.9
2016-02-26,149.5
2016-02-29,151.55
2016-03-01,168.05
2016-03-02,174.55
2016-03-03,174.6
2016-03-04,171.45
2016-03-08,170.35
2016-03-09,167.6
2016-03-10,168.15
2016-03-11,165.75
2016-03-14,166.5
2016-03-15,166.3
2016-03-16,165.55
2016-03-17,163.85
2016-03-18,161.4
2016-03-21,163.5
2016-03-22,168.05
2016-03-23,173.0
2016-03-28,176.9
2016-03-29,176.2
2016-03-30,179.4
2016-03-31,174.4
2016-04-01,176.35
2016-04-04,178.1
2016-04-05,179.25
2016-04-06,189.35
2016-04-07,182.55
2016-04-08,183.7
2016-04-11,183.45
2016-04-12,186.7
2016-04-13,192.4
2016-04-18,190.2
2016-04-20,188.6
2016-04-21,188.05
2016-04-22,187.0
2016-04-25,184.1
2016-04-26,182.35
2016-04-27,181.3
2016-04-28,178.75
2016-04-29,179.45
2016-05-02,182.05
2016-05-03,180.8
2016-05-04,177.2
2016-05-05,178.75
2016-05-06,175.5
2016-05-09,179.6
2016-05-10,177.75
2016-05-11,181.5
2016-05-12,183.45
2016-05-13,179.55
2016-05-16,183.0
2016-05-17,181.4
2016-05-18,176.0
2016-05-19,178.7
2016-05-20,177.9
2016-05-23,179.95
2016-05-24,173.1
2016-05-25,173.65
2016-05-26,164.65
2016-05-27,172.45
2016-05-30,179.0
2016-05-31,173.2
2016-06-01,174.85
2016-06-02,174.8
2016-06-03,176.7
2016-06-06,182.25
2016-06-07,182.55
2016-06-08,177.3
2016-06-09,171.7
2016-06-10,168.75
2016-06-13,167.05
2016-06-14,166.45
2016-06-15,166.4
2016-06-16,163.8
2016-06-17,160.95
2016-06-20,164.4
2016-06-21,164.2
2016-06-22,165.05
2016-06-23,168.6
2016-06-24,162.45
2016-06-27,166.95
2016-06-28,172.2
2016-06-29,170.6
2016-06-30,168.55
2016-07-01,166.15
2016-07-04,164.05
2016-07-05,161.5
2016-07-07,160.1
2016-07-08,159.85
2016-07-11,158.15
2016-07-12,156.5
2016-07-13,157.15
2016-07-14,147.6
2016-07-15,146.1
2016-07-18,146.9
2016-07-19,147.25
2016-07-20,146.95
2016-07-21,145.15
2016-07-22,145.25
2016-07-25,144.3
2016-07-26,144.7
2016-07-27,142.0
2016-07-28,144.2
2016-07-29,154.05
2016-08-01,155.55
2016-08-02,153.75
2016-08-03,156.0
2016-08-04,154.15
2016-08-05,156.45
2016-08-08,153.5
2016-08-09,155.7
2016-08-10,153.7
2016-08-11,151.85
2016-08-12,151.65
2016-08-16,153.8
2016-08-17,152.1
2016-08-18,153.2
2016-08-19,164.45
2016-08-22,167.85
2016-08-23,171.85
2016-08-24,172.05
2016-08-25,167.65
2016-08-26,164.45
2016-08-29,165.35
2016-08-30,170.55
2016-08-31,169.7
2016-09-01,168.4
2016-09-02,168.65
2016-09-06,168.85
2016-09-07,173.35
2016-09-08,171.95
2016-09-09,168.5
2016-09-12,164.1
2016-09-14,165.45
2016-09-15,170.1
2016-09-16,168.55
2016-09-19,167.75
2016-09-20,167.0
2016-09-21,170.1
2016-09-22,170.1
2016-09-23,177.2
2016-09-26,175.3
2016-09-27,171.9
2016-09-28,177.7
2016-09-29,165.55
2016-09-30,170.0
2016-10-03,173.95
2016-10-04,174.9
2016-10-05,191.9
2016-10-06,187.9
2016-10-07,188.55
2016-10-10,183.05
2016-10-13,177.7
2016-10-14,180.75
2016-10-17,175.6
2016-10-18,176.3
2016-10-19,173.05
2016-10-20,174.85
2016-10-21,172.6
2016-10-24,170.2
2016-10-25,168.0
2016-10-26,167.35
2016-10-27,165.8
2016-10-28,166.95
2016-10-30,167.45
2016-11-01,166.6
2016-11-02,163.7
2016-11-03,163.35
2016-11-04,156.25
2016-11-07,152.8
2016-11-08,151.4
2016-11-09,149.8
2016-11-10,154.9
2016-11-11,148.85
2016-11-15,148.95
2016-11-16,145.5
2016-11-17,144.8
2016-11-18,147.65
2016-11-21,156.0
2016-11-22,155.1
2016-11-23,154.5
2016-11-24,155.6
2016-11-25,155.6
2016-11-28,157.2
2016-11-29,164.1
2016-11-30,168.2
2016-12-01,166.3
2016-12-02,159.85
2016-12-05,161.65
2016-12-06,162.45
2016-12-07,158.6
2016-12-08,159.7
2016-12-09,161.15
2016-12-12,160.35
2016-12-13,165.2
2016-12-14,167.2
2016-12-15,166.3
2016-12-16,164.45
2016-12-19,163.4
2016-12-20,163.3
2016-12-21,157.2
2016-12-22,156.9
2016-12-23,157.3
2016-12-26,156.8
2016-12-27,158.1
2016-12-28,155.8
2016-12-29,157.6
2016-12-30,160.05
